pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.026142	0.000000	2614244.818687	nan	nan
01_to_02	pair	0.255363	0.342548	0.745480	0.7073866724967957	0.8255666494369507
01_to_03	pair	0.619532	0.872194	0.710315	0.7491948008537292	0.7126506567001343
01_to_04	pair	1.089648	1.491833	0.730409	0.719555675983429	0.6111243963241577
01_to_05	pair	1.239482	1.764018	0.702647	0.7638181447982788	0.6162033081054688
01_to_06	pair	1.201014	1.788058	0.671686	0.7899091243743896	0.6517390012741089
01_to_07	pair	1.003884	1.575479	0.637193	0.7974968552589417	0.6668056845664978
01_to_08	pair	0.823380	1.281303	0.642612	0.7890459895133972	0.5796794295310974
01_to_09	pair	0.542032	0.827106	0.655336	0.7806490063667297	0.49108168482780457
01_to_10	pair	0.297646	0.361070	0.824346	0.4992602467536926	0.332814484834671
02_to_01	pair	0.252203	0.338110	0.745919	0.709199845790863	0.8840988278388977
02_to_02	identity	0.028652	0.000000	2865235.507488	nan	nan
02_to_03	pair	0.322430	0.455671	0.707595	0.778531014919281	0.7011926174163818
02_to_04	pair	0.705824	0.968925	0.728461	0.7377874255180359	0.625642716884613
02_to_05	pair	1.134188	1.556096	0.728868	0.7269805669784546	0.5475486516952515
02_to_06	pair	1.093570	1.610087	0.679200	0.77144455909729	0.5978454351425171
02_to_07	pair	1.071229	1.526163	0.701910	0.7279552817344666	0.5434392690658569
02_to_08	pair	0.920513	1.260709	0.730155	0.6901229619979858	0.43578726053237915
02_to_09	pair	0.714404	0.869857	0.821288	0.5319238305091858	0.3346675634384155
02_to_10	pair	0.490255	0.468105	1.047319	0.23860524594783783	0.7045758366584778
03_to_01	pair	0.595928	0.844942	0.705289	0.7561131715774536	0.7695407271385193
03_to_02	pair	0.313629	0.453212	0.692014	0.7812138795852661	0.7581037282943726
03_to_03	identity	0.036735	0.000000	3673464.432359	nan	nan
03_to_04	pair	0.333348	0.429703	0.775763	0.721856951713562	0.645778477191925
03_to_05	pair	0.705219	0.910854	0.774239	0.6761501431465149	0.5524637699127197
03_to_06	pair	0.778040	1.147218	0.678197	0.7212117314338684	0.5719744563102722
03_to_07	pair	0.826607	1.125620	0.734357	0.6475264430046082	0.45632854104042053
03_to_08	pair	0.782917	0.940647	0.832318	0.5450740456581116	0.38297709822654724
03_to_09	pair	0.764021	0.819166	0.932681	0.4202476441860199	0.5588454604148865
03_to_10	pair	0.726250	0.862746	0.841789	0.5567882657051086	0.7705501914024353
04_to_01	pair	1.014812	1.413851	0.717765	0.7618651986122131	0.6188532114028931
04_to_02	pair	0.653211	0.925565	0.705743	0.7647650241851807	0.6726279854774475
04_to_03	pair	0.300315	0.412765	0.727569	0.7487287521362305	0.7237781882286072
04_to_04	identity	0.036731	0.000000	3673142.939806	nan	nan
04_to_05	pair	0.297555	0.357271	0.832855	0.6439415812492371	0.6304298043251038
04_to_06	pair	0.512333	0.589791	0.868669	0.5384358763694763	0.6144184470176697
04_to_07	pair	0.473742	0.528380	0.896593	0.43379151821136475	0.6094902753829956
04_to_08	pair	0.563096	0.614944	0.915688	0.4489140808582306	0.7153277397155762
04_to_09	pair	0.676866	0.849867	0.796437	0.6094053387641907	0.7934885025024414
04_to_10	pair	0.914370	1.206597	0.757809	0.6902173161506653	0.7177141308784485
05_to_01	pair	1.157492	1.676040	0.690611	0.799508810043335	0.6375901699066162
05_to_02	pair	1.070389	1.497832	0.714626	0.7572473883628845	0.5836116075515747
05_to_03	pair	0.689280	0.892644	0.772179	0.6780606508255005	0.6128333806991577
05_to_04	pair	0.286539	0.359595	0.796838	0.6713608503341675	0.729705274105072
05_to_05	identity	0.041087	0.000000	4108652.472496	nan	nan
05_to_06	pair	0.203763	0.201534	1.011061	0.3049609363079071	0.7094088792800903
05_to_07	pair	0.417033	0.391355	1.065613	0.30333587527275085	0.766912043094635
05_to_08	pair	0.576868	0.699167	0.825079	0.6510676741600037	0.8698275685310364
05_to_09	pair	0.732262	1.032222	0.709403	0.7673349380493164	0.818627119064331
05_to_10	pair	0.932141	1.376377	0.677243	0.79951012134552	0.748849093914032
06_to_01	pair	1.114807	1.707436	0.652913	0.8265462517738342	0.671383798122406
06_to_02	pair	1.051301	1.601101	0.656612	0.8016734719276428	0.611781895160675
06_to_03	pair	0.743701	1.097323	0.677741	0.7329437732696533	0.6072278022766113
06_to_04	pair	0.492558	0.576708	0.854086	0.557667076587677	0.6823179125785828
06_to_05	pair	0.207220	0.203381	1.018879	0.35687971115112305	0.826490581035614
06_to_06	identity	0.042037	0.000000	4203720.390797	nan	nan
06_to_07	pair	0.237969	0.292408	0.813825	0.7122055888175964	0.8749341368675232
06_to_08	pair	0.467117	0.639608	0.730319	0.7784364819526672	0.9430333971977234
06_to_09	pair	0.671549	0.999876	0.671633	0.8116893768310547	0.8642604947090149
06_to_10	pair	0.906467	1.393023	0.650719	0.8270544409751892	0.7648634314537048
07_to_01	pair	1.009319	1.578374	0.639467	0.8265737891197205	0.6041392087936401
07_to_02	pair	1.082014	1.528514	0.707886	0.7505074143409729	0.5034558176994324
07_to_03	pair	0.767600	1.042281	0.736462	0.6607058048248291	0.45769205689430237
07_to_04	pair	0.440782	0.504953	0.872916	0.4621067941188812	0.5374482870101929
07_to_05	pair	0.396202	0.403773	0.981250	0.34794920682907104	0.5871611833572388
07_to_06	pair	0.269414	0.314444	0.856794	0.6606140732765198	0.8002458810806274
07_to_07	identity	0.030441	0.000000	3044149.465859	nan	nan
07_to_08	pair	0.275957	0.371718	0.742381	0.7552444934844971	0.9448674321174622
07_to_09	pair	0.447360	0.696751	0.642065	0.8083724975585938	0.9031770825386047
