pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.031307	0.000000	3130673.617125	nan	nan
01_to_02	pair	0.228507	0.342548	0.667082	0.7677463889122009	0.7410034537315369
01_to_03	pair	0.572420	0.872194	0.656299	0.7919076681137085	0.7197223901748657
01_to_04	pair	1.051141	1.491833	0.704597	0.7284753322601318	0.6238807439804077
01_to_05	pair	1.233052	1.764018	0.699002	0.7660714983940125	0.6148396134376526
01_to_06	pair	1.214832	1.788058	0.679414	0.790523111820221	0.6430080533027649
01_to_07	pair	0.983547	1.575479	0.624285	0.8186817169189453	0.6876726746559143
01_to_08	pair	0.760935	1.281303	0.593876	0.8290091753005981	0.6416716575622559
01_to_09	pair	0.472350	0.827106	0.571087	0.8424786329269409	0.6234720945358276
01_to_10	pair	0.246072	0.361070	0.681508	0.8251070380210876	0.4271572232246399
02_to_01	pair	0.226835	0.338110	0.670891	0.7628753185272217	0.799507200717926
02_to_02	identity	0.036246	0.000000	3624609.112740	nan	nan
02_to_03	pair	0.296657	0.455671	0.651033	0.8249284029006958	0.8252092599868774
02_to_04	pair	0.658829	0.968925	0.679959	0.7630544304847717	0.6657863259315491
02_to_05	pair	1.117578	1.556096	0.718194	0.7292037606239319	0.5570210814476013
02_to_06	pair	1.093007	1.610087	0.678850	0.7789205312728882	0.6013935208320618
02_to_07	pair	1.027962	1.526163	0.673560	0.7622389197349548	0.6218921542167664
02_to_08	pair	0.831778	1.260709	0.659770	0.7615562677383423	0.5614935755729675
02_to_09	pair	0.613413	0.869857	0.705188	0.7389587759971619	0.4248252511024475
02_to_10	pair	0.413087	0.468105	0.882467	0.43878671526908875	0.4364001452922821
03_to_01	pair	0.506704	0.844942	0.599691	0.8266180753707886	0.815813422203064
03_to_02	pair	0.274420	0.453212	0.605501	0.8449546098709106	0.8062134981155396
03_to_03	identity	0.038551	0.000000	3855139.762163	nan	nan
03_to_04	pair	0.310818	0.429703	0.723331	0.7638784646987915	0.6838241815567017
03_to_05	pair	0.682951	0.910854	0.749792	0.6927775740623474	0.5235602259635925
03_to_06	pair	0.789035	1.147218	0.687781	0.7307526469230652	0.5346788167953491
03_to_07	pair	0.787988	1.125620	0.700048	0.6961528062820435	0.5074979662895203
03_to_08	pair	0.730223	0.940647	0.776298	0.6697611808776855	0.3999868631362915
03_to_09	pair	0.698009	0.819166	0.852097	0.5566032528877258	0.4615846872329712
03_to_10	pair	0.685297	0.862746	0.794320	0.6018699407577515	0.696315586566925
04_to_01	pair	0.964730	1.413851	0.682342	0.7490732073783875	0.6491992473602295
04_to_02	pair	0.575297	0.925565	0.621564	0.8128619194030762	0.6945908069610596
04_to_03	pair	0.274546	0.412765	0.665140	0.8044142127037048	0.6597186326980591
04_to_04	identity	0.041175	0.000000	4117460.548878	nan	nan
04_to_05	pair	0.282174	0.357271	0.789805	0.6794952154159546	0.6016610860824585
04_to_06	pair	0.486920	0.589791	0.825581	0.5711591243743896	0.5699112415313721
04_to_07	pair	0.451335	0.528380	0.854187	0.4920330047607422	0.6473090648651123
04_to_08	pair	0.577707	0.614944	0.939447	0.34593939781188965	0.5525822639465332
04_to_09	pair	0.700207	0.849867	0.823902	0.5426934957504272	0.6797040104866028
04_to_10	pair	0.922327	1.206597	0.764404	0.6813914179801941	0.6668262481689453
05_to_01	pair	1.155067	1.676040	0.689164	0.7943645119667053	0.6323389410972595
05_to_02	pair	1.065138	1.497832	0.711120	0.751356303691864	0.5685731172561646
05_to_03	pair	0.628048	0.892644	0.703582	0.731448769569397	0.544975221157074
05_to_04	pair	0.275782	0.359595	0.766922	0.7009720206260681	0.5567684769630432
05_to_05	identity	0.045910	0.000000	4590965.807438	nan	nan
05_to_06	pair	0.197042	0.201534	0.977709	0.37336936593055725	0.7396371364593506
05_to_07	pair	0.452628	0.391355	1.156568	-0.021711815148591995	0.5536825060844421
05_to_08	pair	0.649756	0.699167	0.929329	0.475892573595047	0.6134307980537415
05_to_09	pair	0.771393	1.032222	0.747313	0.725407063961029	0.68889981508255
05_to_10	pair	0.933770	1.376377	0.678426	0.7959742546081543	0.6760895848274231
06_to_01	pair	1.177246	1.707436	0.689481	0.8021204471588135	0.6495205163955688
06_to_02	pair	1.107611	1.601101	0.691781	0.781688928604126	0.5841906666755676
06_to_03	pair	0.759243	1.097323	0.691905	0.7320241332054138	0.5492032170295715
06_to_04	pair	0.438401	0.576708	0.760178	0.6341164708137512	0.5748738050460815
06_to_05	pair	0.182997	0.203381	0.899776	0.3977320194244385	0.6635754704475403
06_to_06	identity	0.045912	0.000000	4591173.306108	nan	nan
06_to_07	pair	0.302675	0.292408	1.035110	0.42369791865348816	0.5225369334220886
06_to_08	pair	0.552324	0.639608	0.863536	0.6734910011291504	0.6757764220237732
06_to_09	pair	0.722457	0.999876	0.722547	0.780596911907196	0.7340246438980103
06_to_10	pair	0.915318	1.393023	0.657073	0.8242678046226501	0.6963542103767395
07_to_01	pair	0.984306	1.578374	0.623620	0.8184942603111267	0.6649052500724792
07_to_02	pair	1.033631	1.528514	0.676233	0.7622892260551453	0.6031339168548584
07_to_03	pair	0.704653	1.042281	0.676068	0.7155705690383911	0.572429895401001
07_to_04	pair	0.426736	0.504953	0.845100	0.4847920835018158	0.6835813522338867
07_to_05	pair	0.445684	0.403773	1.103799	0.0058593121357262135	0.5565776228904724
07_to_06	pair	0.291981	0.314444	0.928564	0.5297914743423462	0.5291791558265686
07_to_07	identity	0.056368	0.000000	5636825.785041	nan	nan
07_to_08	pair	0.296506	0.371718	0.797664	0.7320352792739868	0.7434170246124268
07_to_09	pair	0.423898	0.696751	0.608393	0.8525828123092651	0.8783000707626343
07_to_10	pair	0.686369	1.147050	0.598377	0.8375661373138428	0.7429677248001099
08_to_01	pair	0.723043	1.246316	0.580144	0.8486155271530151	0.6677164435386658
08_to_02	pair	0.826206	1.232666	0.670259	0.7660822868347168	0.5492901802062988
08_to_03	pair	0.663521	0.875251	0.758092	0.6857158541679382	0.4443930387496948
08_to_04	pair	0.611724	0.666412	0.917937	0.3358684182167053	0.5608626008033752
08_to_05	pair	0.680174	0.773687	0.879133	0.4932335615158081	0.5991618037223816
08_to_06	pair	0.571956	0.700863	0.816073	0.673595130443573	0.6742541193962097
08_to_07	pair	0.323284	0.424704	0.761197	0.7424994111061096	0.7742165923118591
08_to_08	identity	0.048220	0.000000	4821957.647800	nan	nan
08_to_09	pair	0.274982	0.424864	0.647224	0.8124998807907104	0.7661871910095215
08_to_10	pair	0.448991	0.834100	0.538294	0.867138683795929	0.7801164984703064
09_to_01	pair	0.464208	0.799525	0.580606	0.8500307202339172	0.6211426258087158
09_to_02	pair	0.628252	0.875544	0.717556	0.7431744337081909	0.40403690934181213
09_to_03	pair	0.709121	0.832557	0.851738	0.5643167495727539	0.477526992559433
09_to_04	pair	0.742651	0.868613	0.854985	0.5120401978492737	0.7080507278442383
09_to_05	pair	0.851928	1.095822	0.777433	0.6833181381225586	0.6847333312034607
09_to_06	pair	0.770567	1.054016	0.731076	0.7670338749885559	0.7699460387229919
09_to_07	pair	0.445062	0.710101	0.626759	0.8417908549308777	0.9396836757659912
09_to_08	pair	0.246386	0.400824	0.614699	0.8345497846603394	0.8469884395599365
09_to_09	identity	0.039303	0.000000	3930257.260799	nan	nan
09_to_10	pair	0.235422	0.398637	0.590566	0.8472014665603638	0.8159331679344177
10_to_01	pair	0.240967	0.370034	0.651201	0.7996271252632141	0.5131742358207703
10_to_02	pair	0.430609	0.484084	0.889533	0.444776326417923	0.5427418947219849
10_to_03	pair	0.652172	0.852313	0.765179	0.6483964920043945	0.7438228130340576
10_to_04	pair	0.981257	1.269839	0.772741	0.6481146216392517	0.6764802932739258
10_to_05	pair	1.002566	1.430113	0.701040	0.7623593807220459	0.7119136452674866
10_to_06	pair	0.990427	1.456844	0.679844	0.7974849939346313	0.7596895098686218
10_to_07	pair	0.689787	1.142943	0.603518	0.8366168141365051	0.8866332173347473
10_to_08	pair	0.492525	0.861272	0.571857	0.8343286514282227	0.794097900390625
10_to_09	pair	0.233917	0.422321	0.553883	0.8569921255111694	0.767082691192627
10_to_10	identity	0.041732	0.000000	4173199.459910	nan	nan
