[crb_dec_mse_linear_full128] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/InitialExperiments/Experiment1/networks/generator_crb.py cond_dim=2 im_size=128
[crb_dec_mse_linear_full128] device=cuda:1 | UNetCRBDecoder params=1.07M | loss=lung-masked MSE | no D | CRB=decoder | linear | train 128³ | seed=20260824
[crb_dec_mse_linear_full128] train 810 (810 pairs × 1) | val 90 (90 pairs × 1) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.667663 | val MSE: 0.594518 | total time: 0 hours 4 minutes
Epoch: 2 | train MSE: 0.596142 | val MSE: 0.487832 | total time: 0 hours 8 minutes
Epoch: 3 | train MSE: 0.422998 | val MSE: 0.316477 | total time: 0 hours 12 minutes
Epoch: 4 | train MSE: 0.311993 | val MSE: 0.282863 | total time: 0 hours 16 minutes
Epoch: 5 | train MSE: 0.265963 | val MSE: 0.229955 | total time: 0 hours 20 minutes
Epoch: 6 | train MSE: 0.226156 | val MSE: 0.190959 | total time: 0 hours 24 minutes
Epoch: 7 | train MSE: 0.204573 | val MSE: 0.223573 | total time: 0 hours 28 minutes
Epoch: 8 | train MSE: 0.196918 | val MSE: 0.167730 | total time: 0 hours 32 minutes
Epoch: 9 | train MSE: 0.190377 | val MSE: 0.170761 | total time: 0 hours 36 minutes
Epoch: 10 | train MSE: 0.175017 | val MSE: 0.185706 | total time: 0 hours 40 minutes
Epoch: 11 | train MSE: 0.178941 | val MSE: 0.211469 | total time: 0 hours 44 minutes
Epoch: 12 | train MSE: 0.161799 | val MSE: 0.150982 | total time: 0 hours 48 minutes
Epoch: 13 | train MSE: 0.159076 | val MSE: 0.144716 | total time: 0 hours 52 minutes
Epoch: 14 | train MSE: 0.144822 | val MSE: 0.153125 | total time: 0 hours 56 minutes
Epoch: 15 | train MSE: 0.142092 | val MSE: 0.151041 | total time: 1 hours 0 minutes
Epoch: 16 | train MSE: 0.141890 | val MSE: 0.124995 | total time: 1 hours 4 minutes
Epoch: 17 | train MSE: 0.135119 | val MSE: 0.169701 | total time: 1 hours 8 minutes
Epoch: 18 | train MSE: 0.121303 | val MSE: 0.134902 | total time: 1 hours 12 minutes
Epoch: 19 | train MSE: 0.117196 | val MSE: 0.104191 | total time: 1 hours 16 minutes
Epoch: 20 | train MSE: 0.106851 | val MSE: 0.102466 | total time: 1 hours 20 minutes
Epoch: 21 | train MSE: 0.106441 | val MSE: 0.105330 | total time: 1 hours 24 minutes
Epoch: 22 | train MSE: 0.102808 | val MSE: 0.102839 | total time: 1 hours 28 minutes
Epoch: 23 | train MSE: 0.095553 | val MSE: 0.112429 | total time: 1 hours 32 minutes
Epoch: 24 | train MSE: 0.095123 | val MSE: 0.091807 | total time: 1 hours 36 minutes
Epoch: 25 | train MSE: 0.098326 | val MSE: 0.125949 | total time: 1 hours 41 minutes
Epoch: 26 | train MSE: 0.092779 | val MSE: 0.083722 | total time: 1 hours 46 minutes
Epoch: 27 | train MSE: 0.082901 | val MSE: 0.074518 | total time: 1 hours 50 minutes
Epoch: 28 | train MSE: 0.087156 | val MSE: 0.080256 | total time: 1 hours 55 minutes
Epoch: 29 | train MSE: 0.083959 | val MSE: 0.085472 | total time: 1 hours 59 minutes
Epoch: 30 | train MSE: 0.081335 | val MSE: 0.081503 | total time: 2 hours 4 minutes
Epoch: 31 | train MSE: 0.080181 | val MSE: 0.079437 | total time: 2 hours 10 minutes
Epoch: 32 | train MSE: 0.076334 | val MSE: 0.071631 | total time: 2 hours 15 minutes
Epoch: 33 | train MSE: 0.079532 | val MSE: 0.078058 | total time: 2 hours 20 minutes
Epoch: 34 | train MSE: 0.078476 | val MSE: 0.071010 | total time: 2 hours 26 minutes
