pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.028969	0.000000	2896850.742400	nan	nan
01_to_02	pair	0.454546	0.447823	1.015012	0.30717208981513977	0.33154192566871643
01_to_03	pair	0.781501	0.829436	0.942207	0.4391116499900818	0.541665256023407
01_to_04	pair	0.989717	1.134359	0.872490	0.5324978232383728	0.6520689725875854
01_to_05	pair	1.159432	1.376533	0.842284	0.5863454341888428	0.6606568098068237
01_to_06	pair	1.308993	1.480060	0.884418	0.5292813181877136	0.6530998349189758
01_to_07	pair	0.979101	1.025722	0.954549	0.35038477182388306	0.5975531935691833
01_to_08	pair	0.622890	0.578338	1.077036	0.15141773223876953	0.5828693509101868
01_to_09	pair	0.473194	0.449939	1.051685	0.07320505380630493	0.2908134162425995
01_to_10	pair	0.317244	0.327701	0.968091	0.4346143305301666	0.16603855788707733
02_to_01	pair	0.441323	0.431501	1.022763	0.05858881399035454	0.1640499234199524
02_to_02	identity	0.022472	0.000000	2247243.374586	nan	nan
02_to_03	pair	0.372010	0.339877	1.094544	0.17964887619018555	0.7168095707893372
02_to_04	pair	0.677426	0.666204	1.016844	0.3275162875652313	0.739571213722229
02_to_05	pair	0.865893	0.961574	0.900495	0.5001205205917358	0.7470768690109253
02_to_06	pair	1.010256	1.120894	0.901295	0.4865681827068329	0.6837005019187927
02_to_07	pair	0.899215	0.893062	1.006890	0.23955875635147095	0.4539981186389923
02_to_08	pair	0.821023	0.817818	1.003919	0.14806817471981049	0.2400904893875122
02_to_09	pair	0.929269	0.964438	0.963534	0.43022850155830383	0.18342481553554535
02_to_10	pair	0.820538	0.864478	0.949172	0.5155857801437378	0.24584737420082092
03_to_01	pair	0.747844	0.767947	0.973822	0.3276402950286865	0.36147820949554443
03_to_02	pair	0.349327	0.335414	1.041482	0.08871055394411087	0.4454505443572998
03_to_03	identity	0.021949	0.000000	2194897.830486	nan	nan
03_to_04	pair	0.300885	0.278028	1.082209	0.2237129658460617	0.8249552249908447
03_to_05	pair	0.610532	0.634077	0.962867	0.35251501202583313	0.6254703402519226
03_to_06	pair	0.805661	0.843818	0.954781	0.3372921943664551	0.5359123349189758
03_to_07	pair	0.868020	0.892369	0.972714	0.2514980137348175	0.27272093296051025
03_to_08	pair	0.965876	1.030794	0.937021	0.3712056577205658	0.2951764464378357
03_to_09	pair	1.128132	1.225291	0.920706	0.45115792751312256	0.3903809189796448
03_to_10	pair	0.991518	1.136707	0.872272	0.5698644518852234	0.5182138681411743
04_to_01	pair	0.928626	1.034637	0.897538	0.464846670627594	0.5053200721740723
04_to_02	pair	0.632460	0.631874	1.000928	0.2625288665294647	0.5489761233329773
04_to_03	pair	0.272637	0.269645	1.011096	0.16150535643100739	0.4499833285808563
04_to_04	identity	0.029538	0.000000	2953836.508095	nan	nan
04_to_05	pair	0.351392	0.355905	0.987319	0.22250065207481384	0.4267951548099518
04_to_06	pair	0.567287	0.581101	0.976229	0.24150419235229492	0.3691098392009735
04_to_07	pair	0.671070	0.710622	0.944342	0.3240915834903717	0.2798566222190857
04_to_08	pair	0.963165	1.039110	0.926913	0.39453232288360596	0.48102936148643494
04_to_09	pair	1.270919	1.421536	0.894046	0.47087448835372925	0.5482479929924011
04_to_10	pair	1.090084	1.331572	0.818644	0.6274238228797913	0.6963421702384949
05_to_01	pair	1.087874	1.297444	0.838474	0.5803846120834351	0.6069725751876831
05_to_02	pair	0.800862	0.901576	0.888292	0.4910888373851776	0.6862282752990723
05_to_03	pair	0.572339	0.604926	0.946132	0.34315845370292664	0.47212398052215576
05_to_04	pair	0.322207	0.328734	0.980143	0.18340793251991272	0.2165306806564331
05_to_05	identity	0.031887	0.000000	3188693.150878	nan	nan
05_to_06	pair	0.283160	0.280411	1.009805	0.16172924637794495	0.34487754106521606
05_to_07	pair	0.652313	0.665005	0.980914	0.31173551082611084	0.4101310074329376
05_to_08	pair	1.120176	1.163844	0.962480	0.38769984245300293	0.5813637971878052
05_to_09	pair	1.446434	1.540992	0.938638	0.46320614218711853	0.6297240853309631
05_to_10	pair	1.462926	1.628747	0.898191	0.5164589285850525	0.6892549395561218
06_to_01	pair	1.133223	1.360525	0.832931	0.5969095826148987	0.6714410781860352
06_to_02	pair	0.945652	1.048733	0.901709	0.4907931387424469	0.7044923305511475
06_to_03	pair	0.748166	0.797957	0.937601	0.35958731174468994	0.490671843290329
06_to_04	pair	0.536691	0.560302	0.957860	0.3037760257720947	0.32838940620422363
06_to_05	pair	0.281683	0.280695	1.003518	0.07327945530414581	0.19932161271572113
06_to_06	identity	0.027951	0.000000	2795067.429543	nan	nan
06_to_07	pair	0.503234	0.501644	1.003169	0.3693902790546417	0.5930103659629822
06_to_08	pair	0.964997	1.045940	0.922612	0.5137564539909363	0.6860284209251404
06_to_09	pair	1.301434	1.444469	0.900977	0.5529971718788147	0.6980990171432495
06_to_10	pair	1.424207	1.638795	0.869057	0.5859139561653137	0.7467474937438965
07_to_01	pair	0.956515	0.969443	0.986665	0.3348129987716675	0.6742261052131653
07_to_02	pair	0.877232	0.890027	0.985624	0.32032591104507446	0.4486471116542816
07_to_03	pair	0.834777	0.869321	0.960262	0.32981452345848083	0.2695782780647278
07_to_04	pair	0.684125	0.716917	0.954259	0.3078274428844452	0.2479490488767624
07_to_05	pair	0.667744	0.683762	0.976575	0.3072183132171631	0.32904261350631714
07_to_06	pair	0.511887	0.513857	0.996166	0.3738655149936676	0.5140205025672913
07_to_07	identity	0.026687	0.000000	2668686.397374	nan	nan
07_to_08	pair	0.472173	0.476806	0.990283	0.3838748335838318	0.6674804091453552
07_to_09	pair	0.852808	0.928904	0.918080	0.5171676278114319	0.6441406607627869
07_to_10	pair	0.997517	1.136232	0.877917	0.5627942681312561	0.7117360830307007
08_to_01	pair	0.614191	0.566532	1.084125	0.12244249880313873	0.5927274227142334
08_to_02	pair	0.874586	0.866454	1.009385	0.12739796936511993	0.2590225636959076
08_to_03	pair	1.033002	1.080932	0.955659	0.3442964255809784	0.26968660950660706
08_to_04	pair	1.008455	1.083406	0.930819	0.3880164623260498	0.43240052461624146
08_to_05	pair	1.170623	1.243304	0.941542	0.4096623659133911	0.4835669994354248
08_to_06	pair	1.013137	1.107360	0.914912	0.4985579252243042	0.5767065286636353
08_to_07	pair	0.495444	0.503450	0.984099	0.2894742488861084	0.44988077878952026
08_to_08	identity	0.025050	0.000000	2504984.848201	nan	nan
08_to_09	pair	0.392680	0.401934	0.976977	0.3140776455402374	0.5587172508239746
08_to_10	pair	0.593384	0.645302	0.919545	0.48215240240097046	0.7376843094825745
09_to_01	pair	0.491454	0.464037	1.059084	0.07281013578176498	0.305563747882843
09_to_02	pair	0.995972	1.021825	0.974699	0.35745975375175476	0.21297459304332733
09_to_03	pair	1.195324	1.288791	0.927477	0.44480448961257935	0.390341192483902
09_to_04	pair	1.369635	1.518135	0.902183	0.47512057423591614	0.4791381359100342
09_to_05	pair	1.518162	1.673055	0.907419	0.497013121843338	0.5404564142227173
09_to_06	pair	1.393909	1.567132	0.889465	0.54304039478302	0.5904852151870728
09_to_07	pair	0.931540	0.990646	0.940336	0.44115275144577026	0.5192251205444336
09_to_08	pair	0.411200	0.416325	0.987689	0.2686651051044464	0.48688921332359314
09_to_09	identity	0.024514	0.000000	2451376.616955	nan	nan
09_to_10	pair	0.246615	0.215394	1.144949	0.20345401763916016	0.8206044435501099
10_to_01	pair	0.336374	0.339979	0.989397	0.3291073143482208	0.2964462637901306
10_to_02	pair	0.865241	0.923162	0.937258	0.47092732787132263	0.35887718200683594
