pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.024667	0.000000	2466654.032469	nan	nan
01_to_02	pair	0.375942	0.383169	0.981140	0.3375564515590668	0.49365824460983276
01_to_03	pair	1.111179	1.230852	0.902773	0.4339725375175476	0.35512781143188477
01_to_04	pair	1.429870	1.645525	0.868944	0.5012847781181335	0.40759825706481934
01_to_05	pair	1.526235	1.797984	0.848859	0.5278817415237427	0.47459304332733154
01_to_06	pair	1.546208	1.765300	0.875890	0.5161494016647339	0.5479075908660889
01_to_07	pair	1.244236	1.343949	0.925806	0.4705261290073395	0.6429279446601868
01_to_08	pair	0.775697	0.765092	1.013861	0.3792340159416199	0.6793158054351807
01_to_09	pair	0.435629	0.362947	1.200257	0.0886225476861	0.7443321943283081
01_to_10	pair	0.249500	0.231239	1.078967	-0.12635235488414764	0.29787614941596985
02_to_01	pair	0.353488	0.373688	0.945945	0.36797359585762024	0.3229081630706787
02_to_02	identity	0.024205	0.000000	2420486.509800	nan	nan
02_to_03	pair	0.445489	0.507783	0.877323	0.4992945194244385	0.4682445526123047
02_to_04	pair	0.947153	1.104614	0.857451	0.5036520957946777	0.4261589050292969
02_to_05	pair	1.211971	1.398126	0.866854	0.5004506707191467	0.4877524673938751
02_to_06	pair	1.229062	1.355520	0.906709	0.4790095388889313	0.5901650786399841
02_to_07	pair	1.002130	1.008403	0.993779	0.3610170781612396	0.6622145771980286
02_to_08	pair	0.705524	0.607477	1.161399	0.06011037901043892	0.6405942440032959
02_to_09	pair	0.576855	0.520649	1.107954	-0.0689796581864357	0.4384109079837799
02_to_10	pair	0.607084	0.629724	0.964047	0.3148152530193329	0.26288554072380066
03_to_01	pair	1.052956	1.171499	0.898811	0.4496242105960846	0.3196291923522949
03_to_02	pair	0.425849	0.479957	0.887264	0.5216244459152222	0.38372743129730225
03_to_03	identity	0.032846	0.000000	3284607.827663	nan	nan
03_to_04	pair	0.331360	0.357610	0.926597	0.49025362730026245	0.6463713645935059
03_to_05	pair	0.551016	0.589066	0.935405	0.46881699562072754	0.6650682687759399
03_to_06	pair	0.783785	0.752228	1.041952	0.3031543493270874	0.6689978837966919
03_to_07	pair	0.726293	0.627460	1.157512	0.08235148340463638	0.6355738639831543
03_to_08	pair	0.911254	0.892904	1.020552	0.07648643851280212	0.3143598139286041
03_to_09	pair	1.097530	1.161543	0.944889	0.3422071635723114	0.28056010603904724
03_to_10	pair	1.220297	1.366739	0.892853	0.4650793671607971	0.3350491523742676
04_to_01	pair	1.316558	1.540874	0.854423	0.5187692642211914	0.40432196855545044
04_to_02	pair	0.863458	1.014633	0.851005	0.5249828696250916	0.44267669320106506
04_to_03	pair	0.307796	0.344286	0.894011	0.48241832852363586	0.5098750591278076
04_to_04	identity	0.029885	0.000000	2988458.611071	nan	nan
04_to_05	pair	0.260863	0.247435	1.054269	0.29639363288879395	0.7303110957145691
04_to_06	pair	0.431755	0.386374	1.117452	0.10983313620090485	0.6796087622642517
04_to_07	pair	0.630219	0.609610	1.033808	0.04740810766816139	0.4037623405456543
04_to_08	pair	1.011152	1.075706	0.939989	0.3546988070011139	0.2785661518573761
04_to_09	pair	1.272614	1.437664	0.885196	0.483102947473526	0.3540838956832886
04_to_10	pair	1.420467	1.658634	0.856408	0.5248773097991943	0.4170900881290436
05_to_01	pair	1.408503	1.686764	0.835032	0.5420355200767517	0.49053189158439636
05_to_02	pair	1.083125	1.266736	0.855052	0.515561580657959	0.5217880606651306
05_to_03	pair	0.518655	0.565520	0.917130	0.4624447524547577	0.6324416399002075
05_to_04	pair	0.240644	0.246878	0.974748	0.2812862694263458	0.497321218252182
05_to_05	identity	0.029806	0.000000	2980572.171509	nan	nan
05_to_06	pair	0.260430	0.243390	1.070009	-0.00388218741863966	0.4440706670284271
05_to_07	pair	0.573494	0.600396	0.955193	0.2937121093273163	0.29374751448631287
05_to_08	pair	0.944393	1.071677	0.881230	0.5081333518028259	0.3676169812679291
05_to_09	pair	1.288238	1.524253	0.845160	0.5360575914382935	0.44749972224235535
