pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.022570	0.000000	2256999.351084	nan	nan
01_to_02	pair	0.302650	0.332370	0.910582	0.516105592250824	0.5017139911651611
01_to_03	pair	0.646098	0.755384	0.855323	0.6627286672592163	0.6972188949584961
01_to_04	pair	0.858456	0.981348	0.874772	0.6715869307518005	0.7482783198356628
01_to_05	pair	0.999908	1.136216	0.880033	0.657044529914856	0.7795997858047485
01_to_06	pair	1.037534	1.140912	0.909390	0.6358394622802734	0.8514268398284912
01_to_07	pair	0.904066	0.945656	0.956020	0.6649482846260071	0.9733263254165649
01_to_08	pair	0.726508	0.801626	0.906294	0.662505030632019	0.9346948862075806
01_to_09	pair	0.483224	0.535060	0.903121	0.6102937459945679	0.7371553778648376
01_to_10	pair	0.222901	0.230751	0.965984	0.39972996711730957	0.39183399081230164
02_to_01	pair	0.319658	0.340751	0.938099	0.5062329173088074	0.28164392709732056
02_to_02	identity	0.019266	0.000000	1926579.698920	nan	nan
02_to_03	pair	0.299865	0.330487	0.907343	0.6569038033485413	0.6368435025215149
02_to_04	pair	0.593989	0.685189	0.866897	0.6787613034248352	0.6603997945785522
02_to_05	pair	0.756747	0.878338	0.861567	0.6818504929542542	0.7483385801315308
02_to_06	pair	0.862712	0.987458	0.873670	0.6441874504089355	0.7727135419845581
02_to_07	pair	0.811796	0.917454	0.884835	0.6272768378257751	0.7524124383926392
02_to_08	pair	0.671090	0.757626	0.885781	0.5537526607513428	0.5994471311569214
02_to_09	pair	0.461383	0.500078	0.922620	0.4778003394603729	0.47193077206611633
02_to_10	pair	0.378507	0.390113	0.970250	0.24675698578357697	0.24473288655281067
03_to_01	pair	0.666937	0.771520	0.864446	0.6472882628440857	0.5549498796463013
03_to_02	pair	0.285872	0.341433	0.837269	0.710552453994751	0.6197141408920288
03_to_03	identity	0.038144	0.000000	3814362.362027	nan	nan
03_to_04	pair	0.262877	0.284301	0.924643	0.6992706656455994	0.9884735941886902
03_to_05	pair	0.536415	0.597627	0.897574	0.6143615245819092	0.8028203845024109
03_to_06	pair	0.705398	0.718964	0.981130	0.5439271330833435	0.8568322658538818
