pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.033306	0.000000	3330552.950501	nan	nan
01_to_02	pair	0.302906	0.342548	0.884273	0.5583580732345581	0.7846339344978333
01_to_03	pair	0.721507	0.872194	0.827233	0.6296247839927673	0.6799517869949341
01_to_04	pair	1.144331	1.491833	0.767064	0.6770243048667908	0.5720210075378418
01_to_05	pair	1.283587	1.764018	0.727650	0.7381858825683594	0.5808348059654236
01_to_06	pair	1.180110	1.788058	0.659995	0.8020573854446411	0.628442645072937
01_to_07	pair	0.935042	1.575479	0.593497	0.82977294921875	0.7059996128082275
01_to_08	pair	0.758946	1.281303	0.592323	0.8112064599990845	0.7192665338516235
01_to_09	pair	0.504154	0.827106	0.609540	0.7911731600761414	0.7888281941413879
01_to_10	pair	0.236146	0.361070	0.654017	0.7570754289627075	0.6251513361930847
02_to_01	pair	0.296696	0.338110	0.877513	0.5381309986114502	0.3804442584514618
02_to_02	identity	0.039544	0.000000	3954366.967082	nan	nan
02_to_03	pair	0.346232	0.455671	0.759830	0.7365743517875671	0.7195233702659607
02_to_04	pair	0.742253	0.968925	0.766059	0.7003382444381714	0.6332293152809143
02_to_05	pair	1.150895	1.556096	0.739604	0.7081363201141357	0.5619220733642578
02_to_06	pair	1.060906	1.610087	0.658912	0.7822780609130859	0.6216015815734863
02_to_07	pair	0.994613	1.526163	0.651708	0.7768672704696655	0.6731345653533936
02_to_08	pair	0.825526	1.260709	0.654811	0.7465429306030273	0.6613207459449768
02_to_09	pair	0.625244	0.869857	0.718789	0.673084020614624	0.6783307790756226
02_to_10	pair	0.418641	0.468105	0.894333	0.4329885244369507	0.4137243926525116
03_to_01	pair	0.680103	0.844942	0.804912	0.6719385385513306	0.5144323706626892
03_to_02	pair	0.357313	0.453212	0.788402	0.7362564206123352	0.435889333486557
03_to_03	identity	0.059452	0.000000	5945206.806064	nan	nan
03_to_04	pair	0.328019	0.429703	0.763362	0.7332637310028076	0.7789931893348694
03_to_05	pair	0.702691	0.910854	0.771464	0.6648154854774475	0.6014055609703064
03_to_06	pair	0.742075	1.147218	0.646847	0.7501406669616699	0.6452440023422241
03_to_07	pair	0.796095	1.125620	0.707250	0.6821249127388	0.6478725075721741
03_to_08	pair	0.786044	0.940647	0.835642	0.5525985360145569	0.5802556276321411
03_to_09	pair	0.742432	0.819166	0.906327	0.4402599036693573	0.443227618932724
03_to_10	pair	0.750011	0.862746	0.869330	0.4803718328475952	0.39883002638816833
04_to_01	pair	1.094201	1.413851	0.773916	0.6858442425727844	0.48620161414146423
04_to_02	pair	0.693717	0.925565	0.749507	0.7471652030944824	0.5332432389259338
04_to_03	pair	0.326123	0.412765	0.790095	0.7200089693069458	0.49654391407966614
04_to_04	identity	0.037561	0.000000	3756132.721901	nan	nan
04_to_05	pair	0.286668	0.357271	0.802383	0.6661515831947327	0.707165539264679
04_to_06	pair	0.497170	0.589791	0.842960	0.5823379755020142	0.7380304932594299
04_to_07	pair	0.517173	0.528380	0.978790	0.4328805208206177	0.8867502808570862
04_to_08	pair	0.682157	0.614944	1.109301	0.023505106568336487	0.5723558664321899
04_to_09	pair	0.793350	0.849867	0.933498	0.329099178314209	0.42882853746414185
04_to_10	pair	1.022551	1.206597	0.847467	0.5808565616607666	0.4652281701564789
05_to_01	pair	1.185031	1.676040	0.707042	0.7843124270439148	0.5309417247772217
05_to_02	pair	1.074256	1.497832	0.717207	0.7511605024337769	0.504915714263916
05_to_03	pair	0.702520	0.892644	0.787011	0.6613842248916626	0.47439029812812805
05_to_04	pair	0.296519	0.359595	0.824591	0.65247642993927	0.5025847554206848
05_to_05	identity	0.029373	0.000000	2937347.255647	nan	nan
05_to_06	pair	0.216409	0.201534	1.073806	0.44876667857170105	1.1076138019561768
05_to_07	pair	0.504067	0.391355	1.288006	-0.20127566158771515	0.6787233352661133
05_to_08	pair	0.711693	0.699167	1.017915	0.24539989233016968	0.45730069279670715
05_to_09	pair	0.848745	1.032222	0.822251	0.6509523391723633	0.5132628679275513
05_to_10	pair	1.027759	1.376377	0.746713	0.7449061274528503	0.5539647936820984
06_to_01	pair	1.097616	1.707436	0.642844	0.836784303188324	0.5652581453323364
06_to_02	pair	1.056460	1.601101	0.659833	0.8073598742485046	0.5462193489074707
06_to_03	pair	0.746416	1.097323	0.680215	0.7417754530906677	0.5413647294044495
06_to_04	pair	0.467283	0.576708	0.810258	0.6024079918861389	0.6052548885345459
06_to_05	pair	0.185024	0.203381	0.909745	0.44156569242477417	0.7573949694633484
06_to_06	identity	0.043315	0.000000	4331493.750215	nan	nan
06_to_07	pair	0.326470	0.292408	1.116486	0.1488885134458542	0.508079469203949
06_to_08	pair	0.566274	0.639608	0.885347	0.5848762392997742	0.5349940061569214
06_to_09	pair	0.722133	0.999876	0.722222	0.7620951533317566	0.5951497554779053
06_to_10	pair	0.925695	1.393023	0.664522	0.8097209930419922	0.6114606857299805
07_to_01	pair	0.938126	1.578374	0.594362	0.8360187411308289	0.6034174561500549
07_to_02	pair	0.996270	1.528514	0.651790	0.7819579243659973	0.6121559739112854
07_to_03	pair	0.713735	1.042281	0.684782	0.707223653793335	0.6354361176490784
07_to_04	pair	0.474923	0.504953	0.940528	0.44835808873176575	0.8158555030822754
07_to_05	pair	0.476921	0.403773	1.181161	-0.23955237865447998	0.5251083374023438
07_to_06	pair	0.286828	0.314444	0.912175	0.4767601490020752	0.4071544408798218
07_to_07	identity	0.046507	0.000000	4650676.995516	nan	nan
07_to_08	pair	0.312858	0.371718	0.841654	0.6434053778648376	0.6185945272445679
07_to_09	pair	0.421612	0.696751	0.605112	0.8364458084106445	0.7568347454071045
07_to_10	pair	0.670947	1.147050	0.584932	0.8286685943603516	0.6988953948020935
08_to_01	pair	0.711167	1.246316	0.570615	0.8353205323219299	0.6803701519966125
08_to_02	pair	0.801193	1.232666	0.649968	0.756140947341919	0.6519749164581299
08_to_03	pair	0.704255	0.875251	0.804632	0.58821702003479	0.5643889904022217
08_to_04	pair	0.720308	0.666412	1.080875	-0.005576488561928272	0.5106943845748901
08_to_05	pair	0.774174	0.773687	1.000629	0.19009281694889069	0.4115065634250641
08_to_06	pair	0.603936	0.700863	0.861703	0.587897539138794	0.49748221039772034
08_to_07	pair	0.332365	0.424704	0.782579	0.6934794187545776	0.6147573590278625
08_to_08	identity	0.028468	0.000000	2846825.495362	nan	nan
08_to_09	pair	0.259491	0.424864	0.610762	0.8297402262687683	0.7432477474212646
08_to_10	pair	0.450449	0.834100	0.540041	0.8552168011665344	0.7803381085395813
09_to_01	pair	0.459572	0.799525	0.574806	0.815302848815918	0.6712457537651062
09_to_02	pair	0.608030	0.875544	0.694460	0.7030483484268188	0.548570990562439
09_to_03	pair	0.746013	0.832557	0.896051	0.5024805665016174	0.35502493381500244
09_to_04	pair	0.801287	0.868613	0.922490	0.31926578283309937	0.3892322778701782
09_to_05	pair	0.900883	1.095822	0.822107	0.6326547861099243	0.49477776885032654
09_to_06	pair	0.751146	1.054016	0.712651	0.7630051374435425	0.6371923685073853
09_to_07	pair	0.416313	0.710101	0.586272	0.8486934304237366	0.8312109112739563
09_to_08	pair	0.236423	0.400824	0.589843	0.8440467715263367	0.8447909951210022
09_to_09	identity	0.030279	0.000000	3027934.022248	nan	nan
09_to_10	pair	0.218797	0.398637	0.548862	0.8553200960159302	0.7266122698783875
10_to_01	pair	0.247972	0.370034	0.670133	0.7632441520690918	0.5185531377792358
10_to_02	pair	0.438481	0.484084	0.905794	0.4230591058731079	0.39848461747169495
10_to_03	pair	0.728450	0.852313	0.854675	0.532576858997345	0.43548449873924255
10_to_04	pair	1.040594	1.269839	0.819469	0.6103609204292297	0.47452032566070557
10_to_05	pair	1.055708	1.430113	0.738199	0.7462512850761414	0.5844610333442688
10_to_06	pair	0.981968	1.456844	0.674038	0.7925586104393005	0.6717909574508667
10_to_07	pair	0.655374	1.142943	0.573409	0.8381171822547913	0.8181586265563965
10_to_08	pair	0.496743	0.861272	0.576755	0.8267458081245422	0.8225504159927368
10_to_09	pair	0.250644	0.422321	0.593491	0.8254057765007019	0.7537054419517517
10_to_10	identity	0.024927	0.000000	2492654.696107	nan	nan
