[crb_enc_mse_linear_full128] network_module=/home/abhishek/Voxel_GAN/PopulationStudy/InitialExperiments/Experiment1/networks/generator_crb.py cond_dim=2 im_size=128
[crb_enc_mse_linear_full128] device=cuda:1 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder | linear | train 128³ | seed=20260824
[crb_enc_mse_linear_full128] train 810 (810 pairs × 1) | val 90 (90 pairs × 1) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 1 | train MSE: 0.678326 | val MSE: 0.628681 | total time: 0 hours 4 minutes
Epoch: 2 | train MSE: 0.632956 | val MSE: 0.560901 | total time: 0 hours 7 minutes
Epoch: 3 | train MSE: 0.573251 | val MSE: 0.466406 | total time: 0 hours 11 minutes
Epoch: 4 | train MSE: 0.460516 | val MSE: 0.403421 | total time: 0 hours 15 minutes
Epoch: 5 | train MSE: 0.414045 | val MSE: 0.373939 | total time: 0 hours 19 minutes
Epoch: 6 | train MSE: 0.386901 | val MSE: 0.374660 | total time: 0 hours 23 minutes
Epoch: 7 | train MSE: 0.379940 | val MSE: 0.372356 | total time: 0 hours 27 minutes
Epoch: 8 | train MSE: 0.370759 | val MSE: 0.347638 | total time: 0 hours 31 minutes
Epoch: 9 | train MSE: 0.360178 | val MSE: 0.374953 | total time: 0 hours 35 minutes
Epoch: 10 | train MSE: 0.332649 | val MSE: 0.298120 | total time: 0 hours 39 minutes
Epoch: 11 | train MSE: 0.283011 | val MSE: 0.256609 | total time: 0 hours 43 minutes
Epoch: 12 | train MSE: 0.259771 | val MSE: 0.253049 | total time: 0 hours 47 minutes
Epoch: 13 | train MSE: 0.244618 | val MSE: 0.255543 | total time: 0 hours 51 minutes
Epoch: 14 | train MSE: 0.228256 | val MSE: 0.201421 | total time: 0 hours 55 minutes
Epoch: 15 | train MSE: 0.211032 | val MSE: 0.183199 | total time: 0 hours 58 minutes
Epoch: 16 | train MSE: 0.198368 | val MSE: 0.204353 | total time: 1 hours 2 minutes
Epoch: 17 | train MSE: 0.183004 | val MSE: 0.384336 | total time: 1 hours 6 minutes
Epoch: 18 | train MSE: 0.178745 | val MSE: 0.158610 | total time: 1 hours 10 minutes
Epoch: 19 | train MSE: 0.165959 | val MSE: 0.135993 | total time: 1 hours 14 minutes
Epoch: 20 | train MSE: 0.142098 | val MSE: 0.138756 | total time: 1 hours 18 minutes
Epoch: 21 | train MSE: 0.144065 | val MSE: 0.124181 | total time: 1 hours 22 minutes
Epoch: 22 | train MSE: 0.129406 | val MSE: 0.117113 | total time: 1 hours 26 minutes
