arch	norm	scan	E1_cos	E6_cos	delta_cos	E1_beat	E6_beat	delta_beat
Encoder	minmax	CV_P1_V_01	0.2709	0.3317	+0.0607	63.3	34.4	-28.9
Encoder	minmax	CV_P2_V_01	0.5660	0.5407	-0.0253	96.7	87.8	-8.9
Encoder	minmax	CV_P3_V_01	0.5357	0.5058	-0.0298	83.3	73.3	-10.0
Encoder	minmax	CV_P4_V_01	0.6638	0.6166	-0.0472	98.9	95.6	-3.3
Encoder	minmax	CV_P5_V_01	0.3202	0.5365	+0.2163	82.2	84.4	+2.2
Encoder	minmax	CE_P1_V_01	0.0228	0.3958	+0.3730	37.8	66.7	+28.9
Encoder	minmax	CE_P2_V_01	0.0137	0.2933	+0.2796	24.4	77.8	+53.3
Encoder	minmax	CE_P3_V_01	0.0755	-0.2428	-0.3183	57.8	22.2	-35.6
Encoder	minmax	CE_P4_V_01	0.2072	0.3719	+0.1647	65.6	77.8	+12.2
Encoder	minmax	CE_P5_V_01	0.3242	0.4186	+0.0944	74.4	83.3	+8.9
Encoder	mu	CV_P1_V_01	0.3838	0.3562	-0.0275	72.2	52.2	-20.0
Encoder	mu	CV_P2_V_01	0.5448	0.5093	-0.0355	100.0	66.7	-33.3
Encoder	mu	CV_P3_V_01	0.5623	0.6319	+0.0696	93.3	88.9	-4.4
Encoder	mu	CV_P4_V_01	0.6246	0.6326	+0.0080	92.2	91.1	-1.1
Encoder	mu	CV_P5_V_01	0.5944	0.5975	+0.0031	96.7	95.6	-1.1
Encoder	mu	CE_P1_V_01	0.6333	0.5632	-0.0701	98.9	91.1	-7.8
Encoder	mu	CE_P2_V_01	0.4237	0.3674	-0.0563	75.6	74.4	-1.1
Encoder	mu	CE_P3_V_01	0.4842	0.1219	-0.3622	85.6	75.6	-10.0
Encoder	mu	CE_P4_V_01	0.4105	0.4165	+0.0060	70.0	72.2	+2.2
Encoder	mu	CE_P5_V_01	0.5426	0.4706	-0.0720	81.1	80.0	-1.1
Decoder	minmax	CV_P1_V_01	0.2201	0.2613	+0.0412	34.4	18.9	-15.6
Decoder	minmax	CV_P2_V_01	0.5699	0.6166	+0.0468	100.0	96.7	-3.3
Decoder	minmax	CV_P3_V_01	0.5058	0.5862	+0.0804	73.3	80.0	+6.7
Decoder	minmax	CV_P4_V_01	0.6240	0.6765	+0.0525	92.2	94.4	+2.2
Decoder	minmax	CV_P5_V_01	0.0635	0.4824	+0.4189	61.1	84.4	+23.3
Decoder	minmax	CE_P1_V_01	-0.1154	0.4556	+0.5710	2.2	86.7	+84.4
