experiment	arch	norm	vendor	scan	cos	L1_over_zero	beat
E6	both	minmax	varian	CV_P1_V_01	0.3522	1.1683	26.7
E6	both	minmax	varian	CV_P2_V_01	0.5977	0.8632	97.8
E6	both	minmax	varian	CV_P3_V_01	0.5794	0.8997	78.9
E6	both	minmax	varian	CV_P4_V_01	0.6562	0.7857	91.1
E6	both	minmax	varian	CV_P5_V_01	0.5491	0.8629	87.8
E6	both	minmax	elekta	CE_P1_V_01	0.5053	0.9534	72.2
E6	both	minmax	elekta	CE_P2_V_01	0.3348	1.0375	61.1
E6	both	minmax	elekta	CE_P3_V_01	0.0297	1.0292	32.2
E6	both	minmax	elekta	CE_P4_V_01	0.4124	0.9805	64.4
E6	both	minmax	elekta	CE_P5_V_01	0.4384	0.9276	86.7
E6	both	mu	varian	CV_P1_V_01	0.3969	1.0515	60.0
E6	both	mu	varian	CV_P2_V_01	0.5851	0.9159	86.7
E6	both	mu	varian	CV_P3_V_01	0.6710	0.8276	87.8
E6	both	mu	varian	CV_P4_V_01	0.6927	0.7243	96.7
E6	both	mu	varian	CV_P5_V_01	0.5755	0.8101	96.7
E6	both	mu	elekta	CE_P1_V_01	0.5767	0.8280	93.3
E6	both	mu	elekta	CE_P2_V_01	0.4370	0.9253	78.9
E6	both	mu	elekta	CE_P3_V_01	0.3896	0.9299	93.3
E6	both	mu	elekta	CE_P4_V_01	0.4701	0.9600	71.1
E6	both	mu	elekta	CE_P5_V_01	0.5175	0.8842	81.1
