experiment	arch	norm	vendor	scan	cos	L1_over_zero	beat
E6	encoder	minmax	varian	CV_P1_V_01	0.3317	1.1857	34.4
E6	encoder	minmax	varian	CV_P2_V_01	0.5407	0.9279	87.8
E6	encoder	minmax	varian	CV_P3_V_01	0.5058	0.9263	73.3
E6	encoder	minmax	varian	CV_P4_V_01	0.6166	0.8039	95.6
E6	encoder	minmax	varian	CV_P5_V_01	0.5365	0.8814	84.4
E6	encoder	minmax	elekta	CE_P1_V_01	0.3958	0.9658	66.7
E6	encoder	minmax	elekta	CE_P2_V_01	0.2933	0.9618	77.8
E6	encoder	minmax	elekta	CE_P3_V_01	-0.2428	1.0273	22.2
E6	encoder	minmax	elekta	CE_P4_V_01	0.3719	0.9559	77.8
E6	encoder	minmax	elekta	CE_P5_V_01	0.4186	0.9221	83.3
E6	encoder	mu	varian	CV_P1_V_01	0.3562	1.0702	52.2
E6	encoder	mu	varian	CV_P2_V_01	0.5093	0.9889	66.7
E6	encoder	mu	varian	CV_P3_V_01	0.6319	0.8575	88.9
E6	encoder	mu	varian	CV_P4_V_01	0.6326	0.7743	91.1
E6	encoder	mu	varian	CV_P5_V_01	0.5975	0.8047	95.6
E6	encoder	mu	elekta	CE_P1_V_01	0.5632	0.8632	91.1
E6	encoder	mu	elekta	CE_P2_V_01	0.3674	0.9464	74.4
E6	encoder	mu	elekta	CE_P3_V_01	0.1219	0.9828	75.6
E6	encoder	mu	elekta	CE_P4_V_01	0.4165	0.9739	72.2
E6	encoder	mu	elekta	CE_P5_V_01	0.4706	0.9044	80.0
E6	decoder	minmax	varian	CV_P1_V_01	0.2613	1.3156	18.9
E6	decoder	minmax	varian	CV_P2_V_01	0.6166	0.8594	96.7
E6	decoder	minmax	varian	CV_P3_V_01	0.5862	0.8687	80.0
E6	decoder	minmax	varian	CV_P4_V_01	0.6765	0.7520	94.4
E6	decoder	minmax	varian	CV_P5_V_01	0.4824	0.8814	84.4
E6	decoder	minmax	elekta	CE_P1_V_01	0.4556	0.9329	86.7
E6	decoder	minmax	elekta	CE_P2_V_01	0.2037	1.0312	58.9
E6	decoder	minmax	elekta	CE_P3_V_01	0.2776	0.9493	72.2
E6	decoder	minmax	elekta	CE_P4_V_01	0.3362	0.9811	67.8
E6	decoder	minmax	elekta	CE_P5_V_01	0.4954	0.8857	91.1
E6	decoder	mu	varian	CV_P1_V_01	0.4005	1.0914	50.0
E6	decoder	mu	varian	CV_P2_V_01	0.5824	0.9089	90.0
E6	decoder	mu	varian	CV_P3_V_01	0.6667	0.8208	83.3
E6	decoder	mu	varian	CV_P4_V_01	0.6933	0.7332	96.7
E6	decoder	mu	varian	CV_P5_V_01	0.5964	0.7965	93.3
E6	decoder	mu	elekta	CE_P1_V_01	0.5133	0.8636	98.9
E6	decoder	mu	elekta	CE_P2_V_01	0.3755	0.9445	77.8
E6	decoder	mu	elekta	CE_P3_V_01	0.5180	0.8859	84.4
E6	decoder	mu	elekta	CE_P4_V_01	0.4360	0.9458	73.3
E6	decoder	mu	elekta	CE_P5_V_01	0.5286	0.8686	83.3
E6	both	minmax	varian	CV_P1_V_01	0.3522	1.1683	26.7
E6	both	minmax	varian	CV_P2_V_01	0.5977	0.8632	97.8
E6	both	minmax	varian	CV_P3_V_01	0.5794	0.8997	78.9
E6	both	minmax	varian	CV_P4_V_01	0.6562	0.7857	91.1
E6	both	minmax	varian	CV_P5_V_01	0.5491	0.8629	87.8
E6	both	minmax	elekta	CE_P1_V_01	0.5053	0.9534	72.2
E6	both	minmax	elekta	CE_P2_V_01	0.3348	1.0375	61.1
E6	both	minmax	elekta	CE_P3_V_01	0.0297	1.0292	32.2
E6	both	minmax	elekta	CE_P4_V_01	0.4124	0.9805	64.4
E6	both	minmax	elekta	CE_P5_V_01	0.4384	0.9276	86.7
E6	both	mu	varian	CV_P1_V_01	0.3969	1.0515	60.0
E6	both	mu	varian	CV_P2_V_01	0.5851	0.9159	86.7
E6	both	mu	varian	CV_P3_V_01	0.6710	0.8276	87.8
E6	both	mu	varian	CV_P4_V_01	0.6927	0.7243	96.7
E6	both	mu	varian	CV_P5_V_01	0.5755	0.8101	96.7
E6	both	mu	elekta	CE_P1_V_01	0.5767	0.8280	93.3
E6	both	mu	elekta	CE_P2_V_01	0.4370	0.9253	78.9
E6	both	mu	elekta	CE_P3_V_01	0.3896	0.9299	93.3
E6	both	mu	elekta	CE_P4_V_01	0.4701	0.9600	71.1
E6	both	mu	elekta	CE_P5_V_01	0.5175	0.8842	81.1
