pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.014419	0.000000	1441900.711507	nan	nan
01_to_02	pair	0.599900	0.622080	0.964345	0.3738619089126587	0.14148657023906708
01_to_03	pair	1.356859	1.462762	0.927601	0.49233880639076233	0.18885250389575958
01_to_04	pair	1.885574	2.110929	0.893244	0.5950564742088318	0.22254320979118347
01_to_05	pair	2.126418	2.429275	0.875330	0.6074779033660889	0.2489490509033203
01_to_06	pair	2.122571	2.447153	0.867363	0.5844249129295349	0.2648715376853943
01_to_07	pair	1.732148	1.975930	0.876624	0.5356694459915161	0.25922343134880066
01_to_08	pair	1.234905	1.332699	0.926620	0.41980546712875366	0.19946372509002686
01_to_09	pair	0.396958	0.383811	1.034254	0.20472361147403717	0.3996328115463257
01_to_10	pair	0.209934	0.199995	1.049696	0.14215072989463806	0.30491095781326294
02_to_01	pair	0.490226	0.514415	0.952977	0.5408686399459839	0.15931688249111176
02_to_02	identity	0.018645	0.000000	1864462.718368	nan	nan
02_to_03	pair	0.636170	0.691318	0.920227	0.5090578198432922	0.20491541922092438
02_to_04	pair	1.178609	1.287145	0.915678	0.4753729999065399	0.22086721658706665
02_to_05	pair	1.500008	1.650109	0.909036	0.466165155172348	0.2457629293203354
02_to_06	pair	1.553011	1.723956	0.900841	0.4537126421928406	0.27118879556655884
02_to_07	pair	1.304640	1.398258	0.933047	0.40638092160224915	0.25086984038352966
02_to_08	pair	0.944073	0.946244	0.997706	0.3638385236263275	0.22146570682525635
02_to_09	pair	0.688668	0.655721	1.050246	-0.02371728979051113	0.24620217084884644
02_to_10	pair	0.748016	0.750450	0.996757	0.12879513204097748	0.13166257739067078
03_to_01	pair	1.178456	1.250738	0.942208	0.44024762511253357	0.17783884704113007
03_to_02	pair	0.519618	0.558441	0.930480	0.44434282183647156	0.23450157046318054
03_to_03	identity	0.015539	0.000000	1553927.455097	nan	nan
03_to_04	pair	0.475657	0.488817	0.973078	0.12686224281787872	0.20089778304100037
03_to_05	pair	0.821608	0.849928	0.966680	0.18176910281181335	0.2481348216533661
03_to_06	pair	0.933204	0.990912	0.941763	0.3619871437549591	0.315214067697525
03_to_07	pair	0.946096	0.961677	0.983799	0.4250214993953705	0.2501993775367737
03_to_08	pair	1.142832	1.151181	0.992748	0.3427930474281311	0.17886722087860107
03_to_09	pair	1.298250	1.294425	1.002956	0.08772196620702744	0.13970643281936646
03_to_10	pair	1.452175	1.462267	0.993098	0.13661858439445496	0.10674110800027847
04_to_01	pair	1.684614	1.804450	0.933589	0.41235271096229553	0.17562466859817505
04_to_02	pair	1.035900	1.108390	0.934599	0.3569035828113556	0.24108904600143433
04_to_03	pair	0.422133	0.425303	0.992547	0.12186837196350098	0.27962610125541687
04_to_04	identity	0.015996	0.000000	1599633.134902	nan	nan
04_to_05	pair	0.312702	0.317741	0.984144	0.18991966545581818	0.23905320465564728
04_to_06	pair	0.515923	0.534542	0.965169	0.40203770995140076	0.2566501200199127
04_to_07	pair	0.849791	0.884496	0.960764	0.4901871979236603	0.20588603615760803
04_to_08	pair	1.372055	1.412144	0.971611	0.3823271691799164	0.1381203681230545
04_to_09	pair	1.755806	1.804789	0.972859	0.2477087527513504	0.11985478550195694
04_to_10	pair	1.886373	1.959167	0.962844	0.3089938461780548	0.13050638139247894
05_to_01	pair	1.990458	2.110980	0.942907	0.37760668992996216	0.1718740165233612
05_to_02	pair	1.362678	1.431573	0.951875	0.272590696811676	0.24172988533973694
05_to_03	pair	0.726467	0.731243	0.993469	0.11596439778804779	0.30918464064598083
05_to_04	pair	0.297672	0.287447	1.035570	0.07788291573524475	0.296051561832428
05_to_05	identity	0.019980	0.000000	1997966.133058	nan	nan
05_to_06	pair	0.266335	0.270961	0.982927	0.3542187213897705	0.1841190904378891
05_to_07	pair	0.786460	0.805131	0.976810	0.3716077506542206	0.14622686803340912
05_to_08	pair	1.448144	1.484441	0.975549	0.2937624454498291	0.11643987149000168
05_to_09	pair	1.929168	1.995662	0.966681	0.26403671503067017	0.13709062337875366
05_to_10	pair	2.161841	2.282162	0.947278	0.3710561990737915	0.1752404421567917
06_to_01	pair	1.962220	2.116509	0.927102	0.39962950348854065	0.20860758423805237
06_to_02	pair	1.381394	1.464999	0.942932	0.2985368072986603	0.2637277841567993
06_to_03	pair	0.859939	0.835825	1.028851	0.13690663874149323	0.36683809757232666
06_to_04	pair	0.472681	0.460203	1.027114	0.18140427768230438	0.29930785298347473
06_to_05	pair	0.268005	0.265459	1.009592	0.16363519430160522	0.18918175995349884
06_to_06	identity	0.022928	0.000000	2292809.262872	nan	nan
06_to_07	pair	0.500844	0.507596	0.986697	0.20978952944278717	0.13308395445346832
