pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.018175	0.000000	1817500.032485	nan	nan
01_to_02	pair	0.365475	0.412737	0.885490	0.6206458806991577	0.24882569909095764
01_to_03	pair	1.028945	1.191885	0.863293	0.6161643266677856	0.288848340511322
01_to_04	pair	1.210829	1.453186	0.833224	0.5981189012527466	0.41253042221069336
01_to_05	pair	1.351074	1.552099	0.870481	0.5246366262435913	0.4699789881706238
01_to_06	pair	1.389457	1.503139	0.924371	0.4624719023704529	0.5003261566162109
01_to_07	pair	1.246224	1.333044	0.934871	0.46842649579048157	0.529724657535553
01_to_08	pair	0.993826	1.065695	0.932561	0.45748698711395264	0.4519840180873871
01_to_09	pair	0.680800	0.724359	0.939867	0.375201940536499	0.3021828234195709
01_to_10	pair	0.353777	0.355581	0.994924	0.16867198050022125	0.21418622136116028
02_to_01	pair	0.354274	0.404560	0.875702	0.6187262535095215	0.27714595198631287
02_to_02	identity	0.015597	0.000000	1559743.750840	nan	nan
02_to_03	pair	0.405956	0.502816	0.807364	0.731998860836029	0.3603658378124237
02_to_04	pair	0.616861	0.795878	0.775070	0.6758080720901489	0.49679848551750183
02_to_05	pair	0.853456	1.031234	0.827606	0.5480054616928101	0.5642479658126831
02_to_06	pair	0.979190	1.098740	0.891193	0.47674334049224854	0.5987944602966309
02_to_07	pair	0.893773	1.018315	0.877698	0.47468847036361694	0.6331096291542053
02_to_08	pair	0.772416	0.899736	0.858492	0.46487927436828613	0.49526238441467285
02_to_09	pair	0.649751	0.704035	0.922896	0.4105548560619354	0.29130426049232483
02_to_10	pair	0.410050	0.437902	0.936396	0.38358020782470703	0.26066794991493225
03_to_01	pair	1.007865	1.185975	0.849820	0.5982260704040527	0.31555551290512085
03_to_02	pair	0.410974	0.503510	0.816219	0.7136955261230469	0.36319300532341003
03_to_03	identity	0.014516	0.000000	1451636.757702	nan	nan
03_to_04	pair	0.243515	0.294523	0.826810	0.5238009691238403	0.5957605838775635
03_to_05	pair	0.454017	0.527409	0.860845	0.44603994488716125	0.6715298891067505
03_to_06	pair	0.594851	0.636062	0.935210	0.402940034866333	0.7636733651161194
03_to_07	pair	0.680672	0.707535	0.962033	0.3923187553882599	0.639176607131958
03_to_08	pair	0.744318	0.774707	0.960772	0.37321314215660095	0.3706684708595276
03_to_09	pair	0.829215	0.877174	0.945325	0.39364880323410034	0.24473989009857178
03_to_10	pair	0.955648	1.070336	0.892849	0.5052761435508728	0.2767277657985687
04_to_01	pair	1.202248	1.412139	0.851366	0.5413245558738708	0.42022815346717834
04_to_02	pair	0.590509	0.786776	0.750543	0.6711935997009277	0.5370646119117737
04_to_03	pair	0.237129	0.286574	0.827462	0.5388652682304382	0.6680653691291809
04_to_04	identity	0.015265	0.000000	1526506.710798	nan	nan
04_to_05	pair	0.212359	0.251635	0.843916	0.45809733867645264	0.5620527267456055
04_to_06	pair	0.359896	0.385818	0.932812	0.3663760721683502	0.6171154975891113
04_to_07	pair	0.510658	0.517733	0.986335	0.34804844856262207	0.4899952709674835
04_to_08	pair	0.649720	0.713430	0.910698	0.4450572431087494	0.3475973308086395
04_to_09	pair	0.821953	0.940748	0.873723	0.47702065110206604	0.44541555643081665
04_to_10	pair	1.020791	1.207316	0.845505	0.5308160185813904	0.49906039237976074
05_to_01	pair	1.326477	1.479541	0.896546	0.47059381008148193	0.48217448592185974
05_to_02	pair	0.863476	1.047866	0.824033	0.529546320438385	0.5881120562553406
05_to_03	pair	0.426581	0.513150	0.831298	0.5065906643867493	0.7133859992027283
05_to_04	pair	0.220086	0.255745	0.860569	0.44090163707733154	0.5747209787368774
05_to_05	identity	0.015904	0.000000	1590396.277606	nan	nan
05_to_06	pair	0.175815	0.174867	1.005421	0.2752622365951538	0.4399375021457672
05_to_07	pair	0.357592	0.366271	0.976306	0.32079362869262695	0.39501944184303284
05_to_08	pair	0.561173	0.639597	0.877386	0.4820232689380646	0.5024169683456421
05_to_09	pair	0.800591	0.926330	0.864261	0.5064764618873596	0.640681266784668
05_to_10	pair	1.045511	1.222690	0.855091	0.5361679792404175	0.6594673991203308
06_to_01	pair	1.325778	1.447151	0.916130	0.4701506793498993	0.5373893976211548
06_to_02	pair	0.952787	1.058359	0.900249	0.4595564305782318	0.643029510974884
06_to_03	pair	0.559038	0.619980	0.901704	0.4487297534942627	0.7727423906326294
06_to_04	pair	0.364454	0.387870	0.939629	0.3435710668563843	0.6094201803207397
06_to_05	pair	0.187762	0.180208	1.041917	0.19561529159545898	0.4479897618293762
06_to_06	identity	0.017851	0.000000	1785092.055798	nan	nan
06_to_07	pair	0.256350	0.278678	0.919877	0.40122929215431213	0.37729811668395996
06_to_08	pair	0.505601	0.568413	0.889496	0.4796171486377716	0.6409643292427063
06_to_09	pair	0.795485	0.864153	0.920537	0.48399969935417175	0.7296650409698486
06_to_10	pair	1.091990	1.168822	0.934266	0.4799099564552307	0.7152669429779053
07_to_01	pair	1.127684	1.256112	0.897758	0.5106576681137085	0.5799407362937927
07_to_02	pair	0.823395	0.957234	0.860181	0.4867974519729614	0.6780999302864075
07_to_03	pair	0.653474	0.708565	0.922249	0.442865788936615	0.6502475142478943
07_to_04	pair	0.520560	0.520290	1.000520	0.33198922872543335	0.47255533933639526
07_to_05	pair	0.360745	0.365805	0.986166	0.27588099241256714	0.34356316924095154
07_to_06	pair	0.254798	0.273977	0.929999	0.36828646063804626	0.31089359521865845
07_to_07	identity	0.023249	0.000000	2324940.264225	nan	nan
07_to_08	pair	0.283883	0.286554	0.990678	0.4249976873397827	0.808783233165741
07_to_09	pair	0.609488	0.598864	1.017740	0.4773358702659607	0.9112668037414551
07_to_10	pair	0.920686	0.942381	0.976978	0.47787126898765564	0.7847592234611511
08_to_01	pair	0.906147	1.011727	0.895643	0.5061134099960327	0.5040951371192932
08_to_02	pair	0.726442	0.886881	0.819097	0.48187848925590515	0.5074750781059265
08_to_03	pair	0.705757	0.780059	0.904748	0.47655653953552246	0.390919029712677
08_to_04	pair	0.642247	0.723102	0.888184	0.5084047317504883	0.3462359309196472
08_to_05	pair	0.563422	0.638485	0.882436	0.4840207099914551	0.4510038197040558
08_to_06	pair	0.515957	0.568034	0.908321	0.43311750888824463	0.5223349332809448
08_to_07	pair	0.291083	0.297768	0.977551	0.38789990544319153	0.6910300850868225
08_to_08	identity	0.018782	0.000000	1878229.528666	nan	nan
08_to_09	pair	0.337955	0.326271	1.035810	0.4261752963066101	0.8599357008934021
08_to_10	pair	0.658352	0.677680	0.971479	0.4509940445423126	0.6908190250396729
