pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.016799	0.000000	1679925.061762	nan	nan
01_to_02	pair	0.234731	0.283223	0.828788	0.5897140502929688	0.7014002799987793
01_to_03	pair	0.538806	0.660861	0.815309	0.698688805103302	0.8251102566719055
01_to_04	pair	0.850218	1.085606	0.783174	0.7020049095153809	0.7301185727119446
01_to_05	pair	1.241677	1.570012	0.790871	0.6639099717140198	0.6140924096107483
01_to_06	pair	1.373255	1.730101	0.793743	0.6408369541168213	0.5837069749832153
01_to_07	pair	1.209697	1.504791	0.803897	0.6493693590164185	0.4348675012588501
01_to_08	pair	0.997171	1.185815	0.840916	0.6308513283729553	0.30883195996284485
01_to_09	pair	0.609870	0.712774	0.855630	0.6286352276802063	0.25369518995285034
01_to_10	pair	0.273709	0.287970	0.950476	0.5221986770629883	0.10168418288230896
02_to_01	pair	0.257527	0.285222	0.902898	0.4704992175102234	0.6095404028892517
02_to_02	identity	0.022718	0.000000	2271769.009531	nan	nan
02_to_03	pair	0.327453	0.414510	0.789975	0.6971102952957153	0.6175544857978821
02_to_04	pair	0.712677	0.938574	0.759319	0.7230100631713867	0.5321395397186279
02_to_05	pair	1.089079	1.432481	0.760275	0.7178477644920349	0.4852840006351471
02_to_06	pair	1.275481	1.646454	0.774684	0.6941317915916443	0.45093679428100586
02_to_07	pair	1.295224	1.485985	0.871627	0.5792810320854187	0.27096402645111084
02_to_08	pair	1.110036	1.176280	0.943683	0.32520946860313416	0.18988342583179474
02_to_09	pair	0.795477	0.798624	0.996060	0.13660570979118347	0.1643049269914627
02_to_10	pair	0.463834	0.479502	0.967324	0.1581241637468338	0.3230259120464325
03_to_01	pair	0.519980	0.669161	0.777062	0.7220595479011536	0.6933839917182922
03_to_02	pair	0.326424	0.410394	0.795393	0.6967642903327942	0.5559654831886292
03_to_03	identity	0.017889	0.000000	1788851.246238	nan	nan
03_to_04	pair	0.402693	0.481606	0.836146	0.6809085607528687	0.30313485860824585
03_to_05	pair	0.891174	1.036899	0.859461	0.6356925964355469	0.250423789024353
03_to_06	pair	1.096717	1.270660	0.863108	0.5837934613227844	0.2541351318359375
03_to_07	pair	1.033514	1.154727	0.895029	0.4978807270526886	0.2013530433177948
03_to_08	pair	0.799494	0.835814	0.956546	0.37322545051574707	0.2408519685268402
03_to_09	pair	0.673047	0.733434	0.917665	0.38292399048805237	0.42101073265075684
03_to_10	pair	0.600003	0.702845	0.853677	0.5733212828636169	0.5895549058914185
04_to_01	pair	0.886745	1.132895	0.782724	0.7032094597816467	0.5002416372299194
04_to_02	pair	0.732123	0.931834	0.785680	0.7053400278091431	0.3843722641468048
04_to_03	pair	0.400816	0.458508	0.874174	0.640148401260376	0.22526925802230835
04_to_04	identity	0.014042	0.000000	1404185.686260	nan	nan
04_to_05	pair	0.354802	0.404221	0.877743	0.5664748549461365	0.22951087355613708
04_to_06	pair	0.572262	0.660158	0.866857	0.5200788378715515	0.2766641676425934
04_to_07	pair	0.613680	0.656082	0.935371	0.3270919620990753	0.23418375849723816
04_to_08	pair	0.636939	0.655621	0.971505	0.2540834844112396	0.34668365120887756
04_to_09	pair	0.672829	0.747903	0.899621	0.5246822237968445	0.4431246519088745
04_to_10	pair	0.808838	0.953011	0.848719	0.6229071021080017	0.46925705671310425
05_to_01	pair	1.208165	1.549154	0.779887	0.7357655167579651	0.5210144519805908
05_to_02	pair	1.054512	1.354189	0.778704	0.7465409636497498	0.4127289950847626
05_to_03	pair	0.801987	0.949399	0.844731	0.6638479828834534	0.28222739696502686
05_to_04	pair	0.336463	0.382005	0.880783	0.6498482823371887	0.24176739156246185
05_to_05	identity	0.012015	0.000000	1201485.190541	nan	nan
05_to_06	pair	0.226210	0.234844	0.963231	0.2624325752258301	0.3393919765949249
05_to_07	pair	0.367968	0.401220	0.917125	0.39826682209968567	0.3747493028640747
05_to_08	pair	0.613014	0.669015	0.916294	0.4966560900211334	0.502475917339325
05_to_09	pair	0.824066	1.001919	0.822488	0.6963839530944824	0.5274673104286194
05_to_10	pair	1.050920	1.340010	0.784263	0.735002875328064	0.5291664600372314
06_to_01	pair	1.227904	1.661819	0.738892	0.7262120246887207	0.5699707865715027
