pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.027150	0.000000	2714991.010725	nan	nan
01_to_02	pair	0.231646	0.225848	1.025674	0.2542443871498108	0.5745351314544678
01_to_03	pair	0.684286	0.514921	1.328914	0.40046828985214233	1.3163232803344727
01_to_04	pair	1.177695	0.714543	1.648178	0.41697514057159424	1.639846682548523
01_to_05	pair	1.413897	0.754408	1.874181	0.430142343044281	1.8235732316970825
01_to_06	pair	1.354666	0.742779	1.823780	0.5368434190750122	1.916229248046875
01_to_07	pair	1.373708	0.632931	2.170393	0.23102077841758728	1.9691612720489502
01_to_08	pair	0.637897	0.524817	1.215465	0.2753816545009613	0.9980736374855042
01_to_09	pair	0.463200	0.349547	1.325144	-0.06662319600582123	0.7125765681266785
01_to_10	pair	0.184523	0.160100	1.152552	-0.29705914855003357	0.31777745485305786
02_to_01	pair	0.235296	0.228828	1.028266	0.376884788274765	0.7566065192222595
02_to_02	identity	0.032815	0.000000	3281464.427710	nan	nan
02_to_03	pair	0.264168	0.218714	1.207823	0.5526914596557617	1.4875421524047852
02_to_04	pair	0.623313	0.536150	1.162574	0.5302472710609436	1.3827345371246338
02_to_05	pair	0.879285	0.805199	1.092009	0.5618463158607483	1.1923763751983643
02_to_06	pair	0.972805	0.688857	1.412202	0.45533353090286255	1.3777012825012207
02_to_07	pair	0.825729	0.708678	1.165168	0.46878767013549805	1.1280522346496582
02_to_08	pair	0.600476	0.623101	0.963690	0.29087918996810913	0.3850036561489105
02_to_09	pair	0.549215	0.543702	1.010140	-7.456528692273423e-05	0.15686465799808502
02_to_10	pair	0.517879	0.501835	1.031971	0.11596996337175369	0.34206095337867737
03_to_01	pair	0.725490	0.512375	1.415935	0.4466513693332672	1.4345488548278809
03_to_02	pair	0.276031	0.214379	1.287587	0.5388199090957642	1.503324270248413
03_to_03	identity	0.021361	0.000000	2136149.816215	nan	nan
03_to_04	pair	0.210837	0.239987	0.878535	0.5845502018928528	0.9274091124534607
03_to_05	pair	0.476057	0.579169	0.821966	0.5605510473251343	0.7132509350776672
