pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.015625	0.000000	1562511.734664	nan	nan
01_to_02	pair	0.276789	0.332370	0.832772	0.6198990941047668	0.3598911166191101
01_to_03	pair	0.603652	0.755384	0.799132	0.6735134124755859	0.47807827591896057
01_to_04	pair	0.812661	0.981348	0.828107	0.6440993547439575	0.5793358683586121
01_to_05	pair	1.013260	1.136216	0.891785	0.573707103729248	0.5813077092170715
01_to_06	pair	1.037343	1.140912	0.909223	0.5426037311553955	0.5943713784217834
01_to_07	pair	0.925679	0.945656	0.978875	0.5238704681396484	0.6943291425704956
01_to_08	pair	0.783781	0.801626	0.977739	0.5127851366996765	0.6872860789299011
01_to_09	pair	0.512874	0.535060	0.958536	0.44971001148223877	0.5053983926773071
01_to_10	pair	0.229584	0.230751	0.994945	0.24664562940597534	0.3546035587787628
02_to_01	pair	0.293647	0.340751	0.861764	0.5977453589439392	0.34307757019996643
02_to_02	identity	0.014501	0.000000	1450110.785663	nan	nan
02_to_03	pair	0.272018	0.330487	0.823084	0.6706727743148804	0.5705066323280334
02_to_04	pair	0.571702	0.685189	0.834371	0.6724090576171875	0.5707353949546814
02_to_05	pair	0.757412	0.878338	0.862324	0.6236652135848999	0.6284760236740112
02_to_06	pair	0.893114	0.987458	0.904458	0.5572370886802673	0.6735683083534241
02_to_07	pair	0.849456	0.917454	0.925884	0.5330941081047058	0.6851918697357178
02_to_08	pair	0.678281	0.757626	0.895271	0.4948936700820923	0.595192015171051
02_to_09	pair	0.433872	0.500078	0.867607	0.5247377753257751	0.46898365020751953
02_to_10	pair	0.353793	0.390113	0.906898	0.398325651884079	0.24454663693904877
03_to_01	pair	0.620281	0.771520	0.803973	0.6647939682006836	0.42815372347831726
03_to_02	pair	0.276833	0.341433	0.810797	0.662699282169342	0.5631530284881592
03_to_03	identity	0.013456	0.000000	1345576.066524	nan	nan
03_to_04	pair	0.231121	0.284301	0.812946	0.6732845902442932	0.6164135336875916
03_to_05	pair	0.492789	0.597627	0.824575	0.6343932151794434	0.5613433718681335
03_to_06	pair	0.629281	0.718964	0.875261	0.5715014934539795	0.6402353644371033
03_to_07	pair	0.628948	0.712282	0.883005	0.5545247793197632	0.6054554581642151
03_to_08	pair	0.529514	0.640196	0.827113	0.575484037399292	0.46267610788345337
03_to_09	pair	0.458460	0.567740	0.807518	0.5686566829681396	0.36974430084228516
03_to_10	pair	0.611074	0.692244	0.882744	0.4438951909542084	0.2958734631538391
04_to_01	pair	0.871569	1.033960	0.842943	0.5973823070526123	0.49987050890922546
04_to_02	pair	0.580711	0.706954	0.821427	0.6604189276695251	0.5581391453742981
04_to_03	pair	0.232476	0.280114	0.829936	0.6504577994346619	0.6609311699867249
04_to_04	identity	0.013687	0.000000	1368653.029203	nan	nan
04_to_05	pair	0.186317	0.217313	0.857367	0.5581334829330444	0.5594443678855896
04_to_06	pair	0.367494	0.423867	0.867003	0.5154727101325989	0.5081716775894165
04_to_07	pair	0.436943	0.510701	0.855576	0.5521755814552307	0.47650668025016785
04_to_08	pair	0.488208	0.566209	0.862239	0.4869440495967865	0.37704578042030334
04_to_09	pair	0.605805	0.679994	0.890897	0.43779560923576355	0.4858860671520233
04_to_10	pair	0.778330	0.886294	0.878185	0.535651683807373	0.5308433771133423
05_to_01	pair	1.072206	1.225770	0.874720	0.6028248071670532	0.4924294948577881
05_to_02	pair	0.777245	0.914051	0.850330	0.6468710899353027	0.6008941531181335
05_to_03	pair	0.507297	0.592579	0.856083	0.6082150936126709	0.5773136615753174
05_to_04	pair	0.195454	0.226624	0.862459	0.5449984669685364	0.576060950756073
05_to_05	identity	0.014190	0.000000	1418980.862945	nan	nan
05_to_06	pair	0.128245	0.139715	0.917906	0.4239974319934845	0.5540109872817993
05_to_07	pair	0.256842	0.285406	0.899920	0.4374990463256836	0.6307423114776611
05_to_08	pair	0.457117	0.505923	0.903531	0.5048820972442627	0.5867327451705933
05_to_09	pair	0.687301	0.714716	0.961641	0.5124784111976624	0.7006146311759949
05_to_10	pair	0.924763	1.032469	0.895681	0.6161853671073914	0.624921441078186
06_to_01	pair	1.063919	1.260031	0.844359	0.6149147152900696	0.4913354516029358
06_to_02	pair	0.878546	1.020988	0.860485	0.6012445092201233	0.5910829901695251
06_to_03	pair	0.614703	0.714156	0.860740	0.5619285106658936	0.5868509411811829
