pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.013666	0.000000	1366555.411369	nan	nan
01_to_02	pair	0.212542	0.225848	0.941085	0.4137885272502899	0.2543671131134033
01_to_03	pair	0.482880	0.514921	0.937774	0.408993661403656	0.26771655678749084
01_to_04	pair	0.673093	0.714543	0.941991	0.3917488157749176	0.27540910243988037
01_to_05	pair	0.748915	0.754408	0.992719	0.22505715489387512	0.323219358921051
01_to_06	pair	0.715737	0.742779	0.963593	0.3031146824359894	0.3991454839706421
01_to_07	pair	0.719933	0.632931	1.137460	-0.06816773116588593	0.5103713274002075
01_to_08	pair	0.568146	0.524817	1.082561	0.0629517138004303	0.5314651727676392
01_to_09	pair	0.408401	0.349547	1.168372	-0.345395565032959	0.3373716473579407
01_to_10	pair	0.188005	0.160100	1.174300	-0.39418742060661316	0.2961967885494232
02_to_01	pair	0.214892	0.228828	0.939099	0.40079203248023987	0.2961280643939972
02_to_02	identity	0.010475	0.000000	1047494.914383	nan	nan
02_to_03	pair	0.183455	0.218714	0.838790	0.5966076850891113	0.49270859360694885
02_to_04	pair	0.447635	0.536150	0.834907	0.5628374218940735	0.3472592532634735
02_to_05	pair	0.736128	0.805199	0.914218	0.44823476672172546	0.26872703433036804
02_to_06	pair	0.655008	0.688857	0.950862	0.3045386075973511	0.34797510504722595
02_to_07	pair	0.627738	0.708678	0.885787	0.3955248296260834	0.334307461977005
02_to_08	pair	0.565361	0.623101	0.907335	0.378162145614624	0.24811874330043793
02_to_09	pair	0.554903	0.543702	1.020602	-0.13755421340465546	0.13943758606910706
02_to_10	pair	0.523273	0.501835	1.042719	-0.3365785777568817	0.08344686031341553
03_to_01	pair	0.488147	0.512375	0.952715	0.34799379110336304	0.3317793607711792
03_to_02	pair	0.185645	0.214379	0.865964	0.5407989621162415	0.46751055121421814
03_to_03	identity	0.014741	0.000000	1474061.328918	nan	nan
03_to_04	pair	0.213008	0.239987	0.887583	0.47047609090805054	0.30283376574516296
03_to_05	pair	0.562283	0.579169	0.970844	0.20435240864753723	0.22947292029857635
03_to_06	pair	0.746353	0.758821	0.983570	0.22924210131168365	0.2507752478122711
03_to_07	pair	0.617644	0.640985	0.963587	0.257210910320282	0.22392188012599945
03_to_08	pair	0.677020	0.687064	0.985382	0.18257687985897064	0.1157982349395752
03_to_09	pair	0.694863	0.685678	1.013397	-0.06657509505748749	0.08773821592330933
03_to_10	pair	0.550543	0.540113	1.019310	-0.050155460834503174	0.14681416749954224
04_to_01	pair	0.774149	0.780638	0.991687	0.18811774253845215	0.2662596106529236
04_to_02	pair	0.444496	0.532704	0.834416	0.532355546951294	0.43323907256126404
04_to_03	pair	0.213652	0.237405	0.899948	0.4357853829860687	0.3028663396835327
04_to_04	identity	0.013796	0.000000	1379603.333771	nan	nan
04_to_05	pair	0.227355	0.221504	1.026413	0.012807420454919338	0.25109559297561646
04_to_06	pair	0.508737	0.469833	1.082805	-0.12460021674633026	0.20289143919944763
04_to_07	pair	0.719520	0.704433	1.021417	-0.028516655787825584	0.10330137610435486
04_to_08	pair	0.754875	0.747827	1.009425	-0.02524925023317337	0.08142422884702682
04_to_09	pair	0.755853	0.735433	1.027767	-0.058390259742736816	0.12535637617111206
04_to_10	pair	0.673670	0.672584	1.001615	0.1041603684425354	0.2050364911556244
05_to_01	pair	0.773478	0.749508	1.031981	0.10983560979366302	0.3039150536060333
05_to_02	pair	0.721707	0.826431	0.873282	0.5113584399223328	0.3213239908218384
05_to_03	pair	0.541914	0.588200	0.921311	0.3393537104129791	0.24295678734779358
05_to_04	pair	0.234026	0.225704	1.036873	-0.0648493617773056	0.25471001863479614
05_to_05	identity	0.013022	0.000000	1302213.780582	nan	nan
05_to_06	pair	0.225193	0.218412	1.031045	-0.17130979895591736	0.08202863484621048
05_to_07	pair	0.490236	0.474068	1.034106	-0.2645139694213867	0.09590041637420654
05_to_08	pair	0.671334	0.664968	1.009573	-0.022760938853025436	0.12302545458078384
05_to_09	pair	0.855827	0.808245	1.058871	-0.1556301862001419	0.20685096085071564
05_to_10	pair	0.889137	0.761150	1.168150	-0.10325759649276733	0.39371898770332336
06_to_01	pair	0.736829	0.769175	0.957947	0.31872567534446716	0.40165627002716064
06_to_02	pair	0.637398	0.695616	0.916308	0.3894924223423004	0.37007394433021545
06_to_03	pair	0.729243	0.751114	0.970882	0.2094378024339676	0.24564626812934875
06_to_04	pair	0.537875	0.481160	1.117870	-0.30539920926094055	0.21477091312408447
06_to_05	pair	0.244406	0.215365	1.134847	-0.4451959431171417	0.2031269669532776
06_to_06	identity	0.023528	0.000000	2352814.748883	nan	nan
06_to_07	pair	0.234013	0.226231	1.034398	-0.2280871421098709	0.0995355173945427
06_to_08	pair	0.449772	0.412106	1.091399	-0.19840964674949646	0.25501036643981934
06_to_09	pair	0.762213	0.615277	1.238813	-0.28367242217063904	0.4138856530189514
06_to_10	pair	0.949033	0.721094	1.316102	-0.14114610850811005	0.5877828001976013
07_to_01	pair	0.709037	0.630572	1.124436	-0.018855681642889977	0.516087532043457
07_to_02	pair	0.665018	0.723112	0.919660	0.3300120532512665	0.32858365774154663
07_to_03	pair	0.632547	0.658017	0.961293	0.2875846326351166	0.2553440034389496
07_to_04	pair	0.781982	0.734826	1.064173	-0.22157838940620422	0.13092927634716034
07_to_05	pair	0.519699	0.482989	1.076005	-0.4160458445549011	0.13909776508808136
07_to_06	pair	0.244844	0.230530	1.062092	-0.28891053795814514	0.1592436283826828
07_to_07	identity	0.019629	0.000000	1962880.790234	nan	nan
07_to_08	pair	0.194334	0.144556	1.344351	-0.324931263923645	0.5539152026176453
07_to_09	pair	0.586059	0.343491	1.706187	-0.3591938614845276	0.8947045207023621
07_to_10	pair	0.810742	0.535624	1.513641	-0.23290258646011353	0.7645891308784485
08_to_01	pair	0.585334	0.521193	1.123066	0.05642600730061531	0.631952702999115
08_to_02	pair	0.612554	0.641400	0.955026	0.28566548228263855	0.2755739688873291
08_to_03	pair	0.689222	0.700676	0.983652	0.21312707662582397	0.13873641192913055
08_to_04	pair	0.785783	0.756997	1.038027	-0.2982614040374756	0.08745163679122925
08_to_05	pair	0.717006	0.682894	1.049952	-0.4240451753139496	0.1074448674917221
08_to_06	pair	0.445292	0.416272	1.069712	-0.2760336995124817	0.21309135854244232
08_to_07	pair	0.187280	0.149132	1.255804	-0.322316437959671	0.4727153480052948
08_to_08	identity	0.013544	0.000000	1354421.582073	nan	nan
08_to_09	pair	0.256200	0.154145	1.662066	-0.3122614324092865	0.8917962908744812
08_to_10	pair	0.503690	0.351820	1.431668	-0.4318757653236389	0.5815249085426331
09_to_01	pair	0.433281	0.353080	1.227145	-0.3185669481754303	0.39146357774734497
09_to_02	pair	0.575755	0.554153	1.038983	-0.11677829176187515	0.21868456900119781
09_to_03	pair	0.747514	0.715591	1.044610	-0.3592833876609802	0.09003069996833801
09_to_04	pair	0.791462	0.733661	1.078784	-0.34436172246932983	0.14829397201538086
09_to_05	pair	0.909023	0.838656	1.083904	-0.31416264176368713	0.20114916563034058
09_to_06	pair	0.788049	0.650461	1.211524	-0.31587710976600647	0.3708169460296631
09_to_07	pair	0.539894	0.351880	1.534312	-0.39417970180511475	0.7336121797561646
09_to_08	pair	0.255300	0.148054	1.724367	-0.3289540112018585	0.9359142184257507
09_to_09	identity	0.010021	0.000000	1002060.621977	nan	nan
09_to_10	pair	0.182099	0.152557	1.193649	-0.17050814628601074	0.4447988271713257
10_to_01	pair	0.183082	0.176419	1.037765	-0.14254651963710785	0.16126671433448792
10_to_02	pair	0.505754	0.493838	1.024128	-0.06954566389322281	0.09901372343301773
10_to_03	pair	0.594832	0.614344	0.968239	0.3129602372646332	0.11346138268709183
10_to_04	pair	0.661059	0.683172	0.967631	0.30330362915992737	0.22308166325092316
10_to_05	pair	0.858139	0.785427	1.092576	-0.08994279056787491	0.2979287803173065
10_to_06	pair	1.032209	0.774381	1.332946	-0.2673552930355072	0.5494908690452576
10_to_07	pair	0.858792	0.550172	1.560952	-0.21211214363574982	0.8102332353591919
10_to_08	pair	0.573387	0.353878	1.620296	-0.3215283751487732	0.8477086424827576
10_to_09	pair	0.205284	0.154683	1.327131	-0.28431838750839233	0.5626814961433411
10_to_10	identity	0.018169	0.000000	1816867.105663	nan	nan
