pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.002564	0.000000	256401.253864	nan	nan
01_to_02	pair	1.448968	1.594562	0.908694	0.6481988430023193	0.12488199025392532
01_to_03	pair	2.313713	2.730861	0.847247	0.7549175024032593	0.18351201713085175
01_to_04	pair	2.720318	3.323613	0.818482	0.7638698816299438	0.2151767760515213
01_to_05	pair	3.149439	3.882416	0.811206	0.7649492025375366	0.2274850755929947
01_to_06	pair	2.962361	3.754527	0.789010	0.7678727507591248	0.254027783870697
01_to_07	pair	1.710176	2.357382	0.725455	0.7267237901687622	0.32851704955101013
01_to_08	pair	0.802789	0.871184	0.921492	0.5077630281448364	0.632270872592926
01_to_09	pair	1.153779	1.009387	1.143050	-0.4432617127895355	0.2920137047767639
01_to_10	pair	1.325895	1.274900	1.039999	-0.47641628980636597	0.07062765955924988
02_to_01	pair	1.398622	1.518324	0.921161	0.5685112476348877	0.11736799031496048
02_to_02	identity	0.002147	0.000000	214662.193321	nan	nan
02_to_03	pair	0.557756	0.701696	0.794868	0.6050220131874084	0.35743269324302673
02_to_04	pair	0.950579	1.224711	0.776166	0.6171264052391052	0.3874158561229706
02_to_05	pair	1.192121	1.650748	0.722170	0.6663810014724731	0.3900628685951233
02_to_06	pair	1.178640	1.625805	0.724958	0.6604270339012146	0.4053175747394562
02_to_07	pair	1.001918	1.001369	1.000548	0.3800571858882904	0.5641729235649109
02_to_08	pair	1.738659	1.601063	1.085940	-0.3707300126552582	0.2576734721660614
02_to_09	pair	2.909442	2.837885	1.025215	-0.31945177912712097	0.06566771119832993
02_to_10	pair	3.337692	3.383872	0.986353	0.3256508409976959	0.03461490944027901
03_to_01	pair	2.143301	2.501572	0.856782	0.6184788346290588	0.1974395215511322
03_to_02	pair	0.555827	0.695702	0.798945	0.6019138693809509	0.34735870361328125
03_to_03	identity	0.002023	0.000000	202287.221327	nan	nan
03_to_04	pair	0.338854	0.434311	0.780210	0.6645607948303223	0.4749673008918762
03_to_05	pair	0.623523	0.779038	0.800376	0.6129164099693298	0.3880201280117035
03_to_06	pair	0.794265	0.956586	0.830312	0.479015588760376	0.37195897102355957
