pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.001110	0.000000	111005.222425	nan	nan
01_to_02	pair	0.585002	0.622080	0.940396	0.4129999876022339	0.21923832595348358
01_to_03	pair	1.278945	1.462762	0.874335	0.5342555642127991	0.36492061614990234
01_to_04	pair	1.859662	2.110929	0.880969	0.5463030934333801	0.27156850695610046
01_to_05	pair	2.115899	2.429275	0.871000	0.6290037631988525	0.2579358220100403
01_to_06	pair	2.093494	2.447153	0.855481	0.6331304311752319	0.28486573696136475
01_to_07	pair	1.578795	1.975930	0.799014	0.6422485709190369	0.4036620259284973
01_to_08	pair	1.056418	1.332699	0.792691	0.6013367176055908	0.40834230184555054
01_to_09	pair	0.381821	0.383811	0.994817	0.3809455633163452	0.5772204995155334
01_to_10	pair	0.227491	0.199995	1.137483	-0.12498380988836288	0.2933391332626343
02_to_01	pair	0.449941	0.514415	0.874664	0.6315982937812805	0.2627701461315155
02_to_02	identity	0.002556	0.000000	255644.507706	nan	nan
02_to_03	pair	0.636096	0.691318	0.920120	0.47018250823020935	0.27331531047821045
02_to_04	pair	1.045668	1.287145	0.812393	0.6451419591903687	0.479849249124527
02_to_05	pair	1.380471	1.650109	0.836594	0.5755850672721863	0.4189174473285675
02_to_06	pair	1.478940	1.723956	0.857876	0.5530177354812622	0.29824140667915344
02_to_07	pair	1.209646	1.398258	0.865109	0.5225306153297424	0.3362739086151123
02_to_08	pair	0.899547	0.946244	0.950650	0.4495939016342163	0.3091760277748108
02_to_09	pair	0.648617	0.655721	0.989167	0.21098065376281738	0.28525105118751526
02_to_10	pair	0.684788	0.750450	0.912504	0.4906628429889679	0.2431657612323761
03_to_01	pair	0.980968	1.250738	0.784311	0.7214900851249695	0.42970961332321167
03_to_02	pair	0.514665	0.558441	0.921610	0.611585259437561	0.7943762540817261
03_to_03	identity	0.024964	0.000000	2496360.428631	nan	nan
03_to_04	pair	0.420212	0.488817	0.859652	0.6180687546730042	0.2718717157840729
03_to_05	pair	0.770330	0.849928	0.906348	0.5589996576309204	0.22261667251586914
03_to_06	pair	0.955928	0.990912	0.964695	0.3022671937942505	0.10959316045045853
03_to_07	pair	0.942791	0.961677	0.980362	0.23222069442272186	0.08926612138748169
03_to_08	pair	1.102481	1.151181	0.957696	0.3530738353729248	0.14016041159629822
03_to_09	pair	1.132455	1.294425	0.874871	0.5187228322029114	0.37379878759384155
03_to_10	pair	1.257989	1.462267	0.860301	0.5676244497299194	0.46354860067367554
04_to_01	pair	1.620226	1.804450	0.897906	0.5350456833839417	0.32644733786582947
04_to_02	pair	1.054290	1.108390	0.951191	0.542560875415802	0.7492217421531677
04_to_03	pair	0.351807	0.425303	0.827191	0.6224687099456787	0.5360438227653503
04_to_04	identity	0.025337	0.000000	2533735.521138	nan	nan
04_to_05	pair	0.294122	0.317741	0.925668	0.5049599409103394	0.2174297273159027
04_to_06	pair	0.519213	0.534542	0.971324	0.32750391960144043	0.11648464947938919
04_to_07	pair	0.883562	0.884496	0.998944	0.15230074524879456	0.10737580060958862
04_to_08	pair	1.332332	1.412144	0.943482	0.4224131405353546	0.14568555355072021
04_to_09	pair	1.579964	1.804789	0.875428	0.5175357460975647	0.35160139203071594
04_to_10	pair	1.705578	1.959167	0.870563	0.5492252707481384	0.3892626166343689
05_to_01	pair	1.879310	2.110980	0.890255	0.5211493372917175	0.3994559943675995
05_to_02	pair	1.179826	1.431573	0.824146	0.5870146155357361	0.6117355823516846
05_to_03	pair	0.629076	0.731243	0.860282	0.5408869385719299	0.5226035118103027
05_to_04	pair	0.284041	0.287447	0.988150	0.31870877742767334	0.4372306168079376
05_to_05	identity	0.009497	0.000000	949747.767299	nan	nan
05_to_06	pair	0.276844	0.270961	1.021714	0.21438920497894287	0.20595683157444
05_to_07	pair	0.789509	0.805131	0.980597	0.2525312006473541	0.11414425820112228
05_to_08	pair	1.399011	1.484441	0.942450	0.39557453989982605	0.17844979465007782
05_to_09	pair	1.758217	1.995662	0.881019	0.502818763256073	0.296271950006485
05_to_10	pair	1.977508	2.282162	0.866507	0.5444186925888062	0.3689355254173279
06_to_01	pair	1.868533	2.116509	0.882837	0.5298207998275757	0.37647685408592224
06_to_02	pair	1.227754	1.464999	0.838058	0.5398952960968018	0.45544055104255676
06_to_03	pair	0.784289	0.835825	0.938341	0.354772686958313	0.29306381940841675
