pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.001197	0.000000	119687.721599	nan	nan
01_to_02	pair	0.353926	0.383169	0.923682	0.3931468725204468	0.5111742615699768
01_to_03	pair	1.062958	1.230852	0.863595	0.5210947394371033	0.5013643503189087
01_to_04	pair	1.373216	1.645525	0.834515	0.5721892714500427	0.5444431304931641
01_to_05	pair	1.514444	1.797984	0.842301	0.5820813775062561	0.5636345744132996
01_to_06	pair	1.529120	1.765300	0.866210	0.5806485414505005	0.5950143337249756
01_to_07	pair	1.256609	1.343949	0.935013	0.5193974375724792	0.7137733101844788
01_to_08	pair	0.832622	0.765092	1.088264	0.39129555225372314	0.841503381729126
01_to_09	pair	0.465422	0.362947	1.282342	0.13549956679344177	0.9164355993270874
01_to_10	pair	0.278891	0.231239	1.206071	-0.32748928666114807	0.42477932572364807
02_to_01	pair	0.319898	0.373688	0.856058	0.5248516201972961	0.5203112959861755
02_to_02	identity	0.001296	0.000000	129606.050905	nan	nan
02_to_03	pair	0.433093	0.507783	0.852910	0.5991484522819519	0.5610061883926392
02_to_04	pair	0.925865	1.104614	0.838179	0.5771138668060303	0.515134871006012
02_to_05	pair	1.200279	1.398126	0.858491	0.5735043883323669	0.5551699995994568
02_to_06	pair	1.211728	1.355520	0.893921	0.5671170353889465	0.6604705452919006
02_to_07	pair	1.051917	1.008403	1.043151	0.4178614914417267	0.8003812432289124
02_to_08	pair	0.788857	0.607477	1.298578	0.06161747872829437	0.8472955226898193
02_to_09	pair	0.599026	0.520649	1.150538	0.025375911965966225	0.6126160621643066
02_to_10	pair	0.549047	0.629724	0.871884	0.48143669962882996	0.4773337244987488
03_to_01	pair	0.970334	1.171499	0.828284	0.5655519366264343	0.5596442818641663
03_to_02	pair	0.422360	0.479957	0.879995	0.5928840637207031	0.6706511974334717
03_to_03	identity	0.002937	0.000000	293725.845404	nan	nan
03_to_04	pair	0.296907	0.357610	0.830254	0.5883151292800903	0.4758346974849701
03_to_05	pair	0.536346	0.589066	0.910501	0.5445443391799927	0.6821140050888062
03_to_06	pair	0.772303	0.752228	1.026688	0.3833398222923279	0.6981196999549866
03_to_07	pair	0.771139	0.627460	1.228985	0.07485119253396988	0.7094672322273254
03_to_08	pair	0.842045	0.892904	0.943041	0.40056952834129333	0.4131138324737549
03_to_09	pair	0.914648	1.161543	0.787443	0.6170145869255066	0.5563657283782959
03_to_10	pair	1.077837	1.366739	0.788620	0.6272117495536804	0.5601931214332581
04_to_01	pair	1.200570	1.540874	0.779149	0.6284176707267761	0.6281719207763672
04_to_02	pair	0.827274	1.014633	0.815344	0.604070246219635	0.640329122543335
04_to_03	pair	0.294341	0.344286	0.854931	0.6104210615158081	0.7972753643989563
04_to_04	identity	0.015823	0.000000	1582331.955433	nan	nan
04_to_05	pair	0.237184	0.247435	0.958572	0.36314183473587036	0.49082162976264954
04_to_06	pair	0.456486	0.386374	1.181460	0.09646296501159668	0.7156373858451843
04_to_07	pair	0.617865	0.609610	1.013541	0.22774814069271088	0.48852792382240295
04_to_08	pair	0.826694	1.075706	0.768513	0.6674476265907288	0.5360056161880493
04_to_09	pair	1.097908	1.437664	0.763675	0.6609516739845276	0.5966454148292542
04_to_10	pair	1.270501	1.658634	0.765993	0.6629472970962524	0.5787997841835022
05_to_01	pair	1.332890	1.686764	0.790205	0.6136616468429565	0.6765727996826172
05_to_02	pair	1.082444	1.266736	0.854514	0.586560845375061	0.7266891598701477
05_to_03	pair	0.538145	0.565520	0.951593	0.560843825340271	0.9108264446258545
05_to_04	pair	0.258041	0.246878	1.045213	0.41469207406044006	0.9528180360794067
05_to_05	identity	0.008300	0.000000	829954.631627	nan	nan
05_to_06	pair	0.258334	0.243390	1.061397	0.016047237440943718	0.3758063316345215
05_to_07	pair	0.487532	0.600396	0.812018	0.6075633764266968	0.4882596731185913
05_to_08	pair	0.778154	1.071677	0.726109	0.7179035544395447	0.638121485710144
05_to_09	pair	1.174675	1.524253	0.770656	0.6467319130897522	0.6100310683250427
05_to_10	pair	1.441009	1.862919	0.773522	0.6313011646270752	0.62530118227005
