pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.001509	0.000000	150905.060582	nan	nan
01_to_02	pair	0.322499	0.326654	0.987282	0.50567227602005	0.9401283860206604
01_to_03	pair	0.562099	0.676961	0.830327	0.6918927431106567	0.9921448826789856
01_to_04	pair	0.709504	0.894585	0.793110	0.7165740728378296	1.0396387577056885
01_to_05	pair	0.904299	1.201784	0.752464	0.731107234954834	0.9027263522148132
01_to_06	pair	0.992167	1.387839	0.714901	0.7448676228523254	0.8309434056282043
01_to_07	pair	0.907604	1.127972	0.804633	0.6823760867118835	0.8953993320465088
01_to_08	pair	0.678335	0.859081	0.789605	0.701129674911499	0.9164389371871948
01_to_09	pair	0.469189	0.611380	0.767426	0.7107757925987244	0.6602692008018494
01_to_10	pair	0.319688	0.343676	0.930201	0.38513314723968506	0.2689451575279236
02_to_01	pair	0.333537	0.319704	1.043268	0.48658260703086853	1.0684924125671387
02_to_02	identity	0.001268	0.000000	126795.168035	nan	nan
02_to_03	pair	0.242711	0.338032	0.718013	0.786908745765686	1.050089716911316
02_to_04	pair	0.433998	0.637639	0.680634	0.7762722969055176	0.8912643790245056
02_to_05	pair	0.680871	0.970341	0.701683	0.7568061947822571	0.7154161930084229
02_to_06	pair	0.825018	1.162847	0.709481	0.7518173456192017	0.6518210768699646
02_to_07	pair	0.794785	0.992118	0.801099	0.6721544861793518	0.7607153058052063
02_to_08	pair	0.619553	0.770588	0.804001	0.6372189521789551	0.719039797782898
02_to_09	pair	0.548091	0.625526	0.876207	0.46416065096855164	0.48307710886001587
02_to_10	pair	0.469001	0.401621	1.167771	-0.10745181888341904	0.7417804598808289
03_to_01	pair	0.539392	0.645767	0.835273	0.71444171667099	1.056339979171753
03_to_02	pair	0.235785	0.338703	0.696139	0.7851054072380066	0.9118214249610901
03_to_03	identity	0.001282	0.000000	128197.961021	nan	nan
03_to_04	pair	0.225687	0.298417	0.756280	0.6852041482925415	0.7469146251678467
03_to_05	pair	0.500771	0.629203	0.795882	0.6578684449195862	0.5001116991043091
03_to_06	pair	0.675073	0.854974	0.789584	0.6717718243598938	0.45585039258003235
03_to_07	pair	0.599562	0.731535	0.819594	0.5908371210098267	0.575322151184082
03_to_08	pair	0.539176	0.637704	0.845496	0.5103330612182617	0.5890380144119263
03_to_09	pair	0.558172	0.516075	1.081572	0.2630937695503235	1.0276302099227905
03_to_10	pair	0.663745	0.523410	1.268115	0.3963087499141693	1.4324737787246704
04_to_01	pair	0.683399	0.827395	0.825964	0.709606945514679	1.034116506576538
04_to_02	pair	0.399833	0.577734	0.692071	0.7814500331878662	0.8761051893234253
04_to_03	pair	0.198603	0.279927	0.709481	0.7236750721931458	0.77222740650177
04_to_04	identity	0.001411	0.000000	141135.638114	nan	nan
04_to_05	pair	0.277893	0.348021	0.798495	0.7204492688179016	0.39206022024154663
04_to_06	pair	0.503665	0.627401	0.802781	0.6818656921386719	0.36585375666618347
04_to_07	pair	0.483870	0.580611	0.833381	0.5391877889633179	0.48895642161369324
04_to_08	pair	0.494448	0.546896	0.904099	0.5020508170127869	0.7742385268211365
04_to_09	pair	0.613573	0.506958	1.210304	0.40740084648132324	1.275368332862854
04_to_10	pair	0.750991	0.593922	1.264461	0.5525496006011963	1.5707231760025024
05_to_01	pair	0.757624	1.076548	0.703753	0.8032422065734863	0.9253188371658325
05_to_02	pair	0.647257	0.892070	0.725567	0.7601372599601746	0.7803727388381958
05_to_03	pair	0.450130	0.596326	0.754838	0.7083955407142639	0.5735049843788147
05_to_04	pair	0.261532	0.337035	0.775977	0.7476879358291626	0.411311537027359
05_to_05	identity	0.001822	0.000000	182240.293361	nan	nan
05_to_06	pair	0.204247	0.262211	0.778942	0.6712496280670166	0.3809830844402313
05_to_07	pair	0.334042	0.400074	0.834951	0.5512761473655701	0.5672828555107117
05_to_08	pair	0.455878	0.576863	0.790271	0.6520134806632996	0.7702692747116089
05_to_09	pair	0.623779	0.691442	0.902141	0.6362593770027161	1.099587321281433
05_to_10	pair	0.835037	0.881321	0.947484	0.6664696931838989	1.2016656398773193
06_to_01	pair	0.837867	1.296750	0.646128	0.8414417505264282	0.8301382660865784
06_to_02	pair	0.746161	1.066434	0.699678	0.7762445211410522	0.7641811370849609
06_to_03	pair	0.615707	0.813302	0.757046	0.6936275959014893	0.5204542279243469
06_to_04	pair	0.486873	0.611303	0.796450	0.6836996078491211	0.36815810203552246
06_to_05	pair	0.201223	0.264295	0.761358	0.7171903252601624	0.37785932421684265
06_to_06	identity	0.003066	0.000000	306571.507826	nan	nan
06_to_07	pair	0.279699	0.337161	0.829571	0.5284508466720581	0.3784964680671692
06_to_08	pair	0.422353	0.591531	0.714000	0.7603757977485657	0.6273894906044006
06_to_09	pair	0.575670	0.735652	0.782531	0.7492420673370361	1.024275541305542
06_to_10	pair	0.856512	0.957267	0.894748	0.7233993411064148	1.1388232707977295
07_to_01	pair	0.864822	1.023236	0.845184	0.7129336595535278	1.0176630020141602
07_to_02	pair	0.771465	0.915591	0.842586	0.6369794607162476	0.791168749332428
07_to_03	pair	0.606382	0.719027	0.843337	0.5573108792304993	0.5803707838058472
07_to_04	pair	0.456204	0.567239	0.804254	0.5396982431411743	0.5226876735687256
07_to_05	pair	0.333040	0.412649	0.807078	0.589847981929779	0.5257899165153503
07_to_06	pair	0.294108	0.356046	0.826040	0.650800883769989	0.3131798505783081
07_to_07	identity	0.002958	0.000000	295754.312538	nan	nan
07_to_08	pair	0.255623	0.321638	0.794754	0.6680060625076294	0.8385604023933411
07_to_09	pair	0.515141	0.454655	1.133038	0.6458965539932251	1.4830759763717651
07_to_10	pair	0.745762	0.658376	1.132730	0.6883172988891602	1.4546968936920166
08_to_01	pair	0.645065	0.798644	0.807701	0.6920376420021057	0.8724603056907654
08_to_02	pair	0.555206	0.677410	0.819601	0.5708799362182617	0.6509561538696289
08_to_03	pair	0.506878	0.566289	0.895088	0.40529870986938477	0.7064464688301086
08_to_04	pair	0.521052	0.547156	0.952292	0.4247461259365082	0.8043848276138306
08_to_05	pair	0.505164	0.624736	0.808603	0.5993573665618896	0.7452457547187805
08_to_06	pair	0.458891	0.628526	0.730107	0.722816526889801	0.6332356929779053
08_to_07	pair	0.287644	0.359721	0.799631	0.6611678600311279	0.5079533457756042
08_to_08	identity	0.003408	0.000000	340836.332180	nan	nan
08_to_09	pair	0.314789	0.307789	1.022744	0.5243750810623169	1.1841288805007935
08_to_10	pair	0.603761	0.479025	1.260395	0.5563117861747742	1.484230875968933
09_to_01	pair	0.470133	0.582528	0.807057	0.7103297710418701	0.7384426593780518
09_to_02	pair	0.522395	0.567422	0.920646	0.37255799770355225	0.5191192626953125
09_to_03	pair	0.579404	0.515163	1.124700	0.24326643347740173	1.0651860237121582
09_to_04	pair	0.619840	0.505332	1.226599	0.3920225501060486	1.2910932302474976
09_to_05	pair	0.599938	0.713303	0.841071	0.6531248688697815	1.0478949546813965
09_to_06	pair	0.548323	0.762595	0.719023	0.7402109503746033	0.9030988216400146
09_to_07	pair	0.416290	0.450462	0.924140	0.6972376704216003	1.1968410015106201
09_to_08	pair	0.236247	0.259873	0.909086	0.5640128254890442	0.9051060676574707
09_to_09	identity	0.003631	0.000000	363100.133836	nan	nan
09_to_10	pair	0.284477	0.280902	1.012728	0.5850871205329895	1.019637107849121
10_to_01	pair	0.341976	0.366969	0.931893	0.4644615948200226	0.2590891420841217
10_to_02	pair	0.483890	0.407496	1.187471	-0.09672850370407104	0.800423264503479
10_to_03	pair	0.628487	0.514517	1.221509	0.44909629225730896	1.4640613794326782
10_to_04	pair	0.754678	0.595319	1.267688	0.5169404149055481	1.5962541103363037
10_to_05	pair	0.827570	0.931372	0.888550	0.6638296842575073	1.145937442779541
10_to_06	pair	0.792865	1.024548	0.773868	0.721645712852478	1.0169047117233276
10_to_07	pair	0.665497	0.687737	0.967661	0.6798716187477112	1.209437608718872
10_to_08	pair	0.487117	0.487675	0.998857	0.6257247924804688	1.143375277519226
10_to_09	pair	0.251490	0.302644	0.830976	0.6358395218849182	0.48386695981025696
10_to_10	identity	0.002661	0.000000	266052.270308	nan	nan
