pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.001162	0.000000	116183.445789	nan	nan
01_to_02	pair	0.231549	0.283223	0.817552	0.5552346706390381	0.5620337128639221
01_to_03	pair	0.565321	0.660861	0.855431	0.566959798336029	0.6243640184402466
01_to_04	pair	0.912181	1.085606	0.840250	0.5851856470108032	0.6077185869216919
01_to_05	pair	1.303174	1.570012	0.830041	0.578997015953064	0.496585875749588
01_to_06	pair	1.409184	1.730101	0.814509	0.5767061114311218	0.5066884160041809
01_to_07	pair	1.189543	1.504791	0.790504	0.5927644968032837	0.5473821759223938
01_to_08	pair	0.955491	1.185815	0.805767	0.6351638436317444	0.3842073082923889
01_to_09	pair	0.594819	0.712774	0.834513	0.7050501704216003	0.2558833360671997
01_to_10	pair	0.245883	0.287970	0.853848	0.6560309529304504	0.26175031065940857
02_to_01	pair	0.270464	0.285222	0.948257	0.42965462803840637	0.6539117693901062
02_to_02	identity	0.001920	0.000000	192020.006943	nan	nan
02_to_03	pair	0.337596	0.414510	0.814447	0.6454145312309265	0.4640871584415436
02_to_04	pair	0.803188	0.938574	0.855753	0.5423859357833862	0.4579547643661499
02_to_05	pair	1.181670	1.432481	0.824911	0.5775384902954102	0.46421733498573303
02_to_06	pair	1.315811	1.646454	0.799178	0.5946760177612305	0.5397049784660339
02_to_07	pair	1.222545	1.485985	0.822717	0.6064676642417908	0.35651901364326477
02_to_08	pair	1.057957	1.176280	0.899408	0.6059864163398743	0.19726993143558502
02_to_09	pair	0.832907	0.798624	1.042928	0.16600401699543	0.309115469455719
02_to_10	pair	0.506282	0.479502	1.055848	0.3092861771583557	0.6873986721038818
03_to_01	pair	0.580620	0.669161	0.867683	0.5809400677680969	0.6590374112129211
03_to_02	pair	0.326723	0.410394	0.796120	0.6659877300262451	0.6106542944908142
03_to_03	identity	0.004252	0.000000	425234.949216	nan	nan
03_to_04	pair	0.417351	0.481606	0.866583	0.6173629760742188	0.25230079889297485
03_to_05	pair	0.870212	1.036899	0.839245	0.6124199032783508	0.30879002809524536
03_to_06	pair	1.051759	1.270660	0.827726	0.5850735306739807	0.32606226205825806
03_to_07	pair	0.972271	1.154727	0.841992	0.626977801322937	0.2571927309036255
03_to_08	pair	0.796388	0.835814	0.952830	0.39023977518081665	0.3812434673309326
03_to_09	pair	0.810901	0.733434	1.105622	0.3043437600135803	0.8333860635757446
03_to_10	pair	0.657144	0.702845	0.934976	0.5111560821533203	0.9288893342018127
04_to_01	pair	0.985994	1.132895	0.870331	0.5910122394561768	0.7248345613479614
04_to_02	pair	0.767700	0.931834	0.823859	0.5852880477905273	0.5529329180717468
04_to_03	pair	0.351013	0.458508	0.765554	0.6916712522506714	0.4254617691040039
04_to_04	identity	0.001655	0.000000	165529.572405	nan	nan
04_to_05	pair	0.395431	0.404221	0.978254	0.3501138985157013	0.07180044800043106
04_to_06	pair	0.566810	0.660158	0.858598	0.5880129337310791	0.2894672751426697
04_to_07	pair	0.610856	0.656082	0.931066	0.4398210644721985	0.2224029153585434
04_to_08	pair	0.662345	0.655621	1.010256	0.34480661153793335	0.6699390411376953
04_to_09	pair	0.734078	0.747903	0.981515	0.49731215834617615	0.9543443322181702
04_to_10	pair	0.900536	0.953011	0.944938	0.5843836665153503	0.923420786857605
05_to_01	pair	1.197046	1.549154	0.772710	0.6777664422988892	0.5922520160675049
05_to_02	pair	1.032271	1.354189	0.762280	0.659323513507843	0.5262923836708069
05_to_03	pair	0.763607	0.949399	0.804305	0.5782166719436646	0.48992058634757996
05_to_04	pair	0.300628	0.382005	0.786974	0.637470543384552	0.437482088804245
05_to_05	identity	0.003173	0.000000	317298.411392	nan	nan
05_to_06	pair	0.229905	0.234844	0.978969	0.21662668883800507	0.2413877248764038
05_to_07	pair	0.358757	0.401220	0.894165	0.4049437940120697	0.4826081395149231
05_to_08	pair	0.652611	0.669015	0.975481	0.48500528931617737	0.8007161021232605
05_to_09	pair	0.798116	1.001919	0.796588	0.6466957330703735	0.6951822638511658
05_to_10	pair	1.011367	1.340010	0.754746	0.6878236532211304	0.7088316679000854
06_to_01	pair	1.240884	1.661819	0.746702	0.6835326552391052	0.665593147277832
06_to_02	pair	1.154793	1.592330	0.725222	0.6866410374641418	0.5748157501220703
06_to_03	pair	0.881753	1.163931	0.757564	0.6480628252029419	0.49733665585517883
06_to_04	pair	0.470928	0.610439	0.771458	0.6009560227394104	0.4900815784931183
06_to_05	pair	0.265556	0.263603	1.007410	0.15685619413852692	0.4248298108577728
06_to_06	identity	0.004481	0.000000	448064.412922	nan	nan
06_to_07	pair	0.300510	0.335674	0.895244	0.43465694785118103	0.4506450593471527
06_to_08	pair	0.609656	0.658733	0.925497	0.5581760406494141	0.7850328683853149
06_to_09	pair	0.829122	1.054614	0.786185	0.6744393110275269	0.7500673532485962
06_to_10	pair	1.103516	1.423199	0.775377	0.6744873523712158	0.7431542873382568
07_to_01	pair	1.090832	1.471031	0.741543	0.695868968963623	0.670413613319397
07_to_02	pair	1.088782	1.472531	0.739395	0.7231628894805908	0.4316776692867279
07_to_03	pair	0.856608	1.058171	0.809518	0.6239361763000488	0.36411523818969727
07_to_04	pair	0.528197	0.605979	0.871643	0.5244055390357971	0.39625367522239685
07_to_05	pair	0.356637	0.402618	0.885796	0.35787853598594666	0.46310436725616455
07_to_06	pair	0.318972	0.335235	0.951489	0.32458141446113586	0.3825147747993469
07_to_07	identity	0.007235	0.000000	723489.746451	nan	nan
07_to_08	pair	0.351659	0.398180	0.883166	0.5400867462158203	0.6620959639549255
07_to_09	pair	0.656889	0.785096	0.836699	0.6135699152946472	0.7978696227073669
07_to_10	pair	0.941552	1.198006	0.785932	0.627264678478241	0.6347746849060059
08_to_01	pair	0.867213	1.192448	0.727255	0.7138159871101379	0.5039131045341492
08_to_02	pair	0.894793	1.110239	0.805947	0.6821805238723755	0.32181933522224426
08_to_03	pair	0.716717	0.788081	0.909446	0.4565250277519226	0.35563549399375916
08_to_04	pair	0.587484	0.642230	0.914757	0.444581538438797	0.6688114404678345
08_to_05	pair	0.712359	0.722969	0.985325	0.4133634865283966	0.7078399658203125
08_to_06	pair	0.660515	0.688319	0.959607	0.4860035479068756	0.7623614072799683
08_to_07	pair	0.377375	0.417017	0.904939	0.5194717645645142	0.5180038213729858
08_to_08	identity	0.015608	0.000000	1560786.645859	nan	nan
08_to_09	pair	0.312321	0.402565	0.775828	0.5923936367034912	0.5463262796401978
08_to_10	pair	0.711752	0.799486	0.890262	0.47141024470329285	0.29996588826179504
09_to_01	pair	0.516243	0.677096	0.762437	0.6970239281654358	0.419549822807312
