pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.015272	0.000000	1527211.070061	nan	nan
01_to_02	pair	0.323574	0.332370	0.973535	0.19638530910015106	0.17590028047561646
01_to_03	pair	0.739969	0.755384	0.979594	0.09724786877632141	0.29689282178878784
01_to_04	pair	0.995193	0.981348	1.014109	0.1049109697341919	0.35883697867393494
01_to_05	pair	1.179432	1.136216	1.038035	0.14866602420806885	0.39677730202674866
01_to_06	pair	1.197451	1.140912	1.049556	0.17103922367095947	0.4442320466041565
01_to_07	pair	1.064749	0.945656	1.125937	0.05278429016470909	0.47636833786964417
01_to_08	pair	0.917523	0.801626	1.144578	-0.10862761735916138	0.4459586441516876
01_to_09	pair	0.570613	0.535060	1.066446	-0.06413258612155914	0.31998923420906067
01_to_10	pair	0.231835	0.230751	1.004701	0.06618591398000717	0.21761880815029144
02_to_01	pair	0.351375	0.340751	1.031177	-0.13237428665161133	0.246590718626976
02_to_02	identity	0.016623	0.000000	1662256.941199	nan	nan
02_to_03	pair	0.338144	0.330487	1.023170	0.08166474848985672	0.32778283953666687
02_to_04	pair	0.715483	0.685189	1.044212	0.09120074659585953	0.3683632016181946
02_to_05	pair	0.934127	0.878338	1.063517	0.1350090503692627	0.4242548942565918
02_to_06	pair	1.046761	0.987458	1.060056	0.16962291300296783	0.44567540287971497
02_to_07	pair	0.998942	0.917454	1.088820	0.13840101659297943	0.45687952637672424
02_to_08	pair	0.816482	0.757626	1.077685	0.04882686585187912	0.36990731954574585
02_to_09	pair	0.495580	0.500078	0.991005	0.24807347357273102	0.26810717582702637
02_to_10	pair	0.377138	0.390113	0.966740	0.1953415721654892	0.2576305568218231
03_to_01	pair	0.776062	0.771520	1.005887	0.06949229538440704	0.29688480496406555
03_to_02	pair	0.366291	0.341433	1.072804	-0.02535029500722885	0.3990548253059387
03_to_03	identity	0.018552	0.000000	1855242.066085	nan	nan
03_to_04	pair	0.286566	0.284301	1.007966	0.16335013508796692	0.287235826253891
03_to_05	pair	0.618177	0.597627	1.034385	0.14638790488243103	0.34139302372932434
03_to_06	pair	0.764800	0.718964	1.063752	0.1512499451637268	0.3671700656414032
03_to_07	pair	0.775831	0.712282	1.089220	0.14966608583927155	0.3532068133354187
03_to_08	pair	0.629746	0.640196	0.983677	0.2965269088745117	0.24742497503757477
03_to_09	pair	0.526144	0.567740	0.926734	0.3196675181388855	0.3205016851425171
03_to_10	pair	0.686924	0.692244	0.992315	0.08052952587604523	0.33276626467704773
04_to_01	pair	1.082432	1.033960	1.046881	0.12389260530471802	0.331389844417572
04_to_02	pair	0.739568	0.706954	1.046133	0.15375415980815887	0.35359856486320496
04_to_03	pair	0.306161	0.280114	1.092989	0.07933956384658813	0.43051519989967346
04_to_04	identity	0.023604	0.000000	2360419.370234	nan	nan
04_to_05	pair	0.202002	0.217313	0.929546	0.3703954219818115	0.2738441228866577
04_to_06	pair	0.424221	0.423867	1.000835	0.23710289597511292	0.29347100853919983
04_to_07	pair	0.495886	0.510701	0.970992	0.32664430141448975	0.23588651418685913
04_to_08	pair	0.540955	0.566209	0.955397	0.30077943205833435	0.2886935770511627
04_to_09	pair	0.668719	0.679994	0.983418	0.2246588170528412	0.3566778004169464
