experiment	arm	arch	norm	vendor	scan	cos	L1_over_zero	beat
G160-a0_full	a0_full	encoder	minmax	varian	CV_P1_V_01	0.3904	1.0865	43.3
G160-a0_full	a0_full	encoder	minmax	varian	CV_P2_V_01	0.6109	0.8435	97.8
G160-a0_full	a0_full	encoder	minmax	varian	CV_P3_V_01	0.6125	0.8731	82.2
G160-a0_full	a0_full	encoder	minmax	varian	CV_P4_V_01	0.6661	0.7659	96.7
G160-a0_full	a0_full	encoder	minmax	varian	CV_P5_V_01	0.5571	0.8497	97.8
G160-a0_full	a0_full	encoder	minmax	elekta	CE_P1_V_01	0.4273	0.9823	63.3
G160-a0_full	a0_full	encoder	minmax	elekta	CE_P2_V_01	0.2537	1.0909	32.2
G160-a0_full	a0_full	encoder	minmax	elekta	CE_P3_V_01	0.3578	0.9755	70.0
G160-a0_full	a0_full	encoder	minmax	elekta	CE_P4_V_01	0.4226	0.9343	82.2
G160-a0_full	a0_full	encoder	minmax	elekta	CE_P5_V_01	0.4891	0.9086	88.9
G160-a0_full	a0_full	encoder	mu	varian	CV_P1_V_01	0.2529	1.0215	58.9
G160-a0_full	a0_full	encoder	mu	varian	CV_P2_V_01	0.4098	0.9408	82.2
G160-a0_full	a0_full	encoder	mu	varian	CV_P3_V_01	0.5678	0.8656	86.7
G160-a0_full	a0_full	encoder	mu	varian	CV_P4_V_01	0.5845	0.8409	94.4
G160-a0_full	a0_full	encoder	mu	varian	CV_P5_V_01	0.6092	0.8120	98.9
G160-a0_full	a0_full	encoder	mu	elekta	CE_P1_V_01	0.6103	0.8280	100.0
G160-a0_full	a0_full	encoder	mu	elekta	CE_P2_V_01	0.3866	0.9618	76.7
G160-a0_full	a0_full	encoder	mu	elekta	CE_P3_V_01	0.4691	0.9006	83.3
G160-a0_full	a0_full	encoder	mu	elekta	CE_P4_V_01	0.4442	0.9240	82.2
G160-a0_full	a0_full	encoder	mu	elekta	CE_P5_V_01	0.5826	0.8328	87.8
G160-a0_full	a0_full	decoder	minmax	varian	CV_P1_V_01	0.3660	1.0919	40.0
G160-a0_full	a0_full	decoder	minmax	varian	CV_P2_V_01	0.6032	0.8512	97.8
G160-a0_full	a0_full	decoder	minmax	varian	CV_P3_V_01	0.5811	0.9145	72.2
G160-a0_full	a0_full	decoder	minmax	varian	CV_P4_V_01	0.6460	0.7856	97.8
G160-a0_full	a0_full	decoder	minmax	varian	CV_P5_V_01	0.5583	0.8545	100.0
G160-a0_full	a0_full	decoder	minmax	elekta	CE_P1_V_01	0.0042	1.0314	35.6
G160-a0_full	a0_full	decoder	minmax	elekta	CE_P2_V_01	-0.0677	1.0394	18.9
