pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.000937	0.000000	93720.306177	nan	nan
01_to_02	pair	0.398104	0.447823	0.888975	0.5459066033363342	0.3749486207962036
01_to_03	pair	0.705208	0.829436	0.850226	0.5741490125656128	0.6070164442062378
01_to_04	pair	0.930849	1.134359	0.820595	0.5763517022132874	0.6853060126304626
01_to_05	pair	1.105631	1.376533	0.803200	0.642589271068573	0.6530243754386902
01_to_06	pair	1.181151	1.480060	0.798043	0.6502856612205505	0.6614147424697876
01_to_07	pair	0.896607	1.025722	0.874123	0.5968173146247864	0.9250158071517944
01_to_08	pair	0.705749	0.578338	1.220305	0.3173508644104004	1.0689150094985962
01_to_09	pair	0.607522	0.449939	1.350234	-0.17503489553928375	0.7397480607032776
01_to_10	pair	0.364658	0.327701	1.112776	-0.258796364068985	0.24172209203243256
02_to_01	pair	0.365664	0.431501	0.847423	0.6486924886703491	0.40800023078918457
02_to_02	identity	0.000224	0.000000	22437.938605	nan	nan
02_to_03	pair	0.338104	0.339877	0.994784	0.3496458828449249	0.8450438380241394
02_to_04	pair	0.646694	0.666204	0.970714	0.4223126769065857	0.802693247795105
02_to_05	pair	0.805272	0.961574	0.837452	0.5785214304924011	0.7446616888046265
02_to_06	pair	0.955432	1.120894	0.852384	0.56064373254776	0.7223398685455322
02_to_07	pair	0.921144	0.893062	1.031445	0.40804746747016907	0.7928455471992493
02_to_08	pair	0.973053	0.817818	1.189815	-0.03212381899356842	0.5583744645118713
02_to_09	pair	1.038373	0.964438	1.076661	0.029844658449292183	0.29794368147850037
02_to_10	pair	0.796015	0.864478	0.920805	0.6040393710136414	0.2873051166534424
03_to_01	pair	0.623555	0.767947	0.811976	0.6202231645584106	0.7110406160354614
03_to_02	pair	0.342464	0.335414	1.021021	0.2827308475971222	0.9040529727935791
03_to_03	identity	0.000246	0.000000	24595.498689	nan	nan
03_to_04	pair	0.262330	0.278028	0.943535	0.4808345139026642	0.9194847345352173
03_to_05	pair	0.491251	0.634077	0.774750	0.6480385065078735	0.6984754204750061
03_to_06	pair	0.671735	0.843818	0.796067	0.5957985520362854	0.6805760860443115
03_to_07	pair	0.813009	0.892369	0.911068	0.4754481613636017	0.564145028591156
03_to_08	pair	0.950681	1.030794	0.922280	0.45736390352249146	0.3899683654308319
03_to_09	pair	1.054519	1.225291	0.860628	0.5780857801437378	0.3696155250072479
03_to_10	pair	0.933933	1.136707	0.821613	0.6042789816856384	0.4924107491970062
04_to_01	pair	0.810485	1.034637	0.783352	0.6345850825309753	0.7789937853813171
04_to_02	pair	0.624809	0.631874	0.988819	0.4158114492893219	0.8961305022239685
04_to_03	pair	0.262119	0.269645	0.972089	0.44390252232551575	0.9241909384727478
04_to_04	identity	0.001670	0.000000	167029.572185	nan	nan
04_to_05	pair	0.291696	0.355905	0.819589	0.6027126312255859	0.4576321244239807
04_to_06	pair	0.467943	0.581101	0.805270	0.6075579524040222	0.5553051829338074
04_to_07	pair	0.625798	0.710622	0.880635	0.5168331265449524	0.4872160255908966
04_to_08	pair	0.876276	1.039110	0.843295	0.6040171980857849	0.4218132793903351
04_to_09	pair	1.114591	1.421536	0.784076	0.6858862638473511	0.43374496698379517
04_to_10	pair	0.996575	1.331572	0.748420	0.6657057404518127	0.5903766751289368
05_to_01	pair	0.963680	1.297444	0.742753	0.6846732497215271	0.7334278225898743
05_to_02	pair	0.759560	0.901576	0.842480	0.6029398441314697	0.8623227477073669
05_to_03	pair	0.475071	0.604926	0.785339	0.6381537318229675	0.7422580122947693
05_to_04	pair	0.268024	0.328734	0.815322	0.5894610285758972	0.5007527470588684
05_to_05	identity	0.000972	0.000000	97217.631992	nan	nan
05_to_06	pair	0.257713	0.280411	0.919055	0.3381097614765167	0.4494846761226654
05_to_07	pair	0.579898	0.665005	0.872021	0.5689100027084351	0.4060593545436859
05_to_08	pair	0.954698	1.163844	0.820298	0.6868075132369995	0.4312824606895447
05_to_09	pair	1.217465	1.540992	0.790052	0.7035378217697144	0.4856623411178589
05_to_10	pair	1.234868	1.628747	0.758171	0.6995624899864197	0.587834894657135
06_to_01	pair	1.028051	1.360525	0.755628	0.6923651099205017	0.7170529961585999
06_to_02	pair	0.903776	1.048733	0.861779	0.5582056641578674	0.7629939913749695
06_to_03	pair	0.646183	0.797957	0.809796	0.5792369842529297	0.6712204217910767
06_to_04	pair	0.473888	0.560302	0.845773	0.5404421091079712	0.5422444343566895
06_to_05	pair	0.258774	0.280695	0.921905	0.25832098722457886	0.37776294350624084
06_to_06	identity	0.001003	0.000000	100331.811700	nan	nan
06_to_07	pair	0.452484	0.501644	0.902002	0.5177881121635437	0.4017777740955353
06_to_08	pair	0.879573	1.045940	0.840941	0.6209726333618164	0.4388314187526703
06_to_09	pair	1.147803	1.444469	0.794619	0.6810515522956848	0.5089492201805115
06_to_10	pair	1.277056	1.638795	0.779265	0.6807393431663513	0.5931375622749329
07_to_01	pair	0.891831	0.969443	0.919942	0.5516172051429749	0.9536150097846985
07_to_02	pair	0.920670	0.890027	1.034429	0.41804373264312744	0.7671940922737122
07_to_03	pair	0.806053	0.869321	0.927221	0.46048539876937866	0.5347863435745239
07_to_04	pair	0.630913	0.716917	0.880036	0.5250648856163025	0.43586668372154236
07_to_05	pair	0.591016	0.683762	0.864359	0.6054930090904236	0.3133193552494049
07_to_06	pair	0.459452	0.513857	0.894123	0.5902134776115417	0.2738810181617737
07_to_07	identity	0.000801	0.000000	80095.557496	nan	nan
07_to_08	pair	0.403945	0.476806	0.847189	0.6330754160881042	0.5675053000450134
07_to_09	pair	0.748550	0.928904	0.805842	0.6898759603500366	0.5707229375839233
07_to_10	pair	0.883880	1.136232	0.777904	0.6920127272605896	0.7071751952171326
08_to_01	pair	0.751116	0.566532	1.325815	0.2543996572494507	1.1422277688980103
08_to_02	pair	1.043978	0.866454	1.204886	-0.08324192464351654	0.5448502898216248
08_to_03	pair	0.993100	1.080932	0.918744	0.45826053619384766	0.35296881198883057
08_to_04	pair	0.916490	1.083406	0.845934	0.6132848262786865	0.3684104084968567
08_to_05	pair	1.047948	1.243304	0.842874	0.6773263216018677	0.3300478756427765
08_to_06	pair	0.934427	1.107360	0.843833	0.6555444598197937	0.3468627631664276
08_to_07	pair	0.418311	0.503450	0.830890	0.6762824058532715	0.4264790117740631
08_to_08	identity	0.001040	0.000000	104009.639472	nan	nan
08_to_09	pair	0.334663	0.401934	0.832632	0.6279981136322021	0.582528293132782
08_to_10	pair	0.539442	0.645302	0.835953	0.6363750100135803	0.7613276243209839
09_to_01	pair	0.658252	0.464037	1.418534	-0.2698861062526703	0.7383195757865906
09_to_02	pair	1.092276	1.021825	1.068946	0.030550967901945114	0.2689114212989807
09_to_03	pair	1.144052	1.288791	0.887694	0.5433685183525085	0.30561530590057373
09_to_04	pair	1.247187	1.518135	0.821526	0.6650219559669495	0.3470677137374878
09_to_05	pair	1.373046	1.673055	0.820682	0.6933399438858032	0.35999923944473267
09_to_06	pair	1.268815	1.567132	0.809642	0.7038065791130066	0.39867252111434937
09_to_07	pair	0.798762	0.990646	0.806304	0.6956831812858582	0.4866676926612854
09_to_08	pair	0.331315	0.416325	0.795808	0.6785128712654114	0.55779629945755
09_to_09	identity	0.004437	0.000000	443688.547239	nan	nan
09_to_10	pair	0.278546	0.215394	1.293191	0.292019784450531	1.1482596397399902
10_to_01	pair	0.391317	0.339979	1.151004	-0.23972155153751373	0.3085695505142212
10_to_02	pair	0.850058	0.923162	0.920811	0.6022319197654724	0.27793362736701965
10_to_03	pair	1.022619	1.235784	0.827507	0.6155296564102173	0.458683043718338
10_to_04	pair	1.156254	1.452479	0.796056	0.6414273381233215	0.5372204184532166
10_to_05	pair	1.349229	1.781311	0.757436	0.7210686802864075	0.5044836401939392
10_to_06	pair	1.328768	1.770655	0.750439	0.7244755625724792	0.5413183569908142
10_to_07	pair	0.904322	1.235212	0.732119	0.7208768129348755	0.6601305603981018
10_to_08	pair	0.522135	0.654603	0.797636	0.6773802638053894	0.8540173768997192
10_to_09	pair	0.277191	0.229164	1.209574	0.3369818925857544	1.153724193572998
10_to_10	identity	0.000672	0.000000	67212.636350	nan	nan
