pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.000768	0.000000	76820.974937	nan	nan
01_to_02	pair	0.436436	0.622080	0.701576	0.7776054739952087	0.5949352383613586
01_to_03	pair	1.017457	1.462762	0.695573	0.7929351925849915	0.4809071123600006
01_to_04	pair	1.455353	2.110929	0.689437	0.8033890724182129	0.45830997824668884
01_to_05	pair	1.679699	2.429275	0.691440	0.8076632618904114	0.4441819190979004
01_to_06	pair	1.656465	2.447153	0.676895	0.7979394793510437	0.4538988471031189
01_to_07	pair	1.293445	1.975930	0.654601	0.751753568649292	0.5316078066825867
01_to_08	pair	0.949491	1.332699	0.712457	0.6530437469482422	0.5955536961555481
01_to_09	pair	0.471934	0.383811	1.229601	0.5174309015274048	1.3454115390777588
01_to_10	pair	0.294221	0.199995	1.471140	-0.30240753293037415	0.8250449299812317
02_to_01	pair	0.372995	0.514415	0.725085	0.7767225503921509	0.5551323890686035
02_to_02	identity	0.000537	0.000000	53698.767442	nan	nan
02_to_03	pair	0.442290	0.691318	0.639778	0.8141158819198608	0.5575906038284302
02_to_04	pair	0.846185	1.287145	0.657412	0.8128831386566162	0.49949342012405396
02_to_05	pair	1.097361	1.650109	0.665024	0.8000289797782898	0.4777764081954956
02_to_06	pair	1.128451	1.723956	0.654570	0.7747480869293213	0.4891979694366455
02_to_07	pair	0.977601	1.398258	0.699156	0.6672080755233765	0.5738280415534973
02_to_08	pair	0.924937	0.946244	0.977483	0.43242380023002625	0.5506961345672607
02_to_09	pair	0.788013	0.655721	1.201751	-0.15728861093521118	0.5575096607208252
02_to_10	pair	0.691962	0.750450	0.922062	0.5138888955116272	0.3286247253417969
03_to_01	pair	0.851624	1.250738	0.680897	0.834040641784668	0.5231856107711792
03_to_02	pair	0.357898	0.558441	0.640888	0.8242941498756409	0.6395794153213501
03_to_03	identity	0.000638	0.000000	63788.582338	nan	nan
03_to_04	pair	0.331046	0.488817	0.677240	0.7583271861076355	0.5255275368690491
03_to_05	pair	0.584046	0.849928	0.687172	0.7471874952316284	0.5131775736808777
03_to_06	pair	0.696524	0.990912	0.702912	0.668146014213562	0.5146738290786743
03_to_07	pair	0.916809	0.961677	0.953345	0.4583423435688019	0.4463053047657013
03_to_08	pair	1.106938	1.151181	0.961568	0.35527303814888	0.30074822902679443
03_to_09	pair	1.134647	1.294425	0.876565	0.5557399392127991	0.3348647952079773
03_to_10	pair	1.140329	1.462267	0.779836	0.7559804320335388	0.40479016304016113
04_to_01	pair	1.238848	1.804450	0.686552	0.8166256546974182	0.503070592880249
04_to_02	pair	0.746481	1.108390	0.673482	0.8076736927032471	0.5459067821502686
04_to_03	pair	0.314068	0.425303	0.738458	0.710346519947052	0.5205332040786743
04_to_04	identity	0.002435	0.000000	243493.914604	nan	nan
04_to_05	pair	0.245568	0.317741	0.772855	0.6266499161720276	0.5094122290611267
04_to_06	pair	0.481800	0.534542	0.901333	0.5004722476005554	0.4689671993255615
04_to_07	pair	0.846449	0.884496	0.956985	0.39912980794906616	0.32200613617897034
04_to_08	pair	1.213030	1.412144	0.858998	0.6213713884353638	0.2731110453605652
04_to_09	pair	1.446325	1.804789	0.801382	0.7344232797622681	0.34528255462646484
04_to_10	pair	1.452035	1.959167	0.741149	0.8042400479316711	0.42866450548171997
05_to_01	pair	1.459620	2.110980	0.691442	0.787539005279541	0.4963723123073578
05_to_02	pair	0.957545	1.431573	0.668876	0.7725476622581482	0.5589291453361511
05_to_03	pair	0.532405	0.731243	0.728082	0.6783168315887451	0.5646687150001526
05_to_04	pair	0.250633	0.287447	0.871926	0.4709326922893524	0.5111749172210693
05_to_05	identity	0.001356	0.000000	135590.729769	nan	nan
05_to_06	pair	0.281650	0.270961	1.039450	0.3087925612926483	0.3369303047657013
05_to_07	pair	0.721985	0.805131	0.896730	0.4652106463909149	0.26177239418029785
05_to_08	pair	1.203690	1.484441	0.810871	0.6985442042350769	0.31600460410118103
05_to_09	pair	1.502974	1.995662	0.753121	0.7614394426345825	0.3877039849758148
05_to_10	pair	1.627500	2.282162	0.713139	0.8014897704124451	0.4473363161087036
06_to_01	pair	1.438433	2.116509	0.679625	0.7561520934104919	0.5174113512039185
06_to_02	pair	0.948371	1.464999	0.647353	0.7621783018112183	0.6031757593154907
06_to_03	pair	0.624971	0.835825	0.747729	0.6183719038963318	0.601813018321991
06_to_04	pair	0.437530	0.460203	0.950732	0.4095960557460785	0.5372268557548523
06_to_05	pair	0.276080	0.265459	1.040012	0.1682816743850708	0.3639207184314728
06_to_06	identity	0.001340	0.000000	133999.937680	nan	nan
06_to_07	pair	0.456454	0.507596	0.899247	0.4457218050956726	0.24291618168354034
06_to_08	pair	0.981922	1.255455	0.782124	0.7177969813346863	0.35440292954444885
06_to_09	pair	1.323313	1.833693	0.721666	0.7760820984840393	0.4268244504928589
06_to_10	pair	1.532875	2.208756	0.693999	0.7955790758132935	0.47261783480644226
07_to_01	pair	1.106992	1.667251	0.663963	0.7280279994010925	0.602952778339386
07_to_02	pair	0.862320	1.155751	0.746112	0.626478374004364	0.695015013217926
07_to_03	pair	0.773232	0.789877	0.978927	0.40201717615127563	0.5647508502006531
07_to_04	pair	0.780670	0.828405	0.942378	0.29789799451828003	0.3420764207839966
