pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.000309	0.000000	30929.493369	nan	nan
01_to_02	pair	0.254793	0.283223	0.899619	0.49287402629852295	0.5324000120162964
01_to_03	pair	0.535044	0.660861	0.809616	0.6547991633415222	0.5012889504432678
01_to_04	pair	0.806050	1.085606	0.742489	0.7374846935272217	0.5131135582923889
01_to_05	pair	1.196955	1.570012	0.762386	0.7205854654312134	0.44558584690093994
01_to_06	pair	1.300523	1.730101	0.751704	0.7187608480453491	0.4434279799461365
01_to_07	pair	1.067860	1.504791	0.709640	0.7436529397964478	0.5004451870918274
01_to_08	pair	0.845843	1.185815	0.713300	0.7419443726539612	0.4574502110481262
01_to_09	pair	0.550370	0.712774	0.772152	0.6889635324478149	0.39401277899742126
01_to_10	pair	0.255335	0.287970	0.886671	0.5069860219955444	0.25897929072380066
02_to_01	pair	0.264487	0.285222	0.927300	0.43243178725242615	0.4590778052806854
02_to_02	identity	0.000221	0.000000	22143.452952	nan	nan
02_to_03	pair	0.310106	0.414510	0.748128	0.7525264620780945	0.48214250802993774
02_to_04	pair	0.695318	0.938574	0.740824	0.7596748471260071	0.4412991404533386
02_to_05	pair	1.089245	1.432481	0.760390	0.7399395704269409	0.38754600286483765
02_to_06	pair	1.245975	1.646454	0.756763	0.7402879595756531	0.3806898891925812
02_to_07	pair	1.084855	1.485985	0.730058	0.7310377955436707	0.4128488600254059
02_to_08	pair	0.899262	1.176280	0.764496	0.6994342803955078	0.34747570753097534
02_to_09	pair	0.691409	0.798624	0.865750	0.5717592835426331	0.2578340768814087
02_to_10	pair	0.474579	0.479502	0.989732	0.14144590497016907	0.2724950611591339
03_to_01	pair	0.554104	0.669161	0.828057	0.6172069907188416	0.4655189514160156
03_to_02	pair	0.313639	0.410394	0.764239	0.7263230681419373	0.44755789637565613
03_to_03	identity	0.000217	0.000000	21736.773488	nan	nan
03_to_04	pair	0.375599	0.481606	0.779889	0.6782510876655579	0.3559151589870453
03_to_05	pair	0.814025	1.036899	0.785057	0.6923663020133972	0.3246224820613861
03_to_06	pair	0.981702	1.270660	0.772592	0.6920261979103088	0.3210262060165405
03_to_07	pair	0.883576	1.154727	0.765182	0.6615970134735107	0.34228673577308655
03_to_08	pair	0.710971	0.835814	0.850633	0.5429616570472717	0.30996328592300415
03_to_09	pair	0.689959	0.733434	0.940723	0.3139958083629608	0.32141923904418945
03_to_10	pair	0.649026	0.702845	0.923427	0.4396354854106903	0.49824973940849304
04_to_01	pair	0.944941	1.132895	0.834094	0.6300213932991028	0.48023781180381775
04_to_02	pair	0.710865	0.931834	0.762867	0.704428493976593	0.41222307085990906
04_to_03	pair	0.347284	0.458508	0.757422	0.7224125266075134	0.36118149757385254
04_to_04	identity	0.001101	0.000000	110063.387547	nan	nan
04_to_05	pair	0.328051	0.404221	0.811563	0.6481369733810425	0.2801191210746765
04_to_06	pair	0.516789	0.660158	0.782826	0.6674058437347412	0.3208645284175873
04_to_07	pair	0.538166	0.656082	0.820273	0.6398566365242004	0.33967363834381104
04_to_08	pair	0.587522	0.655621	0.896131	0.43608415126800537	0.3834838271141052
04_to_09	pair	0.671675	0.747903	0.898077	0.5263999700546265	0.5204910039901733
04_to_10	pair	0.845597	0.953011	0.887290	0.5821089148521423	0.5590992569923401
05_to_01	pair	1.150745	1.549154	0.742822	0.7368259429931641	0.44528138637542725
05_to_02	pair	0.979865	1.354189	0.723581	0.7362151145935059	0.4140743017196655
05_to_03	pair	0.713807	0.949399	0.751852	0.6890984773635864	0.35980504751205444
05_to_04	pair	0.289421	0.382005	0.757637	0.7081478238105774	0.3215724229812622
05_to_05	identity	0.000715	0.000000	71478.565224	nan	nan
05_to_06	pair	0.205794	0.234844	0.876299	0.4808807373046875	0.3498779237270355
05_to_07	pair	0.376729	0.401220	0.938959	0.29360711574554443	0.4211433231830597
05_to_08	pair	0.623922	0.669015	0.932599	0.4964841902256012	0.4442076086997986
05_to_09	pair	0.842259	1.001919	0.840646	0.6409962773323059	0.49265047907829285
05_to_10	pair	1.054400	1.340010	0.786860	0.6821103692054749	0.5136768221855164
06_to_01	pair	1.195071	1.661819	0.719134	0.7458875179290771	0.44380858540534973
06_to_02	pair	1.137269	1.592330	0.714217	0.7522515058517456	0.3989349901676178
06_to_03	pair	0.849593	1.163931	0.729933	0.7283763885498047	0.35513633489608765
06_to_04	pair	0.454020	0.610439	0.743760	0.712623119354248	0.35562869906425476
06_to_05	pair	0.222490	0.263603	0.844035	0.5450947880744934	0.367819219827652
06_to_06	identity	0.000582	0.000000	58229.122078	nan	nan
06_to_07	pair	0.312508	0.335674	0.930988	0.39506328105926514	0.29502174258232117
06_to_08	pair	0.569103	0.658733	0.863935	0.6039482355117798	0.4588150680065155
06_to_09	pair	0.814051	1.054614	0.771895	0.6961414813995361	0.5083539485931396
06_to_10	pair	1.048684	1.423199	0.736850	0.7169861197471619	0.5046812295913696
07_to_01	pair	1.024740	1.471031	0.696613	0.7474089860916138	0.45871707797050476
07_to_02	pair	1.084238	1.472531	0.736309	0.7201229929924011	0.37048470973968506
07_to_03	pair	0.809693	1.058171	0.765182	0.6893054246902466	0.3377086818218231
07_to_04	pair	0.497331	0.605979	0.820707	0.6519854664802551	0.3550504744052887
07_to_05	pair	0.375888	0.402618	0.933609	0.3008447587490082	0.3565957844257355
07_to_06	pair	0.319494	0.335235	0.953044	0.36380070447921753	0.26069602370262146
