pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.000373	0.000000	37280.918332	nan	nan
01_to_02	pair	0.268457	0.225848	1.188662	0.3284118175506592	1.10262930393219
01_to_03	pair	0.588916	0.514921	1.143702	0.3151603937149048	1.0270135402679443
01_to_04	pair	0.793668	0.714543	1.110734	0.40013930201530457	1.0351372957229614
01_to_05	pair	0.835757	0.754408	1.107832	0.48287054896354675	1.1114089488983154
01_to_06	pair	0.784554	0.742779	1.056241	0.5664182901382446	1.1906237602233887
01_to_07	pair	0.872305	0.632931	1.378200	0.3708105683326721	1.416042685508728
01_to_08	pair	0.685201	0.524817	1.305599	0.3662841022014618	1.3381987810134888
01_to_09	pair	0.550122	0.349547	1.573813	0.06912241876125336	1.2451103925704956
01_to_10	pair	0.240473	0.160100	1.502020	-0.08182268589735031	0.9276833534240723
02_to_01	pair	0.257195	0.228828	1.123965	0.35947343707084656	1.0152981281280518
02_to_02	identity	0.000368	0.000000	36779.735819	nan	nan
02_to_03	pair	0.239405	0.218714	1.094603	0.5928153395652771	1.4390654563903809
02_to_04	pair	0.518665	0.536150	0.967389	0.5105745792388916	1.0305315256118774
02_to_05	pair	0.759467	0.805199	0.943203	0.48489144444465637	0.8650645613670349
02_to_06	pair	0.726223	0.688857	1.054244	0.4818190634250641	1.0523920059204102
02_to_07	pair	0.721362	0.708678	1.017897	0.5009661912918091	1.0010383129119873
02_to_08	pair	0.565504	0.623101	0.907564	0.525320827960968	0.8448193073272705
02_to_09	pair	0.631963	0.543702	1.162333	-0.08147772401571274	0.5914462208747864
02_to_10	pair	0.549400	0.501835	1.094783	-0.20369064807891846	0.3914872705936432
03_to_01	pair	0.568910	0.512375	1.110338	0.36358505487442017	0.9962027072906494
03_to_02	pair	0.245761	0.214379	1.146385	0.5884516835212708	1.476658821105957
03_to_03	identity	0.000904	0.000000	90432.155412	nan	nan
03_to_04	pair	0.210848	0.239987	0.878579	0.6592472195625305	1.1479260921478271
03_to_05	pair	0.470941	0.579169	0.813132	0.5701727867126465	0.8124153017997742
03_to_06	pair	0.673027	0.758821	0.886937	0.5064338445663452	0.7357382774353027
03_to_07	pair	0.623593	0.640985	0.972868	0.47174519300460815	0.7788638472557068
03_to_08	pair	0.594515	0.687064	0.865298	0.5243988633155823	0.5023805499076843
03_to_09	pair	0.612695	0.685678	0.893561	0.4714638590812683	0.44421684741973877
03_to_10	pair	0.609373	0.540113	1.128231	0.20183098316192627	0.8286867737770081
04_to_01	pair	0.831391	0.780638	1.065015	0.4067056477069855	0.8798714876174927
04_to_02	pair	0.476195	0.532704	0.893921	0.5623764991760254	0.963223934173584
04_to_03	pair	0.206662	0.237405	0.870502	0.6490205526351929	1.0885437726974487
04_to_04	identity	0.004984	0.000000	498443.841934	nan	nan
04_to_05	pair	0.173220	0.221504	0.782017	0.6598222851753235	0.9207087755203247
04_to_06	pair	0.385484	0.469833	0.820471	0.5751475691795349	0.7003055214881897
04_to_07	pair	0.582360	0.704433	0.826707	0.5997588038444519	0.4817277491092682
04_to_08	pair	0.654256	0.747827	0.874876	0.5621542930603027	0.442910373210907
04_to_09	pair	0.697079	0.735433	0.947848	0.41517865657806396	0.5956366658210754
04_to_10	pair	0.807543	0.672584	1.200658	0.22961211204528809	0.8997385501861572
05_to_01	pair	0.809719	0.749508	1.080333	0.496814489364624	1.0113329887390137
05_to_02	pair	0.707037	0.826431	0.855531	0.5517945289611816	0.7787062525749207
05_to_03	pair	0.438778	0.588200	0.745968	0.6079268455505371	0.7217134833335876
05_to_04	pair	0.165448	0.225704	0.733030	0.6957969069480896	0.8554808497428894
05_to_05	identity	0.003911	0.000000	391137.646511	nan	nan
05_to_06	pair	0.204319	0.218412	0.935476	0.4047812223434448	0.6729663610458374
05_to_07	pair	0.410915	0.474068	0.866785	0.5205456614494324	0.5451388359069824
05_to_08	pair	0.608535	0.664968	0.915135	0.4958847761154175	0.6135828495025635
05_to_09	pair	0.784752	0.808245	0.970933	0.43463391065597534	0.7264931797981262
05_to_10	pair	0.836288	0.761150	1.098717	0.4112060070037842	0.9459519386291504
06_to_01	pair	0.788895	0.769175	1.025638	0.5675985813140869	1.0717568397521973
06_to_02	pair	0.662739	0.695616	0.952737	0.5547938346862793	0.9636489748954773
06_to_03	pair	0.608504	0.751114	0.810135	0.5536451935768127	0.6550424695014954
06_to_04	pair	0.375456	0.481160	0.780314	0.5953793525695801	0.5882554650306702
06_to_05	pair	0.192879	0.215365	0.895592	0.4428611397743225	0.6425236463546753
06_to_06	identity	0.005014	0.000000	501375.179738	nan	nan
06_to_07	pair	0.223842	0.226231	0.989440	0.44058215618133545	0.8194766640663147
06_to_08	pair	0.456711	0.412106	1.108236	0.3860209882259369	1.0945369005203247
06_to_09	pair	0.699177	0.615277	1.136361	0.41905659437179565	1.0876682996749878
06_to_10	pair	0.849164	0.721094	1.177606	0.42878201603889465	1.1173663139343262
07_to_01	pair	0.867603	0.630572	1.375899	0.3386789858341217	1.3296719789505005
07_to_02	pair	0.671800	0.723112	0.929040	0.5462352633476257	0.9183443188667297
07_to_03	pair	0.605575	0.658017	0.920303	0.46796488761901855	0.669664740562439
07_to_04	pair	0.618216	0.734826	0.841308	0.5869312882423401	0.38953790068626404
07_to_05	pair	0.413152	0.482989	0.855407	0.5245922803878784	0.5001150965690613
07_to_06	pair	0.223423	0.230530	0.969167	0.4443020522594452	0.8746386766433716
07_to_07	identity	0.006305	0.000000	630525.359884	nan	nan
07_to_08	pair	0.245538	0.144556	1.698562	0.3030475974082947	1.8783421516418457
07_to_09	pair	0.555390	0.343491	1.616900	0.2838587760925293	1.6621285676956177
07_to_10	pair	0.797392	0.535624	1.488716	0.3508172333240509	1.47705078125
08_to_01	pair	0.642676	0.521193	1.233087	0.354088693857193	1.217726230621338
08_to_02	pair	0.546004	0.641400	0.851269	0.5532606244087219	0.7465962767601013
08_to_03	pair	0.605009	0.700676	0.863464	0.5036227107048035	0.45187345147132874
08_to_04	pair	0.663716	0.756997	0.876775	0.553817093372345	0.35443732142448425
08_to_05	pair	0.608928	0.682894	0.891687	0.4832904040813446	0.4873259663581848
08_to_06	pair	0.428487	0.416272	1.029343	0.3940885365009308	1.007533311843872
08_to_07	pair	0.278689	0.149132	1.868745	0.2847660779953003	2.135227918624878
08_to_08	identity	0.007494	0.000000	749375.065789	nan	nan
08_to_09	pair	0.263133	0.154145	1.707046	0.2696975767612457	1.7017803192138672
08_to_10	pair	0.593833	0.351820	1.687886	0.1974794715642929	1.5149954557418823
09_to_01	pair	0.512117	0.353080	1.450426	0.07399661093950272	1.100701093673706
09_to_02	pair	0.619253	0.554153	1.117476	-0.07371901720762253	0.5106074213981628
09_to_03	pair	0.637143	0.715591	0.890372	0.47947219014167786	0.30997341871261597
09_to_04	pair	0.677447	0.733661	0.923378	0.39187875390052795	0.5122643113136292
09_to_05	pair	0.797176	0.838656	0.950539	0.3999432921409607	0.6147676110267639
09_to_06	pair	0.678861	0.650461	1.043661	0.40244194865226746	0.9049155116081238
09_to_07	pair	0.555885	0.351880	1.579757	0.28592854738235474	1.646430492401123
09_to_08	pair	0.299334	0.148054	2.021786	0.2887639105319977	2.2163219451904297
09_to_09	identity	0.001214	0.000000	121376.570314	nan	nan
09_to_10	pair	0.300082	0.152557	1.967019	0.1495545506477356	1.7730635404586792
10_to_01	pair	0.231928	0.176419	1.314639	-0.14287759363651276	0.6470316052436829
10_to_02	pair	0.520759	0.493838	1.054513	-0.1476304829120636	0.30092525482177734
10_to_03	pair	0.657270	0.614344	1.069872	0.10066600888967514	0.5567401051521301
10_to_04	pair	0.749626	0.683172	1.097272	0.28614601492881775	0.821202278137207
10_to_05	pair	0.862931	0.785427	1.098678	0.3740801513195038	0.9451039433479309
10_to_06	pair	0.903104	0.774381	1.166227	0.3933807611465454	1.0956439971923828
10_to_07	pair	0.772382	0.550172	1.403893	0.39481908082962036	1.4684779644012451
10_to_08	pair	0.617958	0.353878	1.746245	0.24080120027065277	1.682530403137207
10_to_09	pair	0.309716	0.154683	2.002269	0.19207637012004852	2.001124143600464
10_to_10	identity	0.000548	0.000000	54841.587553	nan	nan
