pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.003224	0.000000	322405.807674	nan	nan
01_to_02	pair	0.377160	0.383169	0.984319	0.26777181029319763	0.11985043436288834
01_to_03	pair	1.227784	1.230852	0.997508	0.04821481555700302	0.1114063411951065
01_to_04	pair	1.650299	1.645525	1.002901	0.07707781344652176	0.12463445961475372
01_to_05	pair	1.800364	1.797984	1.001324	0.11521569639444351	0.14260731637477875
01_to_06	pair	1.759788	1.765300	0.996878	0.15822623670101166	0.15543299913406372
01_to_07	pair	1.342880	1.343949	0.999205	0.1562669426202774	0.2026345580816269
01_to_08	pair	0.782050	0.765092	1.022166	0.07625877857208252	0.27513718605041504
01_to_09	pair	0.389738	0.362947	1.073816	-0.1120990514755249	0.3314015865325928
01_to_10	pair	0.229639	0.231239	0.993080	0.08812540024518967	0.18846260011196136
02_to_01	pair	0.376733	0.373688	1.008148	0.048105623573064804	0.140889972448349
02_to_02	identity	0.004446	0.000000	444564.269856	nan	nan
02_to_03	pair	0.508880	0.507783	1.002162	0.09333673864603043	0.137468159198761
02_to_04	pair	1.107992	1.104614	1.003058	0.05971194803714752	0.13370531797409058
02_to_05	pair	1.396640	1.398126	0.998937	0.10787848383188248	0.1486537754535675
02_to_06	pair	1.360009	1.355520	1.003312	0.11258743703365326	0.1811385154724121
02_to_07	pair	1.029181	1.008403	1.020605	0.045687634497880936	0.25151681900024414
02_to_08	pair	0.632509	0.607477	1.041205	-0.020940184593200684	0.31152069568634033
02_to_09	pair	0.540364	0.520649	1.037866	-0.022556761279702187	0.2567966878414154
02_to_10	pair	0.615060	0.629724	0.976713	0.26292961835861206	0.15529927611351013
03_to_01	pair	1.160308	1.171499	0.990447	0.0933503583073616	0.13925960659980774
03_to_02	pair	0.489959	0.479957	1.020839	0.01672978512942791	0.1633215695619583
03_to_03	identity	0.007560	0.000000	755993.928760	nan	nan
03_to_04	pair	0.352569	0.357610	0.985903	0.25431233644485474	0.17067724466323853
03_to_05	pair	0.591110	0.589066	1.003470	0.15848352015018463	0.2004805952310562
03_to_06	pair	0.749733	0.752228	0.996684	0.10589983314275742	0.22171437740325928
03_to_07	pair	0.607255	0.627460	0.967798	0.23453764617443085	0.3045022487640381
03_to_08	pair	0.863119	0.892904	0.966643	0.25589409470558167	0.1943388283252716
03_to_09	pair	1.136214	1.161543	0.978194	0.206671342253685	0.15345081686973572
03_to_10	pair	1.323737	1.366739	0.968537	0.3110347390174866	0.150422140955925
04_to_01	pair	1.527687	1.540874	0.991442	0.12678100168704987	0.15753142535686493
04_to_02	pair	1.011860	1.014633	0.997267	0.1303577572107315	0.1671179085969925
04_to_03	pair	0.345785	0.344286	1.004353	0.12242137640714645	0.1710759997367859
04_to_04	identity	0.007823	0.000000	782316.178083	nan	nan
04_to_05	pair	0.242093	0.247435	0.978412	0.2694205939769745	0.18803976476192474
04_to_06	pair	0.371598	0.386374	0.961755	0.279374361038208	0.21471239626407623
04_to_07	pair	0.574395	0.609610	0.942234	0.3854456841945648	0.19517222046852112
04_to_08	pair	1.041797	1.075706	0.968478	0.26573413610458374	0.1277788132429123
04_to_09	pair	1.393827	1.437664	0.969508	0.27774861454963684	0.14865513145923615
04_to_10	pair	1.600666	1.658634	0.965051	0.32143664360046387	0.17378628253936768
05_to_01	pair	1.657342	1.686764	0.982557	0.21034546196460724	0.17558163404464722
05_to_02	pair	1.256952	1.266736	0.992277	0.16974039375782013	0.19365470111370087
05_to_03	pair	0.559674	0.565520	0.989663	0.22454947233200073	0.22536493837833405
05_to_04	pair	0.245011	0.246878	0.992435	0.13551202416419983	0.17196595668792725
05_to_05	identity	0.010693	0.000000	1069325.581193	nan	nan
05_to_06	pair	0.234197	0.243390	0.962227	0.3639413118362427	0.12363938987255096
05_to_07	pair	0.574634	0.600396	0.957092	0.3767458498477936	0.11599662154912949
05_to_08	pair	1.045274	1.071677	0.975363	0.19698511064052582	0.1164710745215416
05_to_09	pair	1.483877	1.524253	0.973511	0.2676544487476349	0.1438743770122528
05_to_10	pair	1.803347	1.862919	0.968022	0.29149678349494934	0.17474523186683655
06_to_01	pair	1.675314	1.694264	0.988815	0.16189061105251312	0.1813775599002838
06_to_02	pair	1.252623	1.255286	0.997879	0.1438591331243515	0.20964625477790833
06_to_03	pair	0.708477	0.714043	0.992204	0.1257210075855255	0.24521435797214508
06_to_04	pair	0.358096	0.382374	0.936508	0.3153526782989502	0.24582649767398834
06_to_05	pair	0.236661	0.245322	0.964693	0.2908983826637268	0.12377200275659561
06_to_06	identity	0.013458	0.000000	1345838.699490	nan	nan
06_to_07	pair	0.392208	0.404705	0.969119	0.4100264012813568	0.07356785237789154
06_to_08	pair	0.853770	0.870913	0.980316	0.2095828801393509	0.1220894455909729
06_to_09	pair	1.377477	1.404932	0.980458	0.24257375299930573	0.1553535908460617
06_to_10	pair	1.791536	1.824787	0.981778	0.20649714767932892	0.17821387946605682
07_to_01	pair	1.236106	1.248031	0.990445	0.16464076936244965	0.23279336094856262
07_to_02	pair	0.971515	0.959571	1.012447	0.06911725550889969	0.2619553208351135
07_to_03	pair	0.605811	0.622187	0.973680	0.21097904443740845	0.2832885980606079
07_to_04	pair	0.582967	0.622187	0.936964	0.33948561549186707	0.19852235913276672
07_to_05	pair	0.586037	0.615050	0.952829	0.3913942873477936	0.11330413818359375
07_to_06	pair	0.411439	0.417106	0.986413	0.21962368488311768	0.07647798210382462
07_to_07	identity	0.007276	0.000000	727593.945339	nan	nan
07_to_08	pair	0.460204	0.469165	0.980902	0.27547526359558105	0.14259016513824463
07_to_09	pair	0.910897	0.932549	0.976781	0.3090541362762451	0.19502674043178558
07_to_10	pair	1.373160	1.393687	0.985271	0.22559185326099396	0.20431837439537048
08_to_01	pair	0.759400	0.755354	1.005357	0.13656654953956604	0.26612111926078796
08_to_02	pair	0.599992	0.589452	1.017882	0.0077288392931222916	0.28703638911247253
08_to_03	pair	0.877235	0.907557	0.966590	0.2711777687072754	0.15234780311584473
