pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.006770	0.000000	677025.923505	nan	nan
01_to_02	pair	0.378574	0.447823	0.845365	0.6392861008644104	0.36768874526023865
01_to_03	pair	0.709403	0.829436	0.855283	0.5628087520599365	0.6707424521446228
01_to_04	pair	0.954310	1.134359	0.841277	0.5571514964103699	0.7420275807380676
01_to_05	pair	1.091473	1.376533	0.792915	0.6564623713493347	0.737836480140686
01_to_06	pair	1.105111	1.480060	0.746666	0.6980488300323486	0.7483541965484619
01_to_07	pair	0.868003	1.025722	0.846237	0.6707686185836792	1.0770970582962036
01_to_08	pair	0.766384	0.578338	1.325149	0.3588223159313202	1.289221167564392
01_to_09	pair	0.670626	0.449939	1.490483	-0.28846943378448486	0.9011998176574707
01_to_10	pair	0.385005	0.327701	1.174868	-0.36184781789779663	0.3381129801273346
02_to_01	pair	0.347237	0.431501	0.804718	0.6737654805183411	0.5151911973953247
02_to_02	identity	0.011034	0.000000	1103422.138840	nan	nan
02_to_03	pair	0.372368	0.339877	1.095596	0.3713226318359375	1.0809941291809082
02_to_04	pair	0.715947	0.666204	1.074666	0.402615487575531	0.9923620223999023
02_to_05	pair	0.858251	0.961574	0.892548	0.5805395841598511	0.9168006777763367
02_to_06	pair	0.983748	1.120894	0.877646	0.5765649080276489	0.9035511016845703
02_to_07	pair	1.001834	0.893062	1.121796	0.36194199323654175	0.997846782207489
02_to_08	pair	1.028591	0.817818	1.257726	-0.0945417582988739	0.7248280644416809
02_to_09	pair	1.062246	0.964438	1.101414	-0.17037853598594666	0.3074902594089508
02_to_10	pair	0.825939	0.864478	0.955420	0.4142853021621704	0.21168217062950134
03_to_01	pair	0.651926	0.767947	0.848920	0.5860313177108765	0.7870033383369446
03_to_02	pair	0.387772	0.335414	1.156100	0.28648096323013306	1.0915924310684204
03_to_03	identity	0.012979	0.000000	1297922.711819	nan	nan
03_to_04	pair	0.268348	0.278028	0.965182	0.4366988241672516	0.8597739338874817
03_to_05	pair	0.526027	0.634077	0.829595	0.5857363343238831	0.6398077011108398
03_to_06	pair	0.683096	0.843818	0.809530	0.5713255405426025	0.6456185579299927
03_to_07	pair	0.848936	0.892369	0.951329	0.4031112492084503	0.5970373153686523
03_to_08	pair	1.023536	1.030794	0.992959	0.28281843662261963	0.3893433213233948
03_to_09	pair	1.082310	1.225291	0.883309	0.5327456593513489	0.30745720863342285
03_to_10	pair	0.933268	1.136707	0.821027	0.599914014339447	0.4536510109901428
04_to_01	pair	0.888032	1.034637	0.858302	0.5631985068321228	0.8415846824645996
04_to_02	pair	0.698330	0.631874	1.105173	0.36461877822875977	1.0642709732055664
04_to_03	pair	0.278417	0.269645	1.032532	0.3949110507965088	0.9927436709403992
04_to_04	identity	0.008565	0.000000	856459.978968	nan	nan
04_to_05	pair	0.298443	0.355905	0.838546	0.5273266434669495	0.38849005103111267
04_to_06	pair	0.484546	0.581101	0.833842	0.5449971556663513	0.4863749146461487
04_to_07	pair	0.682509	0.710622	0.960440	0.37664756178855896	0.4808340072631836
04_to_08	pair	0.989266	1.039110	0.952032	0.3898438513278961	0.33518949151039124
04_to_09	pair	1.156350	1.421536	0.813451	0.6286765336990356	0.3979842960834503
04_to_10	pair	1.022839	1.331572	0.768144	0.6393411159515381	0.5549726486206055
05_to_01	pair	1.031318	1.297444	0.794884	0.6366026401519775	0.8124400973320007
05_to_02	pair	0.822877	0.901576	0.912709	0.5658889412879944	0.9871223568916321
05_to_03	pair	0.500232	0.604926	0.826932	0.5838671922683716	0.7254461050033569
05_to_04	pair	0.274117	0.328734	0.833857	0.5457041263580322	0.4469539523124695
05_to_05	identity	0.016428	0.000000	1642849.296331	nan	nan
05_to_06	pair	0.249857	0.280411	0.891041	0.38701313734054565	0.3950032591819763
05_to_07	pair	0.622651	0.665005	0.936311	0.4315693974494934	0.3170478940010071
05_to_08	pair	1.020956	1.163844	0.877228	0.6243321299552917	0.3162831962108612
05_to_09	pair	1.177019	1.540992	0.763806	0.7254854440689087	0.4455931484699249
05_to_10	pair	1.174132	1.628747	0.720881	0.7381339073181152	0.5581979751586914
06_to_01	pair	0.998800	1.360525	0.734128	0.7034129500389099	0.827970564365387
06_to_02	pair	0.945088	1.048733	0.901171	0.5464022159576416	0.9360034465789795
