pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.005389	0.000000	538907.572627	nan	nan
01_to_02	pair	0.386188	0.383169	1.007880	0.15086986124515533	0.1974632740020752
01_to_03	pair	1.237047	1.230852	1.005033	0.024969050660729408	0.1061142310500145
01_to_04	pair	1.647572	1.645525	1.001244	0.08545128256082535	0.15710531175136566
01_to_05	pair	1.785157	1.797984	0.992866	0.17211464047431946	0.23875489830970764
01_to_06	pair	1.756480	1.765300	0.995004	0.2217695116996765	0.37186482548713684
01_to_07	pair	1.381306	1.343949	1.027797	0.20264695584774017	0.3915960192680359
01_to_08	pair	0.839117	0.765092	1.096753	0.06477054953575134	0.4116932451725006
01_to_09	pair	0.406079	0.362947	1.118837	-0.06184616684913635	0.40372514724731445
01_to_10	pair	0.234826	0.231239	1.015510	-0.04799811169505119	0.12096905708312988
02_to_01	pair	0.386826	0.373688	1.035159	0.06997919082641602	0.23895704746246338
02_to_02	identity	0.009643	0.000000	964276.306331	nan	nan
02_to_03	pair	0.467781	0.507783	0.921223	0.4738214910030365	0.31695082783699036
02_to_04	pair	1.092045	1.104614	0.988622	0.16145838797092438	0.17701122164726257
02_to_05	pair	1.396984	1.398126	0.999183	0.1280701458454132	0.24039150774478912
02_to_06	pair	1.376205	1.355520	1.015260	0.14467249810695648	0.32129356265068054
02_to_07	pair	1.092126	1.008403	1.083026	0.15140417218208313	0.5049176812171936
02_to_08	pair	0.705461	0.607477	1.161295	-0.07361920177936554	0.4667545258998871
02_to_09	pair	0.548863	0.520649	1.054191	-0.11606035381555557	0.222429558634758
02_to_10	pair	0.626381	0.629724	0.994690	0.09201884269714355	0.11672765016555786
03_to_01	pair	1.200847	1.171499	1.025052	-0.045412059873342514	0.15505029261112213
03_to_02	pair	0.480601	0.479957	1.001341	0.1254911571741104	0.1835068166255951
03_to_03	identity	0.007419	0.000000	741932.960227	nan	nan
03_to_04	pair	0.322265	0.357610	0.901164	0.46951529383659363	0.4531732499599457
03_to_05	pair	0.599386	0.589066	1.017518	0.30403268337249756	0.4919680655002594
03_to_06	pair	0.863851	0.752228	1.148391	0.1263347715139389	0.627845287322998
03_to_07	pair	0.729173	0.627460	1.162102	0.07301711291074753	0.5203478336334229
03_to_08	pair	0.878916	0.892904	0.984335	0.24078749120235443	0.22064092755317688
03_to_09	pair	1.094632	1.161543	0.942395	0.31883400678634644	0.28299078345298767
03_to_10	pair	1.344058	1.366739	0.983405	0.2141227424144745	0.2939019799232483
04_to_01	pair	1.658110	1.540874	1.076084	-0.10256059467792511	0.2687150537967682
04_to_02	pair	1.013736	1.014633	0.999117	0.12080557644367218	0.2173471748828888
04_to_03	pair	0.336908	0.344286	0.978570	0.24991194903850555	0.30184775590896606
04_to_04	identity	0.007627	0.000000	762718.683109	nan	nan
04_to_05	pair	0.259269	0.247435	1.047826	0.22355397045612335	0.5765162706375122
04_to_06	pair	0.460924	0.386374	1.192946	0.04361593723297119	0.6828036308288574
04_to_07	pair	0.604712	0.609610	0.991965	0.20002669095993042	0.2332419902086258
04_to_08	pair	1.015602	1.075706	0.944126	0.34379690885543823	0.24039413034915924
04_to_09	pair	1.359025	1.437664	0.945301	0.3075609803199768	0.346340537071228
04_to_10	pair	1.701633	1.658634	1.025925	0.08505791425704956	0.3248402178287506
05_to_01	pair	1.874868	1.686764	1.111517	-0.09423292428255081	0.40149813890457153
05_to_02	pair	1.297566	1.266736	1.024338	0.08195912837982178	0.3304409980773926
05_to_03	pair	0.552739	0.565520	0.977400	0.31286269426345825	0.4968908131122589
