pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.008499	0.000000	849918.927997	nan	nan
01_to_02	pair	0.277509	0.326654	0.849550	0.5891048908233643	0.4963950514793396
01_to_03	pair	0.498108	0.676961	0.735800	0.7184341549873352	0.6870401501655579
01_to_04	pair	0.689969	0.894585	0.771274	0.6995273232460022	0.7913676500320435
01_to_05	pair	0.915156	1.201784	0.761498	0.7266969084739685	0.7388913035392761
01_to_06	pair	0.998959	1.387839	0.719795	0.7465893030166626	0.7203403115272522
01_to_07	pair	0.894711	1.127972	0.793203	0.707722008228302	0.8370509743690491
01_to_08	pair	0.646293	0.859081	0.752308	0.7324013113975525	0.8172337412834167
01_to_09	pair	0.453542	0.611380	0.741834	0.7527097463607788	0.6028677821159363
01_to_10	pair	0.297186	0.343676	0.864728	0.5992556810379028	0.2678249180316925
02_to_01	pair	0.273895	0.319704	0.856714	0.5892558097839355	0.6562343239784241
02_to_02	identity	0.019903	0.000000	1990263.350308	nan	nan
02_to_03	pair	0.218234	0.338032	0.645601	0.8140149712562561	0.7768062353134155
02_to_04	pair	0.434831	0.637639	0.681940	0.7708708047866821	0.8239133358001709
02_to_05	pair	0.679653	0.970341	0.700427	0.7516888380050659	0.7364516258239746
02_to_06	pair	0.804577	1.162847	0.691903	0.7576101422309875	0.7301183342933655
02_to_07	pair	0.770521	0.992118	0.776643	0.6997870206832886	0.7927680611610413
02_to_08	pair	0.582676	0.770588	0.756144	0.6844914555549622	0.727864146232605
02_to_09	pair	0.507095	0.625526	0.810669	0.5759385228157043	0.43754029273986816
02_to_10	pair	0.417234	0.401621	1.038875	-0.0038949772715568542	0.4899376630783081
03_to_01	pair	0.487195	0.645767	0.754444	0.7158453464508057	0.8279463052749634
03_to_02	pair	0.224018	0.338703	0.661399	0.8057023882865906	0.908776044845581
03_to_03	identity	0.015768	0.000000	1576843.112707	nan	nan
03_to_04	pair	0.208424	0.298417	0.698432	0.7550776600837708	0.8757603168487549
03_to_05	pair	0.448330	0.629203	0.712537	0.7455630898475647	0.687701940536499
03_to_06	pair	0.604026	0.854974	0.706484	0.7505320906639099	0.6577593088150024
03_to_07	pair	0.578712	0.731535	0.791093	0.6616283655166626	0.6625353097915649
03_to_08	pair	0.515397	0.637704	0.808207	0.5856459140777588	0.5488362312316895
03_to_09	pair	0.504209	0.516075	0.977008	0.21179796755313873	0.6226921677589417
03_to_10	pair	0.545915	0.523410	1.042996	0.3908088505268097	0.9492265582084656
04_to_01	pair	0.659697	0.827395	0.797318	0.7074928879737854	0.9000465273857117
04_to_02	pair	0.384706	0.577734	0.665888	0.810012936592102	0.9089148640632629
04_to_03	pair	0.201087	0.279927	0.718355	0.7287812829017639	0.8610557317733765
04_to_04	identity	0.019283	0.000000	1928326.860070	nan	nan
04_to_05	pair	0.251524	0.348021	0.722727	0.7616293430328369	0.5359039306640625
04_to_06	pair	0.464256	0.627401	0.739967	0.7313187718391418	0.5015745759010315
04_to_07	pair	0.465825	0.580611	0.802302	0.6277536153793335	0.5490540266036987
04_to_08	pair	0.477607	0.546896	0.873304	0.48311492800712585	0.5134594440460205
04_to_09	pair	0.565508	0.506958	1.115493	0.35507699847221375	0.9406880140304565
04_to_10	pair	0.660405	0.593922	1.111939	0.5357146263122559	1.2285996675491333
05_to_01	pair	0.751839	1.076548	0.698379	0.8067166805267334	0.8454446196556091
05_to_02	pair	0.620099	0.892070	0.695124	0.7863991260528564	0.789423406124115
05_to_03	pair	0.414707	0.596326	0.695437	0.7740785479545593	0.6959139704704285
05_to_04	pair	0.255076	0.337035	0.756822	0.7666324973106384	0.4562929570674896
05_to_05	identity	0.022825	0.000000	2282505.482435	nan	nan
05_to_06	pair	0.187312	0.262211	0.714358	0.7232406735420227	0.5759926438331604
05_to_07	pair	0.354691	0.400074	0.886563	0.4941507875919342	0.5243749022483826
05_to_08	pair	0.485765	0.576863	0.842081	0.5922432541847229	0.6782947182655334
05_to_09	pair	0.629799	0.691442	0.910848	0.5852987170219421	0.9408970475196838
05_to_10	pair	0.795545	0.881321	0.902674	0.6579022407531738	1.0349420309066772
06_to_01	pair	0.785124	1.296750	0.605455	0.8654454350471497	0.7772257924079895
06_to_02	pair	0.722285	1.066434	0.677290	0.7890732884407043	0.7798001170158386
06_to_03	pair	0.564429	0.813302	0.693997	0.7618615627288818	0.6615245342254639
06_to_04	pair	0.453334	0.611303	0.741586	0.7474886775016785	0.468584269285202
06_to_05	pair	0.193038	0.264295	0.730390	0.7200049757957458	0.5032361745834351
06_to_06	identity	0.017105	0.000000	1710507.459939	nan	nan
06_to_07	pair	0.282335	0.337161	0.837390	0.6192591786384583	0.4836621880531311
06_to_08	pair	0.447353	0.591531	0.756263	0.7281001210212708	0.7372025847434998
06_to_09	pair	0.589789	0.735652	0.801722	0.7222824096679688	0.9733694195747375
06_to_10	pair	0.801745	0.957267	0.837536	0.7197325229644775	1.0355134010314941
07_to_01	pair	0.789594	1.023236	0.771663	0.7499491572380066	0.9506427645683289
07_to_02	pair	0.697469	0.915591	0.761769	0.719921350479126	0.813482940196991
07_to_03	pair	0.565433	0.719027	0.786387	0.665272057056427	0.6499884724617004
07_to_04	pair	0.427618	0.567239	0.753858	0.664887547492981	0.4992241859436035
07_to_05	pair	0.353557	0.412649	0.856797	0.522171139717102	0.4300874173641205
07_to_06	pair	0.295850	0.356046	0.830933	0.6575281620025635	0.3846552073955536
07_to_07	identity	0.018261	0.000000	1826109.364629	nan	nan
07_to_08	pair	0.284696	0.321638	0.885144	0.6572309136390686	1.0395429134368896
07_to_09	pair	0.482131	0.454655	1.060433	0.6751142740249634	1.3744029998779297
07_to_10	pair	0.658981	0.658376	1.000919	0.7203633785247803	1.316301941871643
08_to_01	pair	0.558901	0.798644	0.699813	0.7700556516647339	0.8637124300003052
08_to_02	pair	0.484162	0.677410	0.714725	0.7168439030647278	0.7522256374359131
08_to_03	pair	0.440390	0.566289	0.777678	0.6135022044181824	0.5761539340019226
08_to_04	pair	0.464598	0.547156	0.849115	0.48000165820121765	0.4879748523235321
08_to_05	pair	0.510626	0.624736	0.817346	0.6056845188140869	0.5591743588447571
08_to_06	pair	0.466835	0.628526	0.742746	0.7463828325271606	0.6164913177490234
08_to_07	pair	0.277936	0.359721	0.772644	0.6692023873329163	0.7385303974151611
08_to_08	identity	0.036703	0.000000	3670318.052173	nan	nan
08_to_09	pair	0.341430	0.307789	1.109299	0.5177872180938721	1.3348852396011353
08_to_10	pair	0.540323	0.479025	1.127963	0.6470973491668701	1.4266268014907837
09_to_01	pair	0.456337	0.582528	0.783374	0.7268453240394592	0.665238618850708
09_to_02	pair	0.443192	0.567422	0.781063	0.6083589792251587	0.45575010776519775
09_to_03	pair	0.467475	0.515163	0.907430	0.24916845560073853	0.5121980905532837
09_to_04	pair	0.547014	0.505332	1.082484	0.37891924381256104	0.9233099222183228
09_to_05	pair	0.605504	0.713303	0.848874	0.6253384351730347	0.8763112425804138
09_to_06	pair	0.597823	0.762595	0.783932	0.7263652086257935	0.9002048969268799
09_to_07	pair	0.456980	0.450462	1.014469	0.6953669786453247	1.2916460037231445
09_to_08	pair	0.264825	0.259873	1.019054	0.5835452079772949	1.2276108264923096
09_to_09	identity	0.028737	0.000000	2873675.711453	nan	nan
09_to_10	pair	0.252081	0.280902	0.897400	0.6826292276382446	1.0831025838851929
10_to_01	pair	0.317275	0.366969	0.864582	0.594990074634552	0.2878507375717163
10_to_02	pair	0.404282	0.407496	0.992113	0.03805588185787201	0.42594364285469055
10_to_03	pair	0.513306	0.514517	0.997645	0.4398514926433563	1.0094438791275024
10_to_04	pair	0.689611	0.595319	1.158390	0.5084094405174255	1.3071264028549194
10_to_05	pair	0.828394	0.931372	0.889434	0.6553334593772888	1.0168049335479736
10_to_06	pair	0.828859	1.024548	0.809000	0.7107194066047668	0.9680482149124146
10_to_07	pair	0.703909	0.687737	1.023515	0.7062764167785645	1.2879549264907837
10_to_08	pair	0.526347	0.487675	1.079300	0.6708812117576599	1.3242825269699097
10_to_09	pair	0.260904	0.302644	0.862083	0.6594662070274353	0.8914740085601807
10_to_10	identity	0.021683	0.000000	2168291.062117	nan	nan
