======== G160-A1 encoder ========
[crb_enc_mse_iso_g160_fov_full] device=cuda:0 | UNetCRB params=1.06M | FOV aug ¼×4 train | val=normal | G160-A1 encoder · iso 2mm · linear · FOV aug · full P1–P9 | seed=20260824
[crb_enc_mse_iso_g160_fov_full] train 12960 | val 720 | patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9'] hold-out=[]
Epoch: 1 | train MSE: 0.484411 | val MSE: 0.412148 | total time: 0 hours 6 minutes
Epoch: 2 | train MSE: 0.406287 | val MSE: 0.295747 | total time: 0 hours 11 minutes
Epoch: 3 | train MSE: 0.325894 | val MSE: 0.314723 | total time: 0 hours 17 minutes
Epoch: 4 | train MSE: 0.290997 | val MSE: 0.241606 | total time: 0 hours 23 minutes
Epoch: 5 | train MSE: 0.268673 | val MSE: 0.229822 | total time: 0 hours 30 minutes
Epoch: 6 | train MSE: 0.241613 | val MSE: 0.216007 | total time: 0 hours 37 minutes
Epoch: 7 | train MSE: 0.226874 | val MSE: 0.219528 | total time: 0 hours 44 minutes
Epoch: 8 | train MSE: 0.209631 | val MSE: 0.199671 | total time: 0 hours 51 minutes
Epoch: 9 | train MSE: 0.195581 | val MSE: 0.174482 | total time: 0 hours 58 minutes
Epoch: 10 | train MSE: 0.187730 | val MSE: 0.193570 | total time: 1 hours 6 minutes
Epoch: 11 | train MSE: 0.174513 | val MSE: 0.174392 | total time: 1 hours 13 minutes
Epoch: 12 | train MSE: 0.165754 | val MSE: 0.174874 | total time: 1 hours 20 minutes
Epoch: 13 | train MSE: 0.156092 | val MSE: 0.170575 | total time: 1 hours 27 minutes
Epoch: 14 | train MSE: 0.147324 | val MSE: 0.164576 | total time: 1 hours 34 minutes
Epoch: 15 | train MSE: 0.137565 | val MSE: 0.159763 | total time: 1 hours 41 minutes
Epoch: 16 | train MSE: 0.133325 | val MSE: 0.148943 | total time: 1 hours 48 minutes
Epoch: 17 | train MSE: 0.127036 | val MSE: 0.151445 | total time: 1 hours 55 minutes
Epoch: 18 | train MSE: 0.120167 | val MSE: 0.139799 | total time: 2 hours 2 minutes
Epoch: 19 | train MSE: 0.114774 | val MSE: 0.151335 | total time: 2 hours 9 minutes
Epoch: 20 | train MSE: 0.109837 | val MSE: 0.149429 | total time: 2 hours 16 minutes
Epoch: 21 | train MSE: 0.107625 | val MSE: 0.139726 | total time: 2 hours 23 minutes
Epoch: 22 | train MSE: 0.102794 | val MSE: 0.137123 | total time: 2 hours 30 minutes
Epoch: 23 | train MSE: 0.099490 | val MSE: 0.141164 | total time: 2 hours 37 minutes
Epoch: 24 | train MSE: 0.096629 | val MSE: 0.128160 | total time: 2 hours 44 minutes
Epoch: 25 | train MSE: 0.094342 | val MSE: 0.137931 | total time: 2 hours 51 minutes
Epoch: 26 | train MSE: 0.091669 | val MSE: 0.137573 | total time: 2 hours 58 minutes
Epoch: 27 | train MSE: 0.090641 | val MSE: 0.125836 | total time: 3 hours 6 minutes
Epoch: 28 | train MSE: 0.085565 | val MSE: 0.128176 | total time: 3 hours 13 minutes
Epoch: 29 | train MSE: 0.085786 | val MSE: 0.129893 | total time: 3 hours 20 minutes
Epoch: 30 | train MSE: 0.083058 | val MSE: 0.131654 | total time: 3 hours 27 minutes
Epoch: 31 | train MSE: 0.083028 | val MSE: 0.136577 | total time: 3 hours 34 minutes
Epoch: 32 | train MSE: 0.078930 | val MSE: 0.121811 | total time: 3 hours 41 minutes
Epoch: 33 | train MSE: 0.077818 | val MSE: 0.116898 | total time: 3 hours 48 minutes
