[crb_both_mse_iso_g160_fov_full] device=cuda:0 | UNetCRBBoth params=1.08M | FOV aug ¼×4 train | val=normal | G160-A1 both · iso 2mm · linear · FOV aug · full P1–P9 | seed=20260824
[crb_both_mse_iso_g160_fov_full] train 12960 | val 720 | patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9'] hold-out=[]
Epoch: 1 | train MSE: 0.436753 | val MSE: 0.294439 | total time: 0 hours 7 minutes
Epoch: 2 | train MSE: 0.313023 | val MSE: 0.247450 | total time: 0 hours 15 minutes
Epoch: 3 | train MSE: 0.269767 | val MSE: 0.228193 | total time: 0 hours 22 minutes
Epoch: 4 | train MSE: 0.246230 | val MSE: 0.219912 | total time: 0 hours 29 minutes
Epoch: 5 | train MSE: 0.223915 | val MSE: 0.194900 | total time: 0 hours 36 minutes
Epoch: 6 | train MSE: 0.197729 | val MSE: 0.207658 | total time: 0 hours 43 minutes
Epoch: 7 | train MSE: 0.180439 | val MSE: 0.218403 | total time: 0 hours 51 minutes
Epoch: 8 | train MSE: 0.161973 | val MSE: 0.174582 | total time: 0 hours 58 minutes
Epoch: 9 | train MSE: 0.145770 | val MSE: 0.176324 | total time: 1 hours 5 minutes
Epoch: 10 | train MSE: 0.135490 | val MSE: 0.180978 | total time: 1 hours 12 minutes
Epoch: 11 | train MSE: 0.120152 | val MSE: 0.147861 | total time: 1 hours 19 minutes
Epoch: 12 | train MSE: 0.112790 | val MSE: 0.166175 | total time: 1 hours 27 minutes
Epoch: 13 | train MSE: 0.104500 | val MSE: 0.166357 | total time: 1 hours 34 minutes
Epoch: 14 | train MSE: 0.096058 | val MSE: 0.156528 | total time: 1 hours 41 minutes
Epoch: 15 | train MSE: 0.088966 | val MSE: 0.150666 | total time: 1 hours 48 minutes
Epoch: 16 | train MSE: 0.084048 | val MSE: 0.147014 | total time: 1 hours 55 minutes
Epoch: 17 | train MSE: 0.078886 | val MSE: 0.138421 | total time: 2 hours 3 minutes
Epoch: 18 | train MSE: 0.075092 | val MSE: 0.153374 | total time: 2 hours 10 minutes
Epoch: 19 | train MSE: 0.068736 | val MSE: 0.143530 | total time: 2 hours 17 minutes
Epoch: 20 | train MSE: 0.065741 | val MSE: 0.130042 | total time: 2 hours 24 minutes
Epoch: 21 | train MSE: 0.065247 | val MSE: 0.137958 | total time: 2 hours 31 minutes
Epoch: 22 | train MSE: 0.060935 | val MSE: 0.124008 | total time: 2 hours 39 minutes
Epoch: 23 | train MSE: 0.060013 | val MSE: 0.139240 | total time: 2 hours 46 minutes
Epoch: 24 | train MSE: 0.056962 | val MSE: 0.120042 | total time: 2 hours 53 minutes
Epoch: 25 | train MSE: 0.055626 | val MSE: 0.113728 | total time: 3 hours 0 minutes
Epoch: 26 | train MSE: 0.054208 | val MSE: 0.119845 | total time: 3 hours 7 minutes
Epoch: 27 | train MSE: 0.052963 | val MSE: 0.126960 | total time: 3 hours 15 minutes
Epoch: 28 | train MSE: 0.050556 | val MSE: 0.122671 | total time: 3 hours 22 minutes
Epoch: 29 | train MSE: 0.049348 | val MSE: 0.131004 | total time: 3 hours 29 minutes
Epoch: 30 | train MSE: 0.049531 | val MSE: 0.107577 | total time: 3 hours 36 minutes
Epoch: 31 | train MSE: 0.047562 | val MSE: 0.117206 | total time: 3 hours 43 minutes
Epoch: 32 | train MSE: 0.046512 | val MSE: 0.107360 | total time: 3 hours 51 minutes
Epoch: 33 | train MSE: 0.045761 | val MSE: 0.112720 | total time: 3 hours 58 minutes
Epoch: 34 | train MSE: 0.044608 | val MSE: 0.116760 | total time: 4 hours 5 minutes
Epoch: 35 | train MSE: 0.043220 | val MSE: 0.108026 | total time: 4 hours 12 minutes
Epoch: 36 | train MSE: 0.043070 | val MSE: 0.112587 | total time: 4 hours 19 minutes
Epoch: 37 | train MSE: 0.042202 | val MSE: 0.118775 | total time: 4 hours 27 minutes
Epoch: 38 | train MSE: 0.042046 | val MSE: 0.100917 | total time: 4 hours 34 minutes
Epoch: 39 | train MSE: 0.040789 | val MSE: 0.115018 | total time: 4 hours 41 minutes
Epoch: 40 | train MSE: 0.040004 | val MSE: 0.102780 | total time: 4 hours 48 minutes
Epoch: 41 | train MSE: 0.038891 | val MSE: 0.118749 | total time: 4 hours 55 minutes
Epoch: 42 | train MSE: 0.039047 | val MSE: 0.098212 | total time: 5 hours 3 minutes
Epoch: 43 | train MSE: 0.039204 | val MSE: 0.097518 | total time: 5 hours 10 minutes
Epoch: 44 | train MSE: 0.038480 | val MSE: 0.108898 | total time: 5 hours 17 minutes
Epoch: 45 | train MSE: 0.037510 | val MSE: 0.108427 | total time: 5 hours 24 minutes
Epoch: 46 | train MSE: 0.036132 | val MSE: 0.094217 | total time: 5 hours 32 minutes
Epoch: 47 | train MSE: 0.036327 | val MSE: 0.101404 | total time: 5 hours 39 minutes
Epoch: 48 | train MSE: 0.036019 | val MSE: 0.106169 | total time: 5 hours 46 minutes
Epoch: 49 | train MSE: 0.035493 | val MSE: 0.095671 | total time: 5 hours 53 minutes
Epoch: 50 | train MSE: 0.034776 | val MSE: 0.100690 | total time: 6 hours 1 minutes
Epoch: 51 | train MSE: 0.033913 | val MSE: 0.103004 | total time: 6 hours 8 minutes
Epoch: 52 | train MSE: 0.034124 | val MSE: 0.110841 | total time: 6 hours 15 minutes
Epoch: 53 | train MSE: 0.033766 | val MSE: 0.093176 | total time: 6 hours 22 minutes
Epoch: 54 | train MSE: 0.033291 | val MSE: 0.093963 | total time: 6 hours 29 minutes
Epoch: 55 | train MSE: 0.033646 | val MSE: 0.100110 | total time: 6 hours 37 minutes
Epoch: 56 | train MSE: 0.033457 | val MSE: 0.100022 | total time: 6 hours 44 minutes
Epoch: 57 | train MSE: 0.032324 | val MSE: 0.098718 | total time: 6 hours 51 minutes
Epoch: 58 | train MSE: 0.032366 | val MSE: 0.103133 | total time: 6 hours 58 minutes
Epoch: 59 | train MSE: 0.032392 | val MSE: 0.092271 | total time: 7 hours 5 minutes
Epoch: 60 | train MSE: 0.031740 | val MSE: 0.092645 | total time: 7 hours 13 minutes
Epoch: 61 | train MSE: 0.031538 | val MSE: 0.098018 | total time: 7 hours 20 minutes
Epoch: 62 | train MSE: 0.031306 | val MSE: 0.100186 | total time: 7 hours 27 minutes
Epoch: 63 | train MSE: 0.031155 | val MSE: 0.098590 | total time: 7 hours 34 minutes
Epoch: 64 | train MSE: 0.030597 | val MSE: 0.099506 | total time: 7 hours 41 minutes
Epoch: 65 | train MSE: 0.030661 | val MSE: 0.099590 | total time: 7 hours 49 minutes
Epoch: 66 | train MSE: 0.029900 | val MSE: 0.100009 | total time: 7 hours 56 minutes
Epoch: 67 | train MSE: 0.030363 | val MSE: 0.103575 | total time: 8 hours 3 minutes
Epoch: 68 | train MSE: 0.029592 | val MSE: 0.100997 | total time: 8 hours 10 minutes
Epoch: 69 | train MSE: 0.029688 | val MSE: 0.095565 | total time: 8 hours 17 minutes
Epoch: 70 | train MSE: 0.029648 | val MSE: 0.108621 | total time: 8 hours 25 minutes
Epoch: 71 | train MSE: 0.029346 | val MSE: 0.095688 | total time: 8 hours 32 minutes
