[crb_dec_mse_iso_g160_fov_full] device=cuda:0 | UNetCRBDecoder params=1.07M | FOV aug ¼×4 train | val=normal | G160-A1 decoder · iso 2mm · linear · FOV aug · full P1–P9 | seed=20260824
[crb_dec_mse_iso_g160_fov_full] train 12960 | val 720 | patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9'] hold-out=[]
Epoch: 1 | train MSE: 0.410852 | val MSE: 0.269845 | total time: 0 hours 7 minutes
Epoch: 2 | train MSE: 0.275324 | val MSE: 0.218091 | total time: 0 hours 14 minutes
Epoch: 3 | train MSE: 0.231566 | val MSE: 0.200362 | total time: 0 hours 22 minutes
Epoch: 4 | train MSE: 0.204511 | val MSE: 0.175862 | total time: 0 hours 29 minutes
Epoch: 5 | train MSE: 0.177629 | val MSE: 0.173984 | total time: 0 hours 36 minutes
Epoch: 6 | train MSE: 0.151573 | val MSE: 0.145882 | total time: 0 hours 43 minutes
Epoch: 7 | train MSE: 0.134541 | val MSE: 0.142741 | total time: 0 hours 50 minutes
Epoch: 8 | train MSE: 0.120178 | val MSE: 0.144315 | total time: 0 hours 57 minutes
Epoch: 9 | train MSE: 0.106299 | val MSE: 0.121998 | total time: 1 hours 4 minutes
Epoch: 10 | train MSE: 0.096948 | val MSE: 0.114132 | total time: 1 hours 12 minutes
Epoch: 11 | train MSE: 0.085636 | val MSE: 0.111280 | total time: 1 hours 19 minutes
Epoch: 12 | train MSE: 0.079043 | val MSE: 0.108180 | total time: 1 hours 26 minutes
Epoch: 13 | train MSE: 0.074678 | val MSE: 0.107641 | total time: 1 hours 33 minutes
Epoch: 14 | train MSE: 0.068775 | val MSE: 0.119199 | total time: 1 hours 40 minutes
Epoch: 15 | train MSE: 0.064973 | val MSE: 0.098071 | total time: 1 hours 47 minutes
Epoch: 16 | train MSE: 0.062303 | val MSE: 0.094454 | total time: 1 hours 54 minutes
Epoch: 17 | train MSE: 0.059906 | val MSE: 0.102177 | total time: 2 hours 1 minutes
Epoch: 18 | train MSE: 0.057550 | val MSE: 0.093826 | total time: 2 hours 9 minutes
Epoch: 19 | train MSE: 0.054112 | val MSE: 0.092582 | total time: 2 hours 16 minutes
Epoch: 20 | train MSE: 0.051470 | val MSE: 0.092461 | total time: 2 hours 23 minutes
Epoch: 21 | train MSE: 0.050689 | val MSE: 0.094222 | total time: 2 hours 30 minutes
Epoch: 22 | train MSE: 0.047871 | val MSE: 0.090917 | total time: 2 hours 37 minutes
Epoch: 23 | train MSE: 0.046893 | val MSE: 0.084565 | total time: 2 hours 44 minutes
Epoch: 24 | train MSE: 0.046143 | val MSE: 0.089560 | total time: 2 hours 51 minutes
