experiment	arm	arch	norm	vendor	scan	cos	L1_over_zero	beat
G160-a1_full	a1_full	encoder	minmax	varian	CV_P1_V_01	0.3823	1.0650	51.1
G160-a1_full	a1_full	encoder	minmax	varian	CV_P2_V_01	0.5975	0.8576	96.7
G160-a1_full	a1_full	encoder	minmax	varian	CV_P3_V_01	0.5968	0.8660	83.3
G160-a1_full	a1_full	encoder	minmax	varian	CV_P4_V_01	0.6936	0.7417	94.4
G160-a1_full	a1_full	encoder	minmax	varian	CV_P5_V_01	0.5437	0.8529	97.8
G160-a1_full	a1_full	encoder	minmax	elekta	CE_P1_V_01	0.2531	0.9827	62.2
G160-a1_full	a1_full	encoder	minmax	elekta	CE_P2_V_01	0.1879	1.0122	50.0
G160-a1_full	a1_full	encoder	minmax	elekta	CE_P3_V_01	0.3543	0.9538	86.7
G160-a1_full	a1_full	encoder	minmax	elekta	CE_P4_V_01	0.4059	0.9355	85.6
G160-a1_full	a1_full	encoder	minmax	elekta	CE_P5_V_01	0.4171	0.9364	78.9
G160-a1_full	a1_full	encoder	mu	varian	CV_P1_V_01	0.3674	1.0552	58.9
G160-a1_full	a1_full	encoder	mu	varian	CV_P2_V_01	0.6278	0.8553	94.4
G160-a1_full	a1_full	encoder	mu	varian	CV_P3_V_01	0.6466	0.8283	84.4
G160-a1_full	a1_full	encoder	mu	varian	CV_P4_V_01	0.6912	0.7488	95.6
G160-a1_full	a1_full	encoder	mu	varian	CV_P5_V_01	0.6717	0.7641	98.9
G160-a1_full	a1_full	encoder	mu	elekta	CE_P1_V_01	0.5915	0.8346	98.9
G160-a1_full	a1_full	encoder	mu	elekta	CE_P2_V_01	0.3553	0.9598	77.8
G160-a1_full	a1_full	encoder	mu	elekta	CE_P3_V_01	0.4650	0.9020	87.8
G160-a1_full	a1_full	encoder	mu	elekta	CE_P4_V_01	0.4449	0.9215	81.1
G160-a1_full	a1_full	encoder	mu	elekta	CE_P5_V_01	0.6044	0.8185	88.9
G160-a1_full	a1_full	decoder	minmax	varian	CV_P1_V_01	0.4046	1.0556	53.3
G160-a1_full	a1_full	decoder	minmax	varian	CV_P2_V_01	0.6186	0.8396	100.0
G160-a1_full	a1_full	decoder	minmax	varian	CV_P3_V_01	0.6049	0.8458	83.3
G160-a1_full	a1_full	decoder	minmax	varian	CV_P4_V_01	0.6339	0.7810	97.8
G160-a1_full	a1_full	decoder	minmax	varian	CV_P5_V_01	0.5578	0.8442	97.8
G160-a1_full	a1_full	decoder	minmax	elekta	CE_P1_V_01	-0.1027	1.0454	13.3
G160-a1_full	a1_full	decoder	minmax	elekta	CE_P2_V_01	0.1852	0.9889	74.4
G160-a1_full	a1_full	decoder	minmax	elekta	CE_P3_V_01	0.2459	0.9673	83.3
G160-a1_full	a1_full	decoder	minmax	elekta	CE_P4_V_01	0.4533	0.9175	86.7
G160-a1_full	a1_full	decoder	minmax	elekta	CE_P5_V_01	0.1878	0.9854	73.3
G160-a1_full	a1_full	decoder	mu	varian	CV_P1_V_01	0.3944	1.0626	53.3
G160-a1_full	a1_full	decoder	mu	varian	CV_P2_V_01	0.6171	0.8562	97.8
G160-a1_full	a1_full	decoder	mu	varian	CV_P3_V_01	0.6466	0.8111	86.7
G160-a1_full	a1_full	decoder	mu	varian	CV_P4_V_01	0.6578	0.7680	95.6
G160-a1_full	a1_full	decoder	mu	varian	CV_P5_V_01	0.6876	0.7494	98.9
G160-a1_full	a1_full	decoder	mu	elekta	CE_P1_V_01	0.6280	0.8012	100.0
G160-a1_full	a1_full	decoder	mu	elekta	CE_P2_V_01	0.4299	0.9300	76.7
G160-a1_full	a1_full	decoder	mu	elekta	CE_P3_V_01	0.5271	0.8983	90.0
G160-a1_full	a1_full	decoder	mu	elekta	CE_P4_V_01	0.4694	0.9279	77.8
G160-a1_full	a1_full	decoder	mu	elekta	CE_P5_V_01	0.5555	0.8327	85.6
G160-a1_full	a1_full	both	minmax	varian	CV_P1_V_01	0.4015	1.0717	58.9
G160-a1_full	a1_full	both	minmax	varian	CV_P2_V_01	0.5993	0.8614	97.8
G160-a1_full	a1_full	both	minmax	varian	CV_P3_V_01	0.5925	0.8816	76.7
G160-a1_full	a1_full	both	minmax	varian	CV_P4_V_01	0.6932	0.7387	97.8
G160-a1_full	a1_full	both	minmax	varian	CV_P5_V_01	0.6067	0.8193	100.0
G160-a1_full	a1_full	both	minmax	elekta	CE_P1_V_01	0.2728	0.9770	68.9
G160-a1_full	a1_full	both	minmax	elekta	CE_P2_V_01	0.2237	1.0109	58.9
G160-a1_full	a1_full	both	minmax	elekta	CE_P3_V_01	0.4705	0.9347	78.9
G160-a1_full	a1_full	both	minmax	elekta	CE_P4_V_01	0.5124	0.8987	83.3
G160-a1_full	a1_full	both	minmax	elekta	CE_P5_V_01	0.4459	0.9288	92.2
G160-a1_full	a1_full	both	mu	varian	CV_P1_V_01	0.3949	1.1155	44.4
G160-a1_full	a1_full	both	mu	varian	CV_P2_V_01	0.5956	0.9086	84.4
G160-a1_full	a1_full	both	mu	varian	CV_P3_V_01	0.6423	0.8670	80.0
G160-a1_full	a1_full	both	mu	varian	CV_P4_V_01	0.6590	0.7898	91.1
G160-a1_full	a1_full	both	mu	varian	CV_P5_V_01	0.7048	0.7313	100.0
G160-a1_full	a1_full	both	mu	elekta	CE_P1_V_01	0.6336	0.8113	98.9
G160-a1_full	a1_full	both	mu	elekta	CE_P2_V_01	0.3750	0.9682	76.7
G160-a1_full	a1_full	both	mu	elekta	CE_P3_V_01	0.4174	0.9120	86.7
G160-a1_full	a1_full	both	mu	elekta	CE_P4_V_01	0.4942	0.9353	77.8
G160-a1_full	a1_full	both	mu	elekta	CE_P5_V_01	0.5902	0.8226	88.9
