arm	arch	norm	vendor	cos	L1_over_zero	beat	dist
a0_full	encoder	minmax	varian	0.5674	0.8837	83.6	0.1912
a0_full	encoder	p0.5_p99.5	varian	0.5493	0.8812	84.0	0.0719
a0_full	encoder	p1_p99	varian	0.5416	0.8870	83.3	0.0698
a0_full	encoder	p2_p98	varian	0.5316	0.8937	82.2	0.0706
a0_full	encoder	p5_p95	varian	0.5147	0.9072	81.1	0.0769
a0_full	encoder	mu_air_water	varian	0.4848	0.8962	84.2	0.0887
a0_full	encoder	minmax	elekta	0.3901	0.9783	67.3	0.6226
a0_full	encoder	p0.5_p99.5	elekta	0.4526	0.9271	77.8	0.3158
a0_full	encoder	p1_p99	elekta	0.4607	0.9184	79.1	0.2740
a0_full	encoder	p2_p98	elekta	0.4716	0.9076	82.7	0.2395
a0_full	encoder	p5_p95	elekta	0.4660	0.9055	83.6	0.2185
a0_full	encoder	mu_air_water	elekta	0.4986	0.8894	86.0	0.2429
a0_full	decoder	minmax	varian	0.5509	0.8995	81.6	0.1912
a0_full	decoder	p0.5_p99.5	varian	0.5640	0.9430	67.3	0.0719
a0_full	decoder	p1_p99	varian	0.5589	0.9368	68.4	0.0698
a0_full	decoder	p2_p98	varian	0.5574	0.9385	70.0	0.0706
a0_full	decoder	p5_p95	varian	0.5468	0.9837	64.2	0.0769
a0_full	decoder	mu_air_water	varian	0.4595	1.0156	62.9	0.0887
a0_full	decoder	minmax	elekta	0.1516	0.9919	50.2	0.6226
a0_full	decoder	p0.5_p99.5	elekta	0.3389	0.9640	64.4	0.3158
a0_full	decoder	p1_p99	elekta	0.4104	0.9375	74.0	0.2740
a0_full	decoder	p2_p98	elekta	0.4826	0.9069	77.8	0.2395
a0_full	decoder	p5_p95	elekta	0.5008	0.8976	80.0	0.2185
a0_full	decoder	mu_air_water	elekta	0.4791	0.8996	84.2	0.2429
a0_full	both	minmax	varian	0.5576	0.9001	81.1	0.1912
a0_full	both	p0.5_p99.5	varian	0.5776	0.8951	80.0	0.0719
a0_full	both	p1_p99	varian	0.5720	0.8941	80.4	0.0698
a0_full	both	p2_p98	varian	0.5668	0.8915	81.1	0.0706
a0_full	both	p5_p95	varian	0.5661	0.8932	80.7	0.0769
a0_full	both	mu_air_water	varian	0.5922	0.8619	83.1	0.0887
a0_full	both	minmax	elekta	0.2357	0.9982	56.4	0.6226
a0_full	both	p0.5_p99.5	elekta	0.4815	0.9035	84.2	0.3158
a0_full	both	p1_p99	elekta	0.5072	0.8927	82.7	0.2740
a0_full	both	p2_p98	elekta	0.5281	0.8812	82.9	0.2395
a0_full	both	p5_p95	elekta	0.5285	0.8790	83.3	0.2185
a0_full	both	mu_air_water	elekta	0.4838	0.8958	85.1	0.2429
a0h	encoder	minmax	varian	0.5334	0.9202	76.9	0.1912
a0h	encoder	p0.5_p99.5	varian	0.5288	0.8985	81.6	0.0719
a0h	encoder	p1_p99	varian	0.5202	0.9007	83.1	0.0698
a0h	encoder	p2_p98	varian	0.5083	0.9047	82.7	0.0706
a0h	encoder	p5_p95	varian	0.4814	0.9127	81.8	0.0769
a0h	encoder	mu_air_water	varian	0.2773	0.9767	57.6	0.0887
a0h	encoder	minmax	elekta	0.3715	0.9826	66.9	0.6226
a0h	encoder	p0.5_p99.5	elekta	0.4835	0.9074	80.9	0.3158
a0h	encoder	p1_p99	elekta	0.4979	0.8981	82.9	0.2740
a0h	encoder	p2_p98	elekta	0.5120	0.8882	84.4	0.2395
a0h	encoder	p5_p95	elekta	0.4844	0.9002	83.8	0.2185
a0h	encoder	mu_air_water	elekta	0.4892	0.9024	82.7	0.2429
a0h	decoder	minmax	varian	0.5026	0.9308	75.8	0.1912
a0h	decoder	p0.5_p99.5	varian	0.5280	0.8976	80.9	0.0719
a0h	decoder	p1_p99	varian	0.5117	0.9060	80.7	0.0698
a0h	decoder	p2_p98	varian	0.4904	0.9160	79.6	0.0706
a0h	decoder	p5_p95	varian	0.4597	0.9275	80.0	0.0769
a0h	decoder	mu_air_water	varian	0.3411	0.9620	72.4	0.0887
a0h	decoder	minmax	elekta	0.0335	0.9999	44.9	0.6226
a0h	decoder	p0.5_p99.5	elekta	0.3554	0.9402	82.4	0.3158
a0h	decoder	p1_p99	elekta	0.4414	0.9111	85.1	0.2740
a0h	decoder	p2_p98	elekta	0.4597	0.9025	84.9	0.2395
a0h	decoder	p5_p95	elekta	0.4211	0.9183	83.8	0.2185
a0h	decoder	mu_air_water	elekta	0.4542	0.9068	82.4	0.2429
a1_full	encoder	minmax	varian	0.5628	0.8767	84.7	0.1912
a1_full	encoder	p0.5_p99.5	varian	0.5807	0.8611	87.6	0.0719
a1_full	encoder	p1_p99	varian	0.5785	0.8626	88.2	0.0698
a1_full	encoder	p2_p98	varian	0.5748	0.8659	87.8	0.0706
a1_full	encoder	p5_p95	varian	0.5677	0.8728	86.4	0.0769
a1_full	encoder	mu_air_water	varian	0.6009	0.8503	86.4	0.0887
a1_full	encoder	minmax	elekta	0.3237	0.9641	72.7	0.6226
a1_full	encoder	p0.5_p99.5	elekta	0.4633	0.9033	84.2	0.3158
a1_full	encoder	p1_p99	elekta	0.4760	0.8987	84.0	0.2740
a1_full	encoder	p2_p98	elekta	0.4792	0.8978	84.0	0.2395
a1_full	encoder	p5_p95	elekta	0.4741	0.9023	84.4	0.2185
a1_full	encoder	mu_air_water	elekta	0.4923	0.8873	86.9	0.2429
a1_full	decoder	minmax	varian	0.5640	0.8732	86.4	0.1912
a1_full	decoder	p0.5_p99.5	varian	0.5699	0.8668	87.3	0.0719
a1_full	decoder	p1_p99	varian	0.5677	0.8675	87.6	0.0698
a1_full	decoder	p2_p98	varian	0.5697	0.8656	88.0	0.0706
a1_full	decoder	p5_p95	varian	0.5731	0.8614	87.8	0.0769
a1_full	decoder	mu_air_water	varian	0.6007	0.8495	86.4	0.0887
a1_full	decoder	minmax	elekta	0.1939	0.9809	66.2	0.6226
a1_full	decoder	p0.5_p99.5	elekta	0.5368	0.8626	86.9	0.3158
a1_full	decoder	p1_p99	elekta	0.5523	0.8545	85.8	0.2740
a1_full	decoder	p2_p98	elekta	0.5530	0.8541	86.0	0.2395
a1_full	decoder	p5_p95	elekta	0.5425	0.8641	85.3	0.2185
a1_full	decoder	mu_air_water	elekta	0.5220	0.8780	86.0	0.2429
a1_full	both	minmax	varian	0.5786	0.8746	86.2	0.1912
a1_full	both	p0.5_p99.5	varian	0.5867	0.9052	76.0	0.0719
