arm	arch	norm	vendor	scan	cos	L1_over_zero	beat	dist
a0_full	encoder	minmax	varian	CV_P1_V_01	0.3904	1.0864	43.3	0.1610
a0_full	encoder	p0.5_p99.5	varian	CV_P1_V_01	0.3668	1.0299	52.2	0.0288
a0_full	encoder	p1_p99	varian	CV_P1_V_01	0.3613	1.0284	50.0	0.0232
a0_full	encoder	p2_p98	varian	CV_P1_V_01	0.3532	1.0356	47.8	0.0205
a0_full	encoder	p5_p95	varian	CV_P1_V_01	0.3495	1.0683	41.1	0.0213
a0_full	encoder	mu_air_water	varian	CV_P1_V_01	0.2529	1.0215	58.9	0.0659
a0_full	encoder	minmax	varian	CV_P2_V_01	0.6109	0.8435	97.8	0.4205
a0_full	encoder	p0.5_p99.5	varian	CV_P2_V_01	0.5073	0.9334	87.8	0.0594
a0_full	encoder	p1_p99	varian	CV_P2_V_01	0.4919	0.9380	88.9	0.0529
a0_full	encoder	p2_p98	varian	CV_P2_V_01	0.4728	0.9417	86.7	0.0504
a0_full	encoder	p5_p95	varian	CV_P2_V_01	0.4398	0.9449	87.8	0.0550
a0_full	encoder	mu_air_water	varian	CV_P2_V_01	0.4098	0.9408	82.2	0.1054
a0_full	encoder	minmax	varian	CV_P3_V_01	0.6125	0.8731	82.2	0.1063
a0_full	encoder	p0.5_p99.5	varian	CV_P3_V_01	0.5989	0.8381	90.0	0.0832
a0_full	encoder	p1_p99	varian	CV_P3_V_01	0.5940	0.8494	90.0	0.0853
a0_full	encoder	p2_p98	varian	CV_P3_V_01	0.5887	0.8562	90.0	0.0870
a0_full	encoder	p5_p95	varian	CV_P3_V_01	0.5763	0.8610	90.0	0.0967
a0_full	encoder	mu_air_water	varian	CV_P3_V_01	0.5678	0.8656	86.7	0.0858
a0_full	encoder	minmax	varian	CV_P4_V_01	0.6661	0.7659	96.7	0.0964
a0_full	encoder	p0.5_p99.5	varian	CV_P4_V_01	0.6583	0.7804	95.6	0.1185
a0_full	encoder	p1_p99	varian	CV_P4_V_01	0.6539	0.7861	94.4	0.1245
a0_full	encoder	p2_p98	varian	CV_P4_V_01	0.6484	0.7930	94.4	0.1315
a0_full	encoder	p5_p95	varian	CV_P4_V_01	0.6369	0.8060	94.4	0.1329
a0_full	encoder	mu_air_water	varian	CV_P4_V_01	0.5845	0.8409	94.4	0.0916
a0_full	encoder	minmax	varian	CV_P5_V_01	0.5571	0.8497	97.8	0.1719
a0_full	encoder	p0.5_p99.5	varian	CV_P5_V_01	0.6151	0.8245	94.4	0.0698
a0_full	encoder	p1_p99	varian	CV_P5_V_01	0.6070	0.8332	93.3	0.0631
a0_full	encoder	p2_p98	varian	CV_P5_V_01	0.5948	0.8420	92.2	0.0636
a0_full	encoder	p5_p95	varian	CV_P5_V_01	0.5707	0.8558	92.2	0.0786
a0_full	encoder	mu_air_water	varian	CV_P5_V_01	0.6092	0.8120	98.9	0.0950
a0_full	encoder	minmax	elekta	CE_P1_V_01	0.4273	0.9823	63.3	0.5805
a0_full	encoder	p0.5_p99.5	elekta	CE_P1_V_01	0.5624	0.8718	90.0	0.2785
a0_full	encoder	p1_p99	elekta	CE_P1_V_01	0.5556	0.8735	88.9	0.2620
a0_full	encoder	p2_p98	elekta	CE_P1_V_01	0.5505	0.8751	90.0	0.2670
a0_full	encoder	p5_p95	elekta	CE_P1_V_01	0.5427	0.8719	93.3	0.2699
a0_full	encoder	mu_air_water	elekta	CE_P1_V_01	0.6103	0.8280	100.0	0.2672
a0_full	encoder	minmax	elekta	CE_P2_V_01	0.2537	1.0909	32.2	0.6714
a0_full	encoder	p0.5_p99.5	elekta	CE_P2_V_01	0.3106	1.0264	50.0	0.4051
a0_full	encoder	p1_p99	elekta	CE_P2_V_01	0.3204	1.0085	54.4	0.3655
a0_full	encoder	p2_p98	elekta	CE_P2_V_01	0.3709	0.9661	68.9	0.2564
a0_full	encoder	p5_p95	elekta	CE_P2_V_01	0.3890	0.9481	73.3	0.1586
a0_full	encoder	mu_air_water	elekta	CE_P2_V_01	0.3866	0.9618	76.7	0.3298
a0_full	encoder	minmax	elekta	CE_P3_V_01	0.3578	0.9755	70.0	0.9794
a0_full	encoder	p0.5_p99.5	elekta	CE_P3_V_01	0.4406	0.9396	74.4	0.5161
a0_full	encoder	p1_p99	elekta	CE_P3_V_01	0.4611	0.9261	78.9	0.4334
a0_full	encoder	p2_p98	elekta	CE_P3_V_01	0.4678	0.9191	80.0	0.3976
a0_full	encoder	p5_p95	elekta	CE_P3_V_01	0.4418	0.9260	77.8	0.3938
a0_full	encoder	mu_air_water	elekta	CE_P3_V_01	0.4691	0.9006	83.3	0.3726
a0_full	encoder	minmax	elekta	CE_P4_V_01	0.4226	0.9343	82.2	0.4818
a0_full	encoder	p0.5_p99.5	elekta	CE_P4_V_01	0.4730	0.8959	88.9	0.1079
a0_full	encoder	p1_p99	elekta	CE_P4_V_01	0.4737	0.8940	87.8	0.0850
a0_full	encoder	p2_p98	elekta	CE_P4_V_01	0.4684	0.8956	86.7	0.0808
a0_full	encoder	p5_p95	elekta	CE_P4_V_01	0.4520	0.9030	85.6	0.0867
a0_full	encoder	mu_air_water	elekta	CE_P4_V_01	0.4442	0.9240	82.2	0.0628
a0_full	encoder	minmax	elekta	CE_P5_V_01	0.4891	0.9086	88.9	0.3998
a0_full	encoder	p0.5_p99.5	elekta	CE_P5_V_01	0.4762	0.9017	85.6	0.2712
a0_full	encoder	p1_p99	elekta	CE_P5_V_01	0.4927	0.8901	85.6	0.2241
a0_full	encoder	p2_p98	elekta	CE_P5_V_01	0.5003	0.8822	87.8	0.1956
a0_full	encoder	p5_p95	elekta	CE_P5_V_01	0.5043	0.8784	87.8	0.1834
a0_full	encoder	mu_air_water	elekta	CE_P5_V_01	0.5826	0.8328	87.8	0.1820
a0_full	decoder	minmax	varian	CV_P1_V_01	0.3660	1.0919	40.0	0.1610
a0_full	decoder	p0.5_p99.5	varian	CV_P1_V_01	0.3737	1.1571	37.8	0.0288
a0_full	decoder	p1_p99	varian	CV_P1_V_01	0.3653	1.1095	42.2	0.0232
a0_full	decoder	p2_p98	varian	CV_P1_V_01	0.3716	1.0599	55.6	0.0205
a0_full	decoder	p5_p95	varian	CV_P1_V_01	0.3647	1.2083	31.1	0.0213
a0_full	decoder	mu_air_water	varian	CV_P1_V_01	0.2460	1.3588	24.4	0.0659
a0_full	decoder	minmax	varian	CV_P2_V_01	0.6032	0.8512	97.8	0.4205
a0_full	decoder	p0.5_p99.5	varian	CV_P2_V_01	0.4566	1.1035	40.0	0.0594
a0_full	decoder	p1_p99	varian	CV_P2_V_01	0.4440	1.1226	40.0	0.0529
a0_full	decoder	p2_p98	varian	CV_P2_V_01	0.4460	1.1678	32.2	0.0504
a0_full	decoder	p5_p95	varian	CV_P2_V_01	0.4504	1.2057	30.0	0.0550
a0_full	decoder	mu_air_water	varian	CV_P2_V_01	0.2571	1.1750	21.1	0.1054
a0_full	decoder	minmax	varian	CV_P3_V_01	0.5811	0.9145	72.2	0.1063
a0_full	decoder	p0.5_p99.5	varian	CV_P3_V_01	0.6269	0.9342	70.0	0.0832
a0_full	decoder	p1_p99	varian	CV_P3_V_01	0.6288	0.9205	71.1	0.0853
a0_full	decoder	p2_p98	varian	CV_P3_V_01	0.6293	0.9172	73.3	0.0870
a0_full	decoder	p5_p95	varian	CV_P3_V_01	0.6180	0.9223	72.2	0.0967
a0_full	decoder	mu_air_water	varian	CV_P3_V_01	0.5826	0.9004	78.9	0.0858
a0_full	decoder	minmax	varian	CV_P4_V_01	0.6460	0.7856	97.8	0.0964
