experiment	arch	norm	patient	cos	L1_over_zero	beat
DIR	encoder	minmax	P1_DIR	-0.1780	1.8507	0.0
DIR	encoder	minmax	P2_DIR	-0.0618	1.7268	0.0
DIR	encoder	minmax	P3_DIR	-0.2597	1.5513	0.0
DIR	encoder	minmax	P4_DIR	-0.3085	1.4046	0.0
DIR	encoder	minmax	P5_DIR	-0.0641	1.3838	0.0
DIR	encoder	minmax	P6_DIR	-0.2018	1.2401	0.0
DIR	encoder	minmax	P7_DIR	-0.2037	1.4316	0.0
DIR	encoder	minmax	P8_DIR	-0.1443	1.2260	0.0
DIR	encoder	minmax	P9_DIR	-0.2538	1.5038	0.0
DIR	encoder	minmax	P10_DIR	-0.1926	1.3261	0.0
DIR	encoder	mu	P1_DIR	-0.0928	1.8038	0.0
DIR	encoder	mu	P2_DIR	-0.0696	1.6517	0.0
DIR	encoder	mu	P3_DIR	-0.1910	1.5201	0.0
DIR	encoder	mu	P4_DIR	-0.1497	1.2398	0.0
DIR	encoder	mu	P5_DIR	-0.0810	1.3500	0.0
DIR	encoder	mu	P6_DIR	-0.0897	1.1295	0.0
DIR	encoder	mu	P7_DIR	-0.1908	1.2992	0.0
DIR	encoder	mu	P8_DIR	-0.1585	1.1915	0.0
DIR	encoder	mu	P9_DIR	-0.1731	1.2690	0.0
DIR	encoder	mu	P10_DIR	-0.1639	1.2371	0.0
DIR	decoder	minmax	P1_DIR	-0.0926	2.0641	0.0
DIR	decoder	minmax	P2_DIR	-0.1078	1.7105	0.0
DIR	decoder	minmax	P3_DIR	-0.1546	1.6837	0.0
DIR	decoder	minmax	P4_DIR	-0.3013	1.4744	0.0
DIR	decoder	minmax	P5_DIR	-0.1436	1.4827	0.0
DIR	decoder	minmax	P6_DIR	-0.2411	1.3297	0.0
DIR	decoder	minmax	P7_DIR	-0.2470	1.4787	0.0
DIR	decoder	minmax	P8_DIR	-0.1652	1.2234	0.0
DIR	decoder	minmax	P9_DIR	-0.2882	1.5517	0.0
DIR	decoder	minmax	P10_DIR	-0.2281	1.3795	0.0
DIR	decoder	mu	P1_DIR	-0.0946	1.7670	0.0
DIR	decoder	mu	P2_DIR	-0.0718	1.6902	0.0
DIR	decoder	mu	P3_DIR	-0.1748	1.5431	0.0
DIR	decoder	mu	P4_DIR	-0.2084	1.4247	0.0
DIR	decoder	mu	P5_DIR	-0.1104	1.4287	0.0
DIR	decoder	mu	P6_DIR	-0.1172	1.2128	0.0
DIR	decoder	mu	P7_DIR	-0.1869	1.3386	0.0
DIR	decoder	mu	P8_DIR	-0.1419	1.1860	0.0
DIR	decoder	mu	P9_DIR	-0.1919	1.4108	0.0
DIR	decoder	mu	P10_DIR	-0.1536	1.2933	0.0
DIR	both	minmax	P1_DIR	-0.0900	2.0232	0.0
DIR	both	minmax	P2_DIR	-0.0700	1.6377	0.0
DIR	both	minmax	P3_DIR	-0.1156	1.5713	0.0
DIR	both	minmax	P4_DIR	-0.2121	1.3412	0.0
DIR	both	minmax	P5_DIR	-0.0933	1.3843	0.0
DIR	both	minmax	P6_DIR	-0.1386	1.2245	0.0
DIR	both	minmax	P7_DIR	-0.1783	1.4051	0.0
DIR	both	minmax	P8_DIR	-0.0875	1.1785	0.0
DIR	both	minmax	P9_DIR	-0.1956	1.4381	0.0
DIR	both	minmax	P10_DIR	-0.1730	1.3039	0.0
DIR	both	mu	P1_DIR	-0.0943	1.9745	0.0
DIR	both	mu	P2_DIR	-0.0462	1.8450	0.0
DIR	both	mu	P3_DIR	-0.1540	1.6930	0.0
DIR	both	mu	P4_DIR	-0.1931	1.5260	0.0
DIR	both	mu	P5_DIR	-0.0818	1.4907	0.0
DIR	both	mu	P6_DIR	-0.1521	1.2726	0.0
DIR	both	mu	P7_DIR	-0.2209	1.5148	0.0
DIR	both	mu	P8_DIR	-0.1182	1.2336	0.0
DIR	both	mu	P9_DIR	-0.1922	1.5695	0.0
DIR	both	mu	P10_DIR	-0.1813	1.3531	0.0
