pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.031172	0.000000	3117245.994508	nan	nan
01_to_02	pair	0.178513	0.098186	1.818100	-0.09291025777633055	1.1065955696781558
01_to_03	pair	0.647604	0.338750	1.911747	-0.15815806795251766	0.9448828970084048
01_to_04	pair	0.984635	0.563282	1.748032	-0.18726119221114887	0.9213228742468361
01_to_05	pair	1.195583	0.759942	1.573256	-0.132245187226804	0.803666966902263
01_to_06	pair	1.372503	0.924939	1.483886	-0.09758653337778282	0.7497449008039134
01_to_07	pair	1.375132	0.871887	1.577190	-0.09423443561938977	0.8592477034143693
01_to_08	pair	1.179281	0.603873	1.952862	-0.1330988239982093	1.1113670054926934
01_to_09	pair	0.850661	0.324484	2.621579	-0.16264723764375455	1.5108630128770022
01_to_10	pair	0.374384	0.093881	3.987835	-0.11812204970367984	2.902828906680774
02_to_01	pair	0.207988	0.092451	2.249708	-0.15071692343806858	1.4067872903843137
02_to_02	identity	0.033039	0.000000	3303901.106119	nan	nan
02_to_03	pair	0.374301	0.239097	1.565475	-0.13288508803614285	0.6260661052191656
02_to_04	pair	0.756615	0.479162	1.579040	-0.18895787309671452	0.772065518278358
02_to_05	pair	0.983158	0.649368	1.514022	-0.13742954683952857	0.7357453208899155
02_to_06	pair	1.199412	0.820958	1.460992	-0.08525634453012082	0.7049148719269134
02_to_07	pair	1.242273	0.781236	1.590138	-0.08008598306945078	0.8176363872330586
02_to_08	pair	1.046577	0.502568	2.082456	-0.10289068027627943	1.1333493173770544
02_to_09	pair	0.793061	0.270873	2.927801	-0.15320235355648407	1.6699700479894282
02_to_10	pair	0.406759	0.117838	3.451852	-0.05895788790182372	2.7333703961426994
03_to_01	pair	0.633936	0.316167	2.005063	-0.19443659836091304	0.9801841462152568
03_to_02	pair	0.387606	0.224810	1.724146	-0.18606029870505977	0.7802225106469985
03_to_03	identity	0.032417	0.000000	3241674.602032	nan	nan
03_to_04	pair	0.311323	0.201920	1.541814	-0.2074816604101447	0.7705762210906639
03_to_05	pair	0.543863	0.347019	1.567243	-0.13319655525288404	0.7570469927834615
03_to_06	pair	0.786723	0.492044	1.598887	-0.09653992393154258	0.8191852822841843
03_to_07	pair	0.869264	0.460135	1.889151	-0.08312076398089113	1.0652500034336032
03_to_08	pair	0.771528	0.282254	2.733450	-0.07111891370260012	1.6525358431275703
03_to_09	pair	0.564413	0.171818	3.284944	-0.026418209411691405	2.683558686198564
03_to_10	pair	0.547975	0.272843	2.008387	0.07337593733372114	1.0992400225340482
04_to_01	pair	1.002377	0.532861	1.881124	-0.23133069325022723	0.9929560849277137
04_to_02	pair	0.752790	0.449729	1.673876	-0.21023484522288816	0.8572984953868392
04_to_03	pair	0.298730	0.195271	1.529825	-0.2624804458827281	0.7590601281930565
04_to_04	identity	0.032161	0.000000	3216135.129333	nan	nan
04_to_05	pair	0.229449	0.159227	1.441016	-0.04814072870738835	0.5391418092815387
04_to_06	pair	0.434659	0.256222	1.696411	-0.022135095998064586	0.8166128102725753
04_to_07	pair	0.585481	0.245902	2.380950	-0.05666733203859382	1.3728922950037883
04_to_08	pair	0.551408	0.206223	2.673846	0.03830714816699152	1.9314197890096378
04_to_09	pair	0.547843	0.260217	2.105329	0.09677047861645986	1.4204515835102034
04_to_10	pair	0.831025	0.467533	1.777468	0.004691111248533954	0.9456816959235077
05_to_01	pair	1.285608	0.723639	1.776586	-0.2111892560933715	0.936094196540342
05_to_02	pair	1.043234	0.635332	1.642030	-0.19693333724844778	0.8389810851070165
05_to_03	pair	0.581388	0.341282	1.703541	-0.20198988307442134	0.9077930930278193
05_to_04	pair	0.226723	0.160413	1.413372	-0.11802440358698676	0.5052560615357283
05_to_05	identity	0.034935	0.000000	3493543.714285	nan	nan
05_to_06	pair	0.176434	0.113551	1.553781	0.10560175527025951	0.7983626956497332
05_to_07	pair	0.358699	0.133526	2.686369	-0.07803026121670699	1.799374776419867
05_to_08	pair	0.449551	0.206047	2.181785	0.07890351112061968	1.586127477193234
05_to_09	pair	0.641573	0.367805	1.744328	0.06768423640606594	0.9518668870314522
05_to_10	pair	1.000631	0.623229	1.605559	0.02345789928781922	0.8094497629432161
06_to_01	pair	1.474154	0.861946	1.710262	-0.2251804121406164	0.9210542053215642
06_to_02	pair	1.280101	0.782620	1.635660	-0.22477885142169704	0.8306966474463179
06_to_03	pair	0.849648	0.478182	1.776830	-0.22881880558804388	0.9772373776071246
06_to_04	pair	0.446786	0.249485	1.790831	-0.1417365314869736	0.8416010288435226
06_to_05	pair	0.182082	0.115838	1.571862	-0.15398863911461455	0.6749567608201286
06_to_06	identity	0.046946	0.000000	4694550.111890	nan	nan
06_to_07	pair	0.177465	0.084592	2.097881	-0.22969371821104978	1.2010912901625805
06_to_08	pair	0.405651	0.254365	1.594755	0.038073314157890864	0.8780218137322877
06_to_09	pair	0.703807	0.449718	1.564996	0.024754712946071067	0.7922315048135727
06_to_10	pair	1.130052	0.765090	1.477018	0.009730315153300443	0.7357506951656495
07_to_01	pair	1.494414	0.825528	1.810252	-0.2806970758886222	1.0118575956858513
07_to_02	pair	1.372293	0.744409	1.843466	-0.2575133286748855	0.9757364253860807
07_to_03	pair	0.965446	0.453183	2.130366	-0.25427311247377665	1.1861110603470129
07_to_04	pair	0.591559	0.243686	2.427549	-0.1769180338204892	1.3110964637944733
07_to_05	pair	0.317714	0.129461	2.454133	-0.1827283835483773	1.5665658490732495
07_to_06	pair	0.146115	0.080502	1.815052	0.015558343069978853	1.2018870047751697
07_to_07	identity	0.059446	0.000000	5944646.522403	nan	nan
07_to_08	pair	0.265165	0.192133	1.380115	-0.09374104692193436	0.6351172910375846
07_to_09	pair	0.636347	0.400925	1.587199	0.029528908153668917	0.890880895265249
07_to_10	pair	1.084971	0.720569	1.505715	0.0026732371986370506	0.8195626380752596
08_to_01	pair	1.300180	0.576845	2.253951	-0.2806198545446949	1.2695454828419805
08_to_02	pair	1.210137	0.495228	2.443597	-0.2611622720914677	1.3175264934196913
08_to_03	pair	0.870577	0.279425	3.115600	-0.19666646990541825	1.8309761902365804
08_to_04	pair	0.553067	0.206577	2.677294	-0.0008486601942391478	1.9606213675193456
08_to_05	pair	0.447616	0.200134	2.236583	0.04568673170404373	1.5673199885934497
08_to_06	pair	0.405680	0.251381	1.613806	0.09587161839128117	0.9313590518631069
08_to_07	pair	0.244003	0.194837	1.252345	0.25782330425351213	0.6603698003521881
08_to_08	identity	0.062549	0.000000	6254879.385233	nan	nan
08_to_09	pair	0.359376	0.187391	1.917790	-0.022955785681578408	1.1727637665158295
08_to_10	pair	0.812761	0.457929	1.774863	-0.015327520987078826	1.051334062443134
09_to_01	pair	0.985628	0.306959	3.210948	-0.28167050856043074	1.8425962087435261
09_to_02	pair	0.954620	0.260486	3.664769	-0.25132834346075794	2.052655841864048
09_to_03	pair	0.653143	0.172255	3.791720	-0.050453569094421925	3.002794263765213
09_to_04	pair	0.599550	0.265138	2.261272	0.04340577677363904	1.565995160141765
09_to_05	pair	0.697563	0.376683	1.851859	0.004390600802554293	1.0195670919652962
09_to_06	pair	0.759689	0.482331	1.575036	0.004743552242824767	0.8071955779406282
09_to_07	pair	0.610833	0.420127	1.453925	0.05038851875544738	0.781544039918412
09_to_08	pair	0.318679	0.202708	1.572109	0.09142621592003447	0.8602414273943908
09_to_09	identity	0.051978	0.000000	5197770.893574	nan	nan
09_to_10	pair	0.465950	0.212647	2.191193	-0.0972967002549367	1.2347218266896693
10_to_01	pair	0.436793	0.091503	4.773538	-0.25458557653556724	3.0677283739966112
10_to_02	pair	0.451158	0.120212	3.753029	-0.11741620066559683	2.8308737228768237
10_to_03	pair	0.572006	0.281444	2.032400	0.056220222700224066	1.1438170546848379
10_to_04	pair	0.847860	0.485679	1.745721	-0.0465156191498606	0.9267307855583687
10_to_05	pair	1.041184	0.651305	1.598613	-0.04939480195668971	0.8245906388895069
10_to_06	pair	1.156027	0.803373	1.438967	-0.021731083698978235	0.7281362490779161
10_to_07	pair	1.081457	0.756676	1.429220	0.0026500045475592875	0.754751497191122
