pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.055050	0.000000	5504962.801933	nan	nan
01_to_02	pair	0.315035	0.252963	1.245379	-0.10415808730313071	0.5474209270907925
01_to_03	pair	0.925943	0.717270	1.290926	-0.17651555904926322	0.5486159433627643
01_to_04	pair	1.348696	0.987739	1.365437	-0.19198402038001997	0.650263298882458
01_to_05	pair	1.741182	1.226927	1.419141	-0.2101441197658909	0.6940985222368653
01_to_06	pair	1.982329	1.320091	1.501661	-0.24479382755508525	0.7727186747057713
01_to_07	pair	1.728975	1.044299	1.655633	-0.2942847377613333	0.9169908458609486
01_to_08	pair	1.319287	0.763052	1.728962	-0.3176588050136657	0.9503782097114951
01_to_09	pair	0.734042	0.415043	1.768593	-0.2886892545284176	1.0464493329705897
01_to_10	pair	0.269711	0.173935	1.550640	-0.23927557220457657	0.8505573160601557
02_to_01	pair	0.336122	0.246529	1.363418	-0.19805283503769985	0.6313292870952214
02_to_02	identity	0.051183	0.000000	5118331.313133	nan	nan
02_to_03	pair	0.592252	0.492222	1.203220	-0.1473369568617153	0.39742765142841124
02_to_04	pair	1.050957	0.767267	1.369741	-0.2197310830969413	0.6290925989009116
02_to_05	pair	1.500482	1.006434	1.490890	-0.238409085108556	0.743218147554087
02_to_06	pair	1.740286	1.094269	1.590365	-0.25038115524529975	0.8457251466941113
02_to_07	pair	1.576923	0.893034	1.765803	-0.3126060042635997	0.9562335529879322
02_to_08	pair	1.230576	0.664021	1.853219	-0.2976865734364177	0.9976964063673878
02_to_09	pair	0.719481	0.404652	1.778021	-0.21955754498309907	1.035583523756232
02_to_10	pair	0.417791	0.289625	1.442525	-0.10232291589778027	0.8454228540014985
03_to_01	pair	0.946033	0.703336	1.345066	-0.2354812089853563	0.5652241724467431
03_to_02	pair	0.630116	0.494193	1.275039	-0.2586348086662639	0.46179380397210235
03_to_03	identity	0.055783	0.000000	5578300.729394	nan	nan
03_to_04	pair	0.392681	0.248042	1.583121	-0.21068012975220804	0.8729080433712593
03_to_05	pair	0.861140	0.466828	1.844660	-0.2689010870612066	1.0783964478356396
03_to_06	pair	1.154709	0.579987	1.990924	-0.2803407284845868	1.2074770865687563
03_to_07	pair	1.090305	0.479112	2.275678	-0.2752455968607734	1.4520464929748507
03_to_08	pair	0.852537	0.474917	1.795129	-0.13076729863516112	1.1208992260755897
03_to_09	pair	0.744291	0.544467	1.367008	-0.04357756974682604	0.8063026651436147
03_to_10	pair	0.902330	0.668067	1.350657	-0.09818310107060185	0.6916433715574918
04_to_01	pair	1.346121	0.969517	1.388445	-0.22891126578073268	0.6270859913509841
04_to_02	pair	1.062220	0.759038	1.399429	-0.23061923042417815	0.6453311175163362
04_to_03	pair	0.433588	0.250225	1.732794	-0.26418782190601386	1.0467382261812546
04_to_04	identity	0.063964	0.000000	6396414.339542	nan	nan
04_to_05	pair	0.376216	0.213784	1.759790	-0.2004212498988426	0.972202387198052
04_to_06	pair	0.690063	0.329542	2.094008	-0.24437197236888733	1.2915478209417284
04_to_07	pair	0.726605	0.353709	2.054247	-0.1502862496248031	1.3234417639833662
04_to_08	pair	0.732277	0.551869	1.326905	-0.0334675158794817	0.7683638277212658
04_to_09	pair	1.019653	0.743209	1.371960	-0.12177248563172235	0.7201187131553569
04_to_10	pair	1.335536	0.897402	1.488225	-0.1725519197918915	0.798592747779965
05_to_01	pair	1.655612	1.163038	1.423523	-0.22241254019294615	0.6649323200003522
05_to_02	pair	1.422851	0.970885	1.465520	-0.21793345839036216	0.7208699426562685
05_to_03	pair	0.842809	0.467119	1.804270	-0.22829873385727592	1.0843065027283043
05_to_04	pair	0.409585	0.229558	1.784232	-0.18914514548156933	1.049019981381501
05_to_05	identity	0.082683	0.000000	8268278.837204	nan	nan
05_to_06	pair	0.298429	0.140122	2.129785	-0.18599790282313608	1.4724289680759155
05_to_07	pair	0.476210	0.333146	1.429435	-0.004779590020088435	0.8706249782628108
05_to_08	pair	0.830323	0.621383	1.336251	-0.07969599662890778	0.7027589186692487
05_to_09	pair	1.343613	0.901170	1.490965	-0.17900233228473234	0.7881860837876402
05_to_10	pair	1.708011	1.093098	1.562541	-0.20364810008475512	0.834995053220981
06_to_01	pair	1.835073	1.233153	1.488115	-0.2301047208814427	0.7591549088273847
06_to_02	pair	1.622186	1.055026	1.537578	-0.23014488861330357	0.8310645294183288
06_to_03	pair	1.097524	0.562325	1.951760	-0.24043865062272382	1.2247754746996833
06_to_04	pair	0.707365	0.335443	2.108747	-0.20931249967896132	1.37100436516991
06_to_05	pair	0.295289	0.150336	1.964200	-0.09503986742563456	1.4029404243913048
06_to_06	identity	0.081506	0.000000	8150620.758533	nan	nan
06_to_07	pair	0.379483	0.307664	1.233435	0.010982214051361952	0.5608170663542684
06_to_08	pair	0.938021	0.666030	1.408377	-0.11372594025104867	0.7473782523702682
06_to_09	pair	1.491151	0.934169	1.596232	-0.22237661150129676	0.8841371693008656
06_to_10	pair	1.872119	1.151417	1.625926	-0.23590849183747634	0.9192741499882261
07_to_01	pair	1.625068	1.017952	1.596409	-0.27392315968610886	0.87065812942289
07_to_02	pair	1.479165	0.882969	1.675218	-0.2668913562347277	0.9252285701012298
07_to_03	pair	1.102697	0.486641	2.265935	-0.2517093324259696	1.4575305725696655
07_to_04	pair	0.779956	0.357794	2.179902	-0.1355732933585029	1.4585181722983174
07_to_05	pair	0.474565	0.321585	1.475706	0.020417574158344904	0.9439849627872386
07_to_06	pair	0.349684	0.293903	1.189797	0.04702108416202155	0.4846513417365613
07_to_07	identity	0.070483	0.000000	7048340.886831	nan	nan
07_to_08	pair	0.513426	0.288743	1.778140	-0.2012421276805697	1.1752150203365082
07_to_09	pair	1.043742	0.626598	1.665728	-0.28453237217125554	0.9851017762611425
07_to_10	pair	1.483147	0.891077	1.664443	-0.2902670866890132	0.9559126707056333
08_to_01	pair	1.188973	0.755517	1.573722	-0.25216054628479234	0.8287857308246
08_to_02	pair	1.154836	0.679030	1.700713	-0.24593129723893342	0.8749502557910244
08_to_03	pair	0.870235	0.480628	1.810621	-0.1854344385849731	1.0665219099050083
08_to_04	pair	0.726671	0.547969	1.326116	-0.08885483989812636	0.7425687340168211
08_to_05	pair	0.796196	0.639813	1.244420	-0.0435235924012847	0.5821366754836089
08_to_06	pair	0.862269	0.674413	1.278547	-0.10055913236377498	0.5752296054896557
08_to_07	pair	0.409930	0.285183	1.437427	-0.12696192739261566	0.7975331809727436
08_to_08	identity	0.076553	0.000000	7655318.081379	nan	nan
08_to_09	pair	0.527338	0.308766	1.707890	-0.2886632068196664	1.028059102387482
08_to_10	pair	0.982487	0.605869	1.621615	-0.27276278352976024	0.9475626031063457
09_to_01	pair	0.657965	0.419756	1.567494	-0.18322859970990593	0.8663468303448032
09_to_02	pair	0.685350	0.418900	1.636070	-0.1982614535279326	0.8568441095979957
09_to_03	pair	0.716041	0.542679	1.319455	-0.17494223367231154	0.677490124025812
09_to_04	pair	0.972752	0.760116	1.279740	-0.17334914862797454	0.5479193396714208
09_to_05	pair	1.222311	0.913279	1.338376	-0.17360688034968594	0.5875272391343345
09_to_06	pair	1.355733	0.968588	1.399701	-0.19995378524806853	0.6655202149913628
09_to_07	pair	0.927425	0.627112	1.478882	-0.22168074056564	0.7860742002757595
09_to_08	pair	0.449736	0.312159	1.440727	-0.20421834365808927	0.6812963753276573
09_to_09	identity	0.057938	0.000000	5793801.322579	nan	nan
09_to_10	pair	0.401966	0.231089	1.739443	-0.17345820712134222	1.1592199159893015
10_to_01	pair	0.259619	0.178250	1.456483	-0.12305740391786538	0.7674720663835055
10_to_02	pair	0.386126	0.295396	1.307148	-0.23587825548354527	0.5734148647603995
10_to_03	pair	0.876416	0.674275	1.299791	-0.23533627399709586	0.5047844431702168
10_to_04	pair	1.253639	0.920998	1.361175	-0.2164971396689012	0.5995460478705679
10_to_05	pair	1.606674	1.143358	1.405223	-0.22036189885992674	0.6485721713240399
10_to_06	pair	1.733686	1.206294	1.437200	-0.21011976671945307	0.7101594195829856
10_to_07	pair	1.368004	0.912449	1.499266	-0.22451536261270233	0.7865403968218637
10_to_08	pair	0.892499	0.607909	1.468146	-0.20489829130303008	0.7383295745066647
10_to_09	pair	0.343487	0.235584	1.458023	-0.10767374778128816	0.7575255912717753
