pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.022865	0.000000	2286515.757442	nan	nan
01_to_02	pair	0.419784	0.309921	1.354489	-0.1914954635796222	0.4985664928409053
01_to_03	pair	1.095494	0.789851	1.386964	-0.18546316902712373	0.5552768509172148
01_to_04	pair	1.609807	1.121162	1.435838	-0.15651471589287624	0.6003022641782048
01_to_05	pair	1.973415	1.382766	1.427150	-0.13977394320550057	0.5865805510240212
01_to_06	pair	2.079533	1.436393	1.447746	-0.12064969096701497	0.6030553709241766
01_to_07	pair	1.862540	1.247345	1.493203	-0.15559244996691368	0.6440261700431074
01_to_08	pair	1.373391	0.861334	1.594493	-0.2102461209471863	0.7094158407526007
01_to_09	pair	0.817746	0.478237	1.709918	-0.32765099130608816	0.8588783198221852
01_to_10	pair	0.364607	0.252036	1.446648	-0.3224680966920254	0.505328582530982
02_to_01	pair	0.421545	0.302811	1.392105	-0.19150399346926789	0.5343530378876222
02_to_02	identity	0.026729	0.000000	2672881.633043	nan	nan
02_to_03	pair	0.612378	0.415215	1.474847	-0.1246424171564298	0.6416049892876506
02_to_04	pair	1.111767	0.738397	1.505650	-0.11168899955890679	0.6549090082182745
02_to_05	pair	1.471349	0.978157	1.504206	-0.1092508491370806	0.653296374316476
02_to_06	pair	1.626122	1.058564	1.536158	-0.09636983253785752	0.6654417848969487
02_to_07	pair	1.421856	0.890137	1.597345	-0.11232673735464413	0.6975544936684286
02_to_08	pair	0.984672	0.580319	1.696777	-0.17742592318049646	0.7763889791466932
02_to_09	pair	0.577939	0.358328	1.612878	-0.3346378305918294	0.7394200815963666
02_to_10	pair	0.437541	0.317906	1.376321	-0.26999889445776526	0.4964908175235
03_to_01	pair	1.039495	0.752218	1.381907	-0.12142183460768233	0.5668426903358406
03_to_02	pair	0.560900	0.396371	1.415089	-0.08100535259602284	0.5982264537372356
03_to_03	identity	0.028643	0.000000	2864300.645888	nan	nan
03_to_04	pair	0.405722	0.251306	1.614453	-0.06620703676650432	0.7643945279006636
03_to_05	pair	0.750391	0.487461	1.539388	-0.08635611691967798	0.6984171605842125
