pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.028125	0.000000	2812504.209578	nan	nan
01_to_02	pair	0.356110	0.266319	1.337159	-0.13056834350784635	0.5888513729617659
01_to_03	pair	1.044637	0.813923	1.283460	-0.07221220228444615	0.4765261735514322
01_to_04	pair	1.777417	1.394023	1.275027	-0.09311865166404348	0.4816862539972403
01_to_05	pair	2.262160	1.744656	1.296622	-0.0960552490225858	0.48534723970930327
01_to_06	pair	2.392334	1.810141	1.321629	-0.10118733087143678	0.5090501652930798
01_to_07	pair	2.170049	1.675684	1.295023	-0.1400069070945767	0.4928309238503351
01_to_08	pair	1.679480	1.313446	1.278682	-0.2035369048409058	0.46147246703692335
01_to_09	pair	0.994655	0.784468	1.267937	-0.22903580048793717	0.4164213054072182
01_to_10	pair	0.343889	0.287829	1.194769	-0.262900734449677	0.31422601041577214
02_to_01	pair	0.358027	0.255284	1.402465	-0.15841482283287658	0.6313721363467242
02_to_02	identity	0.030115	0.000000	3011494.129896	nan	nan
02_to_03	pair	0.667115	0.530024	1.258651	-0.02338677570206154	0.40644004453349114
02_to_04	pair	1.346715	1.070989	1.257450	-0.08381615526836832	0.43897334319844705
02_to_05	pair	1.848685	1.439334	1.284403	-0.08843901824543152	0.4606274713062089
02_to_06	pair	2.002372	1.509188	1.326787	-0.09307476071129457	0.5039260198122016
02_to_07	pair	1.835865	1.412038	1.300153	-0.1459161926911791	0.48347096673513873
02_to_08	pair	1.394398	1.103844	1.263221	-0.22894134369515323	0.42822735487325686
02_to_09	pair	0.736064	0.595037	1.237005	-0.3566517780118648	0.3546061077218665
02_to_10	pair	0.407995	0.324415	1.257631	-0.42476328371603117	0.4298292631681273
03_to_01	pair	1.012959	0.764444	1.325093	-0.08592071561375869	0.5162934048625236
03_to_02	pair	0.633878	0.502792	1.260717	-0.026938998525402023	0.4094966688352347
03_to_03	identity	0.030412	0.000000	3041164.390743	nan	nan
03_to_04	pair	0.554700	0.433689	1.279027	-0.1578045295666406	0.5393666186848917
03_to_05	pair	1.031389	0.789936	1.305663	-0.12912500981604644	0.5174322019151107
03_to_06	pair	1.165559	0.846729	1.376543	-0.1372968390208252	0.59728796487458
03_to_07	pair	1.058914	0.806257	1.313370	-0.22801629346504712	0.5318201486060669
03_to_08	pair	0.809141	0.646842	1.250911	-0.4327191268500262	0.39865198371348415
03_to_09	pair	0.706466	0.565950	1.248283	-0.2761549122184284	0.43784332388539354
03_to_10	pair	0.837263	0.620759	1.348773	-0.1371084767144582	0.5418400573899066
04_to_01	pair	1.625913	1.267187	1.283088	-0.10379413399400846	0.4813754553706844
04_to_02	pair	1.244624	1.005512	1.237801	-0.07645838373105479	0.42807350502491154
04_to_03	pair	0.514257	0.420294	1.223566	-0.11427179473791495	0.4772826695306549
04_to_04	identity	0.034798	0.000000	3479824.215174	nan	nan
04_to_05	pair	0.396875	0.291425	1.361843	-0.08882163004624809	0.5698847042549895
04_to_06	pair	0.548949	0.378353	1.450891	-0.13181499971993313	0.6706969593851851
04_to_07	pair	0.591365	0.456250	1.296143	-0.3003715380087359	0.494197497255798
04_to_08	pair	0.704055	0.572623	1.229525	-0.24734821653507758	0.4659125144893891
04_to_09	pair	1.029129	0.808052	1.273592	-0.10932814691992382	0.5137521419986316
04_to_10	pair	1.404683	1.082767	1.297308	-0.10653608783156152	0.5057545486365802
05_to_01	pair	2.055835	1.581000	1.300338	-0.12262016919022035	0.47960991036819445
05_to_02	pair	1.704798	1.334825	1.277170	-0.10992481514521857	0.44835316332059744
05_to_03	pair	0.964261	0.758545	1.271198	-0.11821462187058086	0.48683348230665496
05_to_04	pair	0.373594	0.291145	1.283189	-0.013099452799485488	0.524751015097675
05_to_05	identity	0.037970	0.000000	3797025.978565	nan	nan
05_to_06	pair	0.201620	0.147687	1.365181	-0.1892637755342679	0.7115808313520388
05_to_07	pair	0.487342	0.400041	1.218232	-0.2399296020479968	0.3828027056846239
05_to_08	pair	0.883197	0.690016	1.279965	-0.11866666478634548	0.5264119841027746
05_to_09	pair	1.343854	1.014580	1.324541	-0.10116565779872021	0.5464981143205317
05_to_10	pair	1.769841	1.315156	1.345727	-0.1357386732385921	0.5282175189612833
06_to_01	pair	2.201852	1.629240	1.351459	-0.14553369660524967	0.5148510997824662
06_to_02	pair	1.845827	1.385405	1.332338	-0.1325583304388754	0.49574945093850137
06_to_03	pair	1.106109	0.821219	1.346910	-0.15390535984137768	0.5632310947747642
06_to_04	pair	0.528710	0.378859	1.395529	-0.11813671553402251	0.6495536627292139
06_to_05	pair	0.195384	0.149961	1.302895	-0.11164032815621501	0.6622159094950213
06_to_06	identity	0.038235	0.000000	3823508.694768	nan	nan
06_to_07	pair	0.427606	0.356897	1.198120	-0.09266580117681494	0.42249722321682714
06_to_08	pair	0.927129	0.697164	1.329857	-0.09035436155525234	0.6029766115708165
06_to_09	pair	1.426369	1.024950	1.391648	-0.10918034567101391	0.611800937506179
06_to_10	pair	1.901036	1.356378	1.401553	-0.1537791349092627	0.565684906177256
07_to_01	pair	2.023202	1.528596	1.323569	-0.16321679425057511	0.49923993272883377
07_to_02	pair	1.723710	1.351094	1.275788	-0.1544420761448555	0.4565153515307477
07_to_03	pair	1.051687	0.815936	1.288933	-0.22086324999897974	0.5109426549365141
07_to_04	pair	0.596211	0.474886	1.255482	-0.2270206582754884	0.4721097787538524
07_to_05	pair	0.479488	0.416023	1.152551	-0.1483548156245271	0.31216052482092704
07_to_06	pair	0.427351	0.372501	1.147248	-0.05148427711080184	0.35649562531081125
07_to_07	identity	0.042798	0.000000	4279822.856188	nan	nan
07_to_08	pair	0.543098	0.393241	1.381080	-0.08009356077244119	0.584877661069021
07_to_09	pair	1.107956	0.801232	1.382816	-0.11692361027246106	0.5737927542853947
07_to_10	pair	1.682797	1.233012	1.364785	-0.1797680192833377	0.5358634967489428
08_to_01	pair	1.630075	1.295517	1.258243	-0.16697389042712718	0.4301164547296639
08_to_02	pair	1.358655	1.105372	1.229138	-0.20017963428879962	0.38633354330233194
08_to_03	pair	0.822173	0.671465	1.224447	-0.36700049656245504	0.36487235786304434
08_to_04	pair	0.694276	0.586034	1.184703	-0.1867926651272494	0.4153207329845597
08_to_05	pair	0.886056	0.722920	1.225662	-0.08082060309374457	0.46324069836135984
08_to_06	pair	0.943551	0.733953	1.285574	-0.06672883061201629	0.5490906792205383
08_to_07	pair	0.520977	0.399518	1.304014	-0.07176983361569285	0.5104553004950545
08_to_08	identity	0.030786	0.000000	3078621.253371	nan	nan
08_to_09	pair	0.581569	0.447862	1.298544	-0.1046627212148914	0.46738761970531234
08_to_10	pair	1.210686	0.937892	1.290859	-0.18552876477523658	0.47696449548864017
09_to_01	pair	0.994318	0.790134	1.258417	-0.19855338317216942	0.40399428475295174
09_to_02	pair	0.770426	0.628678	1.225470	-0.34635276245932356	0.3382021219622284
09_to_03	pair	0.708785	0.580436	1.221126	-0.19256372067455158	0.4272048231135693
09_to_04	pair	1.038790	0.833863	1.245756	-0.07707338483344511	0.5114830657661378
