pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.032343	0.000000	3234252.333641	nan	nan
01_to_02	pair	0.407593	0.252963	1.611274	-0.19401940783035665	1.119360579421438
01_to_03	pair	1.107036	0.717270	1.543402	-0.2091261162435773	0.9327091786632932
01_to_04	pair	1.538548	0.987739	1.557646	-0.19804533887200204	0.9652324355919469
01_to_05	pair	1.911090	1.226927	1.557623	-0.19375242355109185	0.9318979504096678
01_to_06	pair	2.100329	1.320091	1.591049	-0.20071382715815692	0.9474200210531879
01_to_07	pair	1.877607	1.044299	1.797960	-0.24544786957591297	1.1488208195894218
01_to_08	pair	1.409844	0.763052	1.847639	-0.287949501810324	1.132058223150209
01_to_09	pair	0.788836	0.415043	1.900611	-0.3026563719832579	1.2106377042941883
01_to_10	pair	0.285043	0.173935	1.638789	-0.30734876695630925	0.8830059615683852
02_to_01	pair	0.313047	0.246529	1.269820	-0.1497544556749226	0.5628783953685993
02_to_02	identity	0.033471	0.000000	3347074.240446	nan	nan
02_to_03	pair	0.675939	0.492222	1.373240	-0.22994054826812996	0.5897293904278567
02_to_04	pair	1.126322	0.767267	1.467967	-0.2610437993475317	0.7296433869845291
02_to_05	pair	1.518239	1.006434	1.508533	-0.2540491859001502	0.7639102478583807
02_to_06	pair	1.702607	1.094269	1.555931	-0.2326534575728774	0.8281731323188072
02_to_07	pair	1.561142	0.893034	1.748132	-0.30290544192032015	1.000670981313952
02_to_08	pair	1.143842	0.664021	1.722600	-0.357400415995254	0.8853757758491071
02_to_09	pair	0.702886	0.404652	1.737011	-0.36058837211111894	0.9258025216455387
02_to_10	pair	0.392253	0.289625	1.354348	-0.3014194414003392	0.620404796112774
03_to_01	pair	0.921128	0.703336	1.309655	-0.22949750086678872	0.546645369671505
03_to_02	pair	0.597688	0.494193	1.209421	-0.24145452695089673	0.3576268108400874
03_to_03	identity	0.036186	0.000000	3618593.513966	nan	nan
03_to_04	pair	0.417798	0.248042	1.684383	-0.22187717258965325	0.995548380599768
03_to_05	pair	0.761582	0.466828	1.631395	-0.2847722651050524	0.8375003901203543
03_to_06	pair	0.979974	0.579987	1.689650	-0.2745365254192901	0.8963476074503333
03_to_07	pair	0.874717	0.479112	1.825703	-0.3785641900753889	1.0276330421576954
03_to_08	pair	0.724297	0.474917	1.525102	-0.40511690559515695	0.7304187168063015
03_to_09	pair	0.707203	0.544467	1.298890	-0.37192823609752035	0.5407231310891105
03_to_10	pair	0.921218	0.668067	1.378930	-0.22165623591227532	0.6399298974709468
04_to_01	pair	1.319317	0.969517	1.360798	-0.20380834641216816	0.6440114598833981
04_to_02	pair	1.033405	0.759038	1.361465	-0.26517969652838386	0.5887130000376343
04_to_03	pair	0.350703	0.250225	1.401553	-0.22477906297579703	0.6670946856538681
04_to_04	identity	0.027627	0.000000	2762732.096016	nan	nan
04_to_05	pair	0.337601	0.213784	1.579166	-0.24591053284966696	0.7794462345087964
04_to_06	pair	0.537822	0.329542	1.632029	-0.2837310526593057	0.7950355054439784
04_to_07	pair	0.572777	0.353709	1.619344	-0.36938719437151873	0.806769208145594
04_to_08	pair	0.688040	0.551869	1.246746	-0.3896480184071909	0.47960624982912864
04_to_09	pair	0.987018	0.743209	1.328049	-0.27621336660306034	0.5587071439565099
04_to_10	pair	1.298758	0.897402	1.447243	-0.20151258926277563	0.747063191746361
05_to_01	pair	1.675107	1.163038	1.440285	-0.18028289978545328	0.7416586521132966
05_to_02	pair	1.360605	0.970885	1.401407	-0.23237423635284915	0.6413025245619918
05_to_03	pair	0.666482	0.467119	1.426793	-0.22590429340969434	0.6626411716287824
05_to_04	pair	0.301820	0.229558	1.314790	-0.18508742868534497	0.5130344420570354
05_to_05	identity	0.026810	0.000000	2680951.915681	nan	nan
05_to_06	pair	0.218731	0.140122	1.561010	-0.1539065466339136	0.8823227601597957
05_to_07	pair	0.415156	0.333146	1.246169	-0.2977607031681413	0.4997962233819978
05_to_08	pair	0.773193	0.621383	1.244311	-0.23781776579563121	0.4858829363928305
05_to_09	pair	1.255958	0.901170	1.393697	-0.18569673393666716	0.6632297550979706
05_to_10	pair	1.599602	1.093098	1.463365	-0.17176104474730522	0.7753999440712284
06_to_01	pair	1.785102	1.233153	1.447592	-0.1990045621079996	0.7357865566003491
06_to_02	pair	1.556543	1.055026	1.475360	-0.24763624860650427	0.715163404132611
06_to_03	pair	0.905854	0.562325	1.610907	-0.2941152919053359	0.7809891866231041
06_to_04	pair	0.520064	0.335443	1.550378	-0.3155580049629524	0.6648331634677869
06_to_05	pair	0.209200	0.150336	1.391556	-0.26169719137994774	0.5799355860733582
06_to_06	identity	0.033289	0.000000	3328903.391957	nan	nan
06_to_07	pair	0.367016	0.307664	1.192914	-0.32139585672077636	0.36581198647762625
06_to_08	pair	0.833185	0.666030	1.250973	-0.24301839477049134	0.48216299243487104
06_to_09	pair	1.318286	0.934169	1.411185	-0.22334046726976675	0.6852175256768983
06_to_10	pair	1.728470	1.151417	1.501168	-0.22505317207192768	0.7968327531771301
07_to_01	pair	1.618629	1.017952	1.590083	-0.23706229086803707	0.8637617564299275
07_to_02	pair	1.347469	0.882969	1.526067	-0.2642259551132891	0.7665279446761935
07_to_03	pair	0.843988	0.486641	1.734312	-0.368573526212254	0.9058654167655096
07_to_04	pair	0.592364	0.357794	1.655600	-0.4358766762925575	0.7840336976249029
07_to_05	pair	0.426715	0.321585	1.326912	-0.37986549756804505	0.5532781629662505
07_to_06	pair	0.341387	0.293903	1.161565	-0.2968673636089945	0.31174279118623166
07_to_07	identity	0.023566	0.000000	2356553.263962	nan	nan
07_to_08	pair	0.398947	0.288743	1.381667	-0.11838640591325324	0.7028765698950586
07_to_09	pair	0.969515	0.626598	1.547268	-0.18856139428955915	0.8965690389036274
07_to_10	pair	1.477090	0.891077	1.657645	-0.20068728489185833	1.0151552869075553
08_to_01	pair	1.189892	0.755517	1.574938	-0.22388821356627825	0.8493177043790137
08_to_02	pair	1.042229	0.679030	1.534878	-0.2841736450083371	0.7349339873358787
08_to_03	pair	0.688246	0.480628	1.431975	-0.4120791427077603	0.645804161975528
08_to_04	pair	0.702600	0.547969	1.282189	-0.4217634272570864	0.526379683811854
08_to_05	pair	0.823951	0.639813	1.287799	-0.29637871424549206	0.5281537154181313
08_to_06	pair	0.882112	0.674413	1.307969	-0.169395560999913	0.580234999724428
08_to_07	pair	0.406950	0.285183	1.426979	-0.13629618171704094	0.7557057676433976
08_to_08	identity	0.022476	0.000000	2247559.837997	nan	nan
08_to_09	pair	0.461777	0.308766	1.495556	-0.1333821106841347	0.826733556541444
08_to_10	pair	0.995939	0.605869	1.643819	-0.18028054027420362	1.0268547200389544
09_to_01	pair	0.699023	0.419756	1.665307	-0.23571039457672543	0.9290972247011916
09_to_02	pair	0.638614	0.418900	1.524502	-0.31429762538316264	0.7208919775688213
09_to_03	pair	0.727505	0.542679	1.340580	-0.415716033048317	0.5817580771675094
09_to_04	pair	1.026376	0.760116	1.350288	-0.30218903080929965	0.5904066702817962
09_to_05	pair	1.293020	0.913279	1.415800	-0.2084823937863272	0.7026838285707924
09_to_06	pair	1.432243	0.968588	1.478692	-0.1806735583249404	0.8167027485367572
09_to_07	pair	0.994041	0.627112	1.585110	-0.2012752273489871	0.9664700177530041
09_to_08	pair	0.497994	0.312159	1.595321	-0.19082204971476077	0.9330848991056607
09_to_09	identity	0.023345	0.000000	2334523.200989	nan	nan
