pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.039084	0.000000	3908430.039883	nan	nan
01_to_02	pair	0.449420	0.397285	1.131228	0.06650017054418003	0.30520505945060694
01_to_03	pair	0.970130	0.842261	1.151816	-0.009323163118156745	0.33799213328316424
01_to_04	pair	1.367959	1.173042	1.166164	-0.03747676528286891	0.37900615260127035
01_to_05	pair	1.552677	1.280928	1.212150	-0.08057662012582106	0.45265286841059
01_to_06	pair	1.821545	1.497558	1.216344	-0.11741735566140245	0.44137462342697176
01_to_07	pair	1.961693	1.683334	1.165361	-0.16247631560301928	0.34341375913707156
01_to_08	pair	1.839976	1.661585	1.107362	-0.12723456868820796	0.23106190358595788
01_to_09	pair	1.130901	1.031108	1.096782	-0.19157445070221624	0.1779215174218388
01_to_10	pair	0.424744	0.395348	1.074356	-0.2981981138572988	0.13782658417402158
02_to_01	pair	0.417053	0.394142	1.058128	-0.0668255631023573	0.16021730466559306
02_to_02	identity	0.042318	0.000000	4231751.710176	nan	nan
02_to_03	pair	0.504271	0.438776	1.149267	0.03489130037982874	0.3846745215404937
02_to_04	pair	0.907831	0.774871	1.171590	-0.003531792090128438	0.424177829306831
02_to_05	pair	1.129579	0.896008	1.260679	-0.07662815169619389	0.5536601390388258
02_to_06	pair	1.410154	1.137971	1.239183	-0.11192271606372174	0.488326366902469
02_to_07	pair	1.532248	1.302232	1.176633	-0.159429677836422	0.3606235049341915
02_to_08	pair	1.441498	1.296460	1.111872	-0.14045086865687795	0.22215035377016273
02_to_09	pair	0.907407	0.796032	1.139912	-0.3136665329318626	0.24164816876884584
02_to_10	pair	0.441510	0.384578	1.148037	-0.2823847951253233	0.3633951368290433
03_to_01	pair	0.917643	0.823626	1.114150	-0.09053897105025409	0.25468555695877587
03_to_02	pair	0.491512	0.445077	1.104330	-0.14737448029563865	0.23026642412039308
03_to_03	identity	0.050377	0.000000	5037743.598223	nan	nan
03_to_04	pair	0.419480	0.332822	1.260375	-0.008603707380697715	0.5426050370667759
03_to_05	pair	0.602032	0.439581	1.369559	-0.09081078817531882	0.6840817145281578
03_to_06	pair	0.842593	0.640002	1.316546	-0.14822532967662974	0.5564934038376552
03_to_07	pair	0.954572	0.801556	1.190899	-0.17899688703308583	0.35738646081819037
03_to_08	pair	0.966302	0.846368	1.141704	-0.22538711865917194	0.24781600486059902
03_to_09	pair	0.645627	0.512194	1.260512	-0.3383046545692484	0.4575072157753339
03_to_10	pair	0.799960	0.649133	1.232352	-0.13118058782779496	0.44473841865036984
04_to_01	pair	1.282248	1.122066	1.142756	-0.09808103403875225	0.31538159202738586
04_to_02	pair	0.880158	0.759257	1.159236	-0.15779484399288932	0.3342390227389517
04_to_03	pair	0.363213	0.321669	1.129149	-0.20274209279386407	0.2735057344511719
04_to_04	identity	0.049045	0.000000	4904508.218169	nan	nan
04_to_05	pair	0.295907	0.202201	1.463434	-0.12617329503114	0.7821889791936137
04_to_06	pair	0.491641	0.374167	1.313960	-0.16113778715422908	0.4764644488723991
04_to_07	pair	0.618297	0.516306	1.197540	-0.20057997146943168	0.3303689373362419
04_to_08	pair	0.667669	0.520441	1.282892	-0.24563892779365953	0.42231044003106477
04_to_09	pair	0.759670	0.554534	1.369925	-0.2154359588828877	0.6438161962106337
04_to_10	pair	1.124637	0.902655	1.245922	-0.10901668396225797	0.47700909039834355
05_to_01	pair	1.462899	1.230609	1.188760	-0.09896838559524584	0.3929990246911263
05_to_02	pair	1.087474	0.881130	1.234181	-0.1768498591735668	0.46018202220281096
05_to_03	pair	0.537875	0.429680	1.251803	-0.21193216972365284	0.4867424867234696
05_to_04	pair	0.236044	0.204743	1.152878	-0.1722780513160255	0.32631094677191375
05_to_05	identity	0.046611	0.000000	4661122.336984	nan	nan
05_to_06	pair	0.267285	0.218992	1.220523	-0.005552847206178107	0.44106065004289324
05_to_07	pair	0.443325	0.369704	1.199135	-0.15479302948304444	0.393943082858944
05_to_08	pair	0.614974	0.440509	1.396054	-0.1848458946253154	0.6608323658302843
05_to_09	pair	0.836267	0.571901	1.462258	-0.19607969996439678	0.8459673547907045
05_to_10	pair	1.269664	0.985746	1.288024	-0.1225870097648035	0.5471089899559022
06_to_01	pair	1.725497	1.444785	1.194293	-0.1144644882354448	0.38689210227658777
06_to_02	pair	1.346089	1.108832	1.213970	-0.1460286300309448	0.41642019609602987
06_to_03	pair	0.794735	0.630856	1.259773	-0.20043870553392357	0.4539346851122604
06_to_04	pair	0.463428	0.372809	1.243070	-0.17357527591302896	0.3764123775485981
06_to_05	pair	0.241091	0.221555	1.088175	-0.13145783495189844	0.19918540603330698
06_to_06	identity	0.041031	0.000000	4103095.829487	nan	nan
06_to_07	pair	0.241032	0.160091	1.505591	-0.14393560199228275	1.0083688674705384
06_to_08	pair	0.468605	0.257104	1.822630	-0.23537262755121036	1.3400887003248056
06_to_09	pair	0.925409	0.641779	1.441943	-0.1341103398251759	0.7855458406916025
06_to_10	pair	1.446978	1.132414	1.277782	-0.10958135526365632	0.5062149985802264
07_to_01	pair	1.809825	1.586411	1.140830	-0.12769082428401776	0.2979904188835079
07_to_02	pair	1.439715	1.262746	1.140147	-0.14546416898205944	0.2915414504934497
07_to_03	pair	0.929466	0.801213	1.160073	-0.17014281759398805	0.3010110144893387
