Pack DIR-Lab → iso 2.0mm 160³  n=10
[P1_DIR] CT_01 HU[-1024,13616]
[P1_DIR] CT_02 HU[-1024,12922]
[P1_DIR] CT_03 HU[-1024,11923]
[P1_DIR] CT_04 HU[-1024,10851]
[P1_DIR] CT_05 HU[-1024,9673]
[P1_DIR] CT_06 HU[-1024,9448]
[P1_DIR] CT_07 HU[-1024,9524]
[P1_DIR] CT_08 HU[-1024,9800]
[P1_DIR] CT_09 HU[-1024,10903]
[P1_DIR] CT_10 HU[-1024,13445]
[P1_DIR] wrote /home/abhishek/Voxel_GAN/PopulationStudy/DIR-Experiments/Experiment2/packed_iso/P1_DIR/all mask_vox=520004
[P2_DIR] CT_01 HU[-1024,3223]
[P2_DIR] CT_02 HU[-1024,3137]
[P2_DIR] CT_03 HU[-1024,2992]
[P2_DIR] CT_04 HU[-1024,3167]
[P2_DIR] CT_05 HU[-1024,3400]
[P2_DIR] CT_06 HU[-1024,3450]
[P2_DIR] CT_07 HU[-1024,3400]
[P2_DIR] CT_08 HU[-1024,2974]
[P2_DIR] CT_09 HU[-1024,2884]
[P2_DIR] CT_10 HU[-1024,3167]
[P2_DIR] wrote /home/abhishek/Voxel_GAN/PopulationStudy/DIR-Experiments/Experiment2/packed_iso/P2_DIR/all mask_vox=1101696
[P3_DIR] CT_01 HU[-1024,12350]
[P3_DIR] CT_02 HU[-1024,9421]
[P3_DIR] CT_03 HU[-1024,9170]
[P3_DIR] CT_04 HU[-1024,13924]
[P3_DIR] CT_05 HU[-1024,15304]
[P3_DIR] CT_06 HU[-1024,15390]
[P3_DIR] CT_07 HU[-1024,14698]
[P3_DIR] CT_08 HU[-1024,16137]
[P3_DIR] CT_09 HU[-1024,13255]
[P3_DIR] CT_10 HU[-1024,10742]
[P3_DIR] wrote /home/abhishek/Voxel_GAN/PopulationStudy/DIR-Experiments/Experiment2/packed_iso/P3_DIR/all mask_vox=885108
[P4_DIR] CT_01 HU[-1024,4854]
[P4_DIR] CT_02 HU[-1024,5059]
[P4_DIR] CT_03 HU[-1024,4547]
[P4_DIR] CT_04 HU[-1024,4957]
[P4_DIR] CT_05 HU[-1024,5255]
[P4_DIR] CT_06 HU[-1024,5210]
[P4_DIR] CT_07 HU[-1024,5386]
[P4_DIR] CT_08 HU[-1024,4814]
[P4_DIR] CT_09 HU[-1024,5119]
[P4_DIR] CT_10 HU[-1024,4990]
[P4_DIR] wrote /home/abhishek/Voxel_GAN/PopulationStudy/DIR-Experiments/Experiment2/packed_iso/P4_DIR/all mask_vox=680763
[P5_DIR] CT_01 HU[-1024,3071]
[P5_DIR] CT_02 HU[-1024,3071]
[P5_DIR] CT_03 HU[-1024,3071]
[P5_DIR] CT_04 HU[-1024,3071]
[P5_DIR] CT_05 HU[-1024,3071]
[P5_DIR] CT_06 HU[-1024,3071]
[P5_DIR] CT_07 HU[-1024,3071]
[P5_DIR] CT_08 HU[-1024,3071]
[P5_DIR] CT_09 HU[-1024,3071]
[P5_DIR] CT_10 HU[-1024,3071]
[P5_DIR] wrote /home/abhishek/Voxel_GAN/PopulationStudy/DIR-Experiments/Experiment2/packed_iso/P5_DIR/all mask_vox=722381
[P6_DIR] CT_01 HU[-1024,3071]
[P6_DIR] CT_02 HU[-1024,3071]
[P6_DIR] CT_03 HU[-1024,3071]
[P6_DIR] CT_04 HU[-1024,3071]
[P6_DIR] CT_05 HU[-1024,3071]
[P6_DIR] CT_06 HU[-1024,3071]
[P6_DIR] CT_07 HU[-1024,3071]
[P6_DIR] CT_08 HU[-1024,3071]
[P6_DIR] CT_09 HU[-1024,3071]
[P6_DIR] CT_10 HU[-1024,3071]
