[crb_both_mse_pop_e1] device=cuda:0 | UNetCRBBoth params=1.08M | loss=lung-masked MSE | no D | CRB=encoder+decoder | seed=20260817
[crb_both_mse_pop_e1] train 8640 (540 pairs × 16) | val 480 (60 pairs × 8) | train patients=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5'] (QC only)
Epoch: 1 | train MSE: 0.409799 | val MSE: 0.311603 | total time: 0 hours 2 minutes
Epoch: 2 | train MSE: 0.249665 | val MSE: 0.274368 | total time: 0 hours 4 minutes
Epoch: 3 | train MSE: 0.179170 | val MSE: 0.159738 | total time: 0 hours 7 minutes
Epoch: 4 | train MSE: 0.129366 | val MSE: 0.118050 | total time: 0 hours 10 minutes
Epoch: 5 | train MSE: 0.102412 | val MSE: 0.117290 | total time: 0 hours 13 minutes
Epoch: 6 | train MSE: 0.086306 | val MSE: 0.091722 | total time: 0 hours 17 minutes
Epoch: 7 | train MSE: 0.073336 | val MSE: 0.095779 | total time: 0 hours 20 minutes
Epoch: 8 | train MSE: 0.066743 | val MSE: 0.077585 | total time: 0 hours 23 minutes
Epoch: 9 | train MSE: 0.058673 | val MSE: 0.077113 | total time: 0 hours 26 minutes
Epoch: 10 | train MSE: 0.055195 | val MSE: 0.077269 | total time: 0 hours 30 minutes
Epoch: 11 | train MSE: 0.048644 | val MSE: 0.062434 | total time: 0 hours 33 minutes
Epoch: 12 | train MSE: 0.045501 | val MSE: 0.066342 | total time: 0 hours 36 minutes
Epoch: 13 | train MSE: 0.041237 | val MSE: 0.056774 | total time: 0 hours 39 minutes
Epoch: 14 | train MSE: 0.038596 | val MSE: 0.050601 | total time: 0 hours 43 minutes
Epoch: 15 | train MSE: 0.036871 | val MSE: 0.051544 | total time: 0 hours 46 minutes
Epoch: 16 | train MSE: 0.033227 | val MSE: 0.051156 | total time: 0 hours 49 minutes
Epoch: 17 | train MSE: 0.033060 | val MSE: 0.046883 | total time: 0 hours 52 minutes
Epoch: 18 | train MSE: 0.030309 | val MSE: 0.044989 | total time: 0 hours 56 minutes
Epoch: 19 | train MSE: 0.028935 | val MSE: 0.046765 | total time: 0 hours 59 minutes
Epoch: 20 | train MSE: 0.027467 | val MSE: 0.040314 | total time: 1 hours 2 minutes
Epoch: 21 | train MSE: 0.027118 | val MSE: 0.040328 | total time: 1 hours 6 minutes
Epoch: 22 | train MSE: 0.026825 | val MSE: 0.041566 | total time: 1 hours 9 minutes
Epoch: 23 | train MSE: 0.024623 | val MSE: 0.040371 | total time: 1 hours 12 minutes
Epoch: 24 | train MSE: 0.024290 | val MSE: 0.037207 | total time: 1 hours 15 minutes
Epoch: 25 | train MSE: 0.023406 | val MSE: 0.041099 | total time: 1 hours 19 minutes
Epoch: 26 | train MSE: 0.022788 | val MSE: 0.037578 | total time: 1 hours 22 minutes
Epoch: 27 | train MSE: 0.022911 | val MSE: 0.037336 | total time: 1 hours 25 minutes
Epoch: 28 | train MSE: 0.021909 | val MSE: 0.038190 | total time: 1 hours 28 minutes
Epoch: 29 | train MSE: 0.021294 | val MSE: 0.035113 | total time: 1 hours 32 minutes
Epoch: 30 | train MSE: 0.021162 | val MSE: 0.034506 | total time: 1 hours 35 minutes
Epoch: 31 | train MSE: 0.020649 | val MSE: 0.036323 | total time: 1 hours 38 minutes
Epoch: 32 | train MSE: 0.019702 | val MSE: 0.033185 | total time: 1 hours 42 minutes
Epoch: 33 | train MSE: 0.019900 | val MSE: 0.031766 | total time: 1 hours 45 minutes
Epoch: 34 | train MSE: 0.019420 | val MSE: 0.030302 | total time: 1 hours 48 minutes
Epoch: 35 | train MSE: 0.019085 | val MSE: 0.032144 | total time: 1 hours 51 minutes
Epoch: 36 | train MSE: 0.018538 | val MSE: 0.033062 | total time: 1 hours 55 minutes
Epoch: 37 | train MSE: 0.018673 | val MSE: 0.035884 | total time: 1 hours 58 minutes
Epoch: 38 | train MSE: 0.018532 | val MSE: 0.033409 | total time: 2 hours 1 minutes
Epoch: 39 | train MSE: 0.017790 | val MSE: 0.032880 | total time: 2 hours 5 minutes
Epoch: 40 | train MSE: 0.016775 | val MSE: 0.032861 | total time: 2 hours 8 minutes
Epoch: 41 | train MSE: 0.017049 | val MSE: 0.027602 | total time: 2 hours 11 minutes
Epoch: 42 | train MSE: 0.017031 | val MSE: 0.028011 | total time: 2 hours 14 minutes
Epoch: 43 | train MSE: 0.016787 | val MSE: 0.029087 | total time: 2 hours 18 minutes
Epoch: 44 | train MSE: 0.016448 | val MSE: 0.028736 | total time: 2 hours 21 minutes
Epoch: 45 | train MSE: 0.016407 | val MSE: 0.028233 | total time: 2 hours 24 minutes
Epoch: 46 | train MSE: 0.016095 | val MSE: 0.027550 | total time: 2 hours 27 minutes
Epoch: 47 | train MSE: 0.016219 | val MSE: 0.027381 | total time: 2 hours 31 minutes
Epoch: 48 | train MSE: 0.015875 | val MSE: 0.028267 | total time: 2 hours 34 minutes
Epoch: 49 | train MSE: 0.015702 | val MSE: 0.032275 | total time: 2 hours 37 minutes
Epoch: 50 | train MSE: 0.015470 | val MSE: 0.028273 | total time: 2 hours 41 minutes
Epoch: 51 | train MSE: 0.015412 | val MSE: 0.027181 | total time: 2 hours 44 minutes
Epoch: 52 | train MSE: 0.015347 | val MSE: 0.030427 | total time: 2 hours 47 minutes
Epoch: 53 | train MSE: 0.015231 | val MSE: 0.028181 | total time: 2 hours 50 minutes
Epoch: 54 | train MSE: 0.014646 | val MSE: 0.027899 | total time: 2 hours 54 minutes
Epoch: 55 | train MSE: 0.014694 | val MSE: 0.025765 | total time: 2 hours 57 minutes
Epoch: 56 | train MSE: 0.014195 | val MSE: 0.037309 | total time: 3 hours 0 minutes
Epoch: 57 | train MSE: 0.014823 | val MSE: 0.027699 | total time: 3 hours 3 minutes
Epoch: 58 | train MSE: 0.014208 | val MSE: 0.027973 | total time: 3 hours 7 minutes
Epoch: 59 | train MSE: 0.014073 | val MSE: 0.027840 | total time: 3 hours 10 minutes
Epoch: 60 | train MSE: 0.013866 | val MSE: 0.030281 | total time: 3 hours 13 minutes
Epoch: 61 | train MSE: 0.013690 | val MSE: 0.030042 | total time: 3 hours 17 minutes
Epoch: 62 | train MSE: 0.014171 | val MSE: 0.025040 | total time: 3 hours 20 minutes
Epoch: 63 | train MSE: 0.013257 | val MSE: 0.026502 | total time: 3 hours 23 minutes
Epoch: 64 | train MSE: 0.013593 | val MSE: 0.027252 | total time: 3 hours 26 minutes
Epoch: 65 | train MSE: 0.013524 | val MSE: 0.027690 | total time: 3 hours 29 minutes
Epoch: 66 | train MSE: 0.012931 | val MSE: 0.026226 | total time: 3 hours 32 minutes
Epoch: 67 | train MSE: 0.013232 | val MSE: 0.030247 | total time: 3 hours 35 minutes
Epoch: 68 | train MSE: 0.012970 | val MSE: 0.027354 | total time: 3 hours 38 minutes
Epoch: 69 | train MSE: 0.013146 | val MSE: 0.025175 | total time: 3 hours 41 minutes
Epoch: 70 | train MSE: 0.012819 | val MSE: 0.025147 | total time: 3 hours 43 minutes
Epoch: 71 | train MSE: 0.012537 | val MSE: 0.026117 | total time: 3 hours 45 minutes
Epoch: 72 | train MSE: 0.012549 | val MSE: 0.023158 | total time: 3 hours 48 minutes
Epoch: 73 | train MSE: 0.012616 | val MSE: 0.025321 | total time: 3 hours 50 minutes
Epoch: 74 | train MSE: 0.012278 | val MSE: 0.025374 | total time: 3 hours 53 minutes
Epoch: 75 | train MSE: 0.012556 | val MSE: 0.024093 | total time: 3 hours 55 minutes
Epoch: 76 | train MSE: 0.012109 | val MSE: 0.027958 | total time: 3 hours 57 minutes
Epoch: 77 | train MSE: 0.012011 | val MSE: 0.023571 | total time: 4 hours 0 minutes
Epoch: 78 | train MSE: 0.012202 | val MSE: 0.023925 | total time: 4 hours 2 minutes
Epoch: 79 | train MSE: 0.012022 | val MSE: 0.024466 | total time: 4 hours 5 minutes
Epoch: 80 | train MSE: 0.011751 | val MSE: 0.025696 | total time: 4 hours 7 minutes
Epoch: 81 | train MSE: 0.012121 | val MSE: 0.024051 | total time: 4 hours 9 minutes
Epoch: 82 | train MSE: 0.011667 | val MSE: 0.023117 | total time: 4 hours 12 minutes
Epoch: 83 | train MSE: 0.011804 | val MSE: 0.025297 | total time: 4 hours 14 minutes
Epoch: 84 | train MSE: 0.011411 | val MSE: 0.022279 | total time: 4 hours 16 minutes
Epoch: 85 | train MSE: 0.011488 | val MSE: 0.024287 | total time: 4 hours 19 minutes
Epoch: 86 | train MSE: 0.011281 | val MSE: 0.022516 | total time: 4 hours 21 minutes
Epoch: 87 | train MSE: 0.011382 | val MSE: 0.031666 | total time: 4 hours 24 minutes
