[crb_dec_mse_pop_e2] device=cuda:1 | UNetCRBDecoder params=1.07M | loss=lung-masked MSE | no D | CRB=decoder-only | seed=20260818
[crb_dec_mse_pop_e2] train 5760 (360 pairs × 16) | val 320 (40 pairs × 8) | train patients=['P1', 'P3', 'P4', 'P5'] hold-out=['P7', 'P9'] (QC only)
Epoch: 1 | train MSE: 0.610907 | val MSE: 0.319001 | total time: 0 hours 1 minutes
Epoch: 2 | train MSE: 0.327910 | val MSE: 0.227540 | total time: 0 hours 3 minutes
Epoch: 3 | train MSE: 0.232419 | val MSE: 0.180230 | total time: 0 hours 5 minutes
Epoch: 4 | train MSE: 0.182776 | val MSE: 0.170128 | total time: 0 hours 7 minutes
Epoch: 5 | train MSE: 0.149732 | val MSE: 0.122251 | total time: 0 hours 9 minutes
Epoch: 6 | train MSE: 0.125202 | val MSE: 0.115726 | total time: 0 hours 11 minutes
Epoch: 7 | train MSE: 0.108453 | val MSE: 0.111922 | total time: 0 hours 13 minutes
Epoch: 8 | train MSE: 0.099336 | val MSE: 0.099677 | total time: 0 hours 15 minutes
Epoch: 9 | train MSE: 0.089680 | val MSE: 0.088805 | total time: 0 hours 17 minutes
Epoch: 10 | train MSE: 0.084116 | val MSE: 0.083455 | total time: 0 hours 19 minutes
Epoch: 11 | train MSE: 0.078263 | val MSE: 0.081558 | total time: 0 hours 21 minutes
Epoch: 12 | train MSE: 0.074462 | val MSE: 0.079078 | total time: 0 hours 23 minutes
Epoch: 13 | train MSE: 0.071298 | val MSE: 0.067996 | total time: 0 hours 25 minutes
Epoch: 14 | train MSE: 0.066176 | val MSE: 0.089364 | total time: 0 hours 27 minutes
Epoch: 15 | train MSE: 0.063813 | val MSE: 0.063554 | total time: 0 hours 29 minutes
Epoch: 16 | train MSE: 0.061354 | val MSE: 0.064298 | total time: 0 hours 31 minutes
Epoch: 17 | train MSE: 0.059638 | val MSE: 0.063101 | total time: 0 hours 33 minutes
Epoch: 18 | train MSE: 0.056543 | val MSE: 0.062960 | total time: 0 hours 35 minutes
Epoch: 19 | train MSE: 0.055041 | val MSE: 0.064830 | total time: 0 hours 37 minutes
Epoch: 20 | train MSE: 0.054012 | val MSE: 0.057344 | total time: 0 hours 39 minutes
Epoch: 21 | train MSE: 0.052663 | val MSE: 0.056020 | total time: 0 hours 41 minutes
Epoch: 22 | train MSE: 0.051112 | val MSE: 0.058485 | total time: 0 hours 43 minutes
Epoch: 23 | train MSE: 0.050073 | val MSE: 0.062266 | total time: 0 hours 45 minutes
Epoch: 24 | train MSE: 0.048414 | val MSE: 0.053090 | total time: 0 hours 47 minutes
Epoch: 25 | train MSE: 0.048577 | val MSE: 0.051673 | total time: 0 hours 49 minutes
Epoch: 26 | train MSE: 0.045635 | val MSE: 0.052498 | total time: 0 hours 51 minutes
Epoch: 27 | train MSE: 0.045376 | val MSE: 0.052076 | total time: 0 hours 53 minutes
Epoch: 28 | train MSE: 0.044398 | val MSE: 0.050583 | total time: 0 hours 55 minutes
Epoch: 29 | train MSE: 0.043902 | val MSE: 0.048962 | total time: 0 hours 57 minutes
Epoch: 30 | train MSE: 0.042539 | val MSE: 0.056934 | total time: 0 hours 59 minutes
Epoch: 31 | train MSE: 0.043301 | val MSE: 0.049273 | total time: 1 hours 0 minutes
Epoch: 32 | train MSE: 0.041996 | val MSE: 0.048017 | total time: 1 hours 2 minutes
Epoch: 33 | train MSE: 0.041451 | val MSE: 0.047400 | total time: 1 hours 4 minutes
Epoch: 34 | train MSE: 0.040019 | val MSE: 0.045861 | total time: 1 hours 6 minutes
Epoch: 35 | train MSE: 0.040070 | val MSE: 0.055214 | total time: 1 hours 8 minutes
Epoch: 36 | train MSE: 0.039624 | val MSE: 0.055651 | total time: 1 hours 10 minutes
Epoch: 37 | train MSE: 0.038231 | val MSE: 0.048684 | total time: 1 hours 12 minutes
Epoch: 38 | train MSE: 0.038180 | val MSE: 0.046401 | total time: 1 hours 14 minutes
Epoch: 39 | train MSE: 0.037770 | val MSE: 0.050171 | total time: 1 hours 16 minutes
Epoch: 40 | train MSE: 0.037635 | val MSE: 0.044043 | total time: 1 hours 18 minutes
Epoch: 41 | train MSE: 0.036683 | val MSE: 0.046390 | total time: 1 hours 20 minutes
Epoch: 42 | train MSE: 0.036006 | val MSE: 0.043243 | total time: 1 hours 22 minutes
Epoch: 43 | train MSE: 0.035552 | val MSE: 0.047418 | total time: 1 hours 24 minutes
Epoch: 44 | train MSE: 0.035349 | val MSE: 0.042834 | total time: 1 hours 26 minutes
Epoch: 45 | train MSE: 0.034780 | val MSE: 0.048456 | total time: 1 hours 28 minutes
Epoch: 46 | train MSE: 0.034283 | val MSE: 0.043238 | total time: 1 hours 30 minutes
Epoch: 47 | train MSE: 0.034769 | val MSE: 0.043258 | total time: 1 hours 32 minutes
Epoch: 48 | train MSE: 0.033070 | val MSE: 0.045693 | total time: 1 hours 34 minutes
Epoch: 49 | train MSE: 0.033872 | val MSE: 0.049235 | total time: 1 hours 36 minutes
Epoch: 50 | train MSE: 0.033390 | val MSE: 0.041533 | total time: 1 hours 38 minutes
