[crb_enc_mse_pop_e2] device=cuda:0 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | seed=20260818
[crb_enc_mse_pop_e2] train 5760 (360 pairs × 16) | val 320 (40 pairs × 8) | train patients=['P1', 'P3', 'P4', 'P5'] hold-out=['P7', 'P9'] (QC only)
Epoch: 1 | train MSE: 0.807828 | val MSE: 0.603191 | total time: 0 hours 2 minutes
Epoch: 2 | train MSE: 0.665118 | val MSE: 0.471612 | total time: 0 hours 4 minutes
Epoch: 3 | train MSE: 0.458047 | val MSE: 0.329189 | total time: 0 hours 6 minutes
Epoch: 4 | train MSE: 0.345683 | val MSE: 0.291619 | total time: 0 hours 8 minutes
Epoch: 5 | train MSE: 0.286812 | val MSE: 0.223307 | total time: 0 hours 10 minutes
Epoch: 6 | train MSE: 0.230501 | val MSE: 0.188993 | total time: 0 hours 12 minutes
Epoch: 7 | train MSE: 0.196315 | val MSE: 0.162855 | total time: 0 hours 14 minutes
Epoch: 8 | train MSE: 0.179463 | val MSE: 0.140168 | total time: 0 hours 17 minutes
Epoch: 9 | train MSE: 0.157882 | val MSE: 0.133448 | total time: 0 hours 19 minutes
Epoch: 10 | train MSE: 0.147586 | val MSE: 0.131741 | total time: 0 hours 21 minutes
Epoch: 11 | train MSE: 0.133818 | val MSE: 0.128798 | total time: 0 hours 23 minutes
Epoch: 12 | train MSE: 0.124382 | val MSE: 0.118866 | total time: 0 hours 25 minutes
Epoch: 13 | train MSE: 0.112148 | val MSE: 0.103334 | total time: 0 hours 27 minutes
Epoch: 14 | train MSE: 0.101425 | val MSE: 0.144892 | total time: 0 hours 29 minutes
Epoch: 15 | train MSE: 0.097336 | val MSE: 0.099810 | total time: 0 hours 32 minutes
Epoch: 16 | train MSE: 0.090263 | val MSE: 0.097019 | total time: 0 hours 34 minutes
Epoch: 17 | train MSE: 0.089466 | val MSE: 0.103476 | total time: 0 hours 36 minutes
Epoch: 18 | train MSE: 0.082947 | val MSE: 0.081287 | total time: 0 hours 38 minutes
Epoch: 19 | train MSE: 0.077550 | val MSE: 0.076322 | total time: 0 hours 40 minutes
Epoch: 20 | train MSE: 0.075794 | val MSE: 0.079723 | total time: 0 hours 42 minutes
Epoch: 21 | train MSE: 0.074453 | val MSE: 0.080486 | total time: 0 hours 44 minutes
Epoch: 22 | train MSE: 0.071072 | val MSE: 0.069726 | total time: 0 hours 46 minutes
Epoch: 23 | train MSE: 0.069210 | val MSE: 0.072923 | total time: 0 hours 49 minutes
Epoch: 24 | train MSE: 0.066318 | val MSE: 0.076401 | total time: 0 hours 51 minutes
Epoch: 25 | train MSE: 0.065324 | val MSE: 0.071966 | total time: 0 hours 53 minutes
Epoch: 26 | train MSE: 0.063965 | val MSE: 0.071919 | total time: 0 hours 55 minutes
Epoch: 27 | train MSE: 0.061782 | val MSE: 0.068903 | total time: 0 hours 57 minutes
Epoch: 28 | train MSE: 0.058660 | val MSE: 0.069747 | total time: 0 hours 59 minutes
Epoch: 29 | train MSE: 0.060095 | val MSE: 0.061042 | total time: 1 hours 1 minutes
Epoch: 30 | train MSE: 0.056378 | val MSE: 0.063149 | total time: 1 hours 4 minutes
Epoch: 31 | train MSE: 0.056741 | val MSE: 0.063386 | total time: 1 hours 6 minutes
Epoch: 32 | train MSE: 0.055279 | val MSE: 0.069158 | total time: 1 hours 8 minutes
Epoch: 33 | train MSE: 0.053629 | val MSE: 0.059066 | total time: 1 hours 10 minutes
Epoch: 34 | train MSE: 0.052328 | val MSE: 0.060177 | total time: 1 hours 12 minutes
Epoch: 35 | train MSE: 0.053188 | val MSE: 0.065718 | total time: 1 hours 14 minutes
Epoch: 36 | train MSE: 0.051245 | val MSE: 0.062919 | total time: 1 hours 16 minutes
Epoch: 37 | train MSE: 0.049773 | val MSE: 0.062074 | total time: 1 hours 19 minutes
Epoch: 38 | train MSE: 0.048586 | val MSE: 0.064666 | total time: 1 hours 21 minutes
Epoch: 39 | train MSE: 0.048940 | val MSE: 0.054299 | total time: 1 hours 23 minutes
Epoch: 40 | train MSE: 0.049504 | val MSE: 0.053533 | total time: 1 hours 25 minutes
