[crb_dec_mse_pop_e3] device=cuda:1 | UNetCRBDecoder params=1.07M | episodic L_s + 2.5 L_q | schedule=rotate | seed=20260819
[crb_dec_mse_pop_e3] train pool=['P1', 'P3', 'P4', 'P5'] | true hold-out=['P7', 'P9'] (QC only) | inner zero-out default=P1 | val 320
Epoch: 1 | query=P1 | train(L_s+λL_q): 2.046423 | query MSE: 0.563845 | val MSE: 0.338410 | total time: 0 hours 1 minutes
Epoch: 2 | query=P3 | train(L_s+λL_q): 0.960587 | query MSE: 0.253937 | val MSE: 0.244692 | total time: 0 hours 3 minutes
Epoch: 3 | query=P4 | train(L_s+λL_q): 0.721073 | query MSE: 0.189158 | val MSE: 0.164841 | total time: 0 hours 5 minutes
Epoch: 4 | query=P5 | train(L_s+λL_q): 0.414694 | query MSE: 0.092878 | val MSE: 0.142052 | total time: 0 hours 7 minutes
Epoch: 5 | query=P1 | train(L_s+λL_q): 0.406893 | query MSE: 0.109197 | val MSE: 0.149920 | total time: 0 hours 9 minutes
Epoch: 6 | query=P3 | train(L_s+λL_q): 0.364149 | query MSE: 0.102937 | val MSE: 0.095075 | total time: 0 hours 11 minutes
Epoch: 7 | query=P4 | train(L_s+λL_q): 0.332866 | query MSE: 0.097413 | val MSE: 0.094309 | total time: 0 hours 13 minutes
Epoch: 8 | query=P5 | train(L_s+λL_q): 0.199904 | query MSE: 0.045029 | val MSE: 0.085785 | total time: 0 hours 14 minutes
Epoch: 9 | query=P1 | train(L_s+λL_q): 0.266960 | query MSE: 0.073365 | val MSE: 0.082748 | total time: 0 hours 16 minutes
Epoch: 10 | query=P3 | train(L_s+λL_q): 0.242587 | query MSE: 0.071699 | val MSE: 0.072396 | total time: 0 hours 18 minutes
Epoch: 11 | query=P4 | train(L_s+λL_q): 0.242131 | query MSE: 0.071773 | val MSE: 0.072772 | total time: 0 hours 20 minutes
Epoch: 12 | query=P5 | train(L_s+λL_q): 0.144916 | query MSE: 0.032424 | val MSE: 0.064916 | total time: 0 hours 21 minutes
Epoch: 13 | query=P1 | train(L_s+λL_q): 0.183999 | query MSE: 0.049061 | val MSE: 0.061376 | total time: 0 hours 23 minutes
Epoch: 14 | query=P3 | train(L_s+λL_q): 0.195606 | query MSE: 0.058328 | val MSE: 0.062911 | total time: 0 hours 25 minutes
Epoch: 15 | query=P4 | train(L_s+λL_q): 0.202309 | query MSE: 0.061186 | val MSE: 0.057737 | total time: 0 hours 27 minutes
Epoch: 16 | query=P5 | train(L_s+λL_q): 0.120125 | query MSE: 0.026802 | val MSE: 0.054198 | total time: 0 hours 29 minutes
Epoch: 17 | query=P1 | train(L_s+λL_q): 0.153534 | query MSE: 0.040834 | val MSE: 0.053710 | total time: 0 hours 30 minutes
Epoch: 18 | query=P3 | train(L_s+λL_q): 0.171430 | query MSE: 0.051692 | val MSE: 0.054661 | total time: 0 hours 32 minutes
Epoch: 19 | query=P4 | train(L_s+λL_q): 0.178332 | query MSE: 0.054218 | val MSE: 0.054326 | total time: 0 hours 34 minutes
Epoch: 20 | query=P5 | train(L_s+λL_q): 0.106107 | query MSE: 0.023955 | val MSE: 0.048677 | total time: 0 hours 36 minutes
Epoch: 21 | query=P1 | train(L_s+λL_q): 0.138484 | query MSE: 0.037007 | val MSE: 0.046995 | total time: 0 hours 37 minutes
Epoch: 22 | query=P3 | train(L_s+λL_q): 0.150310 | query MSE: 0.045471 | val MSE: 0.047699 | total time: 0 hours 39 minutes
Epoch: 23 | query=P4 | train(L_s+λL_q): 0.161614 | query MSE: 0.049535 | val MSE: 0.049031 | total time: 0 hours 41 minutes
Epoch: 24 | query=P5 | train(L_s+λL_q): 0.092484 | query MSE: 0.020609 | val MSE: 0.044265 | total time: 0 hours 43 minutes
Epoch: 25 | query=P1 | train(L_s+λL_q): 0.123894 | query MSE: 0.032604 | val MSE: 0.048272 | total time: 0 hours 45 minutes
Epoch: 26 | query=P3 | train(L_s+λL_q): 0.138553 | query MSE: 0.042092 | val MSE: 0.044586 | total time: 0 hours 47 minutes
Epoch: 27 | query=P4 | train(L_s+λL_q): 0.143267 | query MSE: 0.043462 | val MSE: 0.043627 | total time: 0 hours 48 minutes
Epoch: 28 | query=P5 | train(L_s+λL_q): 0.086332 | query MSE: 0.019420 | val MSE: 0.051328 | total time: 0 hours 50 minutes
Epoch: 29 | query=P1 | train(L_s+λL_q): 0.111602 | query MSE: 0.029349 | val MSE: 0.041599 | total time: 0 hours 52 minutes
Epoch: 30 | query=P3 | train(L_s+λL_q): 0.131056 | query MSE: 0.039835 | val MSE: 0.041969 | total time: 0 hours 54 minutes
Epoch: 31 | query=P4 | train(L_s+λL_q): 0.127917 | query MSE: 0.038828 | val MSE: 0.049581 | total time: 0 hours 55 minutes
Epoch: 32 | query=P5 | train(L_s+λL_q): 0.079804 | query MSE: 0.017943 | val MSE: 0.046317 | total time: 0 hours 57 minutes
Epoch: 33 | query=P1 | train(L_s+λL_q): 0.096768 | query MSE: 0.025202 | val MSE: 0.040995 | total time: 0 hours 59 minutes
Epoch: 34 | query=P3 | train(L_s+λL_q): 0.119896 | query MSE: 0.036270 | val MSE: 0.040873 | total time: 1 hours 1 minutes
Epoch: 35 | query=P4 | train(L_s+λL_q): 0.119185 | query MSE: 0.035969 | val MSE: 0.045239 | total time: 1 hours 3 minutes
Epoch: 36 | query=P5 | train(L_s+λL_q): 0.075368 | query MSE: 0.017188 | val MSE: 0.038084 | total time: 1 hours 5 minutes
Epoch: 37 | query=P1 | train(L_s+λL_q): 0.094117 | query MSE: 0.024664 | val MSE: 0.039422 | total time: 1 hours 7 minutes
Epoch: 38 | query=P3 | train(L_s+λL_q): 0.110627 | query MSE: 0.033716 | val MSE: 0.040169 | total time: 1 hours 9 minutes
Epoch: 39 | query=P4 | train(L_s+λL_q): 0.108693 | query MSE: 0.032940 | val MSE: 0.037640 | total time: 1 hours 11 minutes
Epoch: 40 | query=P5 | train(L_s+λL_q): 0.069064 | query MSE: 0.015564 | val MSE: 0.039587 | total time: 1 hours 13 minutes
Epoch: 41 | query=P1 | train(L_s+λL_q): 0.086967 | query MSE: 0.022352 | val MSE: 0.037105 | total time: 1 hours 15 minutes
Epoch: 42 | query=P3 | train(L_s+λL_q): 0.104434 | query MSE: 0.031609 | val MSE: 0.039363 | total time: 1 hours 17 minutes
Epoch: 43 | query=P4 | train(L_s+λL_q): 0.106000 | query MSE: 0.032081 | val MSE: 0.049816 | total time: 1 hours 19 minutes
Epoch: 44 | query=P5 | train(L_s+λL_q): 0.065896 | query MSE: 0.014839 | val MSE: 0.039312 | total time: 1 hours 21 minutes
Epoch: 45 | query=P1 | train(L_s+λL_q): 0.084932 | query MSE: 0.021983 | val MSE: 0.038707 | total time: 1 hours 23 minutes
Epoch: 46 | query=P3 | train(L_s+λL_q): 0.097400 | query MSE: 0.029527 | val MSE: 0.040204 | total time: 1 hours 25 minutes
Epoch: 47 | query=P4 | train(L_s+λL_q): 0.101263 | query MSE: 0.030786 | val MSE: 0.041780 | total time: 1 hours 27 minutes
Epoch: 48 | query=P5 | train(L_s+λL_q): 0.063091 | query MSE: 0.014356 | val MSE: 0.040590 | total time: 1 hours 29 minutes
Epoch: 49 | query=P1 | train(L_s+λL_q): 0.079646 | query MSE: 0.020808 | val MSE: 0.034378 | total time: 1 hours 31 minutes
Epoch: 50 | query=P3 | train(L_s+λL_q): 0.093844 | query MSE: 0.028309 | val MSE: 0.036549 | total time: 1 hours 33 minutes
Epoch: 51 | query=P4 | train(L_s+λL_q): 0.096765 | query MSE: 0.029569 | val MSE: 0.036533 | total time: 1 hours 35 minutes
Epoch: 52 | query=P5 | train(L_s+λL_q): 0.061478 | query MSE: 0.014128 | val MSE: 0.036823 | total time: 1 hours 37 minutes
Epoch: 53 | query=P1 | train(L_s+λL_q): 0.075252 | query MSE: 0.019412 | val MSE: 0.038335 | total time: 1 hours 39 minutes
Epoch: 54 | query=P3 | train(L_s+λL_q): 0.089160 | query MSE: 0.026907 | val MSE: 0.035048 | total time: 1 hours 41 minutes
Epoch: 55 | query=P4 | train(L_s+λL_q): 0.093106 | query MSE: 0.028436 | val MSE: 0.033995 | total time: 1 hours 44 minutes
Epoch: 56 | query=P5 | train(L_s+λL_q): 0.058611 | query MSE: 0.013542 | val MSE: 0.034033 | total time: 1 hours 46 minutes
Epoch: 57 | query=P1 | train(L_s+λL_q): 0.075995 | query MSE: 0.020206 | val MSE: 0.034791 | total time: 1 hours 48 minutes
Epoch: 58 | query=P3 | train(L_s+λL_q): 0.087808 | query MSE: 0.026771 | val MSE: 0.037364 | total time: 1 hours 50 minutes
Epoch: 59 | query=P4 | train(L_s+λL_q): 0.088290 | query MSE: 0.026907 | val MSE: 0.037490 | total time: 1 hours 52 minutes
Epoch: 60 | query=P5 | train(L_s+λL_q): 0.055131 | query MSE: 0.012533 | val MSE: 0.035472 | total time: 1 hours 54 minutes
Epoch: 61 | query=P1 | train(L_s+λL_q): 0.070670 | query MSE: 0.018462 | val MSE: 0.033541 | total time: 1 hours 56 minutes
Epoch: 62 | query=P3 | train(L_s+λL_q): 0.082187 | query MSE: 0.024926 | val MSE: 0.034535 | total time: 1 hours 58 minutes
Epoch: 63 | query=P4 | train(L_s+λL_q): 0.086252 | query MSE: 0.026270 | val MSE: 0.035880 | total time: 2 hours 0 minutes
Epoch: 64 | query=P5 | train(L_s+λL_q): 0.054339 | query MSE: 0.012609 | val MSE: 0.036360 | total time: 2 hours 2 minutes
Epoch: 65 | query=P1 | train(L_s+λL_q): 0.070202 | query MSE: 0.018577 | val MSE: 0.038873 | total time: 2 hours 4 minutes
Epoch: 66 | query=P3 | train(L_s+λL_q): 0.077900 | query MSE: 0.023558 | val MSE: 0.034966 | total time: 2 hours 6 minutes
Epoch: 67 | query=P4 | train(L_s+λL_q): 0.085021 | query MSE: 0.026077 | val MSE: 0.032861 | total time: 2 hours 8 minutes
Epoch: 68 | query=P5 | train(L_s+λL_q): 0.052511 | query MSE: 0.012061 | val MSE: 0.034229 | total time: 2 hours 10 minutes
Epoch: 69 | query=P1 | train(L_s+λL_q): 0.064939 | query MSE: 0.016811 | val MSE: 0.032615 | total time: 2 hours 12 minutes
Epoch: 70 | query=P3 | train(L_s+λL_q): 0.075720 | query MSE: 0.022604 | val MSE: 0.035200 | total time: 2 hours 14 minutes
Epoch: 71 | query=P4 | train(L_s+λL_q): 0.083574 | query MSE: 0.025701 | val MSE: 0.035237 | total time: 2 hours 16 minutes
Epoch: 72 | query=P5 | train(L_s+λL_q): 0.050495 | query MSE: 0.011558 | val MSE: 0.031904 | total time: 2 hours 19 minutes
Epoch: 73 | query=P1 | train(L_s+λL_q): 0.067326 | query MSE: 0.017846 | val MSE: 0.034451 | total time: 2 hours 21 minutes
Epoch: 74 | query=P3 | train(L_s+λL_q): 0.072532 | query MSE: 0.021810 | val MSE: 0.031967 | total time: 2 hours 23 minutes
Epoch: 75 | query=P4 | train(L_s+λL_q): 0.081075 | query MSE: 0.024899 | val MSE: 0.034191 | total time: 2 hours 25 minutes
Epoch: 76 | query=P5 | train(L_s+λL_q): 0.049135 | query MSE: 0.011277 | val MSE: 0.034891 | total time: 2 hours 27 minutes
Epoch: 77 | query=P1 | train(L_s+λL_q): 0.062879 | query MSE: 0.016499 | val MSE: 0.033841 | total time: 2 hours 29 minutes
Epoch: 78 | query=P3 | train(L_s+λL_q): 0.070468 | query MSE: 0.021140 | val MSE: 0.032466 | total time: 2 hours 31 minutes
Epoch: 79 | query=P4 | train(L_s+λL_q): 0.076511 | query MSE: 0.023494 | val MSE: 0.036206 | total time: 2 hours 33 minutes
Epoch: 80 | query=P5 | train(L_s+λL_q): 0.048449 | query MSE: 0.011314 | val MSE: 0.032511 | total time: 2 hours 35 minutes
Epoch: 81 | query=P1 | train(L_s+λL_q): 0.062828 | query MSE: 0.016432 | val MSE: 0.033941 | total time: 2 hours 37 minutes
Epoch: 82 | query=P3 | train(L_s+λL_q): 0.068831 | query MSE: 0.020612 | val MSE: 0.031998 | total time: 2 hours 39 minutes
Epoch: 83 | query=P4 | train(L_s+λL_q): 0.073745 | query MSE: 0.022430 | val MSE: 0.030571 | total time: 2 hours 41 minutes
Epoch: 84 | query=P5 | train(L_s+λL_q): 0.046242 | query MSE: 0.010703 | val MSE: 0.030832 | total time: 2 hours 43 minutes
Epoch: 85 | query=P1 | train(L_s+λL_q): 0.061903 | query MSE: 0.016169 | val MSE: 0.031322 | total time: 2 hours 45 minutes
Epoch: 86 | query=P3 | train(L_s+λL_q): 0.064719 | query MSE: 0.019116 | val MSE: 0.031202 | total time: 2 hours 47 minutes
Epoch: 87 | query=P4 | train(L_s+λL_q): 0.077126 | query MSE: 0.023727 | val MSE: 0.032649 | total time: 2 hours 49 minutes
Epoch: 88 | query=P5 | train(L_s+λL_q): 0.045491 | query MSE: 0.010591 | val MSE: 0.032778 | total time: 2 hours 51 minutes
Epoch: 89 | query=P1 | train(L_s+λL_q): 0.057050 | query MSE: 0.014859 | val MSE: 0.034473 | total time: 2 hours 53 minutes
Epoch: 90 | query=P3 | train(L_s+λL_q): 0.066981 | query MSE: 0.019930 | val MSE: 0.032306 | total time: 2 hours 56 minutes
Epoch: 91 | query=P4 | train(L_s+λL_q): 0.072738 | query MSE: 0.022325 | val MSE: 0.032175 | total time: 2 hours 58 minutes
Epoch: 92 | query=P5 | train(L_s+λL_q): 0.044583 | query MSE: 0.010347 | val MSE: 0.029461 | total time: 3 hours 0 minutes
Epoch: 93 | query=P1 | train(L_s+λL_q): 0.058113 | query MSE: 0.015314 | val MSE: 0.031815 | total time: 3 hours 2 minutes
Epoch: 94 | query=P3 | train(L_s+λL_q): 0.064119 | query MSE: 0.019156 | val MSE: 0.030532 | total time: 3 hours 4 minutes
Epoch: 95 | query=P4 | train(L_s+λL_q): 0.068944 | query MSE: 0.020985 | val MSE: 0.030803 | total time: 3 hours 6 minutes
Epoch: 96 | query=P5 | train(L_s+λL_q): 0.043960 | query MSE: 0.010241 | val MSE: 0.030496 | total time: 3 hours 8 minutes
Epoch: 97 | query=P1 | train(L_s+λL_q): 0.056105 | query MSE: 0.014737 | val MSE: 0.031533 | total time: 3 hours 10 minutes
Epoch: 98 | query=P3 | train(L_s+λL_q): 0.063019 | query MSE: 0.018767 | val MSE: 0.032421 | total time: 3 hours 12 minutes
Epoch: 99 | query=P4 | train(L_s+λL_q): 0.069135 | query MSE: 0.021237 | val MSE: 0.034451 | total time: 3 hours 14 minutes
Epoch: 100 | query=P5 | train(L_s+λL_q): 0.043689 | query MSE: 0.010226 | val MSE: 0.029590 | total time: 3 hours 16 minutes
finished best_val_mse=0.029461
