[crb_enc_mse_pop_e3] device=cuda:0 | UNetCRB params=1.06M | episodic L_s + 2.5 L_q | schedule=rotate | seed=20260819
[crb_enc_mse_pop_e3] train pool=['P1', 'P3', 'P4', 'P5'] | true hold-out=['P7', 'P9'] (QC only) | inner zero-out default=P1 | val 320
Epoch: 1 | query=P1 | train(L_s+λL_q): 2.855831 | query MSE: 0.813360 | val MSE: 0.620064 | total time: 0 hours 1 minutes
Epoch: 2 | query=P3 | train(L_s+λL_q): 1.633567 | query MSE: 0.440947 | val MSE: 0.340781 | total time: 0 hours 3 minutes
Epoch: 3 | query=P4 | train(L_s+λL_q): 1.107548 | query MSE: 0.285757 | val MSE: 0.258917 | total time: 0 hours 5 minutes
Epoch: 4 | query=P5 | train(L_s+λL_q): 0.650638 | query MSE: 0.130657 | val MSE: 0.206948 | total time: 0 hours 7 minutes
Epoch: 5 | query=P1 | train(L_s+λL_q): 0.665713 | query MSE: 0.175799 | val MSE: 0.202606 | total time: 0 hours 9 minutes
Epoch: 6 | query=P3 | train(L_s+λL_q): 0.580141 | query MSE: 0.159150 | val MSE: 0.145236 | total time: 0 hours 10 minutes
Epoch: 7 | query=P4 | train(L_s+λL_q): 0.501636 | query MSE: 0.138607 | val MSE: 0.140786 | total time: 0 hours 12 minutes
Epoch: 8 | query=P5 | train(L_s+λL_q): 0.326844 | query MSE: 0.073673 | val MSE: 0.118206 | total time: 0 hours 14 minutes
Epoch: 9 | query=P1 | train(L_s+λL_q): 0.396856 | query MSE: 0.107669 | val MSE: 0.132866 | total time: 0 hours 16 minutes
Epoch: 10 | query=P3 | train(L_s+λL_q): 0.361889 | query MSE: 0.102830 | val MSE: 0.109290 | total time: 0 hours 17 minutes
Epoch: 11 | query=P4 | train(L_s+λL_q): 0.346353 | query MSE: 0.098854 | val MSE: 0.093131 | total time: 0 hours 19 minutes
Epoch: 12 | query=P5 | train(L_s+λL_q): 0.226260 | query MSE: 0.050784 | val MSE: 0.084409 | total time: 0 hours 21 minutes
Epoch: 13 | query=P1 | train(L_s+λL_q): 0.282126 | query MSE: 0.076159 | val MSE: 0.110833 | total time: 0 hours 23 minutes
Epoch: 14 | query=P3 | train(L_s+λL_q): 0.271558 | query MSE: 0.077729 | val MSE: 0.086759 | total time: 0 hours 24 minutes
Epoch: 15 | query=P4 | train(L_s+λL_q): 0.285480 | query MSE: 0.083090 | val MSE: 0.080796 | total time: 0 hours 26 minutes
Epoch: 16 | query=P5 | train(L_s+λL_q): 0.183703 | query MSE: 0.041204 | val MSE: 0.076131 | total time: 0 hours 28 minutes
Epoch: 17 | query=P1 | train(L_s+λL_q): 0.239976 | query MSE: 0.065573 | val MSE: 0.072657 | total time: 0 hours 30 minutes
Epoch: 18 | query=P3 | train(L_s+λL_q): 0.236374 | query MSE: 0.068237 | val MSE: 0.075990 | total time: 0 hours 31 minutes
Epoch: 19 | query=P4 | train(L_s+λL_q): 0.244730 | query MSE: 0.071929 | val MSE: 0.073123 | total time: 0 hours 33 minutes
Epoch: 20 | query=P5 | train(L_s+λL_q): 0.156780 | query MSE: 0.035458 | val MSE: 0.069613 | total time: 0 hours 35 minutes
Epoch: 21 | query=P1 | train(L_s+λL_q): 0.200260 | query MSE: 0.054077 | val MSE: 0.072875 | total time: 0 hours 37 minutes
Epoch: 22 | query=P3 | train(L_s+λL_q): 0.205471 | query MSE: 0.060059 | val MSE: 0.063637 | total time: 0 hours 38 minutes
Epoch: 23 | query=P4 | train(L_s+λL_q): 0.229870 | query MSE: 0.068588 | val MSE: 0.066646 | total time: 0 hours 40 minutes
Epoch: 24 | query=P5 | train(L_s+λL_q): 0.136910 | query MSE: 0.030764 | val MSE: 0.060926 | total time: 0 hours 42 minutes
Epoch: 25 | query=P1 | train(L_s+λL_q): 0.191820 | query MSE: 0.052225 | val MSE: 0.062053 | total time: 0 hours 44 minutes
Epoch: 26 | query=P3 | train(L_s+λL_q): 0.183822 | query MSE: 0.053422 | val MSE: 0.064293 | total time: 0 hours 46 minutes
Epoch: 27 | query=P4 | train(L_s+λL_q): 0.199663 | query MSE: 0.059247 | val MSE: 0.059888 | total time: 0 hours 48 minutes
Epoch: 28 | query=P5 | train(L_s+λL_q): 0.125542 | query MSE: 0.028376 | val MSE: 0.065193 | total time: 0 hours 49 minutes
Epoch: 29 | query=P1 | train(L_s+λL_q): 0.170085 | query MSE: 0.045712 | val MSE: 0.072655 | total time: 0 hours 51 minutes
Epoch: 30 | query=P3 | train(L_s+λL_q): 0.167643 | query MSE: 0.048765 | val MSE: 0.054762 | total time: 0 hours 53 minutes
Epoch: 31 | query=P4 | train(L_s+λL_q): 0.183425 | query MSE: 0.054419 | val MSE: 0.058637 | total time: 0 hours 55 minutes
Epoch: 32 | query=P5 | train(L_s+λL_q): 0.111301 | query MSE: 0.025372 | val MSE: 0.057008 | total time: 0 hours 56 minutes
Epoch: 33 | query=P1 | train(L_s+λL_q): 0.147508 | query MSE: 0.039438 | val MSE: 0.053399 | total time: 0 hours 58 minutes
Epoch: 34 | query=P3 | train(L_s+λL_q): 0.155561 | query MSE: 0.045348 | val MSE: 0.051932 | total time: 1 hours 0 minutes
Epoch: 35 | query=P4 | train(L_s+λL_q): 0.171893 | query MSE: 0.050589 | val MSE: 0.067119 | total time: 1 hours 2 minutes
Epoch: 36 | query=P5 | train(L_s+λL_q): 0.104844 | query MSE: 0.024118 | val MSE: 0.047615 | total time: 1 hours 5 minutes
Epoch: 37 | query=P1 | train(L_s+λL_q): 0.143732 | query MSE: 0.039130 | val MSE: 0.054627 | total time: 1 hours 9 minutes
Epoch: 38 | query=P3 | train(L_s+λL_q): 0.143977 | query MSE: 0.041663 | val MSE: 0.048699 | total time: 1 hours 12 minutes
Epoch: 39 | query=P4 | train(L_s+λL_q): 0.151068 | query MSE: 0.045366 | val MSE: 0.050298 | total time: 1 hours 16 minutes
Epoch: 40 | query=P5 | train(L_s+λL_q): 0.097049 | query MSE: 0.022065 | val MSE: 0.054231 | total time: 1 hours 18 minutes
Epoch: 41 | query=P1 | train(L_s+λL_q): 0.133836 | query MSE: 0.035704 | val MSE: 0.053246 | total time: 1 hours 21 minutes
Epoch: 42 | query=P3 | train(L_s+λL_q): 0.137986 | query MSE: 0.040095 | val MSE: 0.052046 | total time: 1 hours 24 minutes
Epoch: 43 | query=P4 | train(L_s+λL_q): 0.146860 | query MSE: 0.043984 | val MSE: 0.055217 | total time: 1 hours 26 minutes
Epoch: 44 | query=P5 | train(L_s+λL_q): 0.089846 | query MSE: 0.020612 | val MSE: 0.046849 | total time: 1 hours 29 minutes
Epoch: 45 | query=P1 | train(L_s+λL_q): 0.132010 | query MSE: 0.036010 | val MSE: 0.047644 | total time: 1 hours 31 minutes
Epoch: 46 | query=P3 | train(L_s+λL_q): 0.123770 | query MSE: 0.036079 | val MSE: 0.049692 | total time: 1 hours 34 minutes
Epoch: 47 | query=P4 | train(L_s+λL_q): 0.146713 | query MSE: 0.043905 | val MSE: 0.051373 | total time: 1 hours 37 minutes
Epoch: 48 | query=P5 | train(L_s+λL_q): 0.086364 | query MSE: 0.019928 | val MSE: 0.049776 | total time: 1 hours 39 minutes
Epoch: 49 | query=P1 | train(L_s+λL_q): 0.124545 | query MSE: 0.033831 | val MSE: 0.045310 | total time: 1 hours 42 minutes
Epoch: 50 | query=P3 | train(L_s+λL_q): 0.120774 | query MSE: 0.034776 | val MSE: 0.047329 | total time: 1 hours 44 minutes
Epoch: 51 | query=P4 | train(L_s+λL_q): 0.133609 | query MSE: 0.040249 | val MSE: 0.043854 | total time: 1 hours 47 minutes
Epoch: 52 | query=P5 | train(L_s+λL_q): 0.082565 | query MSE: 0.019045 | val MSE: 0.045305 | total time: 1 hours 50 minutes
Epoch: 53 | query=P1 | train(L_s+λL_q): 0.115707 | query MSE: 0.031500 | val MSE: 0.052337 | total time: 1 hours 52 minutes
Epoch: 54 | query=P3 | train(L_s+λL_q): 0.111890 | query MSE: 0.032453 | val MSE: 0.045044 | total time: 1 hours 55 minutes
Epoch: 55 | query=P4 | train(L_s+λL_q): 0.132361 | query MSE: 0.039770 | val MSE: 0.046505 | total time: 1 hours 57 minutes
Epoch: 56 | query=P5 | train(L_s+λL_q): 0.077670 | query MSE: 0.018018 | val MSE: 0.046543 | total time: 2 hours 0 minutes
Epoch: 57 | query=P1 | train(L_s+λL_q): 0.122994 | query MSE: 0.033943 | val MSE: 0.042679 | total time: 2 hours 2 minutes
Epoch: 58 | query=P3 | train(L_s+λL_q): 0.107525 | query MSE: 0.031658 | val MSE: 0.043340 | total time: 2 hours 5 minutes
Epoch: 59 | query=P4 | train(L_s+λL_q): 0.124912 | query MSE: 0.037845 | val MSE: 0.043162 | total time: 2 hours 8 minutes
Epoch: 60 | query=P5 | train(L_s+λL_q): 0.074210 | query MSE: 0.016956 | val MSE: 0.042230 | total time: 2 hours 10 minutes
Epoch: 61 | query=P1 | train(L_s+λL_q): 0.104941 | query MSE: 0.028317 | val MSE: 0.047310 | total time: 2 hours 13 minutes
Epoch: 62 | query=P3 | train(L_s+λL_q): 0.104752 | query MSE: 0.030657 | val MSE: 0.046311 | total time: 2 hours 15 minutes
Epoch: 63 | query=P4 | train(L_s+λL_q): 0.111958 | query MSE: 0.033593 | val MSE: 0.039126 | total time: 2 hours 18 minutes
Epoch: 64 | query=P5 | train(L_s+λL_q): 0.073046 | query MSE: 0.016976 | val MSE: 0.044292 | total time: 2 hours 21 minutes
Epoch: 65 | query=P1 | train(L_s+λL_q): 0.103092 | query MSE: 0.028234 | val MSE: 0.044280 | total time: 2 hours 23 minutes
Epoch: 66 | query=P3 | train(L_s+λL_q): 0.098208 | query MSE: 0.028593 | val MSE: 0.046159 | total time: 2 hours 26 minutes
Epoch: 67 | query=P4 | train(L_s+λL_q): 0.117871 | query MSE: 0.035633 | val MSE: 0.049214 | total time: 2 hours 28 minutes
Epoch: 68 | query=P5 | train(L_s+λL_q): 0.068199 | query MSE: 0.015719 | val MSE: 0.039656 | total time: 2 hours 31 minutes
Epoch: 69 | query=P1 | train(L_s+λL_q): 0.100439 | query MSE: 0.026965 | val MSE: 0.044412 | total time: 2 hours 33 minutes
Epoch: 70 | query=P3 | train(L_s+λL_q): 0.092718 | query MSE: 0.026772 | val MSE: 0.039904 | total time: 2 hours 36 minutes
Epoch: 71 | query=P4 | train(L_s+λL_q): 0.109410 | query MSE: 0.033231 | val MSE: 0.039389 | total time: 2 hours 39 minutes
Epoch: 72 | query=P5 | train(L_s+λL_q): 0.068126 | query MSE: 0.015648 | val MSE: 0.041095 | total time: 2 hours 41 minutes
Epoch: 73 | query=P1 | train(L_s+λL_q): 0.099757 | query MSE: 0.027156 | val MSE: 0.043724 | total time: 2 hours 44 minutes
Epoch: 74 | query=P3 | train(L_s+λL_q): 0.092207 | query MSE: 0.026939 | val MSE: 0.045943 | total time: 2 hours 46 minutes
Epoch: 75 | query=P4 | train(L_s+λL_q): 0.107908 | query MSE: 0.032835 | val MSE: 0.037334 | total time: 2 hours 49 minutes
Epoch: 76 | query=P5 | train(L_s+λL_q): 0.064482 | query MSE: 0.014806 | val MSE: 0.036766 | total time: 2 hours 51 minutes
Epoch: 77 | query=P1 | train(L_s+λL_q): 0.096170 | query MSE: 0.026340 | val MSE: 0.047284 | total time: 2 hours 54 minutes
Epoch: 78 | query=P3 | train(L_s+λL_q): 0.093350 | query MSE: 0.027268 | val MSE: 0.036566 | total time: 2 hours 57 minutes
Epoch: 79 | query=P4 | train(L_s+λL_q): 0.098350 | query MSE: 0.029813 | val MSE: 0.038328 | total time: 2 hours 59 minutes
Epoch: 80 | query=P5 | train(L_s+λL_q): 0.064287 | query MSE: 0.014974 | val MSE: 0.038424 | total time: 3 hours 2 minutes
Epoch: 81 | query=P1 | train(L_s+λL_q): 0.094569 | query MSE: 0.025705 | val MSE: 0.037635 | total time: 3 hours 4 minutes
Epoch: 82 | query=P3 | train(L_s+λL_q): 0.085701 | query MSE: 0.024743 | val MSE: 0.043593 | total time: 3 hours 7 minutes
Epoch: 83 | query=P4 | train(L_s+λL_q): 0.095338 | query MSE: 0.028624 | val MSE: 0.037598 | total time: 3 hours 9 minutes
Epoch: 84 | query=P5 | train(L_s+λL_q): 0.061640 | query MSE: 0.014392 | val MSE: 0.035840 | total time: 3 hours 12 minutes
Epoch: 85 | query=P1 | train(L_s+λL_q): 0.086955 | query MSE: 0.023540 | val MSE: 0.039001 | total time: 3 hours 15 minutes
Epoch: 86 | query=P3 | train(L_s+λL_q): 0.080591 | query MSE: 0.023089 | val MSE: 0.037442 | total time: 3 hours 17 minutes
Epoch: 87 | query=P4 | train(L_s+λL_q): 0.104264 | query MSE: 0.031643 | val MSE: 0.039367 | total time: 3 hours 20 minutes
Epoch: 88 | query=P5 | train(L_s+λL_q): 0.058561 | query MSE: 0.013647 | val MSE: 0.038056 | total time: 3 hours 22 minutes
Epoch: 89 | query=P1 | train(L_s+λL_q): 0.087014 | query MSE: 0.023812 | val MSE: 0.034069 | total time: 3 hours 24 minutes
Epoch: 90 | query=P3 | train(L_s+λL_q): 0.085700 | query MSE: 0.025061 | val MSE: 0.034415 | total time: 3 hours 27 minutes
Epoch: 91 | query=P4 | train(L_s+λL_q): 0.094290 | query MSE: 0.028581 | val MSE: 0.037271 | total time: 3 hours 29 minutes
Epoch: 92 | query=P5 | train(L_s+λL_q): 0.057583 | query MSE: 0.013373 | val MSE: 0.036389 | total time: 3 hours 32 minutes
Epoch: 93 | query=P1 | train(L_s+λL_q): 0.086193 | query MSE: 0.023796 | val MSE: 0.035225 | total time: 3 hours 34 minutes
Epoch: 94 | query=P3 | train(L_s+λL_q): 0.081002 | query MSE: 0.023576 | val MSE: 0.033889 | total time: 3 hours 37 minutes
Epoch: 95 | query=P4 | train(L_s+λL_q): 0.088116 | query MSE: 0.026516 | val MSE: 0.035359 | total time: 3 hours 39 minutes
Epoch: 96 | query=P5 | train(L_s+λL_q): 0.056542 | query MSE: 0.013135 | val MSE: 0.033107 | total time: 3 hours 41 minutes
Epoch: 97 | query=P1 | train(L_s+λL_q): 0.081031 | query MSE: 0.022111 | val MSE: 0.036434 | total time: 3 hours 44 minutes
Epoch: 98 | query=P3 | train(L_s+λL_q): 0.076999 | query MSE: 0.022269 | val MSE: 0.037603 | total time: 3 hours 46 minutes
Epoch: 99 | query=P4 | train(L_s+λL_q): 0.093189 | query MSE: 0.028077 | val MSE: 0.059495 | total time: 3 hours 49 minutes
Epoch: 100 | query=P5 | train(L_s+λL_q): 0.055549 | query MSE: 0.012909 | val MSE: 0.033809 | total time: 3 hours 51 minutes
finished best_val_mse=0.033107
