===== E4 Both =====
[crb_both_mse_pop_e4] device=cuda:1 | UNetCRBBoth params=1.59M trainable=1.09M | loss=lung-masked MSE | CRB=encoder+decoder + frozen anatomy side-branch | seed=20260819
[crb_both_mse_pop_e4] anatomy=/home/abhishek/Voxel_GAN/PopulationStudy/Experiment4/AnatomyAE/weights/anatomy_encoder.pth | train 5760 val 320 | train patients=['P1', 'P3', 'P4', 'P5'] hold-out=['P7', 'P9'] (QC only)
Epoch: 1 | train MSE: 0.849713 | val MSE: 0.670986 | total time: 0 hours 1 minutes
Epoch: 2 | train MSE: 0.542025 | val MSE: 0.367274 | total time: 0 hours 3 minutes
Epoch: 3 | train MSE: 0.403720 | val MSE: 0.328903 | total time: 0 hours 5 minutes
Epoch: 4 | train MSE: 0.324296 | val MSE: 0.263493 | total time: 0 hours 7 minutes
Epoch: 5 | train MSE: 0.271281 | val MSE: 0.230366 | total time: 0 hours 9 minutes
Epoch: 6 | train MSE: 0.220056 | val MSE: 0.204568 | total time: 0 hours 11 minutes
Epoch: 7 | train MSE: 0.191017 | val MSE: 0.177546 | total time: 0 hours 13 minutes
Epoch: 8 | train MSE: 0.165265 | val MSE: 0.153071 | total time: 0 hours 14 minutes
Epoch: 9 | train MSE: 0.142055 | val MSE: 0.151112 | total time: 0 hours 16 minutes
Epoch: 10 | train MSE: 0.133806 | val MSE: 0.147977 | total time: 0 hours 18 minutes
Epoch: 11 | train MSE: 0.115136 | val MSE: 0.108045 | total time: 0 hours 20 minutes
Epoch: 12 | train MSE: 0.108650 | val MSE: 0.108148 | total time: 0 hours 22 minutes
Epoch: 13 | train MSE: 0.099554 | val MSE: 0.101656 | total time: 0 hours 24 minutes
Epoch: 14 | train MSE: 0.092758 | val MSE: 0.098908 | total time: 0 hours 25 minutes
Epoch: 15 | train MSE: 0.085834 | val MSE: 0.098543 | total time: 0 hours 27 minutes
Epoch: 16 | train MSE: 0.081184 | val MSE: 0.085785 | total time: 0 hours 29 minutes
Epoch: 17 | train MSE: 0.077918 | val MSE: 0.089389 | total time: 0 hours 31 minutes
Epoch: 18 | train MSE: 0.076346 | val MSE: 0.089432 | total time: 0 hours 33 minutes
Epoch: 19 | train MSE: 0.070963 | val MSE: 0.069538 | total time: 0 hours 35 minutes
Epoch: 20 | train MSE: 0.068291 | val MSE: 0.077038 | total time: 0 hours 36 minutes
Epoch: 21 | train MSE: 0.065600 | val MSE: 0.066849 | total time: 0 hours 38 minutes
Epoch: 22 | train MSE: 0.064130 | val MSE: 0.079642 | total time: 0 hours 40 minutes
Epoch: 23 | train MSE: 0.062304 | val MSE: 0.068468 | total time: 0 hours 42 minutes
Epoch: 24 | train MSE: 0.060548 | val MSE: 0.070529 | total time: 0 hours 44 minutes
Epoch: 25 | train MSE: 0.057412 | val MSE: 0.173449 | total time: 0 hours 46 minutes
Epoch: 26 | train MSE: 0.056372 | val MSE: 0.063757 | total time: 0 hours 47 minutes
Epoch: 27 | train MSE: 0.055744 | val MSE: 0.073483 | total time: 0 hours 49 minutes
Epoch: 28 | train MSE: 0.055383 | val MSE: 0.068719 | total time: 0 hours 51 minutes
Epoch: 29 | train MSE: 0.051653 | val MSE: 0.060573 | total time: 0 hours 53 minutes
Epoch: 30 | train MSE: 0.051638 | val MSE: 0.053418 | total time: 0 hours 55 minutes
Epoch: 31 | train MSE: 0.050848 | val MSE: 0.054345 | total time: 0 hours 57 minutes
Epoch: 32 | train MSE: 0.048113 | val MSE: 0.056051 | total time: 0 hours 58 minutes
Epoch: 33 | train MSE: 0.048577 | val MSE: 0.060304 | total time: 1 hours 0 minutes
Epoch: 34 | train MSE: 0.046965 | val MSE: 0.052610 | total time: 1 hours 2 minutes
Epoch: 35 | train MSE: 0.046176 | val MSE: 0.055991 | total time: 1 hours 4 minutes
Epoch: 36 | train MSE: 0.045699 | val MSE: 0.065768 | total time: 1 hours 6 minutes
