[crb_dec_mse_pop_e5] device=cuda:0 | UNetCRBDecoder params=1.07M trainable=0.58M | loss=lung-masked MSE | CRB=decoder; frozen pretrained encoder | seed=20260817
[crb_dec_mse_pop_e5] anatomy=/home/abhishek/Voxel_GAN/PopulationStudy/Experiment4/AnatomyAE/weights/anatomy_encoder.pth | train 8640 val 480 | train patients=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5'] (QC only)
Epoch: 1 | train MSE: 0.440653 | val MSE: 0.453452 | total time: 0 hours 2 minutes
Epoch: 2 | train MSE: 0.355555 | val MSE: 0.322763 | total time: 0 hours 4 minutes
Epoch: 3 | train MSE: 0.302852 | val MSE: 0.273232 | total time: 0 hours 7 minutes
Epoch: 4 | train MSE: 0.267482 | val MSE: 0.240705 | total time: 0 hours 9 minutes
Epoch: 5 | train MSE: 0.238530 | val MSE: 0.221758 | total time: 0 hours 12 minutes
Epoch: 6 | train MSE: 0.213488 | val MSE: 0.222356 | total time: 0 hours 14 minutes
Epoch: 7 | train MSE: 0.191954 | val MSE: 0.177409 | total time: 0 hours 16 minutes
Epoch: 8 | train MSE: 0.177298 | val MSE: 0.168423 | total time: 0 hours 19 minutes
Epoch: 9 | train MSE: 0.164294 | val MSE: 0.156163 | total time: 0 hours 21 minutes
Epoch: 10 | train MSE: 0.155097 | val MSE: 0.149829 | total time: 0 hours 23 minutes
Epoch: 11 | train MSE: 0.143721 | val MSE: 0.141455 | total time: 0 hours 26 minutes
Epoch: 12 | train MSE: 0.136714 | val MSE: 0.136673 | total time: 0 hours 28 minutes
Epoch: 13 | train MSE: 0.130968 | val MSE: 0.134105 | total time: 0 hours 31 minutes
Epoch: 14 | train MSE: 0.124123 | val MSE: 0.125520 | total time: 0 hours 33 minutes
Epoch: 15 | train MSE: 0.119010 | val MSE: 0.120119 | total time: 0 hours 35 minutes
Epoch: 16 | train MSE: 0.112513 | val MSE: 0.133883 | total time: 0 hours 38 minutes
Epoch: 17 | train MSE: 0.109589 | val MSE: 0.116753 | total time: 0 hours 40 minutes
Epoch: 18 | train MSE: 0.104586 | val MSE: 0.122049 | total time: 0 hours 43 minutes
Epoch: 19 | train MSE: 0.099974 | val MSE: 0.110430 | total time: 0 hours 45 minutes
Epoch: 20 | train MSE: 0.097498 | val MSE: 0.112868 | total time: 0 hours 47 minutes
Epoch: 21 | train MSE: 0.094240 | val MSE: 0.105889 | total time: 0 hours 50 minutes
Epoch: 22 | train MSE: 0.091483 | val MSE: 0.138004 | total time: 0 hours 52 minutes
Epoch: 23 | train MSE: 0.088742 | val MSE: 0.103018 | total time: 0 hours 54 minutes
Epoch: 24 | train MSE: 0.086387 | val MSE: 0.096675 | total time: 0 hours 57 minutes
Epoch: 25 | train MSE: 0.084118 | val MSE: 0.101430 | total time: 0 hours 59 minutes
Epoch: 26 | train MSE: 0.081803 | val MSE: 0.093847 | total time: 1 hours 2 minutes
Epoch: 27 | train MSE: 0.079088 | val MSE: 0.095349 | total time: 1 hours 4 minutes
Epoch: 28 | train MSE: 0.077605 | val MSE: 0.094253 | total time: 1 hours 6 minutes
Epoch: 29 | train MSE: 0.075975 | val MSE: 0.091413 | total time: 1 hours 9 minutes
Epoch: 30 | train MSE: 0.074626 | val MSE: 0.081419 | total time: 1 hours 11 minutes
Epoch: 31 | train MSE: 0.073486 | val MSE: 0.096110 | total time: 1 hours 13 minutes
Epoch: 32 | train MSE: 0.070877 | val MSE: 0.085412 | total time: 1 hours 16 minutes
Epoch: 33 | train MSE: 0.070216 | val MSE: 0.083619 | total time: 1 hours 18 minutes
Epoch: 34 | train MSE: 0.068631 | val MSE: 0.078113 | total time: 1 hours 21 minutes
Epoch: 35 | train MSE: 0.067594 | val MSE: 0.085933 | total time: 1 hours 23 minutes
Epoch: 36 | train MSE: 0.065672 | val MSE: 0.081008 | total time: 1 hours 25 minutes
Epoch: 37 | train MSE: 0.065293 | val MSE: 0.073400 | total time: 1 hours 28 minutes
Epoch: 38 | train MSE: 0.064615 | val MSE: 0.082785 | total time: 1 hours 30 minutes
Epoch: 39 | train MSE: 0.063606 | val MSE: 0.075123 | total time: 1 hours 33 minutes
Epoch: 40 | train MSE: 0.061486 | val MSE: 0.085872 | total time: 1 hours 35 minutes
Epoch: 41 | train MSE: 0.060415 | val MSE: 0.077384 | total time: 1 hours 37 minutes
Epoch: 42 | train MSE: 0.059992 | val MSE: 0.079876 | total time: 1 hours 40 minutes
Epoch: 43 | train MSE: 0.059520 | val MSE: 0.079657 | total time: 1 hours 42 minutes
Epoch: 44 | train MSE: 0.058739 | val MSE: 0.079578 | total time: 1 hours 45 minutes
Epoch: 45 | train MSE: 0.058088 | val MSE: 0.068107 | total time: 1 hours 47 minutes
Epoch: 46 | train MSE: 0.057267 | val MSE: 0.073321 | total time: 1 hours 49 minutes
Epoch: 47 | train MSE: 0.056401 | val MSE: 0.065865 | total time: 1 hours 52 minutes
Epoch: 48 | train MSE: 0.056610 | val MSE: 0.067967 | total time: 1 hours 54 minutes
Epoch: 49 | train MSE: 0.055042 | val MSE: 0.072514 | total time: 1 hours 57 minutes
Epoch: 50 | train MSE: 0.053917 | val MSE: 0.071400 | total time: 1 hours 59 minutes
Epoch: 51 | train MSE: 0.053887 | val MSE: 0.064716 | total time: 2 hours 1 minutes
Epoch: 52 | train MSE: 0.053604 | val MSE: 0.071153 | total time: 2 hours 4 minutes
Epoch: 53 | train MSE: 0.053093 | val MSE: 0.069321 | total time: 2 hours 6 minutes
Epoch: 54 | train MSE: 0.051520 | val MSE: 0.073466 | total time: 2 hours 9 minutes
Epoch: 55 | train MSE: 0.051221 | val MSE: 0.069435 | total time: 2 hours 11 minutes
Epoch: 56 | train MSE: 0.050752 | val MSE: 0.071641 | total time: 2 hours 13 minutes
Epoch: 57 | train MSE: 0.050437 | val MSE: 0.064841 | total time: 2 hours 16 minutes
Epoch: 58 | train MSE: 0.050232 | val MSE: 0.065355 | total time: 2 hours 18 minutes
Epoch: 59 | train MSE: 0.049565 | val MSE: 0.064480 | total time: 2 hours 21 minutes
Epoch: 60 | train MSE: 0.049139 | val MSE: 0.074521 | total time: 2 hours 23 minutes
Epoch: 61 | train MSE: 0.048412 | val MSE: 0.068627 | total time: 2 hours 25 minutes
Epoch: 62 | train MSE: 0.048802 | val MSE: 0.060377 | total time: 2 hours 28 minutes
Epoch: 63 | train MSE: 0.047836 | val MSE: 0.063034 | total time: 2 hours 30 minutes
Epoch: 64 | train MSE: 0.047115 | val MSE: 0.064669 | total time: 2 hours 32 minutes
Epoch: 65 | train MSE: 0.047502 | val MSE: 0.068819 | total time: 2 hours 35 minutes
Epoch: 66 | train MSE: 0.046156 | val MSE: 0.061856 | total time: 2 hours 37 minutes
Epoch: 67 | train MSE: 0.046456 | val MSE: 0.056811 | total time: 2 hours 40 minutes
Epoch: 68 | train MSE: 0.046308 | val MSE: 0.066820 | total time: 2 hours 42 minutes
Epoch: 69 | train MSE: 0.046193 | val MSE: 0.061704 | total time: 2 hours 44 minutes
Epoch: 70 | train MSE: 0.044810 | val MSE: 0.064445 | total time: 2 hours 47 minutes
Epoch: 71 | train MSE: 0.044670 | val MSE: 0.062685 | total time: 2 hours 49 minutes
Epoch: 72 | train MSE: 0.044696 | val MSE: 0.064865 | total time: 2 hours 52 minutes
Epoch: 73 | train MSE: 0.044199 | val MSE: 0.061500 | total time: 2 hours 54 minutes
Epoch: 74 | train MSE: 0.043935 | val MSE: 0.060445 | total time: 2 hours 56 minutes
Epoch: 75 | train MSE: 0.043814 | val MSE: 0.058092 | total time: 2 hours 59 minutes
Epoch: 76 | train MSE: 0.043387 | val MSE: 0.059637 | total time: 3 hours 1 minutes
Epoch: 77 | train MSE: 0.042525 | val MSE: 0.056188 | total time: 3 hours 4 minutes
Epoch: 78 | train MSE: 0.043192 | val MSE: 0.066682 | total time: 3 hours 6 minutes
Epoch: 79 | train MSE: 0.042489 | val MSE: 0.069772 | total time: 3 hours 8 minutes
Epoch: 80 | train MSE: 0.042380 | val MSE: 0.057690 | total time: 3 hours 11 minutes
Epoch: 81 | train MSE: 0.041756 | val MSE: 0.059238 | total time: 3 hours 13 minutes
Epoch: 82 | train MSE: 0.041693 | val MSE: 0.056280 | total time: 3 hours 16 minutes
Epoch: 83 | train MSE: 0.041570 | val MSE: 0.059140 | total time: 3 hours 18 minutes
Epoch: 84 | train MSE: 0.041015 | val MSE: 0.058014 | total time: 3 hours 20 minutes
Epoch: 85 | train MSE: 0.041188 | val MSE: 0.054490 | total time: 3 hours 23 minutes
Epoch: 86 | train MSE: 0.040635 | val MSE: 0.053936 | total time: 3 hours 25 minutes
Epoch: 87 | train MSE: 0.040325 | val MSE: 0.058999 | total time: 3 hours 28 minutes
Epoch: 88 | train MSE: 0.040335 | val MSE: 0.054873 | total time: 3 hours 30 minutes
Epoch: 89 | train MSE: 0.039966 | val MSE: 0.053678 | total time: 3 hours 33 minutes
Epoch: 90 | train MSE: 0.039622 | val MSE: 0.056405 | total time: 3 hours 35 minutes
