[crb_dec_mse_pop_e1] device=cuda:1 | UNetCRBDecoder params=1.07M | loss=lung-masked MSE | no D | CRB=decoder-only | seed=20260817
[crb_dec_mse_pop_e1] train 8640 (540 pairs × 16) | val 480 (60 pairs × 8) | train patients=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5'] (QC only)
Epoch: 1 | train MSE: 0.347985 | val MSE: 0.293692 | total time: 0 hours 2 minutes
Epoch: 2 | train MSE: 0.193046 | val MSE: 0.172035 | total time: 0 hours 4 minutes
Epoch: 3 | train MSE: 0.140944 | val MSE: 0.129109 | total time: 0 hours 7 minutes
Epoch: 4 | train MSE: 0.105461 | val MSE: 0.123475 | total time: 0 hours 9 minutes
Epoch: 5 | train MSE: 0.085111 | val MSE: 0.092103 | total time: 0 hours 11 minutes
Epoch: 6 | train MSE: 0.073045 | val MSE: 0.083449 | total time: 0 hours 14 minutes
Epoch: 7 | train MSE: 0.062433 | val MSE: 0.076202 | total time: 0 hours 16 minutes
Epoch: 8 | train MSE: 0.056753 | val MSE: 0.064438 | total time: 0 hours 19 minutes
Epoch: 9 | train MSE: 0.050478 | val MSE: 0.061290 | total time: 0 hours 21 minutes
Epoch: 10 | train MSE: 0.045621 | val MSE: 0.054353 | total time: 0 hours 23 minutes
Epoch: 11 | train MSE: 0.041152 | val MSE: 0.055828 | total time: 0 hours 26 minutes
Epoch: 12 | train MSE: 0.039792 | val MSE: 0.057564 | total time: 0 hours 28 minutes
Epoch: 13 | train MSE: 0.035707 | val MSE: 0.049524 | total time: 0 hours 30 minutes
Epoch: 14 | train MSE: 0.034345 | val MSE: 0.051651 | total time: 0 hours 33 minutes
Epoch: 15 | train MSE: 0.032608 | val MSE: 0.043622 | total time: 0 hours 35 minutes
Epoch: 16 | train MSE: 0.030580 | val MSE: 0.045999 | total time: 0 hours 37 minutes
Epoch: 17 | train MSE: 0.029885 | val MSE: 0.042736 | total time: 0 hours 40 minutes
Epoch: 18 | train MSE: 0.028667 | val MSE: 0.040654 | total time: 0 hours 42 minutes
