[crb_enc_mse_pop_e1] device=cuda:0 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | seed=20260817
[crb_enc_mse_pop_e1] train 8640 (540 pairs × 16) | val 480 (60 pairs × 8) | train patients=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5'] (QC only)
Epoch: 1 | train MSE: 0.445766 | val MSE: 0.313989 | total time: 0 hours 2 minutes
Epoch: 2 | train MSE: 0.265590 | val MSE: 0.210967 | total time: 0 hours 4 minutes
Epoch: 3 | train MSE: 0.195795 | val MSE: 0.162014 | total time: 0 hours 7 minutes
Epoch: 4 | train MSE: 0.153309 | val MSE: 0.159102 | total time: 0 hours 9 minutes
Epoch: 5 | train MSE: 0.122358 | val MSE: 0.115369 | total time: 0 hours 11 minutes
Epoch: 6 | train MSE: 0.101928 | val MSE: 0.107108 | total time: 0 hours 14 minutes
Epoch: 7 | train MSE: 0.087226 | val MSE: 0.100736 | total time: 0 hours 16 minutes
Epoch: 8 | train MSE: 0.079767 | val MSE: 0.082547 | total time: 0 hours 18 minutes
Epoch: 9 | train MSE: 0.071880 | val MSE: 0.077876 | total time: 0 hours 21 minutes
Epoch: 10 | train MSE: 0.067465 | val MSE: 0.080829 | total time: 0 hours 23 minutes
Epoch: 11 | train MSE: 0.061515 | val MSE: 0.072460 | total time: 0 hours 26 minutes
Epoch: 12 | train MSE: 0.058178 | val MSE: 0.073817 | total time: 0 hours 28 minutes
Epoch: 13 | train MSE: 0.053562 | val MSE: 0.075729 | total time: 0 hours 30 minutes
Epoch: 14 | train MSE: 0.050174 | val MSE: 0.065260 | total time: 0 hours 33 minutes
Epoch: 15 | train MSE: 0.048799 | val MSE: 0.059479 | total time: 0 hours 35 minutes
Epoch: 16 | train MSE: 0.045154 | val MSE: 0.061760 | total time: 0 hours 37 minutes
Epoch: 17 | train MSE: 0.043676 | val MSE: 0.054586 | total time: 0 hours 40 minutes
Epoch: 18 | train MSE: 0.041952 | val MSE: 0.056202 | total time: 0 hours 42 minutes
Epoch: 19 | train MSE: 0.040109 | val MSE: 0.054851 | total time: 0 hours 44 minutes
Epoch: 20 | train MSE: 0.038537 | val MSE: 0.054053 | total time: 0 hours 47 minutes
Epoch: 21 | train MSE: 0.037807 | val MSE: 0.053316 | total time: 0 hours 49 minutes
Epoch: 22 | train MSE: 0.036550 | val MSE: 0.100814 | total time: 0 hours 52 minutes
Epoch: 23 | train MSE: 0.035237 | val MSE: 0.049029 | total time: 0 hours 54 minutes
Epoch: 24 | train MSE: 0.034221 | val MSE: 0.042610 | total time: 0 hours 56 minutes
Epoch: 25 | train MSE: 0.033635 | val MSE: 0.048464 | total time: 0 hours 59 minutes
Epoch: 26 | train MSE: 0.033195 | val MSE: 0.053941 | total time: 1 hours 1 minutes
Epoch: 27 | train MSE: 0.031596 | val MSE: 0.048484 | total time: 1 hours 4 minutes
