[crb_both_mse_pop_e2] device=cuda:0 | UNetCRBBoth params=1.08M | loss=lung-masked MSE | no D | CRB=encoder+decoder | seed=20260818
[crb_both_mse_pop_e2] train 5760 (360 pairs × 16) | val 320 (40 pairs × 8) | train patients=['P1', 'P3', 'P4', 'P5'] hold-out=['P7', 'P9'] (QC only)
Epoch: 1 | train MSE: 0.694648 | val MSE: 0.403909 | total time: 0 hours 1 minutes
Epoch: 2 | train MSE: 0.400686 | val MSE: 0.300546 | total time: 0 hours 3 minutes
Epoch: 3 | train MSE: 0.284970 | val MSE: 0.244173 | total time: 0 hours 4 minutes
Epoch: 4 | train MSE: 0.215343 | val MSE: 0.191071 | total time: 0 hours 6 minutes
Epoch: 5 | train MSE: 0.171264 | val MSE: 0.144595 | total time: 0 hours 8 minutes
Epoch: 6 | train MSE: 0.143059 | val MSE: 0.131688 | total time: 0 hours 9 minutes
Epoch: 7 | train MSE: 0.120930 | val MSE: 0.122459 | total time: 0 hours 11 minutes
Epoch: 8 | train MSE: 0.110858 | val MSE: 0.103209 | total time: 0 hours 12 minutes
Epoch: 9 | train MSE: 0.098260 | val MSE: 0.103477 | total time: 0 hours 14 minutes
Epoch: 10 | train MSE: 0.090276 | val MSE: 0.093302 | total time: 0 hours 16 minutes
Epoch: 11 | train MSE: 0.081734 | val MSE: 0.084199 | total time: 0 hours 17 minutes
Epoch: 12 | train MSE: 0.078703 | val MSE: 0.073945 | total time: 0 hours 19 minutes
Epoch: 13 | train MSE: 0.076453 | val MSE: 0.074420 | total time: 0 hours 21 minutes
Epoch: 14 | train MSE: 0.068353 | val MSE: 0.077202 | total time: 0 hours 22 minutes
Epoch: 15 | train MSE: 0.066926 | val MSE: 0.074509 | total time: 0 hours 24 minutes
Epoch: 16 | train MSE: 0.062347 | val MSE: 0.073437 | total time: 0 hours 25 minutes
Epoch: 17 | train MSE: 0.061346 | val MSE: 0.063262 | total time: 0 hours 27 minutes
Epoch: 18 | train MSE: 0.058098 | val MSE: 0.064729 | total time: 0 hours 29 minutes
Epoch: 19 | train MSE: 0.055795 | val MSE: 0.069387 | total time: 0 hours 30 minutes
Epoch: 20 | train MSE: 0.054345 | val MSE: 0.060024 | total time: 0 hours 32 minutes
Epoch: 21 | train MSE: 0.052998 | val MSE: 0.058017 | total time: 0 hours 34 minutes
Epoch: 22 | train MSE: 0.050598 | val MSE: 0.055801 | total time: 0 hours 35 minutes
Epoch: 23 | train MSE: 0.049537 | val MSE: 0.055235 | total time: 0 hours 37 minutes
Epoch: 24 | train MSE: 0.048416 | val MSE: 0.058697 | total time: 0 hours 38 minutes
Epoch: 25 | train MSE: 0.047307 | val MSE: 0.049799 | total time: 0 hours 40 minutes
Epoch: 26 | train MSE: 0.045023 | val MSE: 0.051545 | total time: 0 hours 42 minutes
Epoch: 27 | train MSE: 0.044645 | val MSE: 0.052728 | total time: 0 hours 43 minutes
Epoch: 28 | train MSE: 0.043594 | val MSE: 0.049677 | total time: 0 hours 45 minutes
Epoch: 29 | train MSE: 0.043005 | val MSE: 0.051629 | total time: 0 hours 47 minutes
Epoch: 30 | train MSE: 0.042131 | val MSE: 0.051320 | total time: 0 hours 48 minutes
Epoch: 31 | train MSE: 0.041493 | val MSE: 0.050020 | total time: 0 hours 50 minutes
Epoch: 32 | train MSE: 0.040643 | val MSE: 0.051984 | total time: 0 hours 51 minutes
Epoch: 33 | train MSE: 0.039699 | val MSE: 0.046403 | total time: 0 hours 53 minutes
Epoch: 34 | train MSE: 0.038746 | val MSE: 0.045630 | total time: 0 hours 55 minutes
Epoch: 35 | train MSE: 0.038729 | val MSE: 0.062394 | total time: 0 hours 56 minutes
Epoch: 36 | train MSE: 0.037727 | val MSE: 0.049542 | total time: 0 hours 58 minutes
Epoch: 37 | train MSE: 0.036462 | val MSE: 0.072329 | total time: 1 hours 0 minutes
Epoch: 38 | train MSE: 0.035941 | val MSE: 0.043989 | total time: 1 hours 1 minutes
Epoch: 39 | train MSE: 0.035554 | val MSE: 0.056527 | total time: 1 hours 3 minutes
Epoch: 40 | train MSE: 0.035113 | val MSE: 0.044764 | total time: 1 hours 4 minutes
Epoch: 41 | train MSE: 0.034402 | val MSE: 0.044125 | total time: 1 hours 6 minutes
Epoch: 42 | train MSE: 0.033997 | val MSE: 0.041601 | total time: 1 hours 8 minutes
Epoch: 43 | train MSE: 0.033410 | val MSE: 0.046248 | total time: 1 hours 9 minutes
Epoch: 44 | train MSE: 0.032312 | val MSE: 0.041572 | total time: 1 hours 11 minutes
Epoch: 45 | train MSE: 0.032113 | val MSE: 0.046259 | total time: 1 hours 13 minutes
Epoch: 46 | train MSE: 0.031770 | val MSE: 0.042965 | total time: 1 hours 14 minutes
Epoch: 47 | train MSE: 0.031805 | val MSE: 0.041752 | total time: 1 hours 16 minutes
Epoch: 48 | train MSE: 0.030660 | val MSE: 0.041173 | total time: 1 hours 18 minutes
Epoch: 49 | train MSE: 0.030616 | val MSE: 0.043155 | total time: 1 hours 19 minutes
Epoch: 50 | train MSE: 0.030226 | val MSE: 0.038892 | total time: 1 hours 21 minutes
Epoch: 51 | train MSE: 0.029023 | val MSE: 0.041279 | total time: 1 hours 22 minutes
Epoch: 52 | train MSE: 0.029355 | val MSE: 0.041814 | total time: 1 hours 24 minutes
Epoch: 53 | train MSE: 0.029189 | val MSE: 0.038445 | total time: 1 hours 26 minutes
Epoch: 54 | train MSE: 0.028313 | val MSE: 0.051245 | total time: 1 hours 27 minutes
Epoch: 55 | train MSE: 0.028327 | val MSE: 0.036564 | total time: 1 hours 29 minutes
Epoch: 56 | train MSE: 0.027675 | val MSE: 0.038462 | total time: 1 hours 31 minutes
Epoch: 57 | train MSE: 0.027181 | val MSE: 0.036531 | total time: 1 hours 32 minutes
Epoch: 58 | train MSE: 0.026876 | val MSE: 0.041122 | total time: 1 hours 34 minutes
Epoch: 59 | train MSE: 0.026693 | val MSE: 0.039949 | total time: 1 hours 35 minutes
Epoch: 60 | train MSE: 0.026511 | val MSE: 0.038435 | total time: 1 hours 37 minutes
Epoch: 61 | train MSE: 0.025659 | val MSE: 0.035103 | total time: 1 hours 39 minutes
Epoch: 62 | train MSE: 0.025944 | val MSE: 0.040014 | total time: 1 hours 40 minutes
Epoch: 63 | train MSE: 0.025988 | val MSE: 0.035853 | total time: 1 hours 42 minutes
Epoch: 64 | train MSE: 0.025312 | val MSE: 0.034339 | total time: 1 hours 43 minutes
Epoch: 65 | train MSE: 0.025395 | val MSE: 0.040308 | total time: 1 hours 45 minutes
Epoch: 66 | train MSE: 0.024278 | val MSE: 0.034841 | total time: 1 hours 47 minutes
Epoch: 67 | train MSE: 0.024421 | val MSE: 0.036348 | total time: 1 hours 48 minutes
Epoch: 68 | train MSE: 0.024367 | val MSE: 0.034342 | total time: 1 hours 50 minutes
Epoch: 69 | train MSE: 0.024529 | val MSE: 0.034115 | total time: 1 hours 52 minutes
Epoch: 70 | train MSE: 0.023462 | val MSE: 0.036607 | total time: 1 hours 53 minutes
Epoch: 71 | train MSE: 0.023323 | val MSE: 0.037818 | total time: 1 hours 55 minutes
Epoch: 72 | train MSE: 0.022957 | val MSE: 0.037135 | total time: 1 hours 56 minutes
Epoch: 73 | train MSE: 0.022989 | val MSE: 0.035430 | total time: 1 hours 58 minutes
Epoch: 74 | train MSE: 0.022901 | val MSE: 0.036561 | total time: 2 hours 0 minutes
Epoch: 75 | train MSE: 0.022619 | val MSE: 0.034156 | total time: 2 hours 1 minutes
Epoch: 76 | train MSE: 0.022742 | val MSE: 0.033524 | total time: 2 hours 3 minutes
Epoch: 77 | train MSE: 0.021830 | val MSE: 0.036827 | total time: 2 hours 5 minutes
Epoch: 78 | train MSE: 0.022124 | val MSE: 0.034184 | total time: 2 hours 6 minutes
Epoch: 79 | train MSE: 0.021394 | val MSE: 0.035375 | total time: 2 hours 8 minutes
Epoch: 80 | train MSE: 0.021150 | val MSE: 0.032824 | total time: 2 hours 10 minutes
Epoch: 81 | train MSE: 0.020977 | val MSE: 0.032924 | total time: 2 hours 11 minutes
Epoch: 82 | train MSE: 0.021483 | val MSE: 0.034227 | total time: 2 hours 13 minutes
Epoch: 83 | train MSE: 0.020606 | val MSE: 0.036046 | total time: 2 hours 14 minutes
Epoch: 84 | train MSE: 0.020583 | val MSE: 0.032528 | total time: 2 hours 16 minutes
Epoch: 85 | train MSE: 0.020431 | val MSE: 0.039202 | total time: 2 hours 18 minutes
Epoch: 86 | train MSE: 0.020638 | val MSE: 0.034870 | total time: 2 hours 19 minutes
Epoch: 87 | train MSE: 0.020462 | val MSE: 0.031074 | total time: 2 hours 21 minutes
Epoch: 88 | train MSE: 0.020128 | val MSE: 0.032679 | total time: 2 hours 23 minutes
Epoch: 89 | train MSE: 0.020018 | val MSE: 0.035338 | total time: 2 hours 24 minutes
Epoch: 90 | train MSE: 0.019707 | val MSE: 0.033536 | total time: 2 hours 26 minutes
Epoch: 91 | train MSE: 0.019592 | val MSE: 0.031143 | total time: 2 hours 27 minutes
Epoch: 92 | train MSE: 0.019571 | val MSE: 0.030545 | total time: 2 hours 29 minutes
Epoch: 93 | train MSE: 0.019280 | val MSE: 0.038912 | total time: 2 hours 31 minutes
Epoch: 94 | train MSE: 0.019070 | val MSE: 0.032613 | total time: 2 hours 32 minutes
Epoch: 95 | train MSE: 0.018843 | val MSE: 0.030366 | total time: 2 hours 34 minutes
Epoch: 96 | train MSE: 0.018988 | val MSE: 0.030152 | total time: 2 hours 36 minutes
Epoch: 97 | train MSE: 0.018691 | val MSE: 0.032596 | total time: 2 hours 37 minutes
Epoch: 98 | train MSE: 0.018504 | val MSE: 0.030694 | total time: 2 hours 39 minutes
Epoch: 99 | train MSE: 0.018420 | val MSE: 0.032353 | total time: 2 hours 40 minutes
Epoch: 100 | train MSE: 0.018356 | val MSE: 0.029600 | total time: 2 hours 42 minutes
finished best_val_mse=0.029600
