===== AE =====
[anatomy_ae] device=cuda:0 params=1.06M | train=32 val=8 | 64³ | seed=20260819
Epoch: 1 | train MSE: 0.000857 | val MSE: 0.000240 | total time: 0 hours 0 minutes
Epoch: 2 | train MSE: 0.000066 | val MSE: 0.000052 | total time: 0 hours 0 minutes
Epoch: 3 | train MSE: 0.000016 | val MSE: 0.000019 | total time: 0 hours 0 minutes
Epoch: 4 | train MSE: 0.000007 | val MSE: 0.000009 | total time: 0 hours 0 minutes
Epoch: 5 | train MSE: 0.000005 | val MSE: 0.000007 | total time: 0 hours 0 minutes
Epoch: 6 | train MSE: 0.000003 | val MSE: 0.000005 | total time: 0 hours 0 minutes
Epoch: 7 | train MSE: 0.000003 | val MSE: 0.000005 | total time: 0 hours 1 minutes
Epoch: 8 | train MSE: 0.000002 | val MSE: 0.000004 | total time: 0 hours 1 minutes
Epoch: 9 | train MSE: 0.000003 | val MSE: 0.000019 | total time: 0 hours 1 minutes
Epoch: 10 | train MSE: 0.000002 | val MSE: 0.000003 | total time: 0 hours 1 minutes
Epoch: 11 | train MSE: 0.000002 | val MSE: 0.000003 | total time: 0 hours 1 minutes
Epoch: 12 | train MSE: 0.000001 | val MSE: 0.000002 | total time: 0 hours 1 minutes
Epoch: 13 | train MSE: 0.000002 | val MSE: 0.000002 | total time: 0 hours 1 minutes
Epoch: 14 | train MSE: 0.000001 | val MSE: 0.000002 | total time: 0 hours 2 minutes
Epoch: 15 | train MSE: 0.000002 | val MSE: 0.000002 | total time: 0 hours 2 minutes
Epoch: 16 | train MSE: 0.000002 | val MSE: 0.000002 | total time: 0 hours 2 minutes
Epoch: 17 | train MSE: 0.000001 | val MSE: 0.000002 | total time: 0 hours 2 minutes
Epoch: 18 | train MSE: 0.000001 | val MSE: 0.000002 | total time: 0 hours 2 minutes
Epoch: 19 | train MSE: 0.000001 | val MSE: 0.000001 | total time: 0 hours 2 minutes
Epoch: 20 | train MSE: 0.000001 | val MSE: 0.000003 | total time: 0 hours 2 minutes
Epoch: 21 | train MSE: 0.000001 | val MSE: 0.000002 | total time: 0 hours 3 minutes
Epoch: 22 | train MSE: 0.000001 | val MSE: 0.000002 | total time: 0 hours 3 minutes
Epoch: 23 | train MSE: 0.000001 | val MSE: 0.000001 | total time: 0 hours 3 minutes
