[crb_enc_mse_pop_e4] device=cuda:1 | UNetCRB params=1.56M trainable=1.07M | loss=lung-masked MSE | CRB=encoder + frozen anatomy side-branch | seed=20260819
[crb_enc_mse_pop_e4] anatomy=/home/abhishek/Voxel_GAN/PopulationStudy/Experiment4/AnatomyAE/weights/anatomy_encoder.pth | train 5760 val 320 | train patients=['P1', 'P3', 'P4', 'P5'] hold-out=['P7', 'P9'] (QC only)
Epoch: 1 | train MSE: 0.980790 | val MSE: 0.667385 | total time: 0 hours 1 minutes
Epoch: 2 | train MSE: 0.701322 | val MSE: 0.578565 | total time: 0 hours 3 minutes
Epoch: 3 | train MSE: 0.563602 | val MSE: 0.394424 | total time: 0 hours 5 minutes
Epoch: 4 | train MSE: 0.399651 | val MSE: 0.296598 | total time: 0 hours 6 minutes
Epoch: 5 | train MSE: 0.328517 | val MSE: 0.261867 | total time: 0 hours 8 minutes
Epoch: 6 | train MSE: 0.261563 | val MSE: 0.221091 | total time: 0 hours 10 minutes
Epoch: 7 | train MSE: 0.221942 | val MSE: 0.180146 | total time: 0 hours 11 minutes
Epoch: 8 | train MSE: 0.195256 | val MSE: 0.165290 | total time: 0 hours 13 minutes
Epoch: 9 | train MSE: 0.166327 | val MSE: 0.154418 | total time: 0 hours 15 minutes
Epoch: 10 | train MSE: 0.152693 | val MSE: 0.125643 | total time: 0 hours 17 minutes
Epoch: 11 | train MSE: 0.138015 | val MSE: 0.114478 | total time: 0 hours 18 minutes
Epoch: 12 | train MSE: 0.132326 | val MSE: 0.116298 | total time: 0 hours 20 minutes
Epoch: 13 | train MSE: 0.121667 | val MSE: 0.120714 | total time: 0 hours 22 minutes
Epoch: 14 | train MSE: 0.114146 | val MSE: 0.101932 | total time: 0 hours 23 minutes
Epoch: 15 | train MSE: 0.109294 | val MSE: 0.099577 | total time: 0 hours 25 minutes
Epoch: 16 | train MSE: 0.101087 | val MSE: 0.088114 | total time: 0 hours 27 minutes
Epoch: 17 | train MSE: 0.094143 | val MSE: 0.088222 | total time: 0 hours 29 minutes
Epoch: 18 | train MSE: 0.090607 | val MSE: 0.105720 | total time: 0 hours 30 minutes
Epoch: 19 | train MSE: 0.086481 | val MSE: 0.079334 | total time: 0 hours 32 minutes
Epoch: 20 | train MSE: 0.082130 | val MSE: 0.083729 | total time: 0 hours 34 minutes
Epoch: 21 | train MSE: 0.078343 | val MSE: 0.072757 | total time: 0 hours 35 minutes
Epoch: 22 | train MSE: 0.076845 | val MSE: 0.078112 | total time: 0 hours 37 minutes
Epoch: 23 | train MSE: 0.074430 | val MSE: 0.081153 | total time: 0 hours 39 minutes
Epoch: 24 | train MSE: 0.072293 | val MSE: 0.085695 | total time: 0 hours 40 minutes
Epoch: 25 | train MSE: 0.067302 | val MSE: 0.087669 | total time: 0 hours 42 minutes
Epoch: 26 | train MSE: 0.068319 | val MSE: 0.076522 | total time: 0 hours 44 minutes
Epoch: 27 | train MSE: 0.064653 | val MSE: 0.064767 | total time: 0 hours 46 minutes
Epoch: 28 | train MSE: 0.065193 | val MSE: 0.069423 | total time: 0 hours 47 minutes
Epoch: 29 | train MSE: 0.063357 | val MSE: 0.063500 | total time: 0 hours 49 minutes
