===== E5 Both =====
[crb_both_mse_pop_e5] device=cuda:0 | UNetCRBBoth params=1.59M trainable=1.09M | loss=lung-masked MSE | CRB=encoder+decoder + frozen anatomy side-branch | seed=20260817
[crb_both_mse_pop_e5] anatomy=/home/abhishek/Voxel_GAN/PopulationStudy/Experiment4/AnatomyAE/weights/anatomy_encoder.pth | train 8640 val 480 | train patients=['P1', 'P2', 'P6', 'P7', 'P8', 'P9'] hold-out=['P3', 'P4', 'P5'] (QC only)
Epoch: 1 | train MSE: 0.461348 | val MSE: 0.446822 | total time: 0 hours 2 minutes
Epoch: 2 | train MSE: 0.341519 | val MSE: 0.306379 | total time: 0 hours 4 minutes
Epoch: 3 | train MSE: 0.251650 | val MSE: 0.243041 | total time: 0 hours 7 minutes
Epoch: 4 | train MSE: 0.196487 | val MSE: 0.176225 | total time: 0 hours 9 minutes
Epoch: 5 | train MSE: 0.161491 | val MSE: 0.158666 | total time: 0 hours 12 minutes
Epoch: 6 | train MSE: 0.137056 | val MSE: 0.127490 | total time: 0 hours 14 minutes
Epoch: 7 | train MSE: 0.113564 | val MSE: 0.119361 | total time: 0 hours 17 minutes
Epoch: 8 | train MSE: 0.100121 | val MSE: 0.131022 | total time: 0 hours 19 minutes
Epoch: 9 | train MSE: 0.088510 | val MSE: 0.102229 | total time: 0 hours 22 minutes
Epoch: 10 | train MSE: 0.082054 | val MSE: 0.087557 | total time: 0 hours 24 minutes
Epoch: 11 | train MSE: 0.072070 | val MSE: 0.083405 | total time: 0 hours 27 minutes
Epoch: 12 | train MSE: 0.066359 | val MSE: 0.082877 | total time: 0 hours 29 minutes
Epoch: 13 | train MSE: 0.061185 | val MSE: 0.098074 | total time: 0 hours 32 minutes
Epoch: 14 | train MSE: 0.056589 | val MSE: 0.069521 | total time: 0 hours 34 minutes
Epoch: 15 | train MSE: 0.052456 | val MSE: 0.060238 | total time: 0 hours 37 minutes
Epoch: 16 | train MSE: 0.048587 | val MSE: 0.063922 | total time: 0 hours 39 minutes
Epoch: 17 | train MSE: 0.046756 | val MSE: 0.069620 | total time: 0 hours 42 minutes
Epoch: 18 | train MSE: 0.042882 | val MSE: 0.062629 | total time: 0 hours 44 minutes
Epoch: 19 | train MSE: 0.041442 | val MSE: 0.057089 | total time: 0 hours 46 minutes
Epoch: 20 | train MSE: 0.039173 | val MSE: 0.058944 | total time: 0 hours 49 minutes
Epoch: 21 | train MSE: 0.037930 | val MSE: 0.050881 | total time: 0 hours 51 minutes
Epoch: 22 | train MSE: 0.036617 | val MSE: 0.070495 | total time: 0 hours 54 minutes
Epoch: 23 | train MSE: 0.035157 | val MSE: 0.048601 | total time: 0 hours 56 minutes
Epoch: 24 | train MSE: 0.033651 | val MSE: 0.046343 | total time: 0 hours 59 minutes
Epoch: 25 | train MSE: 0.032745 | val MSE: 0.052785 | total time: 1 hours 1 minutes
Epoch: 26 | train MSE: 0.031294 | val MSE: 0.044221 | total time: 1 hours 4 minutes
Epoch: 27 | train MSE: 0.030898 | val MSE: 0.044273 | total time: 1 hours 6 minutes
