pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.017609	0.000000	1760906.353593	nan	nan
01_to_02	pair	0.383976	0.383169	1.002107	0.07244671881198883	0.11755809187889099
01_to_03	pair	1.189552	1.230852	0.966446	0.25476589798927307	0.15047317743301392
01_to_04	pair	1.515699	1.645525	0.921103	0.39566341042518616	0.24461115896701813
01_to_05	pair	1.658135	1.797984	0.922219	0.42766252160072327	0.48707816004753113
01_to_06	pair	1.833390	1.765300	1.038571	0.316008061170578	0.6057181358337402
01_to_07	pair	1.403342	1.343949	1.044193	0.22450123727321625	0.5112600922584534
01_to_08	pair	0.759504	0.765092	0.992697	0.2196870893239975	0.31335657835006714
01_to_09	pair	0.355910	0.362947	0.980611	0.170736163854599	0.1518973559141159
01_to_10	pair	0.258111	0.231239	1.116206	-0.36408570408821106	0.2323189675807953
02_to_01	pair	0.379581	0.373688	1.015771	-0.25027793645858765	0.06505357474088669
02_to_02	identity	0.012077	0.000000	1207675.691694	nan	nan
02_to_03	pair	0.495330	0.507783	0.975477	0.2606683075428009	0.20962747931480408
02_to_04	pair	0.973059	1.104614	0.880904	0.48036906123161316	0.33664649724960327
02_to_05	pair	1.305450	1.398126	0.933714	0.4279000759124756	0.5304409861564636
02_to_06	pair	1.415361	1.355520	1.044146	0.36925119161605835	0.6921626329421997
02_to_07	pair	1.132777	1.008403	1.123338	0.1717025488615036	0.6242711544036865
02_to_08	pair	0.743007	0.607477	1.223103	-0.08339827507734299	0.6094527840614319
02_to_09	pair	0.552603	0.520649	1.061373	-0.15537342429161072	0.2586495876312256
02_to_10	pair	0.611461	0.629724	0.970998	0.29285478591918945	0.1138467937707901
03_to_01	pair	1.137373	1.171499	0.970869	0.23894037306308746	0.11003811657428741
03_to_02	pair	0.463075	0.479957	0.964826	0.32834917306900024	0.15992344915866852
03_to_03	identity	0.011774	0.000000	1177427.358925	nan	nan
03_to_04	pair	0.324482	0.357610	0.907363	0.4603566527366638	0.581720769405365
03_to_05	pair	0.577017	0.589066	0.979546	0.5231384038925171	0.8575919270515442
03_to_06	pair	0.960995	0.752228	1.277532	0.26482391357421875	1.0019254684448242
03_to_07	pair	0.842530	0.627460	1.342763	0.01430098619312048	0.8205646872520447
03_to_08	pair	0.955435	0.892904	1.070032	0.048407942056655884	0.38551127910614014
03_to_09	pair	1.156329	1.161543	0.995512	0.14842259883880615	0.25185680389404297
03_to_10	pair	1.286450	1.366739	0.941255	0.3329399526119232	0.235342875123024
04_to_01	pair	1.452878	1.540874	0.942892	0.34545817971229553	0.18716605007648468
