pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.009816	0.000000	981603.655964	nan	nan
01_to_02	pair	0.523497	0.622080	0.841526	0.7019184231758118	0.30428433418273926
01_to_03	pair	1.103925	1.462762	0.754686	0.7690789699554443	0.3929826319217682
01_to_04	pair	1.477629	2.110929	0.699990	0.8296077251434326	0.4409352242946625
01_to_05	pair	1.643391	2.429275	0.676494	0.8536521792411804	0.44927969574928284
01_to_06	pair	1.587074	2.447153	0.648539	0.8440194129943848	0.4682905077934265
01_to_07	pair	1.236900	1.975930	0.625984	0.7952287793159485	0.5276666283607483
01_to_08	pair	0.921655	1.332699	0.691570	0.6915640830993652	0.5582037568092346
01_to_09	pair	0.440754	0.383811	1.148364	0.5039111971855164	1.142377495765686
01_to_10	pair	0.247280	0.199995	1.236429	-0.08707833290100098	0.5924918055534363
02_to_01	pair	0.384864	0.514415	0.748158	0.7084576487541199	0.6023966670036316
02_to_02	identity	0.004951	0.000000	495061.744004	nan	nan
02_to_03	pair	0.475942	0.691318	0.688455	0.8189417719841003	0.5025797486305237
02_to_04	pair	0.852096	1.287145	0.662005	0.8458686470985413	0.4853132963180542
02_to_05	pair	1.050308	1.650109	0.636508	0.8398038744926453	0.5209872126579285
02_to_06	pair	1.060040	1.723956	0.614888	0.8165889382362366	0.5495354533195496
02_to_07	pair	0.964160	1.398258	0.689544	0.7026157975196838	0.5696630477905273
02_to_08	pair	0.903881	0.946244	0.955231	0.4491671323776245	0.4831031262874603
02_to_09	pair	0.729735	0.655721	1.112875	-0.006723629776388407	0.46569254994392395
02_to_10	pair	0.634469	0.750450	0.845452	0.59858638048172	0.4748097062110901
03_to_01	pair	0.876209	1.250738	0.700553	0.7647008299827576	0.5407179594039917
03_to_02	pair	0.363674	0.558441	0.651231	0.7862540483474731	0.768688440322876
03_to_03	identity	0.006201	0.000000	620067.864656	nan	nan
03_to_04	pair	0.349204	0.488817	0.714386	0.7611051797866821	0.47840189933776855
03_to_05	pair	0.576697	0.849928	0.678525	0.7841026782989502	0.5067363381385803
03_to_06	pair	0.679166	0.990912	0.685395	0.7147533893585205	0.5532496571540833
03_to_07	pair	0.884476	0.961677	0.919723	0.514816403388977	0.4249439239501953
03_to_08	pair	1.068056	1.151181	0.927792	0.4280547499656677	0.2892245650291443
03_to_09	pair	1.056425	1.294425	0.816135	0.6149757504463196	0.41868236660957336
03_to_10	pair	1.060120	1.462267	0.724984	0.7369577288627625	0.5495266914367676
04_to_01	pair	1.238552	1.804450	0.686388	0.7866483330726624	0.5158489942550659
04_to_02	pair	0.705584	1.108390	0.636584	0.8035778999328613	0.6166765093803406
04_to_03	pair	0.308834	0.425303	0.726150	0.6971072554588318	0.6199774146080017
04_to_04	identity	0.005803	0.000000	580295.827240	nan	nan
04_to_05	pair	0.241299	0.317741	0.759420	0.6576950550079346	0.45970791578292847
04_to_06	pair	0.469169	0.534542	0.877704	0.546012282371521	0.47361254692077637
04_to_07	pair	0.812031	0.884496	0.918072	0.4861297905445099	0.30385589599609375
04_to_08	pair	1.173678	1.412144	0.831132	0.6272228360176086	0.3031129837036133
04_to_09	pair	1.353236	1.804789	0.749803	0.7236829400062561	0.42908477783203125
04_to_10	pair	1.349023	1.959167	0.688570	0.7910480499267578	0.5362529754638672
05_to_01	pair	1.429719	2.110980	0.677278	0.7799355983734131	0.5214608907699585
05_to_02	pair	0.906833	1.431573	0.633452	0.7803745269775391	0.6191502809524536
05_to_03	pair	0.516245	0.731243	0.705982	0.6940544247627258	0.6371175050735474
05_to_04	pair	0.247368	0.287447	0.860569	0.477644681930542	0.5274322032928467
05_to_05	identity	0.006355	0.000000	635500.904173	nan	nan
05_to_06	pair	0.265774	0.270961	0.980859	0.42139577865600586	0.33021679520606995
05_to_07	pair	0.692065	0.805131	0.859569	0.551299512386322	0.30155348777770996
05_to_08	pair	1.168567	1.484441	0.787210	0.6774533987045288	0.3581649661064148
05_to_09	pair	1.436630	1.995662	0.719877	0.7344277501106262	0.4525468349456787
05_to_10	pair	1.553359	2.282162	0.680652	0.780229926109314	0.5337947607040405
06_to_01	pair	1.400492	2.116509	0.661699	0.7555874586105347	0.5561919808387756
06_to_02	pair	0.915706	1.464999	0.625055	0.7721574306488037	0.6670404076576233
06_to_03	pair	0.629377	0.835825	0.753001	0.6326839327812195	0.699918806552887
06_to_04	pair	0.454537	0.460203	0.987688	0.40062516927719116	0.589817225933075
