pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.016827	0.000000	1682744.547725	nan	nan
01_to_02	pair	0.240592	0.283223	0.849480	0.5749361515045166	0.33997100591659546
01_to_03	pair	0.557570	0.660861	0.843701	0.6260968446731567	0.5976567268371582
01_to_04	pair	0.923758	1.085606	0.850915	0.6003526449203491	0.6301834583282471
01_to_05	pair	1.296445	1.570012	0.825755	0.6004515886306763	0.5798024535179138
01_to_06	pair	1.378526	1.730101	0.796789	0.6279096603393555	0.5774492621421814
01_to_07	pair	1.157481	1.504791	0.769197	0.6538590788841248	0.5121864676475525
01_to_08	pair	0.918012	1.185815	0.774161	0.7019847631454468	0.3685891926288605
01_to_09	pair	0.603529	0.712774	0.846733	0.6400041580200195	0.27041223645210266
01_to_10	pair	0.310249	0.287970	1.077364	-0.280204176902771	0.23487423360347748
02_to_01	pair	0.234486	0.285222	0.822115	0.5971316695213318	0.5030155181884766
02_to_02	identity	0.007699	0.000000	769881.159067	nan	nan
02_to_03	pair	0.360362	0.414510	0.869369	0.6041167974472046	0.4918939173221588
02_to_04	pair	0.777854	0.938574	0.828761	0.6126973032951355	0.5390526056289673
02_to_05	pair	1.176777	1.432481	0.821496	0.5858391523361206	0.5832006931304932
02_to_06	pair	1.340033	1.646454	0.813890	0.5986400246620178	0.597440242767334
02_to_07	pair	1.237917	1.485985	0.833062	0.591923713684082	0.40288564562797546
02_to_08	pair	1.041131	1.176280	0.885104	0.5956867933273315	0.2287084013223648
02_to_09	pair	0.751984	0.798624	0.941600	0.4643860161304474	0.21643030643463135
02_to_10	pair	0.536340	0.479502	1.118534	0.1548158824443817	0.6194126605987549
03_to_01	pair	0.539553	0.669161	0.806312	0.6942321062088013	0.5503140687942505
03_to_02	pair	0.342000	0.410394	0.833346	0.6649839878082275	0.5246534943580627
03_to_03	identity	0.011227	0.000000	1122668.292373	nan	nan
03_to_04	pair	0.420667	0.481606	0.873468	0.5743463635444641	0.29150235652923584
03_to_05	pair	0.891162	1.036899	0.859449	0.5666999816894531	0.30265748500823975
03_to_06	pair	1.088710	1.270660	0.856807	0.5184440016746521	0.33085641264915466
03_to_07	pair	0.980512	1.154727	0.849129	0.5847135186195374	0.2608293890953064
03_to_08	pair	0.756791	0.835814	0.905454	0.4721984565258026	0.3935356140136719
03_to_09	pair	0.640197	0.733434	0.872876	0.5016253590583801	0.6303518414497375
03_to_10	pair	0.597230	0.702845	0.849732	0.6115108728408813	0.8158482313156128
04_to_01	pair	0.858684	1.132895	0.757955	0.6696615219116211	0.6063565015792847
04_to_02	pair	0.705363	0.931834	0.756962	0.673599898815155	0.5821027159690857
04_to_03	pair	0.362583	0.458508	0.790789	0.6756431460380554	0.7087099552154541
04_to_04	identity	0.005233	0.000000	523257.395253	nan	nan
04_to_05	pair	0.328184	0.404221	0.811893	0.6085445284843445	0.6215060949325562
04_to_06	pair	0.577246	0.660158	0.874406	0.5300091505050659	0.6708859801292419
04_to_07	pair	0.625970	0.656082	0.954104	0.3615984618663788	0.34413114190101624
04_to_08	pair	0.636195	0.655621	0.970370	0.4328646659851074	0.7330455183982849
04_to_09	pair	0.678475	0.747903	0.907170	0.5801318883895874	0.8659456372261047
04_to_10	pair	0.820161	0.953011	0.860600	0.6298689842224121	0.7537305951118469
05_to_01	pair	1.239112	1.549154	0.799864	0.656554639339447	0.48955482244491577
05_to_02	pair	1.108532	1.354189	0.818595	0.6173945069313049	0.44263216853141785
