pair	note	L1_pred	L1_zero	L1_over_zero	cos	k
01_to_01	identity	0.009138	0.000000	913830.660284	nan	nan
01_to_02	pair	0.295501	0.326654	0.904630	0.5607380867004395	0.27758803963661194
01_to_03	pair	0.520097	0.676961	0.768282	0.6849030256271362	0.5745911002159119
01_to_04	pair	0.716321	0.894585	0.800730	0.6854674220085144	0.7893416881561279
01_to_05	pair	0.945224	1.201784	0.786518	0.7256918549537659	0.7388460636138916
01_to_06	pair	1.028450	1.387839	0.741044	0.7545852661132812	0.7272139191627502
01_to_07	pair	0.880477	1.127972	0.780584	0.7215715646743774	0.8289811015129089
01_to_08	pair	0.643595	0.859081	0.749166	0.7418882846832275	0.8308548927307129
01_to_09	pair	0.454997	0.611380	0.744213	0.7593576908111572	0.5931268930435181
01_to_10	pair	0.299956	0.343676	0.872788	0.6578697562217712	0.26089462637901306
02_to_01	pair	0.275964	0.319704	0.863184	0.6258547306060791	0.4507018029689789
02_to_02	identity	0.005618	0.000000	561799.388379	nan	nan
02_to_03	pair	0.234088	0.338032	0.692502	0.7568476796150208	0.7081514596939087
02_to_04	pair	0.457501	0.637639	0.717492	0.752332866191864	0.8376632332801819
02_to_05	pair	0.706105	0.970341	0.727688	0.7470559477806091	0.7630051970481873
02_to_06	pair	0.837829	1.162847	0.720498	0.7509040236473083	0.7594767212867737
02_to_07	pair	0.804796	0.992118	0.811190	0.6899083256721497	0.7894224524497986
02_to_08	pair	0.591633	0.770588	0.767768	0.6890161633491516	0.690319299697876
02_to_09	pair	0.503409	0.625526	0.804776	0.6178202033042908	0.3770110011100769
02_to_10	pair	0.421619	0.401621	1.049793	-0.03900013491511345	0.42338407039642334
03_to_01	pair	0.466405	0.645767	0.722249	0.7476992607116699	0.628260612487793
03_to_02	pair	0.225386	0.338703	0.665439	0.7806727886199951	0.8242160677909851
03_to_03	identity	0.006115	0.000000	611455.645412	nan	nan
03_to_04	pair	0.213937	0.298417	0.716908	0.7243072390556335	0.8961094617843628
03_to_05	pair	0.467784	0.629203	0.743455	0.7215115427970886	0.6933116912841797
03_to_06	pair	0.632398	0.854974	0.739670	0.72578364610672	0.7068819403648376
03_to_07	pair	0.606516	0.731535	0.829099	0.6235190629959106	0.6792322397232056
03_to_08	pair	0.501114	0.637704	0.785811	0.5894063115119934	0.4999908208847046
03_to_09	pair	0.482727	0.516075	0.935381	0.2511058747768402	0.6061720252037048
03_to_10	pair	0.545922	0.523410	1.043010	0.41480880975723267	1.0536562204360962
04_to_01	pair	0.620627	0.827395	0.750098	0.7295639514923096	0.7630757093429565
04_to_02	pair	0.392534	0.577734	0.679438	0.7932848334312439	0.8916783928871155
04_to_03	pair	0.194450	0.279927	0.694647	0.7595968842506409	1.0776058435440063
04_to_04	identity	0.009397	0.000000	939693.395048	nan	nan
04_to_05	pair	0.256953	0.348021	0.738326	0.7473891973495483	0.5197376608848572
04_to_06	pair	0.467527	0.627401	0.745181	0.7143343091011047	0.5073557496070862
04_to_07	pair	0.482052	0.580611	0.830249	0.5521514415740967	0.501409113407135
04_to_08	pair	0.476519	0.546896	0.871315	0.4532206356525421	0.5592873692512512
04_to_09	pair	0.565873	0.506958	1.116213	0.3613377511501312	1.0096150636672974
04_to_10	pair	0.651564	0.593922	1.097054	0.5497929453849792	1.2562496662139893
05_to_01	pair	0.746220	1.076548	0.693160	0.811669647693634	0.7446096539497375
