pair	note	L1_mm	L1_zero_mm	L1_over_zero	cos	k
01_to_01	identity	0.016066	0.000000	1606626.808643	nan	nan
01_to_02	pair	0.623150	0.641546	0.971325	0.289522647857666	0.12223240733146667
01_to_03	pair	1.893905	1.791403	1.057219	-0.05873886123299599	0.18078120052814484
01_to_04	pair	3.348444	3.010365	1.112305	-0.1775803118944168	0.22531062364578247
01_to_05	pair	4.294161	3.755739	1.143360	-0.2497212439775467	0.23122945427894592
01_to_06	pair	4.541956	3.874719	1.172203	-0.3091304302215576	0.24797466397285461
01_to_07	pair	4.340651	3.586688	1.210212	-0.3981569707393646	0.2707163095474243
01_to_08	pair	3.395121	2.786743	1.218311	-0.5005339980125427	0.2680763602256775
01_to_09	pair	2.044925	1.677839	1.218785	-0.5159871578216553	0.25670281052589417
01_to_10	pair	0.724841	0.648624	1.117506	-0.3457258939743042	0.18588271737098694
02_to_01	pair	0.627218	0.635877	0.986383	0.17656981945037842	0.1660216897726059
02_to_02	identity	0.008413	0.000000	841278.955340	nan	nan
02_to_03	pair	1.229630	1.119208	1.098661	-0.11570847034454346	0.18293190002441406
02_to_04	pair	2.653930	2.338108	1.135076	-0.21205683052539825	0.2273736447095871
02_to_05	pair	3.559810	3.051799	1.166463	-0.2796715497970581	0.24851903319358826
02_to_06	pair	3.808797	3.173017	1.200371	-0.33125296235084534	0.27450093626976013
02_to_07	pair	3.651296	2.957922	1.234413	-0.4370948076248169	0.30468571186065674
02_to_08	pair	2.843801	2.334677	1.218071	-0.5220587849617004	0.2812662124633789
02_to_09	pair	1.644540	1.391378	1.181950	-0.48815712332725525	0.24907605350017548
02_to_10	pair	0.798481	0.789012	1.012001	0.1477995216846466	0.19440394639968872
03_to_01	pair	1.771730	1.687705	1.049787	0.03188085928559303	0.1872444450855255
03_to_02	pair	1.230005	1.104555	1.113575	-0.06172444298863411	0.20648647844791412
03_to_03	identity	0.010263	0.000000	1026277.150959	nan	nan
03_to_04	pair	1.219268	1.095500	1.112979	-0.20889447629451752	0.19649554789066315
03_to_05	pair	2.067354	1.776196	1.163922	-0.29845333099365234	0.23737689852714539
03_to_06	pair	2.329538	1.891985	1.231266	-0.3569885194301605	0.303305983543396
03_to_07	pair	2.276286	1.828169	1.245118	-0.48198410868644714	0.330185204744339
03_to_08	pair	1.724727	1.475286	1.169080	-0.4428575336933136	0.28026482462882996
